"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SORCS1 TTN",-0.0949539043087616,5.83886550443765,0.793463245330567,0.374404148000944,0.855677663154935,0.855677663154935,"gpath_quartile_numeric"
"2","AGRN","Inh SORCS1 TTN",-0.142475691251774,5.32447475537639,0.911038714795185,0.341291370428948,0.84095256890537,0.84095256890537,"gpath_quartile_numeric"
"3","C1orf159","Inh SORCS1 TTN",-0.00625064277201098,6.27985068628158,0.00481702544577945,0.944754836215741,0.999999149263327,0.999999149263327,"gpath_quartile_numeric"
"4","SDF4","Inh SORCS1 TTN",-0.15235095732804,5.97106499456013,2.08824383000462,0.150409363325513,0.67904099650612,0.67904099650612,"gpath_quartile_numeric"
"5","UBE2J2","Inh SORCS1 TTN",0.0331936056389784,5.59682270479733,0.0853721436002752,0.770526921615142,0.986473210759095,0.986473210759095,"gpath_quartile_numeric"
"6","ACAP3","Inh SORCS1 TTN",-0.123934356749988,6.68068299180548,2.65785911036279,0.105023551908557,0.612671127082213,0.612671127082213,"gpath_quartile_numeric"
"7","INTS11","Inh SORCS1 TTN",-0.079017354400531,5.85717889261001,0.50592790952004,0.47795169388393,0.899360325809464,0.899360325809464,"gpath_quartile_numeric"
"8","CCNL2","Inh SORCS1 TTN",0.118706751480476,6.42846533661077,1.71789583298703,0.191858737713775,0.729039205971792,0.729039205971792,"gpath_quartile_numeric"
"9","SSU72","Inh SORCS1 TTN",0.208074402982541,5.66802639306291,2.80429177051483,0.09598295142016,0.594758775542227,0.594758775542227,"gpath_quartile_numeric"
"10","MIB2","Inh SORCS1 TTN",-0.170752782594724,5.62536072894088,2.03803783575184,0.155373275829591,0.683546584993211,0.683546584993211,"gpath_quartile_numeric"
"11","CDK11B","Inh SORCS1 TTN",0.12767136058309,5.4704402260859,1.00548314196335,0.317514674792294,0.835159811271853,0.835159811271853,"gpath_quartile_numeric"
"12","GNB1","Inh SORCS1 TTN",-0.00938454980525967,8.08911767938933,0.0336126625177756,0.914390708905666,0.999999149263327,0.999999149263327,"gpath_quartile_numeric"
"13","GABRD","Inh SORCS1 TTN",0.0731587198488255,5.316216758467,0.239955933124741,0.624914785185863,0.952325704988473,0.952325704988473,"gpath_quartile_numeric"
"14","PRKCZ","Inh SORCS1 TTN",0.0376520059277639,6.75464079235114,0.19748761599557,0.657362208633441,0.962682852695513,0.962682852695513,"gpath_quartile_numeric"
"15","SKI","Inh SORCS1 TTN",-0.0290452255838733,6.6487956549461,0.130992262530733,0.815344926380128,0.991518427160285,0.991518427160285,"gpath_quartile_numeric"
"16","TPRG1L","Inh SORCS1 TTN",0.235624621947955,4.89957691171588,1.57538772075105,0.211272406539905,0.75388518549506,0.75388518549506,"gpath_quartile_numeric"
"17","CEP104","Inh SORCS1 TTN",0.190445906539078,5.88162997842173,2.71011746105644,0.10169366671895,0.607562162226491,0.607562162226491,"gpath_quartile_numeric"
"18","AJAP1","Inh SORCS1 TTN",-0.155881811127569,6.18244988129217,2.42771905440206,0.12119930626368,0.644381208642391,0.644381208642391,"gpath_quartile_numeric"
"19","KCNAB2","Inh SORCS1 TTN",-0.0843048282866345,5.68777176278623,0.48784212559274,0.485914252649571,0.902506713452584,0.902506713452584,"gpath_quartile_numeric"
"20","CHD5","Inh SORCS1 TTN",-0.0722610446926779,7.42647490285068,1.31309666511833,0.253560654535524,0.793365110086519,0.793365110086519,"gpath_quartile_numeric"
"21","RPL22","Inh SORCS1 TTN",0.119104401377394,5.73461304826149,1.1344042546741,0.306195851519437,0.829075754827139,0.829075754827139,"gpath_quartile_numeric"
"22","ACOT7","Inh SORCS1 TTN",-0.0133716292975913,6.68672311667733,0.0305955150204876,0.861368926121702,0.99605455430022,0.99605455430022,"gpath_quartile_numeric"
"23","TNFRSF25","Inh SORCS1 TTN",0.121602736151149,6.89472474029186,2.46780035539984,0.118193163681204,0.635829957806646,0.635829957806646,"gpath_quartile_numeric"
"24","PLEKHG5","Inh SORCS1 TTN",0.025330535880389,6.07073958256718,0.0641138183908439,0.800436092208469,0.990420491048994,0.990420491048994,"gpath_quartile_numeric"
