"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB IL1RAPL2",-0.101287078124291,2.99051820725116,2.38648821643548,0.124130463776235,0.414761824075652,0.414761824075652,"gpath_quartile_numeric"
"2","AL669831.5","Exc L4-5 RORB IL1RAPL2",0.0481523583325194,5.66615825163425,1.68626014560474,0.195742523904047,0.519703470853324,0.519703470853324,"gpath_quartile_numeric"
"3","LINC00115","Exc L4-5 RORB IL1RAPL2",-0.267179636206499,0.45380674848335,4.29827137688912,0.0395639271768425,0.227751676746014,0.227751676746014,"gpath_quartile_numeric"
"4","NOC2L","Exc L4-5 RORB IL1RAPL2",0.037072908855622,4.75745218951124,1.92245408650482,0.167287478498225,0.478595987831608,0.478595987831608,"gpath_quartile_numeric"
"5","KLHL17","Exc L4-5 RORB IL1RAPL2",-0.0348081631342629,2.73938412024468,0.366690767538523,0.545570255821014,0.817201736516213,0.817201736516213,"gpath_quartile_numeric"
"6","AL645608.8","Exc L4-5 RORB IL1RAPL2",-0.0137667098513209,-0.432293250760427,0.00590880790953529,0.938812629162686,0.99020196756763,0.99020196756763,"gpath_quartile_numeric"
"7","HES4","Exc L4-5 RORB IL1RAPL2",-0.0138826453684421,3.66967188450865,0.0191934190739842,0.889967032910477,0.980366892603645,0.980366892603645,"gpath_quartile_numeric"
"8","ISG15","Exc L4-5 RORB IL1RAPL2",0.00245180464418716,1.4281984721568,0.000574558049866362,0.980902924098422,0.997025623306309,0.997025623306309,"gpath_quartile_numeric"
"9","AGRN","Exc L4-5 RORB IL1RAPL2",-0.0148926744669849,4.65990402133673,0.100455150976328,0.751648465945217,0.927276256561079,0.927276256561079,"gpath_quartile_numeric"
"10","C1orf159","Exc L4-5 RORB IL1RAPL2",0.0041747036219113,5.3207950522423,0.0273257489030458,0.86888792367658,0.974483392919345,0.974483392919345,"gpath_quartile_numeric"
"11","TNFRSF18","Exc L4-5 RORB IL1RAPL2",-0.0945892850219452,0.466997684115647,0.614883184057912,0.433977500660581,0.749656975513712,0.749656975513712,"gpath_quartile_numeric"
