"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","ACAP3","Inh L6 SST NPY",0.239342022502266,6.88653879041451,0.629543630236056,0.439605938661817,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"2","CCNL2","Inh L6 SST NPY",0.196290900496344,6.70595266564795,0.328911864802873,0.574600620620212,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"3","GNB1","Inh L6 SST NPY",0.0700308473656675,8.14653738448809,0.0904613205520593,0.767623589962789,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"4","PRKCZ","Inh L6 SST NPY",0.0438411849569814,7.12001308252623,0.0233280713470665,0.880594968833094,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"5","SKI","Inh L6 SST NPY",0.269797626672176,6.78209904656277,0.531598365123495,0.476904799882175,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"6","AJAP1","Inh L6 SST NPY",-0.305054919741801,6.73983087937736,0.891922292866368,0.359573841589767,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"7","KCNAB2","Inh L6 SST NPY",0.156820942323207,7.11383554061827,0.25545756535658,0.620431913834158,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"8","CHD5","Inh L6 SST NPY",0.150285827023275,7.69236830307893,0.386443484725904,0.543290115684379,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"9","ACOT7","Inh L6 SST NPY",0.384635604881149,6.71292321302867,1.30415668073689,0.270942494240766,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"10","CAMTA1","Inh L6 SST NPY",0.0643399799809161,9.77868296989572,0.100762468037764,0.755189851617786,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"11","PER3","Inh L6 SST NPY",0.125738787322967,6.82485939041943,0.0614278520547445,0.807535322731377,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"12","RERE","Inh L6 SST NPY",0.0704301014794596,9.67697408509726,0.108906249043269,0.745849857235719,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"13","ENO1","Inh L6 SST NPY",0.457649425041127,6.44637063969241,0.580422304482126,0.457683884549968,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"14","CLSTN1","Inh L6 SST NPY",0.0112033445340725,8.41498341895828,0.00166784618383352,0.967950053801686,0.998128355771308,0.998128355771308,"gpath_quartile_numeric"
"15","UBE4B","Inh L6 SST NPY",-0.174680128638176,8.03261198858325,0.427994017799157,0.522648405292258,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"16","KIF1B","Inh L6 SST NPY",-0.0405248417467431,9.59490206217334,0.0421592056308841,0.840012435324083,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"17","PGD","Inh L6 SST NPY",0.240743539408757,6.15904225270128,0.118309080771135,0.73553828200192,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"18","PEX14","Inh L6 SST NPY",0.0611639290533003,7.42921724970399,0.0420623326862372,0.840193622618644,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"19","VPS13D","Inh L6 SST NPY",-0.710218330090525,8.33652238296359,6.6086795156903,0.0210072936530978,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"20","PRDM2","Inh L6 SST NPY",0.549107789435577,7.72042398505273,2.78371393530872,0.115474730953947,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"21","KAZN","Inh L6 SST NPY",0.0964627815510762,11.7414058479193,0.148115142788825,0.705618699867814,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"22","SPEN","Inh L6 SST NPY",-0.342749921433391,6.76162618612858,0.986087705347382,0.336084172938904,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"23","FBXO42","Inh L6 SST NPY",0.244911256555375,7.54707117629759,0.66406983730466,0.42757940618582,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"24","CROCC","Inh L6 SST NPY",-0.295596618056302,6.8345695486566,0.893554734947697,0.359146646799559,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"25","ATP13A2","Inh L6 SST NPY",-0.492754855533421,7.22370867769088,2.34321919351751,0.146158604470119,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"26","UBR4","Inh L6 SST NPY",-0.791166697691598,7.14028873467852,6.95596533155976,0.0183766482325803,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"27","CAPZB","Inh L6 SST NPY",0.0677002825512609,7.55531158838983,0.0861249742784527,0.773089734342863,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"28","NBL1","Inh L6 SST NPY",0.143557886443977,6.57265849611108,0.103292551919645,0.752244656578471,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"29","CAMK2N1","Inh L6 SST NPY",-0.020098255495691,7.54840585468983,0.00505019264761748,0.944263116708659,0.998128355771308,0.998128355771308,"gpath_quartile_numeric"
"30","HP1BP3","Inh L6 SST NPY",-0.151817395821798,7.28641235380641,0.242381853286692,0.629452180602481,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"31","EIF4G3","Inh L6 SST NPY",-0.244564599317095,9.4964019712326,1.77412499278554,0.202296148522265,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"32","ECE1","Inh L6 SST NPY",-0.289682691048738,6.65173940052914,0.356650601061908,0.559072000006821,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"33","RAP1GAP","Inh L6 SST NPY",-0.745193236465036,7.54945261496467,5.59534949265052,0.0315516758322452,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"34","USP48","Inh L6 SST NPY",-0.202577496164588,6.91575825151847,0.499499340505909,0.490301618195127,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"35","CDC42","Inh L6 SST NPY",0.236784792259264,6.99532010291591,0.73800063852814,0.410903817146227,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"36","KDM1A","Inh L6 SST NPY",0.101158660001672,6.98149103851233,0.11688501142618,0.737069681527092,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"37","LUZP1","Inh L6 SST NPY",-0.308771960340774,7.67650573539286,1.43476158196988,0.299105277993726,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"38","SRSF10","Inh L6 SST NPY",-0.286534596380049,6.487675301929,0.550421274778373,0.469336756052441,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"39","RSRP1","Inh L6 SST NPY",-0.00972743481969759,7.75164294464817,0.000947562291908942,0.975839344762164,0.998128355771308,0.998128355771308,"gpath_quartile_numeric"
"40","MACO1","Inh L6 SST NPY",-0.378440729831388,7.07210786152613,1.52360372987973,0.235623237722453,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"41","STMN1","Inh L6 SST NPY",-0.24727038702786,7.44135541063561,0.661880353868698,0.428326411193846,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"42","ARID1A","Inh L6 SST NPY",-0.18287330220641,6.99169420849443,0.224238004126049,0.642488452111626,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"43","WDTC1","Inh L6 SST NPY",0.474374075681856,6.01813289521536,0.6336599398454,0.43814382813803,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"44","STX12","Inh L6 SST NPY",0.368896668810127,7.52069237072963,1.74578523331644,0.2057486495231,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"45","EYA3","Inh L6 SST NPY",-0.216500852729808,6.81928912707188,0.40514903990455,0.533811561594438,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"46","ATP5IF1","Inh L6 SST NPY",0.207382977099709,6.43663394038347,0.239975051226956,0.631145636079197,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"47","PHACTR4","Inh L6 SST NPY",0.161746542913965,7.2076072765944,0.326049707326834,0.576252603289431,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"48","SRSF4","Inh L6 SST NPY",-0.351636087827796,6.93845110156705,1.45215186884785,0.246417802743307,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"49","PUM1","Inh L6 SST NPY",-0.233514967185002,7.53587692221506,0.50197929314182,0.489243531017692,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"50","ZCCHC17","Inh L6 SST NPY",0.564394513116294,6.87644175371553,2.38391332062312,0.142936467051177,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"51","KHDRBS1","Inh L6 SST NPY",-0.103555511261223,7.09727066677144,0.101507244406725,0.754318667100485,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"52","KPNA6","Inh L6 SST NPY",-0.226848131550355,6.97026528894258,0.469530811488146,0.503411691395177,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"53","ZBTB8OS","Inh L6 SST NPY",0.0206577584862775,7.35947429430788,0.00476259034944814,0.945870692137344,0.998128355771308,0.998128355771308,"gpath_quartile_numeric"
"54","YARS","Inh L6 SST NPY",-0.0248269501258903,6.4175518666277,0.00273463489178995,0.958968558724498,0.998128355771308,0.998128355771308,"gpath_quartile_numeric"
"55","PHC2","Inh L6 SST NPY",-0.117715395767749,6.76463134242269,0.120074629789752,0.733653994721636,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
"56","CSMD2","Inh L6 SST NPY",-0.14495745840668,9.08357663805964,0.520789180051027,0.481345129457507,0.995155833223473,0.995155833223473,"gpath_quartile_numeric"
