"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP THSD7B",-0.18982144924194,5.50188435059859,3.67195739813115,0.0572182672661205,0.719070049384932,0.719070049384932,"gpath_quartile_numeric"
"2","NOC2L","Inh VIP THSD7B",-0.0196707418220305,4.90766768364741,0.030935177308139,0.860619961461421,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"3","HES4","Inh VIP THSD7B",0.134521944830369,4.83284217002701,1.11296496371848,0.293117849666801,0.891633828463281,0.891633828463281,"gpath_quartile_numeric"
"4","C1orf159","Inh VIP THSD7B",0.0206409886657116,5.64574296907899,0.0516083127079463,0.820594221613807,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"5","SDF4","Inh VIP THSD7B",-0.0162611366012095,5.72373364605784,0.0310132125050416,0.860446095586186,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"6","UBE2J2","Inh VIP THSD7B",0.0814232251760046,5.30674473865024,0.68934177032237,0.407694806230859,0.932950848504806,0.932950848504806,"gpath_quartile_numeric"
"7","ACAP3","Inh VIP THSD7B",0.00772167435783276,6.31114403385996,0.0103498974566768,0.919101983475435,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"8","INTS11","Inh VIP THSD7B",0.0751445747632553,5.64231994617699,0.689151015631083,0.407759545410836,0.932950848504806,0.932950848504806,"gpath_quartile_numeric"
"9","DVL1","Inh VIP THSD7B",-0.0311834622877205,4.95522505247104,0.0702786071416401,0.911259005774054,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"10","AURKAIP1","Inh VIP THSD7B",-0.0606496082297702,4.37475884051675,0.122057489013099,0.727298738942832,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"11","CCNL2","Inh VIP THSD7B",0.101633423149491,6.17162197656882,1.98300001215838,0.198802775143943,0.85228332700397,0.85228332700397,"gpath_quartile_numeric"
"12","MRPL20","Inh VIP THSD7B",-0.145235071685716,4.92737160036471,1.05146832759325,0.306803637037637,0.896230304190009,0.896230304190009,"gpath_quartile_numeric"
"13","ATAD3B","Inh VIP THSD7B",0.203419407772422,4.8479095006149,2.55550518692981,0.111994196621659,0.788480662632351,0.788480662632351,"gpath_quartile_numeric"
"14","ATAD3A","Inh VIP THSD7B",0.0294657403934341,4.39790214535685,0.0349150275203764,0.852023819260409,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"15","SSU72","Inh VIP THSD7B",-0.179157313563969,5.45324583040665,3.34131476439458,0.0695278598946955,0.735916989278924,0.735916989278924,"gpath_quartile_numeric"
"16","MIB2","Inh VIP THSD7B",0.091258075039344,5.37879562690688,0.819647996746287,0.366720636757753,0.917579785518156,0.917579785518156,"gpath_quartile_numeric"
"17","CDK11B","Inh VIP THSD7B",0.0678965947030403,5.1422033967415,0.386095679588545,0.535292681178032,0.971100559589809,0.971100559589809,"gpath_quartile_numeric"
"18","SLC35E2B","Inh VIP THSD7B",-0.0115139205368037,5.09218490096555,0.00911364638897709,0.924071313068401,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"19","CDK11A","Inh VIP THSD7B",0.0969012352787919,4.57125410973675,0.37512972840952,0.541139539408002,0.972606282212434,0.972606282212434,"gpath_quartile_numeric"
"20","SLC35E2A","Inh VIP THSD7B",0.0104381507700161,4.99257732364772,0.00702264329810753,0.933325112961636,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
"21","GNB1","Inh VIP THSD7B",-0.0947003296138448,7.61963948238733,4.00551199087128,0.047137375077962,0.699791063454485,0.699791063454485,"gpath_quartile_numeric"
"22","PRKCZ","Inh VIP THSD7B",0.0250086301391265,6.63231087856741,0.166041706305022,0.70832617926857,0.999490915608768,0.999490915608768,"gpath_quartile_numeric"
