"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Oli",0.061504309454245,2.76905103315332,0.281053861351348,0.596297301688671,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"2","AL669831.5","Oli",-0.0183827072295627,4.96234640212564,0.0668651839223221,0.796086290168902,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"3","LINC00115","Oli",-0.0912747558553496,1.42865209493867,0.25874591077948,0.611255698506658,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"4","NOC2L","Oli",-0.0543324994722862,4.6029947237732,0.612819425115014,0.434178569501176,0.999507686965664,0.999507686965664,"headinjrloc_bl"
"5","KLHL17","Oli",-0.0294161354526869,1.86475384563105,0.0399060732850252,0.841763036855846,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"6","HES4","Oli",-0.391476604857398,1.68716462296888,3.01733982632291,0.0831269013418683,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"7","ISG15","Oli",-0.483155162510404,1.21438284065532,3.70323381623742,0.0549964894098512,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"8","AGRN","Oli",0.196406888558988,5.22383311922926,4.96375183048602,0.026423959129766,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"9","C1orf159","Oli",0.103366582662565,5.26819231685596,1.78265890390261,0.182561434715485,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"10","TNFRSF18","Oli",-0.109919622091409,-0.345073177557402,0.171297571520945,0.679176847581514,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"11","SDF4","Oli",-0.0304812962110203,5.03116703709439,0.305028121185126,0.581047173716311,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"12","B3GALT6","Oli",-0.0978262300554823,2.44913679563806,0.788617633592931,0.375037314247969,0.998247410294343,0.998247410294343,"headinjrloc_bl"
"13","UBE2J2","Oli",0.0442397674660435,5.23871547021062,0.961395147136944,0.327411833122614,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"14","LINC01786","Oli",-0.0133334513825382,1.78976889788983,0.011615038268172,0.954754740881858,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"15","SCNN1D","Oli",0.0629329834591762,3.24490392136481,0.330777352194326,0.56551609730354,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"16","ACAP3","Oli",0.0843708801474489,6.76042870024083,1.23984136375967,0.266151733471869,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"17","PUSL1","Oli",-0.100171569081478,1.68461370670738,0.628246985798814,0.548608584425789,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"18","INTS11","Oli",0.0316155556802037,5.82387320841522,0.44186609035474,0.708892408722318,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"19","CPTP","Oli",-0.0337387722017825,2.52110892433771,0.0903929510494307,0.763830062426637,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"20","DVL1","Oli",-0.0228221581029659,4.61131984610375,0.12939490765517,0.719244811629893,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"21","AURKAIP1","Oli",-0.193503619979911,4.52696401750671,2.00151713313871,0.15789822955655,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"22","CCNL2","Oli",0.0495566875997171,6.5006633646063,0.930278596727701,0.335357110653208,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"23","MRPL20","Oli",-0.0826951286179678,4.97173836207214,1.25151541195063,0.263915979245971,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"24","AL391244.3","Oli",0.100981398108636,1.80063254952504,0.985889038321843,0.348077498707865,0.997313458272203,0.997313458272203,"headinjrloc_bl"
"25","ANKRD65","Oli",-0.0779292214322732,4.75752691367937,0.542536749341191,0.461803093042426,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"26","TMEM88B","Oli",-0.026585290828959,1.90500083837377,0.0333382170088555,0.855211581233495,0.999896772505941,0.999896772505941,"headinjrloc_bl"
"27","VWA1","Oli",-0.0966875352920261,6.93163076611373,1.2331675691341,0.267440486170345,0.997313458272203,0.997313458272203,"headinjrloc_bl"
