"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB IL1RAPL2",0.02160367011733,3.00029222442252,0.0757949020568924,0.78323317470696,1,1,"heart_bl"
"2","AL669831.5","Exc L4-5 RORB IL1RAPL2",-0.0371619143106907,5.70990057412207,0.448538468766339,0.503448769298006,1,1,"heart_bl"
"3","LINC00115","Exc L4-5 RORB IL1RAPL2",0.234663309885133,0.426196117085291,3.36991726600398,0.0672017655401939,1,1,"heart_bl"
"4","NOC2L","Exc L4-5 RORB IL1RAPL2",-0.0126443510658609,4.74355288267821,0.0611100072374621,0.804887561065017,1,1,"heart_bl"
"5","KLHL17","Exc L4-5 RORB IL1RAPL2",-0.0375420071042252,2.77781634292508,0.24354718871185,0.621949450219363,1,1,"heart_bl"
"6","HES4","Exc L4-5 RORB IL1RAPL2",0.162614052807403,3.40998318397967,1.26314459365363,0.26178745770521,1,1,"heart_bl"
"7","ISG15","Exc L4-5 RORB IL1RAPL2",0.199257039825933,1.36002281022285,1.5685286864349,0.211214135439721,1,1,"heart_bl"
"8","AGRN","Exc L4-5 RORB IL1RAPL2",0.0391342778331073,4.6019715549655,0.28513327742476,0.593677845261791,1,1,"heart_bl"
"9","C1orf159","Exc L4-5 RORB IL1RAPL2",0.0159749132998305,5.31713833936041,0.115096144300833,0.734608238567335,1,1,"heart_bl"
"10","TNFRSF18","Exc L4-5 RORB IL1RAPL2",0.0851693602875842,0.399460877379529,0.3723717118925,0.542090004874267,1,1,"heart_bl"
"11","TNFRSF4","Exc L4-5 RORB IL1RAPL2",0.174367246292388,1.45302867667726,1.99741273086307,0.158411116782963,1,1,"heart_bl"
"12","SDF4","Exc L4-5 RORB IL1RAPL2",0.045512873643484,4.98502958753873,1.27159432951939,0.260200629593557,1,1,"heart_bl"
"13","B3GALT6","Exc L4-5 RORB IL1RAPL2",0.00178207471324515,2.645856277634,0.000466767406472716,0.982774884065474,1,1,"heart_bl"
"14","C1QTNF12","Exc L4-5 RORB IL1RAPL2",0.132358810656625,-0.169736119463039,0.960916984408697,0.327598324991058,1,1,"heart_bl"
"15","UBE2J2","Exc L4-5 RORB IL1RAPL2",-0.00494425567471388,4.7648037930042,0.0238083522281797,0.957239340488709,1,1,"heart_bl"
"16","LINC01786","Exc L4-5 RORB IL1RAPL2",0.12070754458265,2.03419457044016,2.04378315791857,0.153675383369638,1,1,"heart_bl"
"17","SCNN1D","Exc L4-5 RORB IL1RAPL2",0.0779333303004445,3.00435720025169,1.13154894715476,0.288140930797554,1,1,"heart_bl"
"18","ACAP3","Exc L4-5 RORB IL1RAPL2",0.0305012189429566,6.37108527528569,0.282981199378601,0.59507404055087,1,1,"heart_bl"
"19","PUSL1","Exc L4-5 RORB IL1RAPL2",-0.0490540713951049,1.60839973299253,0.352781030300773,0.552907070178882,1,1,"heart_bl"
"20","INTS11","Exc L4-5 RORB IL1RAPL2",0.0325583179986236,5.15894875070558,0.791520339309737,0.374220555730711,1,1,"heart_bl"
"21","CPTP","Exc L4-5 RORB IL1RAPL2",-0.0907885424462077,2.82750419844959,1.25915047268459,0.262541725620638,1,1,"heart_bl"
"22","DVL1","Exc L4-5 RORB IL1RAPL2",-0.0120583461942711,4.24770645726681,0.0624961714502174,0.802732414247144,1,1,"heart_bl"
"23","AURKAIP1","Exc L4-5 RORB IL1RAPL2",-0.0811387018546438,4.20883625976362,0.516367235444099,0.472850288884972,1,1,"heart_bl"
"24","CCNL2","Exc L4-5 RORB IL1RAPL2",0.0281667058518072,5.80106137601125,1.07884316912546,0.299636739302136,1,1,"heart_bl"
"25","MRPL20","Exc L4-5 RORB IL1RAPL2",0.0246533779743957,4.67625402605285,0.115803094135698,0.733825394828624,1,1,"heart_bl"
"26","AL391244.3","Exc L4-5 RORB IL1RAPL2",-0.0444468084986037,0.828885040811032,0.286004242926356,0.963539755563634,1,1,"heart_bl"
"27","ANKRD65","Exc L4-5 RORB IL1RAPL2",-0.0456062187488288,3.00242987941098,0.160531255274259,0.688899797189425,1,1,"heart_bl"
"28","VWA1","Exc L4-5 RORB IL1RAPL2",-0.103556174025409,1.14874104719133,1.09683866808673,0.295646568997585,1,1,"heart_bl"
"29","ATAD3C","Exc L4-5 RORB IL1RAPL2",0.0655255352147052,2.15430661440011,0.322119266857799,0.570682019789369,1,1,"heart_bl"
"30","ATAD3B","Exc L4-5 RORB IL1RAPL2",0.0258651207478827,4.37955741619019,0.240433552644137,0.624184640671335,1,1,"heart_bl"
"31","ATAD3A","Exc L4-5 RORB IL1RAPL2",-0.0250682961681348,3.82149428747725,0.386136146655908,0.82202954527975,1,1,"heart_bl"
"32","TMEM240","Exc L4-5 RORB IL1RAPL2",0.0753893683960561,2.37017681169843,0.727492121753878,0.394250690224006,1,1,"heart_bl"
"33","SSU72","Exc L4-5 RORB IL1RAPL2",-0.0679039754357897,5.71160829840471,0.83519888274578,0.361370379150501,1,1,"heart_bl"
"34","AL645728.1","Exc L4-5 RORB IL1RAPL2",0.0976565118719791,1.86197491204527,1.16161562702138,0.28183492592984,1,1,"heart_bl"
"35","FNDC10","Exc L4-5 RORB IL1RAPL2",0.0156036555872754,3.42305294877737,0.0293064750505825,0.864167169231264,1,1,"heart_bl"
"36","AL691432.2","Exc L4-5 RORB IL1RAPL2",-0.0523577587893449,3.02949211302611,0.584029738388651,0.445225604578826,1,1,"heart_bl"
"37","MIB2","Exc L4-5 RORB IL1RAPL2",0.0579507410366744,5.22534775271116,2.15112105684154,0.143317694383401,1,1,"heart_bl"
"38","MMP23B","Exc L4-5 RORB IL1RAPL2",-0.0357124693251969,1.38953559950312,0.139946110629899,0.708549496500913,1,1,"heart_bl"
"39","CDK11B","Exc L4-5 RORB IL1RAPL2",0.0299102877879944,4.87953060298313,0.543812297902745,0.461325810143334,1,1,"heart_bl"
"40","FO704657.1","Exc L4-5 RORB IL1RAPL2",0.017986221160493,0.205166603194838,0.024494965292367,0.875717690110621,1,1,"heart_bl"
"41","SLC35E2B","Exc L4-5 RORB IL1RAPL2",0.0228109738655526,4.60575494483551,0.28976962975619,0.590692805314723,1,1,"heart_bl"
"42","CDK11A","Exc L4-5 RORB IL1RAPL2",0.005371097175868,4.00396732061816,0.0066601534737654,0.935001292576102,1,1,"heart_bl"
"43","SLC35E2A","Exc L4-5 RORB IL1RAPL2",-0.0162411116849676,4.61705391860308,0.0839581387489279,0.772166216744413,1,1,"heart_bl"
"44","NADK","Exc L4-5 RORB IL1RAPL2",-0.0175754405392292,3.98800131353361,0.260935406766669,0.609783771958363,1,1,"heart_bl"
"45","GNB1","Exc L4-5 RORB IL1RAPL2",-0.0454305125918011,7.78959961241047,3.04819329261685,0.0816594077740475,1,1,"heart_bl"
"46","AL109917.1","Exc L4-5 RORB IL1RAPL2",-0.0161354827291651,-0.302920172252293,0.0107287593364619,0.917559160224595,1,1,"heart_bl"
"47","TMEM52","Exc L4-5 RORB IL1RAPL2",-0.0130873013760998,0.206188289956351,0.0100382249066343,0.920247158785256,1,1,"heart_bl"
