"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ALCAM TRPM3",-0.0384409887633174,5.37687550666832,0.191956340561288,0.66158971987277,0.999732070034972,1,"heart_bl"
"2","NOC2L","Inh ALCAM TRPM3",-0.0595490296219887,4.8923406133692,0.42120494662881,0.516803147069073,0.999732070034972,1,"heart_bl"
"3","HES4","Inh ALCAM TRPM3",0.0703596350786704,4.52661516128781,0.263398428302921,0.608150012866191,0.999732070034972,1,"heart_bl"
"4","C1orf159","Inh ALCAM TRPM3",-0.0290923225005656,5.53991766549823,0.11525312071708,0.734464291999299,0.999732070034972,1,"heart_bl"
"5","SDF4","Inh ALCAM TRPM3",0.0708984744604139,5.50810938458959,0.870179964812134,0.35161064420129,0.999732070034972,1,"heart_bl"
"6","UBE2J2","Inh ALCAM TRPM3",-0.0540861634799584,5.20567621689097,0.450754851293508,0.502462340045408,0.999732070034972,1,"heart_bl"
"7","ACAP3","Inh ALCAM TRPM3",0.0412846150714165,6.15777867285695,0.270799265104008,0.603156915268698,0.999732070034972,1,"heart_bl"
"8","INTS11","Inh ALCAM TRPM3",0.0787799537288442,5.58078370480872,1.16179758893979,0.281907039277636,0.999732070034972,1,"heart_bl"
"9","DVL1","Inh ALCAM TRPM3",-0.02981837890737,4.58821604621266,0.0840219084209888,0.777927074875884,0.999732070034972,1,"heart_bl"
"10","AURKAIP1","Inh ALCAM TRPM3",-0.0411446157938279,4.41142310414654,0.0756897725634786,0.783403798955433,0.999732070034972,1,"heart_bl"
"11","CCNL2","Inh ALCAM TRPM3",0.0511988463557668,5.91957808953168,0.656564906758731,0.418379043849668,0.999732070034972,1,"heart_bl"
"12","MRPL20","Inh ALCAM TRPM3",0.216007085145901,4.85630364706669,4.57891391708289,0.0331257229038057,0.999732070034972,1,"heart_bl"
"13","ATAD3B","Inh ALCAM TRPM3",-0.065784648256841,4.67954717725022,0.385541940903052,0.535095279661345,0.999732070034972,1,"heart_bl"
"14","ATAD3A","Inh ALCAM TRPM3",0.0425508753110669,4.21177344395342,0.136855705729243,0.711672454398693,0.999732070034972,1,"heart_bl"
"15","SSU72","Inh ALCAM TRPM3",0.000534041741820958,5.4280767525427,2.62417344779581e-05,0.9959159200445,0.999732070034972,1,"heart_bl"
"16","FNDC10","Inh ALCAM TRPM3",-0.0928687477768344,4.12662642503634,0.375390926421165,0.540516624094363,0.999732070034972,1,"heart_bl"
"17","MIB2","Inh ALCAM TRPM3",0.158008114061071,5.17975701637502,3.748852195279,0.0537264769229047,0.999732070034972,1,"heart_bl"
"18","CDK11B","Inh ALCAM TRPM3",0.0552822849087508,4.86546327153317,0.388649960141568,0.533455157069474,0.999732070034972,1,"heart_bl"
"19","SLC35E2B","Inh ALCAM TRPM3",0.0247998109468532,4.98919125036856,0.0761178990264751,0.782807480079502,0.999732070034972,1,"heart_bl"
"20","CDK11A","Inh ALCAM TRPM3",0.126024716551417,4.27586634937424,0.871121856582552,0.351350475363286,0.999732070034972,1,"heart_bl"
"21","SLC35E2A","Inh ALCAM TRPM3",-0.0502214526403863,4.95621400863978,0.282672676305501,0.595324635117045,0.999732070034972,1,"heart_bl"
"22","NADK","Inh ALCAM TRPM3",-0.180494534765288,4.3881096261002,2.8793592743592,0.0906966634723723,0.999732070034972,1,"heart_bl"
"23","GNB1","Inh ALCAM TRPM3",-0.0170187792132972,7.70377045345764,0.186096312233431,0.666476922312818,0.999732070034972,1,"heart_bl"
"24","PRKCZ","Inh ALCAM TRPM3",0.0120880414015588,6.56351968152961,0.0546822788490385,0.815257236988577,0.999732070034972,1,"heart_bl"
"25","FAAP20","Inh ALCAM TRPM3",-0.116684302622042,4.60569973742473,0.990701281039691,0.320325061626623,0.999732070034972,1,"heart_bl"
"26","SKI","Inh ALCAM TRPM3",0.0663047381160754,6.16402962833719,1.03311658842325,0.310197686759532,0.999732070034972,1,"heart_bl"
"27","MORN1","Inh ALCAM TRPM3",0.0537798013709562,4.33600409601878,0.219592119128554,0.639670775987742,0.999732070034972,1,"heart_bl"
"28","RER1","Inh ALCAM TRPM3",0.0716119192404964,4.88644186579091,0.764110636805416,0.382702439040082,0.999732070034972,1,"heart_bl"
"29","TPRG1L","Inh ALCAM TRPM3",-0.007679334929571,4.69200137433694,0.00405614024996431,0.949258661141422,0.999732070034972,1,"heart_bl"
"30","LRRC47","Inh ALCAM TRPM3",-0.0572503382274992,4.51593610058965,0.249392727390486,0.617847075218221,0.999732070034972,1,"heart_bl"
"31","CEP104","Inh ALCAM TRPM3",-0.0238994030143045,5.64550629536584,0.144109167395476,0.96629500987092,0.999732070034972,1,"heart_bl"
"32","DFFB","Inh ALCAM TRPM3",-0.130275270096321,4.81656935840648,2.04932687458131,0.153252014268916,0.999732070034972,1,"heart_bl"
"33","AJAP1","Inh ALCAM TRPM3",-0.0165849487428659,5.89636845694614,0.0375974220811447,0.846377107037067,0.999732070034972,1,"heart_bl"
"34","NPHP4","Inh ALCAM TRPM3",0.0114392669394948,5.4386351222096,0.0209997002100592,0.884871242272266,0.999732070034972,1,"heart_bl"
"35","KCNAB2","Inh ALCAM TRPM3",0.0168108610643338,5.98004941651929,0.0653080104110429,0.798459611474164,0.999732070034972,1,"heart_bl"
"36","CHD5","Inh ALCAM TRPM3",0.0555030699794072,7.02845993324194,0.710598188168325,0.399876595173279,0.999732070034972,1,"heart_bl"
