"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",0.0437386727412591,5.39705697377482,0.548642072404092,0.459882209552869,0.961018390881443,0.999998481250569,"lifetime_cogact_freq_bl"
"2","NOC2L","Inh LAMP5 NRG1 (Rosehip)",-0.0575613949842162,4.49121240659315,0.50997390838519,0.47611733221668,0.964230296056078,0.999998481250569,"lifetime_cogact_freq_bl"
"3","KLHL17","Inh LAMP5 NRG1 (Rosehip)",0.132089417776153,2.92756128539201,0.717499477114994,0.398141435698337,0.949232649981432,0.999998481250569,"lifetime_cogact_freq_bl"
"4","HES4","Inh LAMP5 NRG1 (Rosehip)",-0.155220797758455,5.06028770393203,2.34732024170114,0.127334276446469,0.86133540609915,0.976041755484302,"lifetime_cogact_freq_bl"
"5","ISG15","Inh LAMP5 NRG1 (Rosehip)",-0.118756858574014,3.2809005102744,0.651022501711119,0.420860712186669,0.952702645839772,0.999998481250569,"lifetime_cogact_freq_bl"
"6","AGRN","Inh LAMP5 NRG1 (Rosehip)",-0.0513964107279265,3.48955042091401,0.182875015656692,0.669448525754196,0.999148908171465,0.999998481250569,"lifetime_cogact_freq_bl"
"7","C1orf159","Inh LAMP5 NRG1 (Rosehip)",-0.0282305011489427,5.34072466289106,0.166286660010285,0.68393998097308,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"8","SDF4","Inh LAMP5 NRG1 (Rosehip)",0.0127807416963981,5.60588991687663,0.04354085686982,0.83495688453344,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"9","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",-0.246416500971414,3.33337416156386,4.44599509197619,0.0364303342518665,0.804631397649294,0.94279084152276,"lifetime_cogact_freq_bl"
"10","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",0.038790357461545,5.12298086548077,0.429266306373973,0.513223752575664,0.969149291240762,0.999998481250569,"lifetime_cogact_freq_bl"
"11","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",0.0664535729235041,3.4950867087843,0.34062292266936,0.560233792917878,0.980512144915025,0.999998481250569,"lifetime_cogact_freq_bl"
"12","ACAP3","Inh LAMP5 NRG1 (Rosehip)",0.0265393832553495,6.15347486148074,0.212090573983175,0.645714981213837,0.993556520991323,0.999998481250569,"lifetime_cogact_freq_bl"
"13","INTS11","Inh LAMP5 NRG1 (Rosehip)",0.0527809948387807,5.41182441189305,1.06108836370825,0.304412216114376,0.92776140555076,0.998789331551138,"lifetime_cogact_freq_bl"
"14","CPTP","Inh LAMP5 NRG1 (Rosehip)",-0.0550044135578355,3.22390711851737,0.174814551226707,0.676389037274957,0.99944334423101,0.999998481250569,"lifetime_cogact_freq_bl"
"15","DVL1","Inh LAMP5 NRG1 (Rosehip)",0.00896708150485721,4.34841994311997,0.0153622024923293,0.901503939979673,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"16","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",-0.230282616779963,4.16193962316791,4.37854326681314,0.037860675584322,0.804631397649294,0.944449115322608,"lifetime_cogact_freq_bl"
"17","CCNL2","Inh LAMP5 NRG1 (Rosehip)",0.00652227563374272,6.09503958550146,0.0278476299480756,0.867663404115063,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"18","MRPL20","Inh LAMP5 NRG1 (Rosehip)",0.00877065258837521,4.77822203456373,0.0129307461498233,0.909597470679853,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"19","ATAD3B","Inh LAMP5 NRG1 (Rosehip)",0.0632795947890022,4.38826835749291,0.672757193829469,0.421380749870935,0.952702645839772,0.999998481250569,"lifetime_cogact_freq_bl"
"20","ATAD3A","Inh LAMP5 NRG1 (Rosehip)",0.0652618884468928,3.81407708355708,0.664895883783922,0.415963581144465,0.952238047943275,0.999998481250569,"lifetime_cogact_freq_bl"
"21","TMEM240","Inh LAMP5 NRG1 (Rosehip)",-0.407331211544409,2.59372627361552,6.2257244815819,0.0135327135641038,0.799438098020233,0.917223365414755,"lifetime_cogact_freq_bl"
"22","SSU72","Inh LAMP5 NRG1 (Rosehip)",-0.191358336992223,5.38602584378361,6.65634690497362,0.0107149111842722,0.799438098020233,0.917223365414755,"lifetime_cogact_freq_bl"
"23","FNDC10","Inh LAMP5 NRG1 (Rosehip)",-0.106495204492289,3.76915239998047,0.946184854682334,0.332057154169666,0.935925810882334,0.999998481250569,"lifetime_cogact_freq_bl"
"24","AL691432.2","Inh LAMP5 NRG1 (Rosehip)",0.00119487948131875,3.13107072485894,7.24173042014226e-05,0.993220069345027,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
"25","MIB2","Inh LAMP5 NRG1 (Rosehip)",0.0412984170441104,5.01091979488578,0.405282231710916,0.525219449740837,0.972598009135252,0.999998481250569,"lifetime_cogact_freq_bl"
"26","MMP23B","Inh LAMP5 NRG1 (Rosehip)",-0.0363405887941904,3.17284906709797,0.084833158689317,0.771202117124662,0.99967805718721,0.999998481250569,"lifetime_cogact_freq_bl"
