"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",0.0236568455223215,2.36808290694338,0.0575864363702273,0.944914753363525,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"2","AL669831.5","OPC",0.109677677395944,4.99127390977623,5.30324639610245,0.0225261264075618,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"3","NOC2L","OPC",0.00460107089127297,4.44946809161991,0.00703855697784045,0.933240074768485,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"4","KLHL17","OPC",0.132843677290846,2.1610684703275,1.33299076746869,0.249932442410672,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"5","HES4","OPC",-0.148386782183998,2.31111956585374,1.03794363658273,0.309782040794395,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"6","ISG15","OPC",-0.0178598610801186,3.43221594196376,0.0128343755993903,0.90993834266285,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"7","AGRN","OPC",0.136125195841711,5.21661963904361,5.50979872194098,0.0200892196483732,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"8","C1orf159","OPC",0.0453528374148829,4.35416318691159,0.587879620183928,0.444328760742269,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"9","SDF4","OPC",-0.0668422012222485,4.76817814392584,2.17043358294918,0.14257933891697,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"10","B3GALT6","OPC",-0.208824978392246,2.78190675733341,4.77410798837553,0.030291702901316,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"11","UBE2J2","OPC",-0.0692227169747661,4.82482515576904,2.86666663157582,0.140041860440248,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"12","LINC01786","OPC",-0.0785011882438507,2.82295826200499,0.7849059824132,0.376925917528257,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"13","SCNN1D","OPC",0.000233239759701454,3.99676519647745,1.06550412781784e-05,0.99739946259009,0.999834120698939,0.999834120698939,"lifetime_cogact_freq_bl"
"14","ACAP3","OPC",0.0477532084495849,7.51820639008648,0.696511105897898,0.405157375639147,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
"15","PUSL1","OPC",-0.0370142966225276,1.87380633394215,0.0948562351923672,0.758477852733717,0.999747166344393,0.999747166344393,"lifetime_cogact_freq_bl"
