"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",-0.00201352665135645,3.68343977199186,0.000588601696434688,0.980673593895044,0.998122570903197,0.999993217974181,"ma_adult_cogact_freq"
"2","AL669831.5","Exc L5-6 RORB LINC02196",0.0167851351518078,6.03193428020723,0.128467111817293,0.720484065572882,0.96404847225253,0.988764764007717,"ma_adult_cogact_freq"
"3","NOC2L","Exc L5-6 RORB LINC02196",-0.0664569419926747,4.82491796999347,1.64500282441151,0.201436134132839,0.803305639850601,0.843420041501033,"ma_adult_cogact_freq"
"4","KLHL17","Exc L5-6 RORB LINC02196",0.0888208799957958,3.14503732094295,1.47136547506322,0.226861045819815,0.806843705764032,0.85349795426449,"ma_adult_cogact_freq"
"5","HES4","Exc L5-6 RORB LINC02196",-0.0776963889314117,4.77080766569116,0.908473193338701,0.341911599781102,0.849952518499181,0.896743007671782,"ma_adult_cogact_freq"
"6","ISG15","Exc L5-6 RORB LINC02196",0.069163418486553,2.47071424535562,0.348935412575651,0.555523203730776,0.922358007251291,0.958876066629959,"ma_adult_cogact_freq"
"7","AGRN","Exc L5-6 RORB LINC02196",0.0742563787727892,4.51990134232232,1.52648360273427,0.218394084378602,0.80492526542354,0.850720751574779,"ma_adult_cogact_freq"
"8","C1orf159","Exc L5-6 RORB LINC02196",0.0502850461879775,5.47969564400934,1.26806427398046,0.26176242449311,0.818450315804043,0.866826412340512,"ma_adult_cogact_freq"
"9","SDF4","Exc L5-6 RORB LINC02196",-0.00444628620723748,5.14593222177469,0.0111510285159393,0.916029010272445,0.994438906706948,0.999993217974181,"ma_adult_cogact_freq"
"10","B3GALT6","Exc L5-6 RORB LINC02196",0.0407518945205112,2.94677767124097,0.204086440238921,0.652034633689803,0.950213659722522,0.976584696466297,"ma_adult_cogact_freq"
"11","UBE2J2","Exc L5-6 RORB LINC02196",-0.0222074035894066,4.83747461817135,0.299982168770236,0.651195498911078,0.950213659722522,0.976538042212647,"ma_adult_cogact_freq"
"12","LINC01786","Exc L5-6 RORB LINC02196",0.141610060008509,2.57914318649569,1.68539944119027,0.196017025497159,0.802348803119039,0.841657653563843,"ma_adult_cogact_freq"
"13","SCNN1D","Exc L5-6 RORB LINC02196",-0.0793149824405177,3.2947327594745,0.936890336517419,0.334492986675164,0.845478302238516,0.893974265818824,"ma_adult_cogact_freq"
