"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB HTR4",0.122771201423085,2.65445541228353,2.1137177022834,0.1478649474194,0.693586906840111,1,"ma_adult_cogact_freq"
"2","AL669831.5","Inh PVALB HTR4",0.0704394853411137,5.05082827318118,2.18986633749668,0.14080929354737,0.687707905840429,1,"ma_adult_cogact_freq"
"3","NOC2L","Inh PVALB HTR4",-0.0521383373884689,4.32180501946336,0.90452471277648,0.342948651641428,0.806700774235465,1,"ma_adult_cogact_freq"
"4","KLHL17","Inh PVALB HTR4",0.0224072648785161,2.77297182477352,0.0730624933167589,0.787263344086821,0.972095525906359,1,"ma_adult_cogact_freq"
"5","HES4","Inh PVALB HTR4",-0.154580569653556,3.12865634133363,1.15392785150934,0.284281314178383,0.772813707150767,1,"ma_adult_cogact_freq"
"6","ISG15","Inh PVALB HTR4",-0.253073922312582,1.63917300374575,2.4642824748849,0.118357627345186,0.668898595887258,1,"ma_adult_cogact_freq"
"7","AGRN","Inh PVALB HTR4",0.0969362180418122,2.56474315862132,0.855145280005139,0.356437922902526,0.81230398885357,1,"ma_adult_cogact_freq"
"8","C1orf159","Inh PVALB HTR4",0.00702635218318749,5.21013618440411,0.0198371804376078,0.888162867339514,0.993595749330022,1,"ma_adult_cogact_freq"
"9","SDF4","Inh PVALB HTR4",-0.0438916835839404,5.19031685551637,1.18032516749195,0.27885875301398,0.77216223545153,1,"ma_adult_cogact_freq"
"10","B3GALT6","Inh PVALB HTR4",-0.161136453295047,2.57877620707112,2.78085784430974,0.0972750954578937,0.662900193064014,1,"ma_adult_cogact_freq"
"11","UBE2J2","Inh PVALB HTR4",0.0404891053688955,4.91450876502539,1.26125753756133,0.263028493493753,0.763773114998597,1,"ma_adult_cogact_freq"
"12","LINC01786","Inh PVALB HTR4",0.0489544832209555,2.80667527589355,0.454525012630475,0.501127993718983,0.877950214376423,1,"ma_adult_cogact_freq"
"13","SCNN1D","Inh PVALB HTR4",0.0514384524572998,3.64115144208767,0.508406923606205,0.476826534428935,0.868875958085433,1,"ma_adult_cogact_freq"
"14","ACAP3","Inh PVALB HTR4",0.113588027968641,5.86934335130773,6.58998378585332,0.0111344970862112,0.638993933530814,1,"ma_adult_cogact_freq"
"15","PUSL1","Inh PVALB HTR4",-0.224573130684032,1.96427419700373,4.89980554211238,0.0282175985182642,0.638993933530814,1,"ma_adult_cogact_freq"
"16","INTS11","Inh PVALB HTR4",0.0408035116536412,5.39289896799039,1.03862314026648,0.309619130316406,0.787609012376448,1,"ma_adult_cogact_freq"
"17","CPTP","Inh PVALB HTR4",-0.0765558619651717,2.71955649487388,0.761204324317544,0.384207207256995,0.824670539271023,1,"ma_adult_cogact_freq"
"18","DVL1","Inh PVALB HTR4",-0.101362072922108,3.89484440005891,3.66466876875876,0.0572911392461384,0.638993933530814,1,"ma_adult_cogact_freq"
"19","AURKAIP1","Inh PVALB HTR4",-0.159942831500902,4.00810291729991,3.11591594038146,0.0793624371114232,0.64724575179736,1,"ma_adult_cogact_freq"
"20","CCNL2","Inh PVALB HTR4",-0.0167748929115325,5.76881960914293,0.312813676781937,0.637594641340302,0.92684481843112,1,"ma_adult_cogact_freq"
"21","MRPL20","Inh PVALB HTR4",-0.0456802432181818,4.28533620560561,0.774286366080727,0.380161418338016,0.821175709331295,1,"ma_adult_cogact_freq"
"22","ANKRD65","Inh PVALB HTR4",-0.239037733692116,1.83449127129684,2.80591853500467,0.0957924637138435,0.661820719642384,1,"ma_adult_cogact_freq"
"23","ATAD3B","Inh PVALB HTR4",0.0146149494408095,4.69029698269756,0.0856189310296333,0.770186459414622,0.967998327579015,1,"ma_adult_cogact_freq"
"24","ATAD3A","Inh PVALB HTR4",0.0251339521831163,4.11645519277457,0.344174494892544,0.558223335483752,0.895886674522653,1,"ma_adult_cogact_freq"
"25","TMEM240","Inh PVALB HTR4",-0.134104310785508,1.72238119842711,1.20387481735968,0.274131474842457,0.770231755225365,1,"ma_adult_cogact_freq"
"26","SSU72","Inh PVALB HTR4",-0.111194525640419,5.08045745242564,3.18884670760422,0.0759607860943226,0.638993933530814,1,"ma_adult_cogact_freq"
"27","AL645728.1","Inh PVALB HTR4",-0.0732836568774735,2.09192770813287,0.486846597511926,0.486309701738784,0.871352879881014,1,"ma_adult_cogact_freq"
"28","FNDC10","Inh PVALB HTR4",-0.0369773428262582,3.9988793516892,0.235393982029709,0.628189978315334,0.924398298058126,1,"ma_adult_cogact_freq"
"29","AL691432.2","Inh PVALB HTR4",-0.0737682538389184,2.63236920325862,0.67655324121963,0.41195148989484,0.838143967523276,1,"ma_adult_cogact_freq"
"30","MIB2","Inh PVALB HTR4",0.0359837011356937,4.99056396598915,0.745918926966916,0.389012730814672,0.828942175251962,1,"ma_adult_cogact_freq"
"31","MMP23B","Inh PVALB HTR4",0.13738026168375,2.06638850468529,1.1960247309216,0.275695928403085,0.771888017640179,1,"ma_adult_cogact_freq"
"32","CDK11B","Inh PVALB HTR4",0.026393911106546,4.62358970654616,0.349598700979999,0.555141520933611,0.893522131701614,1,"ma_adult_cogact_freq"
"33","SLC35E2B","Inh PVALB HTR4",-0.00865100928700973,4.73578867048614,0.0371520828710485,0.847390432732615,0.987236636280988,1,"ma_adult_cogact_freq"
"34","CDK11A","Inh PVALB HTR4",0.101642323373472,4.06287991240103,2.62638811565271,0.106991191321141,0.667821856052398,1,"ma_adult_cogact_freq"
"35","SLC35E2A","Inh PVALB HTR4",0.0910290847583702,4.54960056591324,2.6117942019905,0.107963189307824,0.667821856052398,1,"ma_adult_cogact_freq"
"36","NADK","Inh PVALB HTR4",0.00356780194299327,3.73183587944423,0.0048114968675587,0.944782286208045,0.998976932493632,1,"ma_adult_cogact_freq"
"37","GNB1","Inh PVALB HTR4",-0.0316363094720787,7.41584434413943,1.29025792486759,0.257631315050834,0.760562367173777,1,"ma_adult_cogact_freq"
"38","CFAP74","Inh PVALB HTR4",0.107811930320123,5.00320939074073,4.34942081827266,0.0385452861090421,0.638993933530814,1,"ma_adult_cogact_freq"
"39","AL391845.2","Inh PVALB HTR4",0.0144086423301561,2.20626686325564,0.023741895113239,0.877729900189586,0.992364571412558,1,"ma_adult_cogact_freq"
"40","GABRD","Inh PVALB HTR4",-0.0121625873145117,6.79066262824884,0.0797583534641475,0.777975596050245,0.969741390423903,1,"ma_adult_cogact_freq"
"41","PRKCZ","Inh PVALB HTR4",-0.0107464835134256,6.51210148393484,0.179063493259814,0.672724869558773,0.938540599778828,1,"ma_adult_cogact_freq"
