"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",-0.0108174291435503,7.61159837438059,0.00451195860308092,0.946572769746818,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"2","HES4","Per",-0.0748923593539876,10.2757684132462,0.435047286566039,0.510961683900737,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"3","ISG15","Per",0.342130973557898,7.06139195048904,2.95003953578397,0.0888130045848901,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"4","AGRN","Per",0.052253109249051,8.8654458673365,0.272748934690229,0.602589917275587,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"5","GNB1","Per",0.00855352224085977,8.93396779465407,0.0188043294682324,0.975675511237506,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"6","SKI","Per",0.0415747785853102,7.77166084159385,0.163052140076634,0.882908678977005,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"7","CAMTA1","Per",-0.120408772932192,8.76466079711028,2.25668661135517,0.136029409376831,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"8","PER3","Per",0.0706499903883054,7.68030128685482,0.190575634226487,0.663331166145001,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"9","RERE","Per",-0.0303767756710241,9.43092487674977,0.25101654659468,0.617405212075347,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"10","PIK3CD","Per",0.171351668283637,8.15840963534087,1.4830287521235,0.2260212330669,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"11","CLSTN1","Per",0.121791834451435,8.13396224947091,1.78848470739603,0.183990560853205,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"12","UBE4B","Per",0.198160791266808,8.2176808997235,5.15884911858221,0.0251606774074174,0.968030250880106,0.99985283789141,"ma_adult_cogact_freq"
"13","KIF1B","Per",-0.00183095933830759,8.38378606612226,0.000380562095170774,0.984472746384388,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"14","PLOD1","Per",-0.00846660790482291,8.53049528383632,0.00908291590705572,0.924254109563651,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"15","TNFRSF1B","Per",0.113834126008426,7.83037238475074,1.06524807662594,0.304384378485851,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"16","VPS13D","Per",0.186069312778119,9.48371890331598,3.71555641765775,0.0565999570601497,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"17","PRDM2","Per",-0.0323776958195911,7.86597167176629,0.0891097780528487,0.765899826303147,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"18","KAZN","Per",0.138727371425626,8.34972037989947,2.16594266408376,0.144078442836404,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"19","TMEM51","Per",-0.0631972637030061,7.47510022558716,0.254075767618335,0.615272026531171,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"20","SPEN","Per",0.00114242361272738,8.35935771524843,0.000224369253088666,0.988077290415334,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"21","FBXO42","Per",0.0893205766933265,7.65762134693462,0.79426809621426,0.374843168437355,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"22","UBR4","Per",0.0837055207320824,8.06171432117921,0.730663515139315,0.394607514906635,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"23","CAPZB","Per",0.144738464906396,8.92453338912526,4.65989350438704,0.0331447144300834,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"24","NBL1","Per",0.0251030065853948,7.85108880317488,0.0496336334994364,0.824133294098027,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"25","CAMK2N1","Per",-0.0123407193152372,7.75086625061579,0.0117669570766753,0.913824724833447,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"26","HP1BP3","Per",0.024640364642003,9.14419038715358,0.107802441708171,0.743311595338056,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"27","EIF4G3","Per",0.0974983771627914,9.41072058113066,2.0478303378095,0.155382374113924,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"28","ECE1","Per",-0.0362684680512296,9.59634173165552,0.23842750180713,0.626358770643003,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"29","CDC42","Per",-0.0346590021096692,7.51775035991759,0.0926925609242314,0.761382096979333,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"30","ID3","Per",0.252605928886904,7.76767732088375,1.37473166096399,0.243644519218511,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"31","RPL11","Per",0.270552743507329,7.58688139479427,2.65282768588465,0.106352114331751,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"32","SRSF10","Per",-0.0332271726194123,7.68239003374039,0.104315150435993,0.747351518463572,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"33","SRRM1","Per",0.0541247529171922,7.59214846792205,0.311515494783054,0.57793568772464,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"34","CLIC4","Per",-0.103631389422603,8.30554784532229,1.28483576427424,0.259574223849573,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"35","RSRP1","Per",-0.128717225611954,8.93131826273237,2.41426335898877,0.123232977454945,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"36","TMEM50A","Per",0.00399260540637957,7.45704091675847,0.000810766285700706,0.977337997123287,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"37","SH3BGRL3","Per",-0.0481238218583476,7.29442699021332,0.0640493415697521,0.800699698948911,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"38","ARID1A","Per",0.0951271431144016,8.16905421199779,1.03872621508293,0.334560080217681,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"39","SLC9A1","Per",0.100042763050368,7.48483931820411,0.620598176967677,0.432593629520139,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"40","WASF2","Per",-0.0142063881022218,8.68220798483064,0.0394523189132956,0.842937984248917,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"41","STX12","Per",0.0304027727938818,7.63782779659828,0.0715326228803303,0.78964101039579,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"42","PHACTR4","Per",-0.120045682016891,8.41036043445149,2.61046004932173,0.109151266747987,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"43","SRSF4","Per",-0.127616300288894,8.18142654739642,2.12785769315794,0.147617248387657,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"44","PUM1","Per",-0.0446513913926613,8.89185727533618,0.519654580829936,0.521739459377665,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"45","TINAGL1","Per",-0.00738467217262006,7.45353824601955,0.00221970261513402,0.962511771489122,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"46","KHDRBS1","Per",0.191409222340302,7.88020654044849,4.2621744222024,0.0414256635353096,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"47","KPNA6","Per",0.244884434558465,7.72283288442841,5.86056266121177,0.0171935250839377,0.932651809522643,0.99985283789141,"ma_adult_cogact_freq"
"48","MARCKSL1","Per",0.113083483212112,7.14230756291048,0.335921158115392,0.563430260804495,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"49","PHC2","Per",-0.0321990924910673,8.24104081619886,0.0825204619155417,0.774474533694257,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"50","GJA4","Per",-0.142742842486474,8.29535128224977,1.05431714844682,0.306866248227938,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"51","SFPQ","Per",-0.0291923440496325,8.416677774387,0.185236371985,0.919470337701292,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"52","ZMYM4","Per",-0.0152402135820094,8.56402632316291,0.058062725195302,0.923869885460359,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"53","KIAA0319L","Per",0.0254068912908502,7.8722915945671,0.0589361629247304,0.838425295532018,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
"54","AGO4","Per",-0.108495474422735,7.61500028872551,0.918101156407548,0.357915882503426,0.999271094103752,0.99985283789141,"ma_adult_cogact_freq"
