"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic P2RY12",-0.0397733160265069,4.31095415772517,0.168240527930375,0.681910266816318,0.985471310598352,0.999164236121957,"msex"
"2","AL669831.5","Mic P2RY12",-0.00812031290046752,5.76168460315209,0.0198620707403515,0.887997290442765,0.999619779130973,0.999907367750059,"msex"
"3","NOC2L","Mic P2RY12",0.0695450564076379,5.11926058818244,1.49062540145217,0.222872693230826,0.790529045823571,0.852930200479442,"msex"
"4","ISG15","Mic P2RY12",0.40284948547111,3.26949725561812,5.31177437885717,0.0217174751500292,0.410860419469822,0.464564441129426,"msex"
"5","AGRN","Mic P2RY12",0.0129720627796702,3.66132204387274,0.015785826550992,0.900081699439883,0.999619779130973,0.999907367750059,"msex"
"6","C1orf159","Mic P2RY12",-0.113151571231209,4.94602394670158,3.53289707677836,0.0609237223491132,0.568411610215937,0.640621038987179,"msex"
"7","SDF4","Mic P2RY12",-0.087239077813237,5.08892587892407,2.50714690866407,0.114158678924309,0.681060939314469,0.747658294441764,"msex"
"8","B3GALT6","Mic P2RY12",-0.0905593956770823,3.35665368121517,0.745058718206174,0.388586940419077,0.887024191875031,0.928696660873061,"msex"
"9","UBE2J2","Mic P2RY12",-0.0518611390503454,5.80255291195704,1.29945072614676,0.255028011962995,0.81617458694129,0.87706150204765,"msex"
"10","SCNN1D","Mic P2RY12",-0.00816836523699843,3.27141973025926,0.00356446607201685,0.952423292250379,0.999619779130973,0.999907367750059,"msex"
"11","ACAP3","Mic P2RY12",0.0550445319819643,5.27739145877606,0.677333273284234,0.411020120292848,0.897425425853235,0.937424595388021,"msex"
"12","INTS11","Mic P2RY12",0.0322495683881937,5.13065269850352,0.469268447791026,0.510741133868278,0.932959583331412,0.964348492158146,"msex"
"13","DVL1","Mic P2RY12",-0.0700712422200619,3.89487617905983,0.700857533169568,0.535020560963153,0.94022855394959,0.969021430215265,"msex"
"14","AURKAIP1","Mic P2RY12",-0.0648579172965849,4.18059543395385,0.631828755037708,0.427179014175721,0.904667923741233,0.941974747464279,"msex"
"15","CCNL2","Mic P2RY12",-0.0423226836351922,6.34079606051184,1.26113070566026,0.262142653353951,0.820274310736209,0.879349132619048,"msex"
"16","MRPL20","Mic P2RY12",-0.000849660679792374,5.30151987687817,0.000312538851003267,0.985904350702382,0.999619779130973,0.999907367750059,"msex"
"17","ANKRD65","Mic P2RY12",-0.204014116442717,2.76477526650943,1.42957481566102,0.232575719592912,0.798462481940851,0.860017979989606,"msex"
"18","ATAD3B","Mic P2RY12",0.0293264926543959,4.8763270287658,0.20805013220284,0.648559273450425,0.977321512929872,0.994028469825843,"msex"
"19","ATAD3A","Mic P2RY12",-0.0854886004271573,4.20628246572096,1.20399550658841,0.273215938286225,0.827246055816543,0.886237477302448,"msex"
"20","SSU72","Mic P2RY12",-0.0108179368609728,5.49771929445938,0.0576129363559649,0.81043814840327,0.999619779130973,0.999907367750059,"msex"
"21","FNDC10","Mic P2RY12",-0.30033290857613,2.69299657429178,4.51874658252238,0.0341665503632863,0.484865049277943,0.545835011537634,"msex"
"22","AL691432.2","Mic P2RY12",0.0997095681953925,2.90161232949244,0.677670748931378,0.410903696785538,0.897396594489733,0.937424595388021,"msex"
"23","MIB2","Mic P2RY12",0.00105066389750949,4.7454646967159,0.00023125716623062,0.987874865113556,0.999619779130973,0.999907367750059,"msex"
"24","CDK11B","Mic P2RY12",-0.021116948351111,5.7528005029177,0.220472448774813,0.638948145173777,0.976475693841618,0.992816822208321,"msex"
"25","SLC35E2B","Mic P2RY12",-0.0878288391158558,4.8089621537239,1.85551514523618,0.173946178371804,0.748241140159623,0.817013848307162,"msex"
"26","CDK11A","Mic P2RY12",-0.0958908673996919,5.44082862573304,2.41358885987296,0.121114608042919,0.692183293881881,0.759150537416821,"msex"
"27","SLC35E2A","Mic P2RY12",0.0726797100985752,4.93149858733917,1.11378405020557,0.291928040233229,0.83394754827168,0.891034841519616,"msex"
"28","NADK","Mic P2RY12",0.110651427912451,5.24955316008255,3.6488782439462,0.056855731164143,0.555264620537726,0.62591497383609,"msex"
"29","GNB1","Mic P2RY12",-0.0391399651728514,8.63816898706724,1.40377842785812,0.236828752936201,0.801791480147702,0.862422218794852,"msex"
"30","CFAP74","Mic P2RY12",0.054670133556343,5.85642186290543,0.449938685447621,0.502769532512785,0.930355342114386,0.963016850343974,"msex"
"31","GABRD","Mic P2RY12",0.0910045179017429,3.62114723193394,0.569266533267934,0.451015514815239,0.910628893692551,0.947197701232781,"msex"
"32","PRKCZ","Mic P2RY12",0.0801091019759362,5.21935438699839,1.13335396512874,0.287733695378207,0.831429846730883,0.88970801835025,"msex"
"33","FAAP20","Mic P2RY12",-0.0417225635692352,4.44053799694058,0.398641957666481,0.528169158147682,0.939464194445721,0.96850357353552,"msex"
"34","SKI","Mic P2RY12",-0.0328272511241422,8.46172599611499,0.50899244134665,0.476011089432916,0.922240721114761,0.956695980478909,"msex"
"35","MORN1","Mic P2RY12",0.0147774874662042,3.96144666930475,0.0234755243728331,0.878307881877042,0.999619779130973,0.999907367750059,"msex"
"36","RER1","Mic P2RY12",-0.0365005272301047,5.40277814176297,0.52751991056127,0.46809631673308,0.918774778400213,0.954110195829148,"msex"
"37","PEX10","Mic P2RY12",-0.0252822491232965,3.73503598065359,0.0767957912146347,0.842891207169109,0.999619779130973,0.999907367750059,"msex"
"38","PANK4","Mic P2RY12",-0.0122133214769431,3.35010971867178,0.0145716882370534,0.903981649139197,0.999619779130973,0.999907367750059,"msex"
"39","TNFRSF14-AS1","Mic P2RY12",0.220238483422275,3.09202365187561,3.28172628867665,0.070840636292128,0.588404280551448,0.659394442604801,"msex"
"40","TNFRSF14","Mic P2RY12",0.132027127271827,5.01434208105602,3.51839878830661,0.0614536991249117,0.570108561080805,0.641159021354207,"msex"
"41","FAM213B","Mic P2RY12",0.109225964246055,2.85745370602608,0.729526660158667,0.393572103202298,0.888990488694226,0.930235833190341,"msex"
"42","TPRG1L","Mic P2RY12",0.0922783059556767,3.65052707671309,1.02935076315742,0.310953542444407,0.846344819793549,0.900444078883432,"msex"
"43","WRAP73","Mic P2RY12",0.0860697499243476,4.34812249877025,1.61767296968196,0.204190523725213,0.775402407643913,0.841516778453743,"msex"
"44","LRRC47","Mic P2RY12",0.0800987915350215,4.20171394436275,1.41284977215921,0.267134685920429,0.823530812956015,0.883378237563521,"msex"
"45","CEP104","Mic P2RY12",0.0482656784704538,5.40505624874184,0.924397786657876,0.336931245988828,0.862475660190569,0.910297258460253,"msex"
"46","DFFB","Mic P2RY12",-0.134228559741035,4.33522091350021,4.11907804751624,0.0430951201383681,0.522908706602399,0.587176124885036,"msex"
"47","C1orf174","Mic P2RY12",0.0181518528161881,3.63756035922206,0.0382784044988689,0.844989213961813,0.999619779130973,0.999907367750059,"msex"
"48","NPHP4","Mic P2RY12",-0.0450945522770049,5.69739156188143,1.01077884300877,0.800316934066202,0.999619779130973,0.999907367750059,"msex"
"49","KCNAB2","Mic P2RY12",0.17431474304778,5.07190681338144,6.06355386217007,0.0142406782740073,0.374335657956575,0.417363319414184,"msex"
"50","CHD5","Mic P2RY12",-0.0366074525648269,4.24285769065939,0.129905364292304,0.718729441558289,0.996408078786498,0.999907367750059,"msex"
"51","RPL22","Mic P2RY12",-0.0388267525091258,4.59800545539932,0.406985942247301,0.653927645563903,0.977607946942874,0.994369723182232,"msex"
"52","ICMT","Mic P2RY12",0.0635381487896062,3.52486004543671,0.460254914705023,0.49791573511234,0.928754554264101,0.961733414245166,"msex"
"53","ACOT7","Mic P2RY12",0.099967678898188,4.28156164871692,1.26980066728555,0.260511620127753,0.818533474033732,0.878217892869665,"msex"
"54","TNFRSF25","Mic P2RY12",0.176431684298557,5.11739988635798,4.15102144083359,0.0422983240755585,0.516721679571926,0.581832646379458,"msex"
"55","PLEKHG5","Mic P2RY12",0.168548425073442,5.29213844095803,3.02737229392156,0.0826760938861465,0.619040644458934,0.686908045798458,"msex"
"56","NOL9","Mic P2RY12",0.0367427232896408,5.28992775308205,0.521769725284565,0.470529821276547,0.920353928169103,0.955683207544206,"msex"
"57","TAS1R1","Mic P2RY12",0.149105449715615,2.62008747966373,1.066116570735,0.302477696085312,0.837585355006881,0.895254894802283,"msex"
"58","ZBTB48","Mic P2RY12",0.0350499968888076,4.9896190448422,0.36108002649284,0.548263492271676,0.948159164739671,0.975045797657602,"msex"
"59","KLHL21","Mic P2RY12",0.011122629075772,4.48124727421203,0.021445786970821,0.883648322735548,0.999619779130973,0.999907367750059,"msex"
"60","PHF13","Mic P2RY12",-0.201061955717314,3.40577969402611,3.71981880056756,0.0545110518621362,0.550934492007876,0.621142482459336,"msex"
"61","THAP3","Mic P2RY12",-0.0571978037324662,3.67918424862038,0.45035209230377,0.502573476130485,0.930355342114386,0.963016850343974,"msex"
"62","DNAJC11","Mic P2RY12",0.0340224430431751,6.10714550445837,0.703052056916982,0.402284549150301,0.892636229188867,0.932875435442586,"msex"
"63","CAMTA1-DT","Mic P2RY12",0.106904247579368,2.85607692319688,0.615644008245038,0.433157053343642,0.905037994477715,0.94271297850229,"msex"
"64","CAMTA1","Mic P2RY12",0.115182770619087,7.50389359240576,10.6872185617666,0.00117665087923966,0.113050935547519,0.121379716708651,"msex"
"65","VAMP3","Mic P2RY12",-0.0484241786835271,4.546882602788,0.60190168347447,0.438333538319937,0.905687315505602,0.94343419868187,"msex"
"66","PER3","Mic P2RY12",0.31420335620251,6.00830506159765,8.40446226296877,0.00395913989027153,0.224702070312415,0.244828102246791,"msex"
"67","Z98884.1","Mic P2RY12",0.281496934299654,3.32904275377669,3.64436668621317,0.0570084336452754,0.555264620537726,0.626276030360992,"msex"
"68","PARK7","Mic P2RY12",0.0276808500848042,5.09006631510565,0.191836934309256,0.661639754164517,0.980289840727391,0.996014845967307,"msex"
"69","AL034417.4","Mic P2RY12",-0.187220126425497,3.10289856101039,2.11093841450578,0.147070765634972,0.725562942236884,0.792468525676219,"msex"
"70","ERRFI1","Mic P2RY12",-0.0165585363034056,3.79505647717149,0.0267717426349091,0.870116279959123,0.999619779130973,0.999907367750059,"msex"
"71","AL034417.2","Mic P2RY12",0.0212180526071367,2.41074421652359,0.0103337315068135,0.919083901770977,0.999619779130973,0.999907367750059,"msex"
"72","SLC45A1","Mic P2RY12",0.0320973296068826,2.73820130025655,0.0476521627826704,0.886488200219497,0.999619779130973,0.999907367750059,"msex"
"73","RERE","Mic P2RY12",0.0178462913469917,9.65386253720092,0.282425764860408,0.595424638819402,0.963825409625526,0.986413446012969,"msex"
"74","AL096855.1","Mic P2RY12",0.327294616844627,2.7979916950876,5.62178299318388,0.0182341374520922,0.387847163670872,0.438117557370557,"msex"
"75","ENO1","Mic P2RY12",-0.0972313375887348,6.61702668205336,1.6039515905766,0.20611601760782,0.775541263503764,0.841516778453743,"msex"
