"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",-0.0452789260561386,5.41314622435444,0.22031701886269,0.639538240652088,0.892134760139892,0.838484317736968,"nft"
"2","NOC2L","Exc L5 ET",-0.0294855434614705,4.98314427560533,0.130662994064755,0.718297706769664,0.927026148950989,0.883994274324781,"nft"
"3","HES4","Exc L5 ET",-0.530858083261012,5.10907054010971,11.3558776558268,0.000975130321894193,0.0931200065348044,0.0196486309785494,"nft"
"4","AGRN","Exc L5 ET",-0.0920655398394642,5.16220049515065,1.03065841711995,0.311778310402643,0.702136417372321,0.584810392184488,"nft"
"5","C1orf159","Exc L5 ET",-0.0751211655663555,5.65625252137053,1.42989243086504,0.233829906797275,0.634025847203911,0.501924212777634,"nft"
"6","SDF4","Exc L5 ET",0.0215575066310883,5.18210855895504,0.0969973951017833,0.75593243936021,0.941771101645178,0.90430147128504,"nft"
"7","UBE2J2","Exc L5 ET",0.049651466254535,4.86454940965337,0.509180733021814,0.507104069550229,0.830465001296566,0.750518473743207,"nft"
"8","ACAP3","Exc L5 ET",0.0538399327422585,6.38106346924994,1.01095623250143,0.316431257997753,0.70580616899536,0.589420621643296,"nft"
"9","INTS11","Exc L5 ET",0.0845130966368601,5.47775453630432,2.16098029788231,0.143827555349692,0.533041272347125,0.385413377809268,"nft"
"10","DVL1","Exc L5 ET",0.0331128855230428,4.30274074221779,0.108965734262728,0.741824623147862,0.936746746686653,0.896692570358617,"nft"
"11","AURKAIP1","Exc L5 ET",-0.0498744396512507,4.78709155635433,0.145668012068163,0.703296267154424,0.921038058410475,0.875530777400823,"nft"
"12","CCNL2","Exc L5 ET",-0.0450511815635758,5.64515489010814,0.619514867620112,0.43257548736048,0.785577698314424,0.693008862453753,"nft"
"13","MRPL20","Exc L5 ET",0.0157593126415541,4.75417005543366,0.0231675137678626,0.879244274965613,0.977623032169495,0.960224699533896,"nft"
"14","ATAD3B","Exc L5 ET",0.00238717822514683,4.83164294803903,0.00067684638574727,0.979281892907361,0.998019187553541,0.99442938954161,"nft"
"15","ATAD3A","Exc L5 ET",-0.108639696643097,4.18239206793138,1.34642335923364,0.247905137499613,0.648949672553164,0.517734385596848,"nft"
"16","SSU72","Exc L5 ET",0.0892257577246464,5.68327691609139,0.810602585632224,0.369508527147006,0.747380564371875,0.639391402993711,"nft"
"17","FNDC10","Exc L5 ET",-0.0615190452602903,3.9771281556714,0.242892444862973,0.622907017456598,0.888087101498043,0.82865213713403,"nft"
"18","MIB2","Exc L5 ET",0.0120642246304514,5.32629128226458,0.0427260003872059,0.949918015581355,0.99405369071412,0.98605427034364,"nft"
"19","CDK11B","Exc L5 ET",0.0796934199464744,4.96623907436344,1.29032125449326,0.293430228321129,0.687078777225394,0.566488459086212,"nft"
"20","SLC35E2B","Exc L5 ET",-0.0404941907225927,4.87472989217834,0.208548172963217,0.648624731545341,0.895649922365659,0.84379799834233,"nft"
"21","CDK11A","Exc L5 ET",-0.0429452169667244,4.19777385940895,0.201814615581981,0.653963893157932,0.897271105971617,0.846820518886738,"nft"
"22","SLC35E2A","Exc L5 ET",-0.176927395363545,4.62473830720732,3.98596272190338,0.047845671595827,0.348118910787335,0.204976930052652,"nft"
"23","NADK","Exc L5 ET",-0.0589213760230352,4.36153699353041,0.484736655138846,0.487454006536931,0.819132696583314,0.735493984829975,"nft"
"24","GNB1","Exc L5 ET",0.087475767032561,7.3359568469682,5.48214011371315,0.0206412084510771,0.249669506188875,0.124969224893748,"nft"
"25","CFAP74","Exc L5 ET",0.00337198731785419,4.83691112220794,0.00180600991492964,0.966163707329879,0.996246449589408,0.990935422098723,"nft"
"26","GABRD","Exc L5 ET",-0.0787865415031125,5.73907426394079,0.861337448858321,0.354982934725514,0.737370977167795,0.626326539695082,"nft"
"27","PRKCZ","Exc L5 ET",0.0150044636659441,6.70564280405407,0.126502606206851,0.898887923040474,0.984143663945664,0.96838505236556,"nft"
