"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","Fib SLC4A4",-0.44405329291202,8.39812506261814,0.793378112294006,0.382043921990739,0.994947068118393,0.893991456987039,"nft"
"2","ISG15","Fib SLC4A4",-0.671939915811878,6.85762363709079,0.278530742723984,0.602577886756234,0.998606358018089,0.963295822017142,"nft"
"3","CCNL2","Fib SLC4A4",-0.0217369776177741,7.93282595932954,0.00348672731055091,0.953409089066328,0.998606358018089,0.999904706788158,"nft"
"4","GNB1","Fib SLC4A4",-0.211906978721949,8.49122268823234,0.614401477038607,0.682907338120669,0.998606358018089,0.980263466708746,"nft"
"5","SKI","Fib SLC4A4",-0.287772228494226,7.62177340018602,0.311683099340622,0.58189143001844,0.998606358018089,0.956945693577329,"nft"
"6","CAMTA1","Fib SLC4A4",-0.0518201576197345,9.63753985896429,0.0225184535724165,0.881987284801707,0.998606358018089,0.999904706788158,"nft"
"7","RERE","Fib SLC4A4",-0.0362513757688441,9.65050050113259,0.0226559821208179,0.932917714376133,0.998606358018089,0.999904706788158,"nft"
"8","UBE4B","Fib SLC4A4",0.421762196234059,7.94700289748188,1.76857973109195,0.196229831991052,0.95863075771419,0.784505087984333,"nft"
"9","KIF1B","Fib SLC4A4",-0.168669493423143,8.38324053678576,0.239321503718343,0.629198560953987,0.998606358018089,0.969817128737911,"nft"
"10","VPS13D","Fib SLC4A4",-0.0423023135785021,9.2097544375933,0.0252905156494014,0.918374057930645,0.998606358018089,0.999904706788158,"nft"
"11","DHRS3","Fib SLC4A4",0.380675449717722,8.4359439756099,1.02925322994159,0.320591271184199,0.97414380974158,0.859265700413734,"nft"
"12","PRDM2","Fib SLC4A4",0.0885155330247821,8.12802086843099,0.0833250579020998,0.775353446142864,0.998606358018089,0.996088618056938,"nft"
"13","KAZN","Fib SLC4A4",-0.722523998318911,10.4009904613994,1.94338452497137,0.176249494019126,0.95863075771419,0.768959059391197,"nft"
"14","SPEN","Fib SLC4A4",-0.0976545323478828,7.55560151612125,0.0329813616163137,0.857436588057161,0.998606358018089,0.999904706788158,"nft"
"15","FBXO42","Fib SLC4A4",0.164357446956926,8.56364116731217,0.340247289926523,0.565202664838745,0.998606358018089,0.952147326892039,"nft"
"16","UBR4","Fib SLC4A4",-0.0685901713433481,8.50591064563841,0.0416405137257923,0.840050614958135,0.998606358018089,0.999904706788158,"nft"
"17","CAPZB","Fib SLC4A4",-0.0765287584435939,9.03123064284634,0.0598149191931311,0.808896080791698,0.998606358018089,0.999904706788158,"nft"
"18","NBL1","Fib SLC4A4",2.26259476714986,6.91433165003793,11.1946903487198,0.00272720144385692,0.497819910943265,0.221764538460997,"nft"
"19","HP1BP3","Fib SLC4A4",0.227240140811593,8.1503254318333,0.242369351423689,0.627034750832647,0.998606358018089,0.969817128737911,"nft"
"20","EIF4G3","Fib SLC4A4",-0.590784864887511,10.1297515524997,2.22975201728494,0.148584565429734,0.95863075771419,0.740526301899805,"nft"
"21","ECE1","Fib SLC4A4",0.121574940473282,8.3166985685988,0.0718790839488181,0.790942492721706,0.998606358018089,0.997657843661627,"nft"
"22","ALPL","Fib SLC4A4",0.00656637106594721,8.60892655480687,0.000136798687022191,0.99076608616508,0.998606358018089,0.999904706788158,"nft"
"23","ASAP3","Fib SLC4A4",-0.238878292160644,7.81796607577421,0.311899204530438,0.581761426640815,0.998606358018089,0.956945693577329,"nft"
"24","ID3","Fib SLC4A4",0.623737498330254,9.32519252949261,1.54601280700865,0.225898097464487,0.972253505113337,0.79822751730008,"nft"
"25","RPL11","Fib SLC4A4",1.09813507613788,7.76600293340303,2.99150884509237,0.0967217318798223,0.95863075771419,0.670680122523436,"nft"
"26","CLIC4","Fib SLC4A4",0.0808413861965097,7.86633702962711,0.0280748399365942,0.868356102819759,0.998606358018089,0.999904706788158,"nft"
"27","RSRP1","Fib SLC4A4",-0.077191164246012,8.43460445267592,0.0633371638896522,0.889494714248003,0.998606358018089,0.999904706788158,"nft"
"28","MACO1","Fib SLC4A4",-0.399579822464673,7.34656045986743,0.608056413788543,0.443247126512638,0.998606358018089,0.917370141275319,"nft"
"29","MAN1C1","Fib SLC4A4",0.173678386861307,9.30732328876294,0.243181141322974,0.626461292604554,0.998606358018089,0.969817128737911,"nft"
"30","WASF2","Fib SLC4A4",0.359470634035617,8.20545339294459,1.08549893524689,0.854041715061483,0.998606358018089,0.999904706788158,"nft"
"31","IFI6","Fib SLC4A4",-0.311330286286081,6.58104993316452,0.0536428094300769,0.818831830136987,0.998606358018089,0.999904706788158,"nft"
"32","PHACTR4","Fib SLC4A4",0.201757867984082,7.82260473649127,0.2265082524871,0.638487771674209,0.998606358018089,0.970617691460635,"nft"
"33","EPB41","Fib SLC4A4",-0.104616097227021,8.44500623816194,0.0553522962028643,0.816021893028595,0.998606358018089,0.999904706788158,"nft"
"34","SRSF4","Fib SLC4A4",0.0652007360077441,7.76350595008679,0.0317238496435015,0.860150442903451,0.998606358018089,0.999904706788158,"nft"
"35","PTPRU","Fib SLC4A4",0.292707187764959,7.74987560091227,0.572011734573821,0.456921451485103,0.998606358018089,0.922350014756798,"nft"
"36","PUM1","Fib SLC4A4",-0.396831799266149,8.91829978451071,1.74570387186027,0.199046250188621,0.95863075771419,0.786599241300519,"nft"
"37","KHDRBS1","Fib SLC4A4",0.314488025732078,7.61289589857243,0.489598393602152,0.988366745252822,0.998606358018089,0.999904706788158,"nft"
"38","SFPQ","Fib SLC4A4",0.324313953116286,7.86841199022246,0.756083677893864,0.484740208276128,0.998606358018089,0.931080057651571,"nft"
"39","ZMYM4","Fib SLC4A4",0.0938627673528547,8.47833189657497,0.11183140567483,0.741013282530865,0.998606358018089,0.993020387206124,"nft"
"40","KIAA0319L","Fib SLC4A4",-0.327357305372179,8.18174392573457,1.0371612150581,0.318778167261674,0.97414380974158,0.85872554613124,"nft"
