"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PVALB CA8 (Chandelier)",0.0234848817850463,5.15381845604327,0.378857981615352,0.538622041797881,0.773660084593536,0.818632279953956,"nft"
"2","NOC2L","Inh PVALB CA8 (Chandelier)",0.0295691467521773,4.46575999067206,0.440113370280516,0.507512048972451,0.75173014400003,0.799469155674847,"nft"
"3","HES4","Inh PVALB CA8 (Chandelier)",-0.506773935191827,4.05875818791631,29.5236494538044,1.0475654139468e-07,2.38844914379871e-05,0.000142000734923132,"nft"
"4","C1orf159","Inh PVALB CA8 (Chandelier)",-0.0110852849920723,5.38587605107505,0.126657369400668,0.722141423566732,0.891065577762937,0.914843456854213,"nft"
"5","SDF4","Inh PVALB CA8 (Chandelier)",0.0377024641405812,5.17710932993068,1.20459765963585,0.273172308609045,0.553765474660051,0.617307349909257,"nft"
"6","UBE2J2","Inh PVALB CA8 (Chandelier)",0.0635132284722568,5.0625838494045,3.93031557269467,0.0482182467101021,0.21218603816746,0.277773664414465,"nft"
"7","SCNN1D","Inh PVALB CA8 (Chandelier)",0.038025716256351,3.83804782279347,0.384417928292421,0.535658735106219,0.770972288250456,0.816811121598898,"nft"
"8","ACAP3","Inh PVALB CA8 (Chandelier)",0.0243921203635123,6.42346133180624,0.874328441816569,0.350415679891903,0.626508691307853,0.687126325006308,"nft"
"9","INTS11","Inh PVALB CA8 (Chandelier)",0.0414215233172614,5.45855820206052,2.47197553862567,0.116811412890242,0.34706363321035,0.422055088308689,"nft"
"10","DVL1","Inh PVALB CA8 (Chandelier)",3.9154835050357e-05,4.32650629197562,2.80355311501819e-06,0.998665008059068,0.999500012246408,0.999913367314323,"nft"
"11","AURKAIP1","Inh PVALB CA8 (Chandelier)",-0.185567022407805,4.15815179063521,8.2155198950849,0.00440901016900828,0.0496438921250765,0.0822962729955764,"nft"
"12","CCNL2","Inh PVALB CA8 (Chandelier)",0.00999171045183989,6.09560027350883,0.149977112918682,0.698796706133835,0.877444704740048,0.903754571858072,"nft"
"13","MRPL20","Inh PVALB CA8 (Chandelier)",-0.0604516244530699,4.6400205493318,1.77065060160255,0.184182905602445,0.449703086193018,0.519283293741242,"nft"
