"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh LAMP5 RELN",-0.00115387164824477,5.61859668726551,0.0920091729985782,0.761887508959053,0.999957514292951,0.999990118862697,"parksc_lv"
"2","NOC2L","Inh LAMP5 RELN",0.00311004512410526,5.03508591588506,0.414929585438365,0.520061407174485,0.964365214263669,0.999990118862697,"parksc_lv"
"3","HES4","Inh LAMP5 RELN",-0.00180088216868985,5.68996882087726,0.139466285220349,0.709124838231519,0.999957514292951,0.999990118862697,"parksc_lv"
"4","C1orf159","Inh LAMP5 RELN",-0.00599943131139916,5.86166624475274,2.54411849245828,0.111953809921186,0.780480751283691,0.999990118862697,"parksc_lv"
"5","SDF4","Inh LAMP5 RELN",-0.00111899583274906,5.78780681966856,0.0942047560332928,0.759150641585764,0.999957514292951,0.999990118862697,"parksc_lv"
"6","UBE2J2","Inh LAMP5 RELN",-0.000755698375789693,5.40047540286627,0.0328437998252742,0.889354107478004,0.999957514292951,0.999990118862697,"parksc_lv"
"7","ACAP3","Inh LAMP5 RELN",0.0030716880971184,6.8062148555216,1.10089441660663,0.2950709278034,0.88993741956297,0.999990118862697,"parksc_lv"
"8","INTS11","Inh LAMP5 RELN",0.00333447869798235,5.65015846858313,0.689321826247045,0.407177737302212,0.93469835927153,0.999990118862697,"parksc_lv"
"9","DVL1","Inh LAMP5 RELN",-0.00722242787221734,4.84352538629961,1.70000141754753,0.193472618184792,0.839508333000314,0.999990118862697,"parksc_lv"
"10","CCNL2","Inh LAMP5 RELN",-0.00343666131358775,6.25200173496035,1.15216241563404,0.309706363316007,0.900002737268219,0.999990118862697,"parksc_lv"
"11","MRPL20","Inh LAMP5 RELN",-0.00102815945128751,5.12336296303137,0.0345660165653547,0.852656926721267,0.999957514292951,0.999990118862697,"parksc_lv"
"12","SSU72","Inh LAMP5 RELN",-0.00147483063513328,5.62448388605371,0.122989694933253,0.726106040870433,0.999957514292951,0.999990118862697,"parksc_lv"
"13","MIB2","Inh LAMP5 RELN",0.00850697784434373,5.39771598645035,4.00404250832686,0.0464592882054673,0.700766896182891,0.999990118862697,"parksc_lv"
"14","CDK11B","Inh LAMP5 RELN",-0.00287324020770716,5.16950861390798,0.412617585646863,0.586709457456079,0.986280566849596,0.999990118862697,"parksc_lv"
"15","SLC35E2B","Inh LAMP5 RELN",-0.0028795936484027,5.23512483728923,0.4407405137518,0.507369658214468,0.960449390716184,0.999990118862697,"parksc_lv"
"16","SLC35E2A","Inh LAMP5 RELN",0.0018181960989121,5.17985846305641,0.141542690921812,0.707067388843169,0.999957514292951,0.999990118862697,"parksc_lv"
"17","GNB1","Inh LAMP5 RELN",0.00182621384623305,7.76637161039611,0.746551846827815,0.388388379895044,0.924812630705416,0.999990118862697,"parksc_lv"
"18","GABRD","Inh LAMP5 RELN",-0.00210270028928402,5.76940912742983,0.260899713282119,0.609948021968174,0.992668184803173,0.999990118862697,"parksc_lv"
"19","PRKCZ","Inh LAMP5 RELN",-0.00101835097459873,6.89859759957623,0.123014517041942,0.726079522012834,0.999957514292951,0.999990118862697,"parksc_lv"
"20","SKI","Inh LAMP5 RELN",0.000549031051051986,6.47433932919042,0.0374956231234313,0.846614785513284,0.999957514292951,0.999990118862697,"parksc_lv"
"21","RER1","Inh LAMP5 RELN",-0.00301081984028215,5.15049314946152,0.349909030754294,0.55469268183216,0.974836109070362,0.999990118862697,"parksc_lv"
"22","PLCH2","Inh LAMP5 RELN",0.00386332674282132,5.93411900950856,1.01409210911264,0.314886424918178,0.90068481488158,0.999990118862697,"parksc_lv"
"23","CEP104","Inh LAMP5 RELN",0.00596417346448906,5.78961444158518,2.85969112190087,0.0920561146934245,0.759395390217338,0.999990118862697,"parksc_lv"
"24","DFFB","Inh LAMP5 RELN",0.00778402260184026,5.18165687685553,2.98236019731744,0.0853967274981057,0.753265686280685,0.999990118862697,"parksc_lv"
