"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",0.00015979289521733,6.98443307146991,8.05066717807899e-05,0.992848207676046,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"2","ISG15","End",0.0283413469709176,7.32632181820481,1.88531034937627,0.170964805720579,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"3","CCNL2","End",0.0092091991687785,7.59196985076734,1.13448312866496,0.296669375468907,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"4","VWA1","End",0.00027784617712158,6.97992659142808,0.000929079084040125,0.975707979654459,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"5","SSU72","End",-0.00102211194619131,6.91808522925255,0.00599018659100663,0.938370330384777,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"6","GNB1","End",-0.00401016588509386,8.96187436480694,0.324479965617884,0.569440318731583,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"7","SKI","End",0.00566280332070524,7.79597440709548,0.344006690817557,0.558055946494751,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"8","CAMTA1","End",-0.00975438858843018,8.98158322639419,1.61490079523659,0.204988103128381,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"9","PER3","End",0.00499760658527588,7.30221821857059,0.0999803659217446,0.752117616649759,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"10","PARK7","End",-0.00137632893584076,6.75219489139706,0.00540694877028189,0.941441742629214,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"11","RERE","End",0.00446018242323508,9.51697294808328,0.44268226434571,0.506445381723439,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"12","ENO1","End",-0.00950220776466898,7.12016581782276,0.426655010484454,0.514236445477883,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"13","CLSTN1","End",0.015372503032507,7.29668610892665,2.10681834406685,0.147900396988968,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"14","UBE4B","End",-0.0268476119705432,7.51353779410213,5.14912509289901,0.0241126296509993,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"15","KIF1B","End",-0.0154208197404494,8.22404010311863,2.84434689842759,0.0929460352855254,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"16","PEX14","End",-0.00969472091823194,6.87524578518341,0.390799977749015,0.532450642575862,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"17","MTOR","End",-0.0213967864437711,7.05587586559742,3.2141674993821,0.0742148445405152,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"18","TNFRSF1B","End",0.00674510549310309,7.54555349835793,0.376186780638466,0.540209945346324,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"19","VPS13D","End",-0.00850517376721931,8.47754643329023,1.04207208192028,0.524722718730822,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"20","PRDM2","End",-0.00171432231187503,7.97565309307649,0.0378405061182203,0.989308908029786,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"21","KAZN","End",0.0232603632130444,7.2110715699231,2.02138897744435,0.156346274118475,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"22","SPEN","End",-0.00847175442924235,8.1904224997312,0.735732191600746,0.391854809824517,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"23","SRARP","End",-0.00760569577080759,8.67434088819554,0.419830602840571,0.517617510091071,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"24","FBXO42","End",-0.0130894645516229,7.27866063735278,1.09705439869151,0.29592724823431,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"25","UBR4","End",0.00542007198627678,7.75719441197045,0.335567044734413,0.562922003526782,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"26","CAPZB","End",0.00151828237933346,7.99037400332185,0.0380201549622427,0.948687508844987,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"27","CAMK2N1","End",-0.000312134558662945,6.52026716037062,0.000171316575365656,0.989567412133045,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"28","CDA","End",0.00985573894440239,7.13086942523782,0.46998829966229,0.493629160920622,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"29","PINK1","End",0.0077796316403331,7.15831136217255,0.414753877404874,0.520158131295187,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"30","HP1BP3","End",0.00493326008364628,8.31251271555405,0.356512602550654,0.550991015354945,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"31","EIF4G3","End",-0.00300965013670779,9.32949260065838,0.17308780638749,0.677739735348192,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"32","ECE1","End",0.001828666572105,8.21750359002739,0.0284529671386171,0.866184985885608,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"33","ALPL","End",0.0126354743104763,7.81383841025492,0.683711790814955,0.409101745987992,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"34","USP48","End",0.00636251431847741,7.45445798186255,0.356578145629724,0.577069256795256,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"35","HSPG2","End",-0.018503640446116,7.65656838225525,1.22781546411329,0.268899549938914,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"36","CDC42","End",-0.00300164005930351,7.80980168867333,0.100587934739648,0.965896954388269,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"37","LUZP1","End",-0.00565043392217401,8.15097707605602,0.399983109490541,0.747163543087926,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"38","HNRNPR","End",0.0165537855228654,7.71218515611518,3.59586743310894,0.0590788872397043,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
"39","ID3","End",0.0102407039246922,9.28173892759843,0.570878320590114,0.450622954609399,0.99997899782875,0.999929757229534,"phys5itemsum_bl"
