"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5/6 NP",-0.00074175894708621,3.11484727331429,0.00468688065405435,0.945457784256516,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"2","AL669831.5","Exc L5/6 NP",-0.00722821813695783,5.41360580239297,1.4597512697307,0.227782548011447,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"3","NOC2L","Exc L5/6 NP",-0.000928480451988816,4.78414193728236,0.0225308436890868,0.880769689349202,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"4","KLHL17","Exc L5/6 NP",-0.00393738538184085,3.27479718131624,0.14379465120411,0.704766528825143,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"5","HES4","Exc L5/6 NP",-0.00800464141062733,3.13896799680204,0.339791309919045,0.560323768192622,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"6","AGRN","Exc L5/6 NP",-0.00374903752994945,4.83266541114664,0.319267257052841,0.572409049745457,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"7","C1orf159","Exc L5/6 NP",-0.00505616603682502,5.35382915526493,0.850570570279763,0.357024061712719,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"8","SDF4","Exc L5/6 NP",-0.0104934625496503,5.12904338061595,3.48270767812883,0.0628464385540898,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"9","B3GALT6","Exc L5/6 NP",-0.0030018140392757,2.98793968730375,0.0672612944230857,0.795518823891232,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"10","UBE2J2","Exc L5/6 NP",-0.00335045744438634,5.00419855781997,0.500201457438018,0.479880603533125,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"11","SCNN1D","Exc L5/6 NP",-0.0200387536930182,3.37194154065861,3.8147065671211,0.0515982648966252,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"12","ACAP3","Exc L5/6 NP",-0.00642925103040445,6.23357596997496,1.17960379497351,0.278181514701621,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"13","INTS11","Exc L5/6 NP",-0.00116846505088785,5.4166541949951,0.0533602730643677,0.967921753397795,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"14","CPTP","Exc L5/6 NP",0.00729329787955121,3.21659025869415,0.435040931042897,0.509957993908191,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"15","DVL1","Exc L5/6 NP",2.40048948287971e-05,4.38041572427587,4.57109432862076e-06,0.998295328520738,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"16","AURKAIP1","Exc L5/6 NP",-0.00664084148303704,4.02956871059902,0.395955395281568,0.529594547996444,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"17","CCNL2","Exc L5/6 NP",-0.000598280312359306,6.03805598392457,0.0196722041181214,0.888536834868751,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"18","MRPL20","Exc L5/6 NP",-0.00146022477519705,4.49919034474534,0.0397750395113141,0.842036481041924,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"19","VWA1","Exc L5/6 NP",-0.00257333943393344,2.98916305170023,0.0517281504657552,0.820215324652079,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"20","ATAD3C","Exc L5/6 NP",-0.00433294665232039,3.36830963049752,0.0780580660173714,0.780110962191236,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"21","ATAD3B","Exc L5/6 NP",-0.0074492493456744,4.48503706680345,1.389718460556,0.239250638686974,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"22","ATAD3A","Exc L5/6 NP",-0.0023555528004535,3.97062045200057,0.123911203903899,0.745188350072266,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"23","SSU72","Exc L5/6 NP",-0.00749873967796728,5.4938789771731,1.1441339071553,0.285515043243836,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"24","FNDC10","Exc L5/6 NP",-0.00633737353606826,3.89412841571037,0.374972237713151,0.540702599254875,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"25","AL691432.2","Exc L5/6 NP",-0.00121259186346312,3.14902182928567,0.0135556038018345,0.907379463893577,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"26","MIB2","Exc L5/6 NP",-0.000386398132349532,5.83389263086315,0.00616970990624148,0.937437276769517,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"27","MMP23B","Exc L5/6 NP",0.00108909798825654,2.96545927864652,0.0065763738384047,0.935412715563845,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"28","CDK11B","Exc L5/6 NP",-0.0109498702640812,4.87441499905092,3.44570749295373,0.0642535395596976,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"29","SLC35E2B","Exc L5/6 NP",0.004495294571482,4.86557324965854,0.576423397864228,0.654096494839319,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"30","CDK11A","Exc L5/6 NP",0.000333606851323952,4.27345853788353,0.001384606910584,0.970338460681964,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"31","SLC35E2A","Exc L5/6 NP",0.00442053283107364,4.73195120642938,0.504119271732838,0.478166844953628,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"32","NADK","Exc L5/6 NP",-0.00911781270931413,3.9983057958425,1.65992597404783,0.198461387525397,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"33","GNB1","Exc L5/6 NP",-8.57193190217343e-05,7.57467159584081,0.000967995075103336,0.975197397772202,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"34","CFAP74","Exc L5/6 NP",-0.00794890957706234,3.87339170319984,0.935902923604048,0.333999408849522,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"35","GABRD","Exc L5/6 NP",0.00247872953747135,4.38113253086707,0.0773852384882435,0.781036323911925,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"36","PRKCZ","Exc L5/6 NP",-0.00117810691559649,7.13657495047668,0.111801363797179,0.73830212601279,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"37","FAAP20","Exc L5/6 NP",-0.00328250109959568,4.08109296372261,0.17445567422754,0.676437109120394,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"38","SKI","Exc L5/6 NP",0.00608078480621808,6.04638019147027,1.53270154643583,0.216534339973544,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"39","MORN1","Exc L5/6 NP",-0.00754286835272096,4.41477143071083,1.20868792336376,0.272345130042055,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"40","RER1","Exc L5/6 NP",-0.000563883100027534,4.85320363734143,0.0110752898921758,0.916246078528989,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"41","PEX10","Exc L5/6 NP",-0.0155899991486724,3.48306363448105,2.6436492743706,0.104861360980465,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"42","PLCH2","Exc L5/6 NP",-0.00896584517641062,2.7310961608671,0.390080889785372,0.532662383004612,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"43","PANK4","Exc L5/6 NP",-0.00216297303380274,3.0539947894778,0.034073532856832,0.853657027932286,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"44","FAM213B","Exc L5/6 NP",-0.000587871822694962,3.718136062661,0.00397705408746499,0.949751503319892,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"45","TPRG1L","Exc L5/6 NP",0.00304584660657259,4.90664312487491,0.144653722638239,0.703927627086533,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"46","WRAP73","Exc L5/6 NP",-0.0035460725097362,3.6018513843093,0.187323487310894,0.665419298335718,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"47","LRRC47","Exc L5/6 NP",0.000661794935939198,4.48244345265892,0.0104255130896364,0.918731280707538,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"48","CEP104","Exc L5/6 NP",-0.0026158193025243,5.67741416046859,0.388971991387807,0.533245084259423,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"49","DFFB","Exc L5/6 NP",0.00199929637823625,4.9970979831931,0.141953481556197,0.706574176608141,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"50","C1orf174","Exc L5/6 NP",-0.0198545613150259,3.05235300327484,2.98927436890969,0.0846964380048105,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"51","AJAP1","Exc L5/6 NP",-0.0122780908132545,3.08467352179962,0.506235673101397,0.477245237153971,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"52","NPHP4","Exc L5/6 NP",-0.0030488594085368,5.29074327130842,0.356429463175118,0.550880590444873,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
"53","KCNAB2","Exc L5/6 NP",0.00221611350877757,6.82234588229352,0.366051262122045,0.545555264461817,0.999912007564789,0.999977916659317,"phys5itemsum_bl"
