"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",0.000121168058938515,7.52138347524336,6.353242386617e-05,0.993647877766777,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"2","HES4","Per",0.00103122767087137,10.1375153689353,0.00902973196788018,0.924385183966757,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"3","ISG15","Per",0.00476293036438404,7.09833798733747,0.042448390412951,0.836965976329586,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"4","AGRN","Per",0.00911818909636182,8.71461122164518,0.913293451109558,0.3403351476816,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"5","CCNL2","Per",-3.56166809542234e-05,7.47897704675542,2.50353078165912e-06,0.998739037879974,0.999036832381199,0.999929757229534,"phys5itemsum_bl"
"6","GNB1","Per",0.0048884792910925,8.78930329797782,0.438543388322521,0.508548617451575,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"7","SKI","Per",-0.000888974658824789,7.63908318531507,0.00606432772679415,0.938002205648135,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"8","CAMTA1","Per",-0.0043504791148937,8.61501401182595,0.26708967462846,0.605831753409657,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"9","PER3","Per",0.0187409069452095,7.60910859729809,1.59431854884206,0.208103179198581,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"10","RERE","Per",-0.000132349913116436,9.30539524653253,0.000502249453181299,0.982141336017227,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"11","PIK3CD","Per",0.00164373705565009,8.11526924867806,0.0130329041890805,0.909218076830048,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"12","CLSTN1","Per",0.00649698670056865,8.01053051869853,0.465402652904162,0.495857637226146,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"13","UBE4B","Per",0.0127804035297738,8.10611760558075,1.72134210688609,0.190945243892232,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"14","KIF1B","Per",-0.00150003492838662,8.29735975932197,0.0273411873547148,0.868825396669147,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"15","PEX14","Per",0.00405956608475508,6.87106509369737,0.0671933895239369,0.795720503922385,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"16","PLOD1","Per",-9.4755476963248e-05,8.38004748109341,0.000112587000254475,0.991544063931963,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"17","TNFRSF1B","Per",0.00436534588361952,7.69539480561493,0.110659607021747,0.739724527378979,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"18","VPS13D","Per",0.00608625153865641,9.29405417531331,0.299604200095598,0.584708850639121,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"19","PRDM2","Per",0.00400801623903116,7.71244553534458,0.163322852850268,0.686524604039264,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"20","KAZN","Per",-0.00587750164095186,8.19987526706946,0.317583756705722,0.573661465373056,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"21","TMEM51","Per",0.00764896057689653,7.35200529160608,0.34721244878175,0.556325393766981,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"22","FBLIM1","Per",-0.0527356857395303,7.0162745394901,3.77372033075154,0.0533937566580752,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"23","SPEN","Per",-0.00433537781950581,8.23009999551482,0.284262743115645,0.707214547917502,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"24","SRARP","Per",0.00230014345551472,5.8860582614653,0.00388108545523536,0.9503841793347,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"25","FBXO42","Per",0.00015653215781988,7.49993508337754,0.000202249277954374,0.995488096532676,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"26","UBR4","Per",0.0174694281851064,7.90922192119667,3.22058460993167,0.074148338199547,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"27","CAPZB","Per",0.00270021134512289,8.77011316946937,0.12917744578808,0.928139121132085,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"28","NBL1","Per",-0.00383101587140835,7.67757399690103,0.110645277722648,0.739740764343366,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"29","CAMK2N1","Per",0.00336301099535745,7.66264444282302,0.0816860137565262,0.77530569475159,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"30","HP1BP3","Per",-0.0131813715250924,8.9462890414211,2.04284370005977,0.154401629820911,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"31","EIF4G3","Per",-0.00565389648066728,9.24567492618287,0.540607532782171,0.462997101758437,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"32","ECE1","Per",0.00837304840412298,9.44838069344583,0.913951112400745,0.340161721574513,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"33","USP48","Per",0.00332913776869585,7.40985760833223,0.0959177489147191,0.757090102640544,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"34","CDC42","Per",0.00793159879341004,7.43485139116287,0.573976090701073,0.449528070807134,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"35","LUZP1","Per",-0.00135739177594924,7.13997389735904,0.00901477436900087,0.924447648252523,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"36","HNRNPR","Per",-0.0130959926729863,7.433783142771,1.65176317218327,0.200127333993849,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"37","ID3","Per",0.000778927773099177,7.6076330660981,0.00129097037749745,0.971372065474513,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"38","RPL11","Per",-0.00803312575564861,7.39753052009418,0.195119267681267,0.659141749940758,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"39","SRSF10","Per",-0.00641083094982591,7.52802741227962,0.349631628880729,0.55495433089549,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"40","SRRM1","Per",-0.00399756023413331,7.46566884248874,0.139261879871245,0.70939035546206,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"41","CLIC4","Per",0.000406405220281818,8.15661225286754,0.00151702280403842,0.968967876515942,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"42","RSRP1","Per",-0.00446608205888093,8.81815593550272,0.298358433790832,0.585490165790417,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"43","TMEM50A","Per",0.00361082228944739,7.34662650860527,0.07396133334724,0.785919848666002,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"44","MACO1","Per",-0.00765814486301493,7.24865082778352,0.349945685855891,0.554776810167741,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"45","MAN1C1","Per",-0.000114952383112183,7.17660286838976,8.24762668479962e-05,0.992762572036189,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"46","SH3BGRL3","Per",-0.000327237808764671,7.07788150145254,0.000199371763727925,0.988747653922426,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"47","ARID1A","Per",-0.00837351959283897,8.06142917578142,0.700995705384507,0.403396153397656,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"48","SLC9A1","Per",0.005272323335985,7.38235809064577,0.176082224125493,0.675188678891928,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"49","WASF2","Per",0.0155731714145616,8.57333113701785,5.48889617806934,0.0200681034518855,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"50","IFI6","Per",-0.0294559683393629,6.36714733023933,0.808741885494655,0.369517108206993,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"51","STX12","Per",-0.000444139202818741,7.4438647717896,0.00128142113067755,0.97147809613693,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"52","EYA3","Per",-0.00767733787664534,7.0856679694565,0.321047785599816,0.57158054857108,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"53","PHACTR4","Per",0.0072334919249314,8.25063178217794,0.697660243803916,0.404515301173417,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"54","SRSF4","Per",-0.00139736604549151,8.03557360661739,0.0245399263214407,0.875668634939199,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"55","PUM1","Per",0.00923728030903519,8.75867135697398,1.67448073299344,0.197073314080095,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"56","TINAGL1","Per",0.00536691697598018,7.33136088946332,0.137948648931169,0.710701401499474,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"57","KHDRBS1","Per",-0.0102998253997089,7.77424840852713,1.00417070700949,0.317450646496966,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"58","KPNA6","Per",0.0127630086362938,7.56441572105817,1.52303127653967,0.218533434063276,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"59","MARCKSL1","Per",-0.00937816083543164,7.00632114540166,0.215555024934224,0.642926268308572,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"60","BSDC1","Per",0.0202975252789295,7.27659480712696,3.69747069108671,0.0558406180240022,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"61","TRIM62","Per",0.0126618467849518,6.75958775515729,0.493859306469453,0.48298499825541,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"62","PHC2","Per",-5.13577021346489e-05,8.08059134166291,1.6063828670161e-05,0.996805895518481,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"63","GJA4","Per",0.0118415268363979,8.07104230441867,0.673990313569845,0.412589959218688,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"64","SFPQ","Per",-0.00230075581715769,8.3099764473781,0.0857079686279406,0.981150541802557,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"65","ZMYM4","Per",-0.0138735378335069,8.43186684081051,3.91578759927074,0.0491345839075881,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"66","KIAA0319L","Per",0.00133246869682833,7.8131323402339,0.014055891185283,0.905738637829731,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
"67","PSMB2","Per",-0.0170017554250741,6.63333485112934,0.703279232997283,0.4026325709591,0.998935781723607,0.999929757229534,"phys5itemsum_bl"
