"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",-0.000957512435710913,5.41314103684336,0.00075159488921837,0.97816838600675,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"2","NOC2L","Exc L5 ET",-0.0449215614831811,4.98314627760347,2.7317289561724,0.100659261049043,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"3","HES4","Exc L5 ET",0.0163413738075576,5.10906816707055,0.155462576836351,0.693981018213137,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"4","AGRN","Exc L5 ET",-0.045648414048892,5.16219979484314,2.18921692103193,0.141272393509575,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"5","C1orf159","Exc L5 ET",0.00265081204161295,5.65624680550741,0.015212562296059,0.902018984258966,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"6","SDF4","Exc L5 ET",0.0140491750551656,5.18211582803191,0.367522182910876,0.616056660176187,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"7","UBE2J2","Exc L5 ET",-0.00956804669738314,4.86454565539677,0.163113897179517,0.96618368338312,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"8","ACAP3","Exc L5 ET",0.00280547261919248,6.38105691287136,0.0218903941972395,0.882596264748096,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"9","INTS11","Exc L5 ET",-0.00441043197400674,5.47773946808954,0.0483852069125884,0.826224285749819,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"10","DVL1","Exc L5 ET",-0.00888135287013385,4.30273697653885,0.0677673660965474,0.795005940643458,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"11","AURKAIP1","Exc L5 ET",0.00934536657992042,4.78708925322489,0.0544892927295089,0.815775883207517,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"12","CCNL2","Exc L5 ET",-0.0249628545996033,5.64516218454033,1.71244433819651,0.205124688121159,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
"13","MRPL20","Exc L5 ET",0.0241808807797599,4.75415929673909,0.544732945693519,0.461738348338275,0.999618789042432,0.999974042337544,"phys5itemsum_lv"
