"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",-0.00774222920670055,3.67188017111242,0.224406809407423,0.63598707304999,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"2","AL669831.5","Exc L5-6 RORB LINC02196",-0.0136815720754029,6.03804899295426,1.69835113651183,0.19332923988957,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"3","NOC2L","Exc L5-6 RORB LINC02196",0.0102681911683884,4.86720491636645,0.980028158588095,0.322850856507882,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"4","KLHL17","Exc L5-6 RORB LINC02196",-0.0276881388970733,3.13669642515511,2.7057453258641,0.100852438526815,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"5","HES4","Exc L5-6 RORB LINC02196",0.0170870842746895,4.77525100567514,1.14942092858339,0.284382204748012,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"6","ISG15","Exc L5-6 RORB LINC02196",-0.0180583324196761,2.56843632772794,0.38143739306147,0.537221969596123,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"7","AGRN","Exc L5-6 RORB LINC02196",-0.00318448604851581,4.46144162628799,0.0684805379749851,0.7937104268645,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"8","C1orf159","Exc L5-6 RORB LINC02196",-0.0117465183049694,5.43341462227575,1.62302483998912,0.203485077707444,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"9","SDF4","Exc L5-6 RORB LINC02196",0.00834408274608424,5.1685091625801,0.994383087171926,0.319337303555856,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"10","B3GALT6","Exc L5-6 RORB LINC02196",0.0208208305799345,3.03085893368001,1.33712472508719,0.248301638709808,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
"11","UBE2J2","Exc L5-6 RORB LINC02196",-0.00543444596363207,4.83870630475661,0.424408785972189,0.515157264207196,0.999969595408527,0.999974042337544,"phys5itemsum_lv"
