"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",-0.206263811514291,3.22532413492791,7.31033936050022,0.007166736671605,0.484713508260859,0.537221479478321,"plaq_d"
"2","AL669831.5","Inh RYR3 TSHZ2",0.00511885103672915,5.47938581179613,0.0200653655668343,0.887430425655744,0.999708345611586,0.99999273622984,"plaq_d"
"3","NOC2L","Inh RYR3 TSHZ2",-0.0511707787996536,4.65916596049129,1.5378419198191,0.21571145642008,0.816958360527951,0.840625303066182,"plaq_d"
"4","KLHL17","Inh RYR3 TSHZ2",0.0557543543051235,3.30266201534713,0.547916226806465,0.459631607955109,0.924038172383545,0.935154557478917,"plaq_d"
"5","HES4","Inh RYR3 TSHZ2",-0.117793445227962,3.67909032630454,2.6502407515559,0.10437052506469,0.732242074798706,0.764346864078048,"plaq_d"
"6","ISG15","Inh RYR3 TSHZ2",-0.0974466726104529,3.02203460495345,1.13007854485473,0.288439794145123,0.856681454058876,0.874920123237691,"plaq_d"
"7","AGRN","Inh RYR3 TSHZ2",-0.0345302445502114,3.34424613688749,0.192820740403779,0.660831081904501,0.973365132832863,0.980410801152203,"plaq_d"
"8","C1orf159","Inh RYR3 TSHZ2",-0.0259339489076174,5.31087684570507,0.521183970055768,0.470785095740048,0.927213727895484,0.93760745181677,"plaq_d"
"9","SDF4","Inh RYR3 TSHZ2",-0.0270581970415816,5.6747176612645,0.744319478852706,0.388829788550722,0.901762892982117,0.914866318906015,"plaq_d"
"10","UBE2J2","Inh RYR3 TSHZ2",-0.00891960822516147,5.14360158805745,0.0915704651083102,0.771989303360169,0.995697272296492,0.99953243735132,"plaq_d"
"11","SCNN1D","Inh RYR3 TSHZ2",-0.140078502143117,3.69694885650245,4.95895708663729,0.0265465889682414,0.59120106562951,0.643142043682203,"plaq_d"
"12","ACAP3","Inh RYR3 TSHZ2",0.00501275189363369,6.58102150484276,0.0307635570540006,0.860863200535658,0.999708345611586,0.99999273622984,"plaq_d"
"13","INTS11","Inh RYR3 TSHZ2",-0.0359178711104343,5.47038349933278,1.29328761153347,0.256166049993474,0.836120478231387,0.861048102982679,"plaq_d"
"14","CPTP","Inh RYR3 TSHZ2",0.0597857772327865,3.35020458406152,0.749178934330783,0.387287382205713,0.90061814339198,0.914672507792795,"plaq_d"
"15","DVL1","Inh RYR3 TSHZ2",-0.0220949016688356,4.44464688967142,0.236624250035891,0.626937925831628,0.971895441941428,0.973827882914091,"plaq_d"
"16","AURKAIP1","Inh RYR3 TSHZ2",-0.0350125829156642,4.08347065618394,0.331334043165351,0.565218406238766,0.952621517135263,0.960410607990594,"plaq_d"
"17","CCNL2","Inh RYR3 TSHZ2",-0.0572313802445007,6.09322835019758,4.90030141380515,0.027450684833655,0.59120106562951,0.644756897288405,"plaq_d"
"18","MRPL20","Inh RYR3 TSHZ2",-0.0502195327681065,4.72620010645863,1.4848930980152,0.22377334756138,0.819727968998769,0.84523482199167,"plaq_d"
"19","ATAD3B","Inh RYR3 TSHZ2",-0.00531837725067506,4.53386723331022,0.0160654081007395,0.899206400838524,0.999708345611586,0.99999273622984,"plaq_d"
"20","ATAD3A","Inh RYR3 TSHZ2",-0.0615815273435709,4.04122931220961,1.48543984249458,0.223688273265904,0.819727968998769,0.84521199944936,"plaq_d"
"21","SSU72","Inh RYR3 TSHZ2",-0.0285992321866997,5.1908530528564,0.576133712254053,0.448306615830495,0.920853533660377,0.931953729593048,"plaq_d"
