"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L2-3 CBLN2 LINC02306",-0.00844920892128761,2.87902628119821,0.0828185105247315,0.773659035266863,0.869232493365373,0.869232493365373,"plaq_n"
"2","AL669831.5","Exc L2-3 CBLN2 LINC02306",0.0381622464092875,5.9595581206842,2.50917239469913,0.113956625011109,0.249352918668677,0.249352918668677,"plaq_n"
"3","LINC00115","Exc L2-3 CBLN2 LINC02306",-0.0896581173291019,0.594945663814315,2.94507353248691,0.0868954201992364,0.207805096795453,0.207805096795453,"plaq_n"
"4","AL645608.7","Exc L2-3 CBLN2 LINC02306",0.225603540475637,-1.79973399757703,6.82980342845003,0.00929485840178026,0.0453230802926627,0.0453230802926627,"plaq_n"
"5","NOC2L","Exc L2-3 CBLN2 LINC02306",0.0172777757185759,4.53759331655968,0.701004470854845,0.402934318317827,0.582065142663555,0.582065142663555,"plaq_n"
"6","KLHL17","Exc L2-3 CBLN2 LINC02306",0.0781471020110437,2.72258080970362,5.60436414359889,0.0183794657445008,0.0715101530835529,0.0715101530835529,"plaq_n"
"7","AL645608.8","Exc L2-3 CBLN2 LINC02306",-0.146189515991395,-0.815834298847355,3.89055739886103,0.0492300755313216,0.140441148312799,0.140441148312799,"plaq_n"
"8","HES4","Exc L2-3 CBLN2 LINC02306",-0.242154274815541,3.44094930896646,19.854222182718,1.07980513563627e-05,0.000468798045763851,0.000468798045763851,"plaq_n"
"9","ISG15","Exc L2-3 CBLN2 LINC02306",-0.0419195445458705,1.39258502427836,0.626420869076618,0.429129001965163,0.605428916899757,0.605428916899757,"plaq_n"
"10","AL645608.2","Exc L2-3 CBLN2 LINC02306",-0.0238443703664499,-0.83408064563011,0.151422696298916,0.697381560977009,0.817548497922008,0.817548497922008,"plaq_n"
"11","AGRN","Exc L2-3 CBLN2 LINC02306",-0.0423020157829368,5.1669314213926,1.51739347163865,0.218720628558823,0.388449327878219,0.388449327878219,"plaq_n"
"12","C1orf159","Exc L2-3 CBLN2 LINC02306",-0.0284345637644868,5.60755105059359,1.64866427064307,0.199866196576656,0.36624349827815,0.36624349827815,"plaq_n"
"13","TNFRSF18","Exc L2-3 CBLN2 LINC02306",-0.100046201293602,1.17623123007398,3.49812481706267,0.0621508922779769,0.164858844551851,0.164858844551851,"plaq_n"
"14","TNFRSF4","Exc L2-3 CBLN2 LINC02306",0.0676923705442319,0.602827186374649,1.44813585029601,0.229521923341287,0.401398811337213,0.401398811337213,"plaq_n"
"15","SDF4","Exc L2-3 CBLN2 LINC02306",-0.0143692218771501,5.13373751649111,0.625589413073068,0.429435221240449,0.605681957186853,0.605681957186853,"plaq_n"
"16","B3GALT6","Exc L2-3 CBLN2 LINC02306",0.0339050014067829,2.3946138896352,1.13798050008672,0.286707427506328,0.467069591091246,0.467069591091246,"plaq_n"
"17","C1QTNF12","Exc L2-3 CBLN2 LINC02306",-0.163474881702344,-0.279681333698541,6.94322201836141,0.00873274311613062,0.0434646958825645,0.0434646958825645,"plaq_n"
"18","UBE2J2","Exc L2-3 CBLN2 LINC02306",0.00457004875541239,4.77742812713494,0.114393129479281,0.735370184636067,0.84211640255249,0.84211640255249,"plaq_n"
"19","LINC01786","Exc L2-3 CBLN2 LINC02306",-0.101490999267748,1.75115483628084,8.28505477289984,0.00420652307938136,0.0267711280957644,0.0267711280957644,"plaq_n"
"20","SCNN1D","Exc L2-3 CBLN2 LINC02306",-0.0499911166389363,2.94040429531045,2.44751879940233,0.118482552383374,0.256324921460969,0.256324921460969,"plaq_n"
"21","ACAP3","Exc L2-3 CBLN2 LINC02306",0.0407700494490556,6.99954824764905,3.1703409546788,0.0757274326804337,0.188597693083114,0.188597693083114,"plaq_n"
"22","PUSL1","Exc L2-3 CBLN2 LINC02306",-0.0225348297767816,1.71505130925101,0.504581833057573,0.876603167581344,0.932069276993754,0.932069276993754,"plaq_n"
