"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP ABI3BP",-0.0122831649120145,5.35837004570684,0.143311264224713,0.70524709386255,0.899675967983825,0.91354392969258,"plaq_n"
"2","NOC2L","Inh VIP ABI3BP",-0.0338491717691541,4.71549403187221,0.900805389788708,0.343239163378652,0.66852833391174,0.6963261132021,"plaq_n"
"3","HES4","Inh VIP ABI3BP",-0.237943633069559,4.50604993704157,17.9397631045537,2.93807293282388e-05,0.00557272306094887,0.00617776026395515,"plaq_n"
"4","C1orf159","Inh VIP ABI3BP",-0.0255591455793179,5.32403599429442,0.736199813867539,0.391484651062167,0.70646798678481,0.733814266162225,"plaq_n"
"5","SDF4","Inh VIP ABI3BP",-0.0128392253232675,5.70434678165248,0.210082102597383,0.646995529607995,0.872421033028002,0.88671782628904,"plaq_n"
"6","B3GALT6","Inh VIP ABI3BP",0.00720942289222389,3.88995309042943,0.0159950777291973,0.89943325770051,0.979731413212042,0.984947522405326,"plaq_n"
"7","UBE2J2","Inh VIP ABI3BP",-0.00723548200975489,5.18632672336389,0.0726053516938772,0.905443639704006,0.981971935688969,0.986308570391959,"plaq_n"
"8","ACAP3","Inh VIP ABI3BP",-0.0150902153861655,6.27489054485456,0.325041160704437,0.568969810426723,0.830061760794688,0.846287095689927,"plaq_n"
"9","INTS11","Inh VIP ABI3BP",0.0446945744830618,5.42843882665152,2.8702515431192,0.0911454146615347,0.375970330466244,0.396619829997595,"plaq_n"
"10","DVL1","Inh VIP ABI3BP",0.0320073975807348,4.56528802044977,0.858962513298701,0.450015565827054,0.750289656817617,0.774757561548678,"plaq_n"
"11","AURKAIP1","Inh VIP ABI3BP",0.00633827939529049,4.2594541333852,0.0131500083156782,0.908771538932293,0.983034106955334,0.98696352592221,"plaq_n"
"12","CCNL2","Inh VIP ABI3BP",-0.0115471800258465,6.23072920175302,0.319928320822757,0.572023352081027,0.832648189412287,0.848056953964431,"plaq_n"
"13","MRPL20","Inh VIP ABI3BP",-0.0747769737516462,4.78616363322828,4.04349709330012,0.0451299583162852,0.274929678077149,0.28844318868794,"plaq_n"
"14","ATAD3B","Inh VIP ABI3BP",-0.111226961616618,4.43170272974137,7.17263811019475,0.00776140698692957,0.115979427057403,0.125796833563185,"plaq_n"
"15","ATAD3A","Inh VIP ABI3BP",-0.0566481521271714,4.12028338891356,1.51224116454279,0.219646662366984,0.548695876870779,0.57833216895398,"plaq_n"
"16","SSU72","Inh VIP ABI3BP",0.0144482850579258,5.40132401889826,0.206711087242291,0.649647317837207,0.87311528210226,0.887922918248811,"plaq_n"
"17","FNDC10","Inh VIP ABI3BP",-0.0196940572275755,4.21033573660469,0.13006334231952,0.718590059134033,0.906047517173773,0.919249427282057,"plaq_n"
"18","MIB2","Inh VIP ABI3BP",-0.014028217272123,5.14374589859103,0.188217309077977,0.664679315454271,0.881946284006166,0.895195313381702,"plaq_n"
"19","CDK11B","Inh VIP ABI3BP",0.00281672278452856,4.92565318474101,0.00679741949831027,0.934340145623578,0.990312770592314,0.991905377004778,"plaq_n"
"20","SLC35E2B","Inh VIP ABI3BP",0.0359554380458543,4.99150881063144,1.27775415772778,0.259112840678357,0.591701319840174,0.620198857776251,"plaq_n"
"21","CDK11A","Inh VIP ABI3BP",0.157189253974196,4.35533407861311,12.6960299809954,0.000418717855576446,0.0240191298519972,0.0273516503284685,"plaq_n"
"22","SLC35E2A","Inh VIP ABI3BP",-0.00582129552408245,4.92602474138165,0.0264814826023379,0.870826543841434,0.972120118282915,0.977303591469869,"plaq_n"
"23","NADK","Inh VIP ABI3BP",0.00948772743198212,4.53463519894195,0.0692417166648454,0.813797902627374,0.950945873171854,0.958112641128393,"plaq_n"
"24","GNB1","Inh VIP ABI3BP",0.0102872659790417,7.79447728360297,0.627208506707666,0.428932630844067,0.733785701043835,0.760391175786393,"plaq_n"
"25","PRKCZ","Inh VIP ABI3BP",-0.0536244258147993,6.64852178810631,7.26010840817506,0.00739987635107723,0.113024172905472,0.122826152185525,"plaq_n"
"26","FAAP20","Inh VIP ABI3BP",0.0256193211978973,4.35132512603702,0.382967388123961,0.536433298647983,0.8127732464147,0.827878240712096,"plaq_n"
"27","SKI","Inh VIP ABI3BP",0.0158186778631549,6.4664849301709,0.448274662240146,0.503609295981328,0.789828220373263,0.808789559418555,"plaq_n"
"28","MORN1","Inh VIP ABI3BP",-0.106922198131311,4.0472950910585,4.19372518427497,0.0413407763931304,0.261691128236126,0.277403685831946,"plaq_n"
"29","RER1","Inh VIP ABI3BP",-0.0299674087919781,4.86550476902439,0.708699209741908,0.400467004656253,0.712670043086665,0.740541633279409,"plaq_n"
"30","PLCH2","Inh VIP ABI3BP",0.0238420853290497,4.49061335638313,0.310972774101218,0.577450386253495,0.835837603712773,0.850963388686803,"plaq_n"
"31","FAM213B","Inh VIP ABI3BP",0.0293409120958073,3.97113171734712,0.3133437372177,0.576003690544397,0.835245402007004,0.850230428029686,"plaq_n"
"32","TPRG1L","Inh VIP ABI3BP",0.0289049549961474,4.55445093752243,0.449021050599035,0.503254516316381,0.78982264393147,0.808589591363062,"plaq_n"
"33","LRRC47","Inh VIP ABI3BP",0.01550694081797,4.51492309535425,0.170096603980437,0.680285581952765,0.888544438122906,0.90255722791861,"plaq_n"
"34","CEP104","Inh VIP ABI3BP",-0.000863864669142776,5.59701294906968,0.00119740058276389,0.972416210824214,0.999217983530348,0.997457101662066,"plaq_n"
"35","DFFB","Inh VIP ABI3BP",-0.013622823065131,4.86395398920843,0.151055481240794,0.697771711986819,0.896706038700741,0.910212304407529,"plaq_n"
"36","AJAP1","Inh VIP ABI3BP",-0.0849367252374638,5.63501785770636,6.18938007486706,0.0133298724160597,0.151975113709656,0.163150743985869,"plaq_n"
"37","NPHP4","Inh VIP ABI3BP",-0.0408369694890764,5.54812009196856,1.82399073506055,0.177736113535863,0.502553283934339,0.529605820190156,"plaq_n"
"38","KCNAB2","Inh VIP ABI3BP",-0.072854978976555,5.58582546553779,6.6274386841668,0.0104640963279856,0.1341049789847,0.14522454792422,"plaq_n"
"39","CHD5","Inh VIP ABI3BP",0.0413185558446113,7.27165757537253,4.83937080495083,0.0284886674767372,0.219199875259241,0.233609322383154,"plaq_n"
"40","RPL22","Inh VIP ABI3BP",0.0515477027765173,5.32260675471506,3.1379331843847,0.0773853331061794,0.347517776566364,0.368592640295908,"plaq_n"
"41","RNF207","Inh VIP ABI3BP",-0.0213791565109781,4.42065899312147,0.273592414772124,0.601272358277884,0.850043805604402,0.863746991445972,"plaq_n"
"42","ICMT","Inh VIP ABI3BP",0.0242742404309182,4.13483180722118,0.290217126653206,0.590433535006703,0.844016939624333,0.857979809940063,"plaq_n"
"43","ACOT7","Inh VIP ABI3BP",-0.0490582588960615,6.25583354227652,4.9886910942066,0.0261627657166484,0.210431743990806,0.224528218505748,"plaq_n"
"44","TNFRSF25","Inh VIP ABI3BP",0.000805546417845368,5.31626353636688,0.000556663943565337,0.981190500180431,0.999943380294644,0.998375777332434,"plaq_n"
"45","PLEKHG5","Inh VIP ABI3BP",-0.0233663952326916,4.47688549648901,0.338931186435523,0.560832185749366,0.825620549950407,0.841804306017091,"plaq_n"
"46","NOL9","Inh VIP ABI3BP",-0.0290346086030639,5.05125304086908,0.76521859074195,0.382317058011475,0.698131723299062,0.726874200670695,"plaq_n"
"47","ZBTB48","Inh VIP ABI3BP",-0.0726199341293713,4.11618807401145,2.1843642329591,0.140343253907294,0.45461462821102,0.478820289189367,"plaq_n"
"48","KLHL21","Inh VIP ABI3BP",0.105409720121683,4.87889999213624,9.14705297150767,0.00268051760353896,0.0675438638650203,0.0734546079405458,"plaq_n"
"49","DNAJC11","Inh VIP ABI3BP",-0.0601087436806896,5.77986614401658,5.28229993958033,0.022148886004876,0.194984961015077,0.207481495341583,"plaq_n"
"50","CAMTA1","Inh VIP ABI3BP",-0.0389363010664055,9.27328746940137,10.4341903741028,0.00135767199992541,0.0458357097191647,0.0517759197326591,"plaq_n"
"51","VAMP3","Inh VIP ABI3BP",-0.0510550314201552,4.01880222568483,1.20953994329053,0.273269398222357,0.605834838094344,0.634172123439678,"plaq_n"
"52","PER3","Inh VIP ABI3BP",0.0162808260777102,7.15684550231875,0.491662624938257,0.483665629218605,0.773520460843878,0.796283035256122,"plaq_n"
"53","PARK7","Inh VIP ABI3BP",-0.040613066884525,5.11567737405915,1.01900289989303,0.31347262586444,0.643145442714576,0.671140948891965,"plaq_n"
"54","ERRFI1","Inh VIP ABI3BP",-0.0173698320793266,4.51232255040014,0.217154137014446,0.641514963725233,0.869969556009877,0.884049266722408,"plaq_n"
"55","SLC45A1","Inh VIP ABI3BP",-0.0457299605378466,4.29816580814624,1.15099921828395,0.284100032872051,0.616763957191553,0.644605667595312,"plaq_n"
"56","RERE","Inh VIP ABI3BP",0.00336495622394208,8.97074451702711,0.0767039434364992,0.781982934967628,0.9363689138639,0.945718219663054,"plaq_n"
"57","ENO1","Inh VIP ABI3BP",0.00550132430412656,5.65688879474046,0.0257115281994151,0.872701943164571,0.973121162242981,0.977965191636332,"plaq_n"
"58","MIR34AHG","Inh VIP ABI3BP",0.00156996357066522,4.21697902739259,0.00086380203538042,0.976570365269131,0.999943380294644,0.998064401004006,"plaq_n"
