"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 THEMIS NFIA",-0.0880814251543985,2.88473752619583,1.55778725059203,0.213545138290816,0.497032759838895,0.497032759838895,"plaq_n_quartile_numeric"
"2","AL669831.5","Exc L6 THEMIS NFIA",-0.0655278165768549,5.64776755986596,5.11287649813735,0.024896927907133,0.147544976333539,0.147544976333539,"plaq_n_quartile_numeric"
"3","LINC00115","Exc L6 THEMIS NFIA",0.124896087119326,0.761190666064576,0.98216684624454,0.322941049150647,0.615084934672958,0.615084934672958,"plaq_n_quartile_numeric"
"4","NOC2L","Exc L6 THEMIS NFIA",0.0530290705460339,4.6069349788917,2.55470276984056,0.111649521873359,0.351590997426827,0.351590997426827,"plaq_n_quartile_numeric"
"5","KLHL17","Exc L6 THEMIS NFIA",0.0738994470414727,2.74433240400408,1.96191341368595,0.162960825464096,0.429146953258174,0.429146953258174,"plaq_n_quartile_numeric"
"6","HES4","Exc L6 THEMIS NFIA",-0.154962167389132,2.22072671365994,1.41919593418187,0.235040920653931,0.523726131034227,0.523726131034227,"plaq_n_quartile_numeric"
"7","ISG15","Exc L6 THEMIS NFIA",0.278016386088444,0.682462904717638,3.54062184281653,0.0614318528154906,0.250695135122896,0.250695135122896,"plaq_n_quartile_numeric"
"8","AGRN","Exc L6 THEMIS NFIA",-0.00181505241603072,4.15489215384606,0.00068744920879714,0.979110331058132,0.997187904392509,0.997187904392509,"plaq_n_quartile_numeric"
"9","C1orf159","Exc L6 THEMIS NFIA",-0.0552961019854386,5.44126669900095,3.95185756166346,0.0482741968292059,0.216358018584793,0.216358018584793,"plaq_n_quartile_numeric"
"10","TNFRSF18","Exc L6 THEMIS NFIA",-0.0289245111630534,1.02708931112301,0.0496899559358699,0.823846193583675,0.950306133413916,0.950306133413916,"plaq_n_quartile_numeric"
"11","TNFRSF4","Exc L6 THEMIS NFIA",0.250425037983566,-0.0605287354038401,1.75699343045023,0.186612001530128,0.462848401967638,0.462848401967638,"plaq_n_quartile_numeric"
"12","SDF4","Exc L6 THEMIS NFIA",-0.0871128521602643,4.84706385240926,6.35884142248078,0.0125119494591229,0.0962681532311603,0.0962681532311603,"plaq_n_quartile_numeric"
"13","B3GALT6","Exc L6 THEMIS NFIA",0.0448056523333336,2.60914817310619,0.617217162532344,0.433074481978701,0.716855709567442,0.716855709567442,"plaq_n_quartile_numeric"
"14","C1QTNF12","Exc L6 THEMIS NFIA",-0.121418805146853,0.0270014773448999,0.601467619584641,0.43899521706699,0.721254024030149,0.721254024030149,"plaq_n_quartile_numeric"
"15","UBE2J2","Exc L6 THEMIS NFIA",0.00467011110211129,4.64236539409038,0.024221702876733,0.876489476351269,0.970716429823997,0.970716429823997,"plaq_n_quartile_numeric"
"16","LINC01786","Exc L6 THEMIS NFIA",-0.197116106361066,1.90478304759209,8.33066365717203,0.00435540113789736,0.0494467752759386,0.0494467752759386,"plaq_n_quartile_numeric"
"17","SCNN1D","Exc L6 THEMIS NFIA",0.0351015798953701,2.8205599922883,0.329643985492315,0.566556609032627,0.811145340911014,0.811145340911014,"plaq_n_quartile_numeric"
"18","ACAP3","Exc L6 THEMIS NFIA",0.0425382253046077,6.36242402357535,2.61388547156255,0.107612351928185,0.345123446199828,0.345123446199828,"plaq_n_quartile_numeric"
"19","PUSL1","Exc L6 THEMIS NFIA",0.0940599821481663,1.67439778442732,1.46771769162013,0.227230052901643,0.513604137993053,0.513604137993053,"plaq_n_quartile_numeric"
"20","INTS11","Exc L6 THEMIS NFIA",0.0284636558988379,5.20539181443655,1.21796633330477,0.271173843399393,0.563215814180103,0.563215814180103,"plaq_n_quartile_numeric"
"21","CPTP","Exc L6 THEMIS NFIA",0.0614181668766933,2.92400632315878,1.36563302790815,0.244046563076124,0.533648500667235,0.533648500667235,"plaq_n_quartile_numeric"
"22","DVL1","Exc L6 THEMIS NFIA",-0.00782499142988826,4.28899738990437,0.0602341470785352,0.806394541877026,0.943972701106046,0.943972701106046,"plaq_n_quartile_numeric"
"23","AURKAIP1","Exc L6 THEMIS NFIA",0.0940346105787453,4.02686351047704,4.49174563840694,0.0353742308802988,0.181220859657007,0.181220859657007,"plaq_n_quartile_numeric"
"24","CCNL2","Exc L6 THEMIS NFIA",-0.0287972219352021,5.89738927263985,1.27708176311434,0.259885233485873,0.55040122448273,0.55040122448273,"plaq_n_quartile_numeric"
"25","MRPL20","Exc L6 THEMIS NFIA",0.134666679645172,4.4343285321439,16.2987095912905,7.87593797560967e-05,0.0039664641115199,0.0039664641115199,"plaq_n_quartile_numeric"
"26","AL391244.3","Exc L6 THEMIS NFIA",0.0698215362208516,1.0220247551721,0.466667599800082,0.495367078951649,0.764364046665978,0.764364046665978,"plaq_n_quartile_numeric"
"27","ANKRD65","Exc L6 THEMIS NFIA",0.0641008610917857,2.81768735663814,0.5477435986589,0.460166392596735,0.738233808502671,0.738233808502671,"plaq_n_quartile_numeric"
"28","VWA1","Exc L6 THEMIS NFIA",0.126849154476541,0.896526721478555,1.30979070663729,0.253890747439673,0.543228560895944,0.543228560895944,"plaq_n_quartile_numeric"
"29","ATAD3C","Exc L6 THEMIS NFIA",-0.0459689691174323,1.87646976096383,0.216694654578333,0.642110033738156,0.859957890731563,0.859957890731563,"plaq_n_quartile_numeric"
"30","ATAD3B","Exc L6 THEMIS NFIA",-0.0460522837432573,4.51752335952362,1.08634347097769,0.298624196013933,0.59075226055539,0.59075226055539,"plaq_n_quartile_numeric"
"31","ATAD3A","Exc L6 THEMIS NFIA",0.0315930555621582,3.9853744427787,0.818791520080953,0.366694411023481,0.657064450238613,0.657064450238613,"plaq_n_quartile_numeric"
"32","TMEM240","Exc L6 THEMIS NFIA",-0.0708497875857198,2.17129458149949,0.880515811631596,0.349267057211814,0.641032612432091,0.641032612432091,"plaq_n_quartile_numeric"
"33","SSU72","Exc L6 THEMIS NFIA",0.157910749760962,5.51577830836874,34.4627953546437,1.93852628100798e-08,1.42723880234537e-05,1.42723880234537e-05,"plaq_n_quartile_numeric"
"34","AL645728.1","Exc L6 THEMIS NFIA",-0.00614851407405542,1.9263078397091,0.00781644917681436,0.954272832277534,0.993479648433986,0.993479648433986,"plaq_n_quartile_numeric"
