"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",-0.130098385482982,2.98755853347201,2.12396414496786,0.146668791168824,0.446535482414346,0.446535482414346,"plaq_n_quartile_numeric"
"2","AL669831.5","Exc L6b",0.0885529199579953,5.76901620703131,3.43510138183193,0.0653819542168845,0.300921754918032,0.300921754918032,"plaq_n_quartile_numeric"
"3","NOC2L","Exc L6b",-0.0240666869279797,4.78415713157376,0.303708288851537,0.5822172356952,0.842732880098237,0.842732880098237,"plaq_n_quartile_numeric"
"4","KLHL17","Exc L6b",-0.130733427115592,2.84291733632137,2.06592780289828,0.152275229419452,0.454366624407508,0.454366624407508,"plaq_n_quartile_numeric"
"5","HES4","Exc L6b",0.0848547742713235,3.95806507479598,0.782009053340598,0.377649949941518,0.702396442983354,0.702396442983354,"plaq_n_quartile_numeric"
"6","ISG15","Exc L6b",-0.20497388131289,1.52088444850458,1.1800434145796,0.278729426939925,0.60674745133653,0.60674745133653,"plaq_n_quartile_numeric"
"7","AGRN","Exc L6b",4.93488123692229e-05,4.86482709425333,4.42831568142354e-08,0.999832318401896,0.999914882646522,0.999914882646522,"plaq_n_quartile_numeric"
"8","C1orf159","Exc L6b",0.0581375338533199,5.85447608885529,2.60545697730821,0.108163228751227,0.384519584289064,0.384519584289064,"plaq_n_quartile_numeric"
"9","SDF4","Exc L6b",0.0253993024133174,5.1927710291528,0.267343354860004,0.6057234670717,0.858028165236767,0.858028165236767,"plaq_n_quartile_numeric"
"10","B3GALT6","Exc L6b",0.0359258572756327,2.96912196652055,0.180356719561729,0.671549480092537,0.89353489286083,0.89353489286083,"plaq_n_quartile_numeric"
"11","UBE2J2","Exc L6b",0.094894093460087,4.84219898885456,4.77566015014419,0.0300933565471902,0.195367156063126,0.195367156063126,"plaq_n_quartile_numeric"
"12","LINC01786","Exc L6b",0.149388762787824,2.2592959102825,1.89345808778513,0.170439222324135,0.478012174103355,0.478012174103355,"plaq_n_quartile_numeric"
"13","SCNN1D","Exc L6b",-0.0086445800022061,2.99039629278416,0.011398392314216,0.915089936568517,0.986666150310545,0.986666150310545,"plaq_n_quartile_numeric"
"14","ACAP3","Exc L6b",0.0161149646103345,6.66286734913064,0.245999960412813,0.620481572043924,0.866370201443423,0.866370201443423,"plaq_n_quartile_numeric"
"15","PUSL1","Exc L6b",-0.0555577762451801,1.84558729069061,0.166646504823245,0.683571209201332,0.899956672096958,0.899956672096958,"plaq_n_quartile_numeric"
"16","INTS11","Exc L6b",-0.0290025021676127,5.12405248773465,0.522804354322585,0.470540898344411,0.772124340939149,0.772124340939149,"plaq_n_quartile_numeric"
"17","CPTP","Exc L6b",-0.0408293799198935,3.00506608764752,0.296600417708263,0.73895527710376,0.927487810047348,0.927487810047348,"plaq_n_quartile_numeric"
"18","DVL1","Exc L6b",-0.0898814282759848,4.23852365378598,3.25303366089569,0.0728824813963942,0.316671327656893,0.316671327656893,"plaq_n_quartile_numeric"
"19","AURKAIP1","Exc L6b",-0.0829087368430863,4.07165402450275,1.51027537428967,0.2206235978913,0.541550213706943,0.541550213706943,"plaq_n_quartile_numeric"
"20","CCNL2","Exc L6b",0.0145507999138352,5.73393773820003,0.198984007978832,0.867510788212739,0.974083659845735,0.974083659845735,"plaq_n_quartile_numeric"
"21","MRPL20","Exc L6b",-0.115513678924336,4.54372682599498,5.30523558149611,0.0223487556897187,0.166291296965352,0.166291296965352,"plaq_n_quartile_numeric"
"22","AL391244.3","Exc L6b",0.0331183016092676,1.54807857022012,0.0424987699758983,0.891711591047515,0.982049218098597,0.982049218098597,"plaq_n_quartile_numeric"
"23","ANKRD65","Exc L6b",-0.0947012425092263,1.86129273203191,0.399445938832706,0.528138606399995,0.81033352573372,0.81033352573372,"plaq_n_quartile_numeric"
"24","VWA1","Exc L6b",0.00444543450841626,1.53345901880475,0.000435338488965314,0.983375523534716,0.997451826614558,0.997451826614558,"plaq_n_quartile_numeric"
"25","ATAD3C","Exc L6b",-0.00436447948926335,1.79405818652914,0.0017877343212154,0.966318801140296,0.996366387732459,0.996366387732459,"plaq_n_quartile_numeric"
"26","ATAD3B","Exc L6b",0.00757984979611768,4.25171970147902,0.0187703740297669,0.891172534447643,0.982049218098597,0.982049218098597,"plaq_n_quartile_numeric"
"27","ATAD3A","Exc L6b",0.00031621419726014,4.12085841712908,2.34045922846195e-05,0.996145083652997,0.999291439929543,0.999291439929543,"plaq_n_quartile_numeric"
"28","TMEM240","Exc L6b",0.0390705905646018,2.31084412819198,0.112686536065142,0.834432785842555,0.963990303467611,0.963990303467611,"plaq_n_quartile_numeric"
"29","SSU72","Exc L6b",-0.0326142138414893,5.30157738715929,0.669837190668132,0.414138137288436,0.730970049450977,0.730970049450977,"plaq_n_quartile_numeric"
"30","AL645728.1","Exc L6b",-0.218052002757918,2.14263113363145,3.05673958020569,0.0820250638678525,0.339483300823018,0.339483300823018,"plaq_n_quartile_numeric"
"31","FNDC10","Exc L6b",0.118559967886195,3.08940573799374,2.12561986837976,0.15939521947454,0.465158109620867,0.465158109620867,"plaq_n_quartile_numeric"
"32","AL691432.2","Exc L6b",-0.11826168845708,3.09866712527277,2.21230326576037,0.138579043098409,0.433653111502653,0.433653111502653,"plaq_n_quartile_numeric"
"33","MIB2","Exc L6b",0.00506658504497866,5.16357105183501,0.0123876381363229,0.911496640767189,0.986046929490715,0.986046929490715,"plaq_n_quartile_numeric"
"34","MMP23B","Exc L6b",-0.10620522188546,1.76871208146241,0.603198536186886,0.438330267543703,0.749153102541124,0.749153102541124,"plaq_n_quartile_numeric"
"35","CDK11B","Exc L6b",0.0666079174690051,4.78284568009355,1.7477631150182,0.187754531760012,0.501792168634691,0.501792168634691,"plaq_n_quartile_numeric"
"36","SLC35E2B","Exc L6b",0.111121363229249,4.59487037848685,4.20955456476136,0.0415747778772341,0.234060199613368,0.234060199613368,"plaq_n_quartile_numeric"
"37","CDK11A","Exc L6b",-0.0178812386956215,3.88315829028953,0.053092668812482,0.818015602897694,0.956166534303212,0.956166534303212,"plaq_n_quartile_numeric"
"38","SLC35E2A","Exc L6b",0.00291921641039958,4.5817150771837,0.00210614324663722,0.963444153700359,0.995786137509464,0.995786137509464,"plaq_n_quartile_numeric"
"39","NADK","Exc L6b",-0.0491545814564416,4.09889649180114,0.699590983853166,0.403976461098081,0.723905639733344,0.723905639733344,"plaq_n_quartile_numeric"
"40","GNB1","Exc L6b",0.00833407168535439,7.60596683121554,0.146927886044243,0.701919049680184,0.909704295335854,0.909704295335854,"plaq_n_quartile_numeric"
"41","CFAP74","Exc L6b",-0.0431178480152202,3.20660331089487,0.251969909316095,0.616275148386879,0.864366365727718,0.864366365727718,"plaq_n_quartile_numeric"
"42","GABRD","Exc L6b",-0.176217821774251,4.88852710505509,10.3905791859644,0.00149183384207134,0.0309173067705289,0.0309173067705289,"plaq_n_quartile_numeric"
"43","PRKCZ","Exc L6b",0.0519750919233204,6.84561027781577,3.23388842499503,0.0737236154282122,0.318689065939275,0.318689065939275,"plaq_n_quartile_numeric"
"44","AL590822.2","Exc L6b",-0.502036617035051,1.33896308901538,8.89177753268629,0.00324151914715375,0.0511057417742034,0.0511057417742034,"plaq_n_quartile_numeric"
"45","FAAP20","Exc L6b",-0.111547003593199,3.58864336706704,2.34492024796134,0.127362557209168,0.415918106654685,0.415918106654685,"plaq_n_quartile_numeric"
"46","AL590822.1","Exc L6b",0.047597088410141,2.01234315996041,0.144074551926783,0.711955295007383,0.913702893051309,0.913702893051309,"plaq_n_quartile_numeric"
"47","SKI","Exc L6b",0.0974928066727728,6.17963431959543,6.52181102326512,0.0114440233070292,0.111674767814556,0.111674767814556,"plaq_n_quartile_numeric"
"48","MORN1","Exc L6b",-0.0384877126124591,3.94587402486464,0.443097388806933,0.506442086843016,0.797134190553418,0.797134190553418,"plaq_n_quartile_numeric"
"49","RER1","Exc L6b",-0.0157542405372924,4.7153235708716,0.127022933470921,0.721936144358378,0.919114583734435,0.919114583734435,"plaq_n_quartile_numeric"
"50","PEX10","Exc L6b",-0.0114199896248284,3.23598326936191,0.0291286950206071,0.956608512018497,0.995240901167311,0.995240901167311,"plaq_n_quartile_numeric"
"51","PLCH2","Exc L6b",-0.224718406562162,2.71204484766901,3.86692770094752,0.050709318472667,0.260883536009188,0.260883536009188,"plaq_n_quartile_numeric"
"52","PANK4","Exc L6b",-0.151173006127243,3.02908411197702,3.02871277358429,0.0834290349033188,0.341566656615316,0.341566656615316,"plaq_n_quartile_numeric"
"53","AL139246.5","Exc L6b",0.00431577581857396,1.89139309393368,0.00144404744375275,0.969727256128728,0.996514311971716,0.996514311971716,"plaq_n_quartile_numeric"
"54","TNFRSF14","Exc L6b",-0.266969579642036,2.49680555413949,8.37351678923361,0.00425434392361861,0.0606168577485801,0.0606168577485801,"plaq_n_quartile_numeric"
"55","FAM213B","Exc L6b",0.0144726435380572,3.49868456509557,0.0523112634402295,0.875442920566891,0.977392443898074,0.977392443898074,"plaq_n_quartile_numeric"
"56","TTC34","Exc L6b",0.167923141937487,1.78711655279009,1.60600809909479,0.20661168480429,0.525587685687647,0.525587685687647,"plaq_n_quartile_numeric"
