"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB GABRG1",-0.0102572583000729,3.35442057036169,5.81337272467069,0.0163764040092839,0.528090364463416,0.72060313215117,"soc_net_bl"
"2","AL669831.5","Exc L4-5 RORB GABRG1",-0.00154753487922809,6.21438226220414,0.344442208537344,0.557623221439516,0.940784005220915,0.999966070424345,"soc_net_bl"
"3","LINC00115","Exc L4-5 RORB GABRG1",0.000617573006669859,0.913911190062874,0.0105557308537338,0.918222421046012,0.999862929897122,0.999966070424345,"soc_net_bl"
"4","NOC2L","Exc L4-5 RORB GABRG1",0.00366006678236338,4.78655935437699,2.24100560986134,0.135220018842074,0.746107035505746,0.923526831935993,"soc_net_bl"
"5","KLHL17","Exc L4-5 RORB GABRG1",1.73098960054522e-05,3.01394099331252,1.22854336793251e-05,0.997205205025431,0.999862929897122,0.999966070424345,"soc_net_bl"
"6","HES4","Exc L4-5 RORB GABRG1",0.00985256214685717,3.35762433575372,2.23599254135655,0.135656350986147,0.746475889566929,0.923526831935993,"soc_net_bl"
"7","ISG15","Exc L4-5 RORB GABRG1",0.00255089830154626,1.42356596109572,0.077009990538376,0.781541276568529,0.99240162911207,0.999966070424345,"soc_net_bl"
"8","AL645608.2","Exc L4-5 RORB GABRG1",-0.000471045451282882,-0.0221038775401588,0.0013821520221069,0.970363070310702,0.999862929897122,0.999966070424345,"soc_net_bl"
"9","AGRN","Exc L4-5 RORB GABRG1",0.00298482096904315,4.89978804657264,1.09148705257159,0.296803170640926,0.840031792858119,0.972726346849339,"soc_net_bl"
"10","C1orf159","Exc L4-5 RORB GABRG1",-0.000870602632036109,5.40658039247304,0.13250916982322,0.716046064860698,0.982631168667912,0.999966070424345,"soc_net_bl"
"11","TNFRSF18","Exc L4-5 RORB GABRG1",0.00153660519948181,1.39860306275115,0.054067518347044,0.816255500340336,0.995183468607809,0.999966070424345,"soc_net_bl"
"12","TNFRSF4","Exc L4-5 RORB GABRG1",0.00345951134468604,1.99329930576018,0.325767820993065,0.568497712030348,0.943641032800963,0.999966070424345,"soc_net_bl"
"13","SDF4","Exc L4-5 RORB GABRG1",-0.000797417210320942,5.13856945738959,0.15000940156514,0.698742250866603,0.978520989539687,0.999966070424345,"soc_net_bl"
"14","B3GALT6","Exc L4-5 RORB GABRG1",0.00796430232308766,2.66541285215611,4.12182053165602,0.0430264889162276,0.600456877059401,0.817270720925469,"soc_net_bl"
"15","C1QTNF12","Exc L4-5 RORB GABRG1",-0.0204890520626046,0.377531711443665,3.68324198277949,0.0557072537880853,0.628188958436273,0.84490632461252,"soc_net_bl"
"16","UBE2J2","Exc L4-5 RORB GABRG1",-0.00106865805091847,4.8507965002502,0.358940832430117,0.549450490327551,0.936940339383765,0.999966070424345,"soc_net_bl"
"17","LINC01786","Exc L4-5 RORB GABRG1",-0.000913919984654233,2.19796306661647,0.0384091462355218,0.844728150350755,0.998022192416083,0.999966070424345,"soc_net_bl"
"18","SCNN1D","Exc L4-5 RORB GABRG1",-0.000624397999155571,3.14327870274629,0.0264630487172276,0.870860680509982,0.999862929897122,0.999966070424345,"soc_net_bl"
"19","ACAP3","Exc L4-5 RORB GABRG1",0.000201539014324105,6.51197349716919,0.00601088042045069,0.938242657592959,0.999862929897122,0.999966070424345,"soc_net_bl"
"20","PUSL1","Exc L4-5 RORB GABRG1",-0.00377991159468378,1.92750790863419,0.685669800589925,0.481378648755981,0.918390652102917,0.998039024363485,"soc_net_bl"
"21","INTS11","Exc L4-5 RORB GABRG1",-0.00110696538090733,5.31611251036287,0.320040416754406,0.571915776599596,0.944335781116618,0.999966070424345,"soc_net_bl"
"22","CPTP","Exc L4-5 RORB GABRG1",0.00953387127487678,2.71510588424164,6.46546912875587,0.011393171236086,0.499066768345086,0.681457415755145,"soc_net_bl"
"23","DVL1","Exc L4-5 RORB GABRG1",0.0051032473889922,4.45253276607013,5.29397493958654,0.0229767722842822,0.536639905330442,0.743034226984227,"soc_net_bl"
"24","AURKAIP1","Exc L4-5 RORB GABRG1",0.00511631018434658,4.27192124110752,1.13552161972532,0.287274238863041,0.835894368127125,0.972420382140428,"soc_net_bl"
"25","CCNL2","Exc L4-5 RORB GABRG1",-0.000311218909629307,6.04702113743156,0.0560553210318624,0.812969961263041,0.994251395726659,0.999966070424345,"soc_net_bl"
"26","MRPL20","Exc L4-5 RORB GABRG1",0.00343493676289408,4.59073551939434,1.52473611073301,0.217663802762638,0.802172886926201,0.958329765099151,"soc_net_bl"
"27","AL391244.3","Exc L4-5 RORB GABRG1",-0.00134698789263826,1.26487344013264,0.0726303968569554,0.787690368276954,0.992746832454712,0.999966070424345,"soc_net_bl"
"28","ANKRD65","Exc L4-5 RORB GABRG1",0.00482493470530703,3.50865360229966,0.890855211974641,0.345842725089179,0.864403319666479,0.981089652140928,"soc_net_bl"
"29","VWA1","Exc L4-5 RORB GABRG1",0.0114220432702074,1.50136161070918,3.84368740116624,0.0506605637615299,0.617021819785542,0.838004171752434,"soc_net_bl"
"30","ATAD3C","Exc L4-5 RORB GABRG1",0.000775646855504748,3.02308149831616,0.0217655766534548,0.882790331153458,0.999862929897122,0.999966070424345,"soc_net_bl"
"31","ATAD3B","Exc L4-5 RORB GABRG1",-0.00268586094907306,4.3544318913628,0.967831965769113,0.325844672875215,0.856500920424403,0.97794578714025,"soc_net_bl"
"32","ATAD3A","Exc L4-5 RORB GABRG1",-0.000924423367226073,3.7023043433459,0.146127637470856,0.702476497825697,0.979472928551486,0.999966070424345,"soc_net_bl"
"33","TMEM240","Exc L4-5 RORB GABRG1",0.00631563843262052,2.04378476588193,1.37418384891769,0.241825497653922,0.817045367702787,0.964133794315866,"soc_net_bl"
"34","SSU72","Exc L4-5 RORB GABRG1",0.00192456110478215,5.63021232940721,0.433657957279106,0.510596513514824,0.92473851215595,0.999966070424345,"soc_net_bl"
"35","AL645728.1","Exc L4-5 RORB GABRG1",0.00907257523802741,1.68911182073833,3.98434946381388,0.0466349026098809,0.60834286973901,0.827658663136987,"soc_net_bl"
"36","FNDC10","Exc L4-5 RORB GABRG1",0.00698019410425689,3.67952999234657,3.44764581900922,0.0641121766576144,0.646276514448113,0.858578104264698,"soc_net_bl"
"37","AL691432.2","Exc L4-5 RORB GABRG1",0.000590985882235664,3.39418989525375,0.0300231834478048,0.862529489773679,0.999108649324651,0.999966070424345,"soc_net_bl"
"38","MIB2","Exc L4-5 RORB GABRG1",0.00210648529189302,5.34014916557853,1.0464825637918,0.306966502612531,0.846361215358376,0.975235096775853,"soc_net_bl"
"39","MMP23B","Exc L4-5 RORB GABRG1",0.00732006044061369,1.58982737914608,1.56800821344866,0.211263262934954,0.799095790862522,0.956113622679044,"soc_net_bl"
"40","CDK11B","Exc L4-5 RORB GABRG1",-0.00355566028963886,5.094624639984,2.75949719960123,0.0974997593793175,0.703982187824828,0.8934605832114,"soc_net_bl"
"41","FO704657.1","Exc L4-5 RORB GABRG1",0.0078815626420306,0.680586353491788,1.37476964450869,0.241725360620022,0.817045367702787,0.964016585632927,"soc_net_bl"
"42","SLC35E2B","Exc L4-5 RORB GABRG1",-0.0010627416885027,4.76074006751718,0.22902392942561,0.632522532765675,0.958397893144792,0.999966070424345,"soc_net_bl"
"43","CDK11A","Exc L4-5 RORB GABRG1",-0.00424922670921197,4.33179368340351,1.49986412976577,0.221447579850161,0.804826681759677,0.959257142827296,"soc_net_bl"
"44","SLC35E2A","Exc L4-5 RORB GABRG1",-0.000746417626273301,4.74027538634203,0.0884135306772275,0.766365558929263,0.990540922805267,0.999966070424345,"soc_net_bl"
"45","NADK","Exc L4-5 RORB GABRG1",0.00174423147049015,3.94598463720581,0.718230605619135,0.711908340639322,0.98120415160717,0.999966070424345,"soc_net_bl"
"46","GNB1","Exc L4-5 RORB GABRG1",0.00111858346410583,7.63689927093574,1.03795545267643,0.308942795058014,0.847024027635139,0.975684114563857,"soc_net_bl"
"47","TMEM52","Exc L4-5 RORB GABRG1",0.00476574819888206,1.09953108148845,0.47338089878268,0.49185381630625,0.919342457769234,0.998085549896731,"soc_net_bl"
"48","CFAP74","Exc L4-5 RORB GABRG1",0.00158732455718875,4.73187302390027,0.466145377093164,0.495180015946391,0.921621331026899,0.99840652190845,"soc_net_bl"
"49","AL391845.2","Exc L4-5 RORB GABRG1",-0.00104514807165937,1.530443324705,0.0377996214907051,0.924808853415188,0.999862929897122,0.999966070424345,"soc_net_bl"
"50","GABRD","Exc L4-5 RORB GABRG1",0.00321421949043259,5.99045029715678,1.34703525595002,0.246522490130846,0.820862603619013,0.965196724046126,"soc_net_bl"
"51","PRKCZ","Exc L4-5 RORB GABRG1",0.000761746232184258,6.86328912974322,0.234443567072197,0.62852609508812,0.958113704834166,0.999966070424345,"soc_net_bl"
"52","AL590822.2","Exc L4-5 RORB GABRG1",0.00458675710497114,0.993322806347245,0.442274307278433,0.506428413252203,0.924101331398349,0.999245683397039,"soc_net_bl"
"53","FAAP20","Exc L4-5 RORB GABRG1",0.00504485775757573,3.17435393044671,2.8598487393968,0.0916323552086,0.69362107814626,0.892441989971178,"soc_net_bl"
"54","AL590822.1","Exc L4-5 RORB GABRG1",0.00375372966609836,1.57910093086949,0.492844103479115,0.483089222603251,0.919120083440696,0.998039024363485,"soc_net_bl"
"55","SKI","Exc L4-5 RORB GABRG1",0.000326940619335885,5.99573992598809,0.0207213460120311,0.885616627848756,0.999862929897122,0.999966070424345,"soc_net_bl"
"56","MORN1","Exc L4-5 RORB GABRG1",0.00196931645548445,5.12510239915385,1.1647441604492,0.292209965463263,0.838141371324185,0.972577105410379,"soc_net_bl"
"57","RER1","Exc L4-5 RORB GABRG1",0.00170856899708186,4.73396977634249,0.964780102916085,0.326607663065614,0.856500920424403,0.97809777492564,"soc_net_bl"
"58","PEX10","Exc L4-5 RORB GABRG1",0.00469363361928579,3.12231467413051,1.53988841258619,0.215396586095174,0.801734614568801,0.9576553241163,"soc_net_bl"
"59","PLCH2","Exc L4-5 RORB GABRG1",-0.00552065704210909,3.11598414464901,1.30523583034714,0.25397520591443,0.824661431300583,0.966784251974059,"soc_net_bl"
"60","PANK4","Exc L4-5 RORB GABRG1",-0.00148487157147821,3.19022622417297,0.140408797894313,0.708083057923756,0.980413596295546,0.999966070424345,"soc_net_bl"
"61","HES5","Exc L4-5 RORB GABRG1",0.0102383721830186,0.437826268985719,1.67726464332429,0.196071129599639,0.792783426341212,0.951568071402329,"soc_net_bl"
"62","AL139246.5","Exc L4-5 RORB GABRG1",0.0109384061786102,1.64956480289583,5.35474289903651,0.0211963554279718,0.529279964419101,0.730725041816432,"soc_net_bl"
"63","TNFRSF14","Exc L4-5 RORB GABRG1",-0.00779480706198675,2.8212246872029,3.01270187208434,0.0834215263034058,0.6843469428621,0.885981259475896,"soc_net_bl"
"64","FAM213B","Exc L4-5 RORB GABRG1",0.00585716311838073,3.77976858543027,3.47523809393322,0.0630612420571058,0.642964906769141,0.853588548485031,"soc_net_bl"
"65","TTC34","Exc L4-5 RORB GABRG1",0.00368593154394094,1.43313345414535,0.362449841220035,0.547506252795133,0.936578991277904,0.999966070424345,"soc_net_bl"
"66","PRDM16","Exc L4-5 RORB GABRG1",-0.00294270706807704,1.46796410411089,0.232394753968883,0.630030127971346,0.958397893144792,0.999966070424345,"soc_net_bl"
"67","ARHGEF16","Exc L4-5 RORB GABRG1",-0.000664732482315468,0.879126519335966,0.00815915947719019,0.928073900425019,0.999862929897122,0.999966070424345,"soc_net_bl"
"68","MEGF6","Exc L4-5 RORB GABRG1",0.00128140108946028,2.16292936292613,0.0892048321145504,0.765353031437852,0.990540922805267,0.999966070424345,"soc_net_bl"
"69","AL513320.1","Exc L4-5 RORB GABRG1",0.0134553634648097,0.806766754582833,4.2003591311466,0.0410984442368633,0.598038684922818,0.811796510143075,"soc_net_bl"
"70","TPRG1L","Exc L4-5 RORB GABRG1",0.00760227165641492,5.12060837594434,4.22224827709032,0.0405774870250353,0.596334721564129,0.811445065779794,"soc_net_bl"
"71","WRAP73","Exc L4-5 RORB GABRG1",-0.000273196410056523,3.43953303074423,0.00969226791125634,0.921627197360371,0.999862929897122,0.999966070424345,"soc_net_bl"
"72","LRRC47","Exc L4-5 RORB GABRG1",0.00397648622168373,4.32196718128332,1.4641087340691,0.227026356190011,0.807774849802925,0.960683849778163,"soc_net_bl"
"73","CEP104","Exc L4-5 RORB GABRG1",-0.00344886369728684,5.42913431943549,4.25861429647438,0.0397273159077542,0.592268341369607,0.80759035146793,"soc_net_bl"
"74","DFFB","Exc L4-5 RORB GABRG1",-0.00299096414313476,4.46959423780317,1.59209219085771,0.207798008896077,0.795839043828973,0.955461649637314,"soc_net_bl"
"75","C1orf174","Exc L4-5 RORB GABRG1",6.37667451090426e-05,2.99216149225443,0.00026934252722206,0.98691455433885,0.999862929897122,0.999966070424345,"soc_net_bl"
"76","LINC01134","Exc L4-5 RORB GABRG1",-0.00822392535833995,0.840719885581204,1.06551002577955,0.302615449178883,0.843406157019676,0.973682893968212,"soc_net_bl"
"77","AL805961.1","Exc L4-5 RORB GABRG1",-0.0126806588764824,-0.0206434356699169,1.43847589948525,0.231130149679037,0.811202123309745,0.962583048479601,"soc_net_bl"
"78","AL805961.2","Exc L4-5 RORB GABRG1",0.00591356288488745,1.68100518050381,1.02785041829946,0.311306320986113,0.848094811993857,0.976234082248202,"soc_net_bl"
"79","AJAP1","Exc L4-5 RORB GABRG1",0.000280324160355333,6.62687763855285,0.0137469806506746,0.906725583596148,0.999862929897122,0.999966070424345,"soc_net_bl"
"80","AL365255.1","Exc L4-5 RORB GABRG1",-0.0229298025071508,1.81499867369198,9.12227301667702,0.00269509036254939,0.400827195829646,0.549043600444262,"soc_net_bl"
"81","NPHP4","Exc L4-5 RORB GABRG1",-0.00253469558822944,5.7670258787583,1.48871606763985,0.223169106174823,0.806082129556099,0.959262267663297,"soc_net_bl"
"82","KCNAB2","Exc L4-5 RORB GABRG1",0.00146606388743498,6.86850988760867,1.08529577606193,0.298175287156844,0.840225294648341,0.972726346849339,"soc_net_bl"
"83","CHD5","Exc L4-5 RORB GABRG1",-0.000685147580456977,7.79175175681934,0.0887793665599224,0.765896834755212,0.990540922805267,0.999966070424345,"soc_net_bl"
"84","RPL22","Exc L4-5 RORB GABRG1",0.00145790560051401,5.14506165209461,0.466751626884855,0.49489987021442,0.921621331026899,0.99840652190845,"soc_net_bl"
"85","RNF207","Exc L4-5 RORB GABRG1",-7.29250162371066e-05,3.78189846821627,0.000657281703988435,0.979559869091063,0.999862929897122,0.999966070424345,"soc_net_bl"
"86","ICMT","Exc L4-5 RORB GABRG1",0.00114103736445121,4.10011822608704,0.228871969350164,0.63263542290427,0.958397893144792,0.999966070424345,"soc_net_bl"
"87","GPR153","Exc L4-5 RORB GABRG1",-0.000428906644470258,2.34656183253221,0.00630560902179486,0.936749829162013,0.999862929897122,0.999966070424345,"soc_net_bl"
"88","ACOT7","Exc L4-5 RORB GABRG1",0.00191247958184016,6.4249019128179,1.08453591101432,0.298344251634212,0.840225294648341,0.972726346849339,"soc_net_bl"
"89","TNFRSF25","Exc L4-5 RORB GABRG1",-0.00171371548693106,5.8265716370192,0.383866750903541,0.535910714689278,0.932951592210071,0.999966070424345,"soc_net_bl"
"90","PLEKHG5","Exc L4-5 RORB GABRG1",0.00011931397507887,4.82021599415465,0.00247718800419745,0.960330626750127,0.999862929897122,0.999966070424345,"soc_net_bl"
"91","NOL9","Exc L4-5 RORB GABRG1",8.24502074962844e-05,5.0128865967666,0.00189563717571327,0.965294711797441,0.999862929897122,0.999966070424345,"soc_net_bl"
"92","TAS1R1","Exc L4-5 RORB GABRG1",-0.00608707011749345,1.1096729950163,0.990686084434313,0.320205331350201,0.854048904769126,0.977359703881256,"soc_net_bl"
"93","ZBTB48","Exc L4-5 RORB GABRG1",0.00318887638061639,3.60074003873045,1.02383177927828,0.312252824843775,0.848624491905691,0.976311104983111,"soc_net_bl"
"94","KLHL21","Exc L4-5 RORB GABRG1",0.000393204464013628,4.82044183757362,0.0244405823186941,0.87585175063664,0.999862929897122,0.999966070424345,"soc_net_bl"
"95","PHF13","Exc L4-5 RORB GABRG1",0.0047740380712152,3.05256749541775,2.2215207995614,0.136924856406636,0.74770981870485,0.92372985003551,"soc_net_bl"
"96","THAP3","Exc L4-5 RORB GABRG1",0.000967705271649031,3.25749406409336,0.110425970777196,0.739842114066279,0.986517041075844,0.999966070424345,"soc_net_bl"
"97","DNAJC11","Exc L4-5 RORB GABRG1",-0.00429906081398277,5.72313516632536,6.57278141101282,0.0107371521064147,0.486499109630997,0.673334078052235,"soc_net_bl"
"98","CAMTA1","Exc L4-5 RORB GABRG1",0.000268860913249315,9.44744139562725,0.0450452667017034,0.832034109675102,0.995891439117392,0.999966070424345,"soc_net_bl"
"99","AL512330.1","Exc L4-5 RORB GABRG1",-0.00698570786069975,1.02313430888181,0.635610540128656,0.425800442205482,0.900983046376354,0.991730782407426,"soc_net_bl"
"100","VAMP3","Exc L4-5 RORB GABRG1",0.000376933301784534,3.54293637743172,0.0209233472669992,0.885064317866441,0.999862929897122,0.999966070424345,"soc_net_bl"
"101","PER3","Exc L4-5 RORB GABRG1",-0.00125732565824027,6.61705157854514,0.283954355471321,0.594431135888987,0.951416780987717,0.999966070424345,"soc_net_bl"
"102","UTS2","Exc L4-5 RORB GABRG1",5.97521684480895e-05,-0.0324570744519542,0.000224626132573346,0.988049957827821,0.999862929897122,0.999966070424345,"soc_net_bl"
"103","PARK7","Exc L4-5 RORB GABRG1",0.00538285747835863,5.3178584381786,1.73387589349507,0.188706736475188,0.786645039263445,0.949632270838515,"soc_net_bl"
"104","AL034417.4","Exc L4-5 RORB GABRG1",-0.00214272851383763,1.32193966938021,0.0981947815658604,0.75417798639662,0.989249383591311,0.999966070424345,"soc_net_bl"
"105","AL034417.3","Exc L4-5 RORB GABRG1",-0.0254117080592876,0.861841362999862,9.09876765739374,0.00272911699697904,0.400827195829646,0.549043600444262,"soc_net_bl"
"106","ERRFI1","Exc L4-5 RORB GABRG1",-0.000294949182118314,4.5729455211678,0.0229134768769938,0.879762263249861,0.999862929897122,0.999966070424345,"soc_net_bl"
"107","AL034417.2","Exc L4-5 RORB GABRG1",0.000340191183491141,2.54096267869328,0.0065491487486371,0.935542575012637,0.999862929897122,0.999966070424345,"soc_net_bl"
"108","SLC45A1","Exc L4-5 RORB GABRG1",0.00317448983895956,3.94595590578428,1.84199345776206,0.175519485633243,0.784121811513481,0.944650568934548,"soc_net_bl"
