"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5/6 NP",-0.0132618228881719,3.1199815627376,4.30925800996963,0.0386388516334839,0.999937170253873,1,"soc_net_bl"
"2","AL669831.5","Exc L5/6 NP",-0.00564391386979286,5.41211812937744,2.77414248111263,0.0966972174484678,0.999937170253873,1,"soc_net_bl"
"3","NOC2L","Exc L5/6 NP",0.0051379728073436,4.78586926337689,2.17364578252816,0.141296458939463,0.999937170253873,1,"soc_net_bl"
"4","KLHL17","Exc L5/6 NP",-0.00322074526784559,3.27756777109702,0.284763922159918,0.593936068439261,0.999937170253873,1,"soc_net_bl"
"5","HES4","Exc L5/6 NP",0.00516923209495546,3.12929512330605,0.477077474223023,0.490209204323723,0.999937170253873,1,"soc_net_bl"
"6","AGRN","Exc L5/6 NP",0.00367115598857378,4.83513194009287,1.00929432409288,0.315769499861708,0.999937170253873,1,"soc_net_bl"
"7","C1orf159","Exc L5/6 NP",-0.00145640812057897,5.35759161294633,0.213999580562273,0.643939384837964,0.999937170253873,1,"soc_net_bl"
"8","SDF4","Exc L5/6 NP",-0.00380539657265682,5.13168757346601,1.40533094714753,0.236641311951717,0.999937170253873,1,"soc_net_bl"
"9","B3GALT6","Exc L5/6 NP",0.00937319774749709,2.99262446165534,2.06789226980068,0.151327299786791,0.999937170253873,1,"soc_net_bl"
"10","UBE2J2","Exc L5/6 NP",0.00125807217157246,5.00654761297546,0.217477792643318,0.641260047545441,0.999937170253873,1,"soc_net_bl"
"11","SCNN1D","Exc L5/6 NP",-0.00274656744821071,3.37454970299014,0.239718602256784,0.624717694740724,0.999937170253873,1,"soc_net_bl"
"12","ACAP3","Exc L5/6 NP",0.001735473523732,6.23671415648822,0.300232735821059,0.584087588004473,0.999937170253873,1,"soc_net_bl"
"13","INTS11","Exc L5/6 NP",-0.00264366720531253,5.41807347839309,0.822549844152952,0.365062827716497,0.999937170253873,1,"soc_net_bl"
"14","CPTP","Exc L5/6 NP",0.00698475269304851,3.21547662070851,1.22580337404524,0.268988897719729,0.999937170253873,1,"soc_net_bl"
"15","DVL1","Exc L5/6 NP",0.00398273603492739,4.38471280776923,1.18144302699251,0.277814169060292,0.999937170253873,1,"soc_net_bl"
"16","AURKAIP1","Exc L5/6 NP",0.000699868480481556,4.02572971224602,0.0124440286766562,0.911242260298086,0.999937170253873,1,"soc_net_bl"
"17","CCNL2","Exc L5/6 NP",-0.000225569113470442,6.03887097286612,0.00845406323933398,0.92679382740477,0.999937170253873,1,"soc_net_bl"
"18","MRPL20","Exc L5/6 NP",0.00280036956676507,4.49958551362493,0.464334835882213,0.496057908908876,0.999937170253873,1,"soc_net_bl"
"19","VWA1","Exc L5/6 NP",0.0106483497623314,2.98724065341073,2.87840014214598,0.0906687606471398,0.999937170253873,1,"soc_net_bl"
"20","ATAD3C","Exc L5/6 NP",-0.0166726508955118,3.37850967657601,3.48879523022526,0.0626252463507315,0.999937170253873,1,"soc_net_bl"
"21","ATAD3B","Exc L5/6 NP",-0.00564340177538313,4.48738487164107,2.22464611362424,0.136729048513414,0.999937170253873,1,"soc_net_bl"
"22","ATAD3A","Exc L5/6 NP",-0.00107669024214623,3.97313373710704,0.0780500434800202,0.780123378727735,0.999937170253873,1,"soc_net_bl"
"23","SSU72","Exc L5/6 NP",0.00226124143538463,5.48843118438074,0.328025013007483,0.567193942400567,0.999937170253873,1,"soc_net_bl"
"24","FNDC10","Exc L5/6 NP",0.00836996558980182,3.88978247427759,2.11897136624559,0.146385106801204,0.999937170253873,1,"soc_net_bl"
"25","AL691432.2","Exc L5/6 NP",-0.00176593225742717,3.15257808923741,0.0845870872554353,0.771347900145168,0.999937170253873,1,"soc_net_bl"
"26","MIB2","Exc L5/6 NP",-0.00225420888698285,5.83541275346977,0.63361937092987,0.426573070145992,0.999937170253873,1,"soc_net_bl"
"27","MMP23B","Exc L5/6 NP",0.00333198530780209,2.9738621691609,0.219231244434891,0.639919211391436,0.999937170253873,1,"soc_net_bl"
"28","CDK11B","Exc L5/6 NP",-0.00371888886089074,4.87698407335425,1.19543297073243,0.274992125069478,0.999937170253873,1,"soc_net_bl"
"29","SLC35E2B","Exc L5/6 NP",-0.00205160743762297,4.86671412034264,0.356513564570586,0.550836916515361,0.999937170253873,1,"soc_net_bl"
"30","CDK11A","Exc L5/6 NP",-0.00309944896440664,4.27783897937123,0.36594541543062,0.545616669567629,0.999937170253873,1,"soc_net_bl"
"31","SLC35E2A","Exc L5/6 NP",0.00779558134205655,4.73352374284405,4.94369817289557,0.0268271421501885,0.999937170253873,1,"soc_net_bl"
"32","NADK","Exc L5/6 NP",-0.00552973093608323,4.00308045133427,1.87672328854365,0.171589625050388,0.999937170253873,1,"soc_net_bl"
"33","GNB1","Exc L5/6 NP",0.0011568278290859,7.57416980177024,0.56755853250068,0.451739741558886,0.999937170253873,1,"soc_net_bl"
"34","CFAP74","Exc L5/6 NP",7.09179467471918e-05,3.87660253699636,0.00026528994228959,0.9870141786967,0.999937170253873,1,"soc_net_bl"
"35","GABRD","Exc L5/6 NP",0.00234598461291129,4.37621158695447,0.221712116524699,0.638033257123514,0.999937170253873,1,"soc_net_bl"
"36","PRKCZ","Exc L5/6 NP",-0.00171546615970603,7.13737282565397,0.752248658523684,0.386362458724567,0.999937170253873,1,"soc_net_bl"
"37","FAAP20","Exc L5/6 NP",0.00196598925243717,4.07781061922438,0.198259345777461,0.656406184500347,0.999937170253873,1,"soc_net_bl"
"38","SKI","Exc L5/6 NP",0.00114160284171559,6.04687715693584,0.170178991003668,0.680206626763883,0.999937170253873,1,"soc_net_bl"
"39","MORN1","Exc L5/6 NP",-0.0043220024991431,4.41840191697262,1.18152484409178,0.277797558998783,0.999937170253873,1,"soc_net_bl"
