"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-4 RORB CUX2",0.051571507454481,2.94959473665904,0.568683892011574,0.45173663211608,0.914399512087431,0.932043507478325,"social_isolation_avg"
"2","AC114498.1","Exc L3-4 RORB CUX2",0.0728365530307192,-1.14675756185668,0.160102295409948,0.689521812037869,0.965732994034271,0.977907337536538,"social_isolation_avg"
"3","AL669831.5","Exc L3-4 RORB CUX2",-0.000269105551924676,5.7909497473687,2.19374360185599e-05,0.996267951410967,0.999093076786018,0.999567044723141,"social_isolation_avg"
"4","LINC00115","Exc L3-4 RORB CUX2",0.00310370759281919,0.418359670363305,0.000619467311107594,0.980170120675725,0.997706882297213,0.999287794672012,"social_isolation_avg"
"5","NOC2L","Exc L3-4 RORB CUX2",-0.071520412845722,4.52833452571244,1.58432576323118,0.209717274116931,0.823894624835715,0.848860321481225,"social_isolation_avg"
"6","KLHL17","Exc L3-4 RORB CUX2",-0.0977512219096554,2.90472265194827,1.88756585556984,0.171131251788353,0.800879545632517,0.829843692488729,"social_isolation_avg"
"7","AL645608.8","Exc L3-4 RORB CUX2",0.162458088670102,-0.414179785702218,0.82849698808811,0.363886299200474,0.884107117111183,0.905691013169625,"social_isolation_avg"
"8","HES4","Exc L3-4 RORB CUX2",-0.0829173930998334,4.04360030096617,0.47729418021083,0.490512349275468,0.926910600439194,0.942264300772881,"social_isolation_avg"
"9","ISG15","Exc L3-4 RORB CUX2",-0.164116435025067,2.01532556921943,1.82412367890341,0.17846517675301,0.804202928061823,0.833975796080015,"social_isolation_avg"
"10","AL645608.2","Exc L3-4 RORB CUX2",-0.127643998377751,-0.729999187846763,0.888813443207071,0.347022775441182,0.876203870884242,0.899602401719713,"social_isolation_avg"
"11","AGRN","Exc L3-4 RORB CUX2",-0.00718164281379537,5.39064612203195,0.0124040952315634,0.911440205987353,0.993999238330412,0.998615709445704,"social_isolation_avg"
"12","C1orf159","Exc L3-4 RORB CUX2",-0.00469720365660541,5.50566533311851,0.0096497248636757,0.921853118035957,0.993999238330412,0.998790781237736,"social_isolation_avg"
"13","TNFRSF18","Exc L3-4 RORB CUX2",0.0187299001581327,0.988711133594678,0.0191986331074458,0.889948535283909,0.992739631102773,0.997292047420286,"social_isolation_avg"
"14","TNFRSF4","Exc L3-4 RORB CUX2",-0.0782519005287559,-0.16841830372685,0.238459075141074,0.62589684667811,0.953960561976636,0.968247419777895,"social_isolation_avg"
"15","SDF4","Exc L3-4 RORB CUX2",-0.0426246702651956,4.89184348186006,0.930984790461338,0.33586079206003,0.874964235321651,0.897735236788743,"social_isolation_avg"
"16","B3GALT6","Exc L3-4 RORB CUX2",-0.0518466956180225,2.35979418806737,0.305202174120579,0.581303050208944,0.945785688104747,0.960284605291752,"social_isolation_avg"
"17","C1QTNF12","Exc L3-4 RORB CUX2",0.371165281444539,-0.273819058614176,6.09031601594889,0.0144968125102242,0.74320386720336,0.747932757347734,"social_isolation_avg"
"18","UBE2J2","Exc L3-4 RORB CUX2",-0.0377800392012529,4.70830287504856,1.14625762257997,0.285722155431735,0.85665430763912,0.881066053555196,"social_isolation_avg"
"19","LINC01786","Exc L3-4 RORB CUX2",0.0066456515521722,1.87757723786332,0.0076823058909071,0.930250196348975,0.994075682551762,0.998790781237736,"social_isolation_avg"
"20","SCNN1D","Exc L3-4 RORB CUX2",0.110407336280535,2.95867278440708,1.92292384778179,0.167195504219907,0.80061456165003,0.828339382024949,"social_isolation_avg"
"21","ACAP3","Exc L3-4 RORB CUX2",-0.0313775518564665,6.47954156338996,0.262452573338442,0.60904837186567,0.952057640974748,0.965301851900478,"social_isolation_avg"
"22","PUSL1","Exc L3-4 RORB CUX2",0.00684219911786766,1.64423522552725,0.00757720374507964,0.930727746710008,0.994075682551762,0.998792165185007,"social_isolation_avg"
"23","INTS11","Exc L3-4 RORB CUX2",0.0247270365174834,5.24867509864701,0.348350728142981,0.55576507319847,0.940940294937161,0.956189122326872,"social_isolation_avg"
