"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","MXRA8","Fib FLRT2",-0.0166382604578716,7.41304531578799,0.00222900269735615,0.962506512064209,0.996916410289338,0.99996800913276,"social_isolation_avg"
"2","CCNL2","Fib FLRT2",0.00489306719637471,7.96859731807428,0.000748272467454533,0.978271015198501,0.996916410289338,0.99996800913276,"social_isolation_avg"
"3","GNB1","Fib FLRT2",-0.358658439639303,8.45166291869039,4.79918179428471,0.0325133767565326,0.65186918967476,0.99996800913276,"social_isolation_avg"
"4","SKI","Fib FLRT2",0.0928003742219411,8.14095531161942,0.181457007640466,0.671703764163976,0.984036569049476,0.99996800913276,"social_isolation_avg"
"5","CAMTA1","Fib FLRT2",0.147010074509428,8.37599740774758,0.944846119413861,0.335078738669355,0.889112656265384,0.99996800913276,"social_isolation_avg"
"6","PER3","Fib FLRT2",0.218633029060381,8.1014540947622,0.830923751802418,0.365785873861985,0.896385312591473,0.99996800913276,"social_isolation_avg"
"7","ERRFI1","Fib FLRT2",0.0578993754082079,7.89518768202199,0.0504131144679463,0.823136593296848,0.988370591438319,0.99996800913276,"social_isolation_avg"
"8","RERE","Fib FLRT2",-0.205778096000508,9.89961674525097,3.5424317998116,0.0648474231860449,0.708638466737546,0.99996800913276,"social_isolation_avg"
"9","SPSB1","Fib FLRT2",-0.0759934248724426,7.4685226666085,0.099673695787647,0.753356970692153,0.984036569049476,0.99996800913276,"social_isolation_avg"
"10","UBE4B","Fib FLRT2",0.0760047140382364,8.34500398019796,0.204267373553775,0.652987092871963,0.980539663723885,0.99996800913276,"social_isolation_avg"
"11","KIF1B","Fib FLRT2",0.0272664619880608,8.41257024680426,0.0256048552792675,0.873426154595371,0.995468562628712,0.99996800913276,"social_isolation_avg"
"12","VPS13D","Fib FLRT2",-0.159824251838127,8.57658565469082,1.31011475098353,0.257084322330786,0.867926563839803,0.99996800913276,"social_isolation_avg"
"13","DHRS3","Fib FLRT2",-0.706524663925784,7.17359902311133,2.4552674977042,0.122581668198115,0.773429947106975,0.99996800913276,"social_isolation_avg"
"14","PRDM2","Fib FLRT2",-0.0137471844193712,8.28674323066451,0.00700941680731379,0.933566102544502,0.99685092586217,0.99996800913276,"social_isolation_avg"
"15","KAZN","Fib FLRT2",0.398495834483026,11.6449533729964,3.57410507797573,0.0636957984346707,0.708638466737546,0.99996800913276,"social_isolation_avg"
"16","SPEN","Fib FLRT2",-0.0724703832504408,8.1076637182405,0.151715454160977,0.698330625123334,0.984036569049476,0.99996800913276,"social_isolation_avg"
"17","UBR4","Fib FLRT2",-0.187241765788061,7.88925017607574,1.07810843325662,0.316469682693804,0.88527667304485,0.99996800913276,"social_isolation_avg"
"18","CAPZB","Fib FLRT2",0.0350517276505134,8.87879885771161,0.0390816824055307,0.843979459832552,0.995468562628712,0.99996800913276,"social_isolation_avg"
"19","NBL1","Fib FLRT2",-0.300755114169681,7.52719509902988,0.971060993405949,0.328516506864198,0.88527667304485,0.99996800913276,"social_isolation_avg"
"20","HP1BP3","Fib FLRT2",-0.197773428025647,9.02700954786219,1.50027346540993,0.225589983394658,0.856297003903335,0.99996800913276,"social_isolation_avg"
"21","EIF4G3","Fib FLRT2",0.0140629691555995,9.77940447658487,0.0128508974089178,0.910135944072861,0.995628101871496,0.99996800913276,"social_isolation_avg"
"22","ECE1","Fib FLRT2",-0.249996841084638,9.07976100719625,2.33313184591002,0.132092606668908,0.780381206219077,0.99996800913276,"social_isolation_avg"
"23","USP48","Fib FLRT2",-0.192527519400932,7.87120157581585,0.858087000792859,0.358120410036077,0.896385312591473,0.99996800913276,"social_isolation_avg"
"24","HSPG2","Fib FLRT2",-0.189569096188483,7.75027138241732,0.58237434338394,0.44848193235807,0.944306248095974,0.99996800913276,"social_isolation_avg"
"25","LUZP1","Fib FLRT2",-0.127895687503422,7.67367201923959,0.271269280534807,0.604468177067606,0.96955840759711,0.99996800913276,"social_isolation_avg"
"26","HNRNPR","Fib FLRT2",0.324841176078212,7.94783489907628,4.01785880886794,0.0497061039103461,0.6713341690127,0.99996800913276,"social_isolation_avg"
"27","SRSF10","Fib FLRT2",0.20250482254819,7.6011908442623,0.814688379338057,0.370478119442034,0.900022154494371,0.99996800913276,"social_isolation_avg"
"28","CLIC4","Fib FLRT2",-0.0353168716770093,8.71601022614075,0.0405077491930572,0.841196594689276,0.994768504464988,0.99996800913276,"social_isolation_avg"
"29","RSRP1","Fib FLRT2",-0.0882294474206255,8.93285662318492,0.314708357890299,0.576970292941213,0.96748584551328,0.99996800913276,"social_isolation_avg"
"30","MAN1C1","Fib FLRT2",-0.371364694290604,8.80950643770733,4.63422787926066,0.0355202618500703,0.65186918967476,0.99996800913276,"social_isolation_avg"
"31","ARID1A","Fib FLRT2",-0.153090339916561,7.92823322551418,0.974886648845546,0.327573427358239,0.88527667304485,0.99996800913276,"social_isolation_avg"
"32","WASF2","Fib FLRT2",-0.113897031345003,8.37809749064486,0.517365999085369,0.474861137629598,0.944706550408408,0.99996800913276,"social_isolation_avg"
"33","STX12","Fib FLRT2",0.654116057073924,7.6775986404922,8.03408496509576,0.00631078914416046,0.647234534625097,0.99996800913276,"social_isolation_avg"
"34","PHACTR4","Fib FLRT2",0.0673138659086681,8.16783621981768,0.119916204404555,0.73038086677311,0.984036569049476,0.99996800913276,"social_isolation_avg"
"35","SRSF4","Fib FLRT2",-0.194634735567697,8.05885604709214,1.21632229462106,0.274647368708131,0.879635330292468,0.99996800913276,"social_isolation_avg"
"36","PUM1","Fib FLRT2",0.0348634826370012,8.65680844271692,0.0783550839914824,0.992130197873003,0.998989710187582,0.99996800913276,"social_isolation_avg"
"37","YARS","Fib FLRT2",0.621711888331063,7.40080052814379,5.24618298674057,0.0256560689812967,0.65186918967476,0.99996800913276,"social_isolation_avg"
"38","PHC2","Fib FLRT2",0.117770506818662,8.77153165155084,0.354117645049406,0.554110533926167,0.960397530942411,0.99996800913276,"social_isolation_avg"
"39","CSMD2","Fib FLRT2",0.491794551715316,8.78398695792424,5.48161906535652,0.0226820029991298,0.65186918967476,0.99996800913276,"social_isolation_avg"
"40","SFPQ","Fib FLRT2",-0.272394008011574,8.37662722416027,2.42126999531023,0.125148382732123,0.773429947106975,0.99996800913276,"social_isolation_avg"
"41","ZMYM4","Fib FLRT2",-0.234199195121752,8.6654074781626,1.87256983924201,0.176468595584359,0.820672170867602,0.99996800913276,"social_isolation_avg"
"42","KIAA0319L","Fib FLRT2",-0.288097410969519,8.51379936000746,3.22469909235641,0.0777545096213466,0.709259920089532,0.99996800913276,"social_isolation_avg"
"43","AGO4","Fib FLRT2",-0.490194365416579,7.74939400617188,6.05725453106074,0.0168518702387381,0.65186918967476,0.99996800913276,"social_isolation_avg"
"44","AGO3","Fib FLRT2",0.170805807669174,8.64232948259732,1.48799189398398,0.227474641575464,0.856297003903335,0.99996800913276,"social_isolation_avg"
"45","THRAP3","Fib FLRT2",0.0574034499757891,8.07672659664573,0.102076648011127,0.750501799572884,0.984036569049476,0.99996800913276,"social_isolation_avg"
"46","AL139260.1","Fib FLRT2",0.0129936421889818,7.61762715597958,0.0016647179410468,0.967594970974414,0.996916410289338,0.99996800913276,"social_isolation_avg"
"47","MACF1","Fib FLRT2",0.0826659621680392,10.5387341257922,0.595753808470719,0.443342240219795,0.939031243090502,0.99996800913276,"social_isolation_avg"
"48","RLF","Fib FLRT2",-0.0233143390445815,7.82323659902706,0.0210191956496996,0.885230268570296,0.995628101871496,0.99996800913276,"social_isolation_avg"
"49","SCMH1","Fib FLRT2",0.18379669937287,9.55910745049233,2.16691667405836,0.14642464231158,0.802206801040367,0.99996800913276,"social_isolation_avg"
"50","HIVEP3","Fib FLRT2",-0.00767661022568396,8.45827163654671,0.000930166680007122,0.975774287955632,0.996916410289338,0.99996800913276,"social_isolation_avg"
"51","FOXJ3","Fib FLRT2",-0.157959747399272,8.41273750557055,0.885973166298954,0.350482230753474,0.895231912157745,0.99996800913276,"social_isolation_avg"
"52","CCDC30","Fib FLRT2",-0.506880309773119,7.64780844357573,4.52925054219957,0.0375887182950181,0.65186918967476,0.99996800913276,"social_isolation_avg"
