"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",-0.001599449689611,5.39587136839993,0.000567015749878636,0.981028245375437,0.999661137982804,0.99999943005973,"social_isolation_avg"
"2","NOC2L","Inh LAMP5 NRG1 (Rosehip)",-0.11091428817567,4.47387310998811,1.56801596785152,0.2120814468143,0.847200686743598,0.99999943005973,"social_isolation_avg"
"3","KLHL17","Inh LAMP5 NRG1 (Rosehip)",-0.284941790240135,2.92732899753955,2.76759598751401,0.0978892630500109,0.781295510972284,0.99999943005973,"social_isolation_avg"
"4","HES4","Inh LAMP5 NRG1 (Rosehip)",-0.238882273690169,5.01801453874155,4.01667645944973,0.0465160331475665,0.730583721769256,0.998354618954999,"social_isolation_avg"
"5","ISG15","Inh LAMP5 NRG1 (Rosehip)",-0.128901964356794,3.26509604396769,0.575402500240933,0.449088613218623,0.936749740906048,0.99999943005973,"social_isolation_avg"
"6","AGRN","Inh LAMP5 NRG1 (Rosehip)",-0.0883556920079226,3.49424238309441,0.408965593045992,0.523288755155563,0.961867180016596,0.99999943005973,"social_isolation_avg"
"7","C1orf159","Inh LAMP5 NRG1 (Rosehip)",0.0596003816532955,5.3596923843893,0.67622491599151,0.41195188422882,0.924987941769894,0.99999943005973,"social_isolation_avg"
"8","SDF4","Inh LAMP5 NRG1 (Rosehip)",0.0335011811131695,5.59157881126028,0.251367978893571,0.616711565480039,0.979308883211946,0.99999943005973,"social_isolation_avg"
"9","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",0.0747947415095877,3.29226153503254,0.285502613352678,0.593760768441449,0.975958179198961,0.99999943005973,"social_isolation_avg"
"10","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",-0.0452407659479406,5.11893639210359,0.497932652625766,0.648264202082161,0.984159614922166,0.99999943005973,"social_isolation_avg"
"11","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",0.0666145524313013,3.48610031125986,0.275452798310112,0.600327700243624,0.977188410657701,0.99999943005973,"social_isolation_avg"
"12","ACAP3","Inh LAMP5 NRG1 (Rosehip)",0.0144043540004062,6.16384650168819,0.0479451906257165,0.826920361066621,0.999661137982804,0.99999943005973,"social_isolation_avg"
"13","INTS11","Inh LAMP5 NRG1 (Rosehip)",0.0120919260633793,5.40683476919276,0.042640878394776,0.836630810928265,0.999661137982804,0.99999943005973,"social_isolation_avg"
"14","CPTP","Inh LAMP5 NRG1 (Rosehip)",-0.269841787374726,3.21544400935136,3.16695538179286,0.0767896241362789,0.76553849789352,0.99999943005973,"social_isolation_avg"
"15","DVL1","Inh LAMP5 NRG1 (Rosehip)",-0.198674497779679,4.33147902611336,5.777587776465,0.0172225988166711,0.644217983567944,0.97510717104129,"social_isolation_avg"
"16","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",-0.229032492348573,4.12438794397409,3.31531384697778,0.0702583277525022,0.759757666433228,0.99999943005973,"social_isolation_avg"
"17","CCNL2","Inh LAMP5 NRG1 (Rosehip)",-0.0155745418066233,6.09321986823597,0.135257535961203,0.713463775923545,0.999058627350532,0.99999943005973,"social_isolation_avg"
"18","MRPL20","Inh LAMP5 NRG1 (Rosehip)",-0.161854962549709,4.74939586733892,3.51565422637469,0.0623727927929326,0.746929632176209,0.998354618954999,"social_isolation_avg"
"19","ATAD3B","Inh LAMP5 NRG1 (Rosehip)",0.0761126520804492,4.39288116332096,0.853080142267655,0.356889580948117,0.90484126078765,0.99999943005973,"social_isolation_avg"
"20","ATAD3A","Inh LAMP5 NRG1 (Rosehip)",0.0106255319713142,3.79240173609548,0.0127287527573605,0.980369221249705,0.999661137982804,0.99999943005973,"social_isolation_avg"
"21","SSU72","Inh LAMP5 NRG1 (Rosehip)",-0.107217147130335,5.37386212253622,1.73467167355151,0.189449903162499,0.830561941267842,0.99999943005973,"social_isolation_avg"
"22","FNDC10","Inh LAMP5 NRG1 (Rosehip)",-0.0580610870505057,3.78437545349745,0.209254330173598,0.64789104034973,0.984159614922166,0.99999943005973,"social_isolation_avg"
"23","AL691432.2","Inh LAMP5 NRG1 (Rosehip)",0.0228096654340855,3.14015325246624,0.0232173290750802,0.879059884398134,0.999661137982804,0.99999943005973,"social_isolation_avg"
"24","MIB2","Inh LAMP5 NRG1 (Rosehip)",0.153776750681611,5.01596553813801,4.78436684083057,0.029977498567813,0.701538371984409,0.990272798365762,"social_isolation_avg"
"25","MMP23B","Inh LAMP5 NRG1 (Rosehip)",0.0173051313051053,3.17807640962271,0.0170331913040909,0.896304222748088,0.999661137982804,0.99999943005973,"social_isolation_avg"
"26","CDK11B","Inh LAMP5 NRG1 (Rosehip)",0.109492054738436,4.84015272665377,2.92039498613008,0.0891491006073352,0.780416288447987,0.99999943005973,"social_isolation_avg"
"27","SLC35E2B","Inh LAMP5 NRG1 (Rosehip)",-0.00747063094775638,5.05570888391839,0.0107813846277002,0.917414379519853,0.999661137982804,0.99999943005973,"social_isolation_avg"
"28","CDK11A","Inh LAMP5 NRG1 (Rosehip)",-0.0155090063354247,4.26405120581296,0.0231574536775441,0.879214723873966,0.999661137982804,0.99999943005973,"social_isolation_avg"
"29","SLC35E2A","Inh LAMP5 NRG1 (Rosehip)",-0.0496892115766522,4.950372099502,0.416751635529176,0.519364952462675,0.960741432100463,0.99999943005973,"social_isolation_avg"
"30","NADK","Inh LAMP5 NRG1 (Rosehip)",0.0520961918129949,4.57101080856897,0.47648179460629,0.490888239689502,0.952102326992713,0.99999943005973,"social_isolation_avg"
"31","GNB1","Inh LAMP5 NRG1 (Rosehip)",-0.0295627527330677,7.92480020302105,0.932857492465028,0.335386635374407,0.899140672672642,0.99999943005973,"social_isolation_avg"
"32","CFAP74","Inh LAMP5 NRG1 (Rosehip)",0.050084320873167,3.81718532532856,0.191009699247755,0.6625890124833,0.987228196488479,0.99999943005973,"social_isolation_avg"
"33","GABRD","Inh LAMP5 NRG1 (Rosehip)",-0.0651156621704477,6.61276912861468,0.578348461168148,0.447931814031882,0.93669263084749,0.99999943005973,"social_isolation_avg"
"34","PRKCZ","Inh LAMP5 NRG1 (Rosehip)",-0.0115832924979126,6.74047930305683,0.0762279926694642,0.782784954098164,0.999661137982804,0.99999943005973,"social_isolation_avg"
"35","FAAP20","Inh LAMP5 NRG1 (Rosehip)",-0.0635688701818291,4.66438262686445,0.564671673156718,0.453342135151372,0.939637047230525,0.99999943005973,"social_isolation_avg"
"36","SKI","Inh LAMP5 NRG1 (Rosehip)",-0.0255687424501031,6.4424712998895,0.208286844068247,0.648650627440991,0.984159614922166,0.99999943005973,"social_isolation_avg"
"37","MORN1","Inh LAMP5 NRG1 (Rosehip)",-0.11314585967994,3.88113420052448,1.09564491346257,0.296594105340541,0.88618829310859,0.99999943005973,"social_isolation_avg"
"38","RER1","Inh LAMP5 NRG1 (Rosehip)",-0.0615146271097516,4.77718460021482,0.761678472425096,0.383938910198942,0.91300380987321,0.99999943005973,"social_isolation_avg"
"39","PEX10","Inh LAMP5 NRG1 (Rosehip)",-0.174816874411609,3.38635378822114,1.72016800574966,0.191302239958355,0.830561941267842,0.99999943005973,"social_isolation_avg"
"40","PLCH2","Inh LAMP5 NRG1 (Rosehip)",0.0801692695839909,5.77367311228811,1.57217958426935,0.211478208933368,0.845351513347453,0.99999943005973,"social_isolation_avg"
"41","PANK4","Inh LAMP5 NRG1 (Rosehip)",0.0976611471764846,3.62817088367952,0.622090627873987,0.43128442343745,0.929703834956951,0.99999943005973,"social_isolation_avg"
"42","FAM213B","Inh LAMP5 NRG1 (Rosehip)",-0.171125756798903,3.38537657893377,1.45519516019805,0.229241749008445,0.859841418769761,0.99999943005973,"social_isolation_avg"
"43","TPRG1L","Inh LAMP5 NRG1 (Rosehip)",-0.202075322485458,4.363675834693,3.14140860250566,0.0779792405081169,0.76553849789352,0.99999943005973,"social_isolation_avg"
"44","WRAP73","Inh LAMP5 NRG1 (Rosehip)",0.0494551399839441,3.49867711354528,0.234427465529025,0.881687604814642,0.999661137982804,0.99999943005973,"social_isolation_avg"
"45","LRRC47","Inh LAMP5 NRG1 (Rosehip)",-0.110874581065037,4.31896997277561,1.26671261367616,0.261847201716574,0.878511580696544,0.99999943005973,"social_isolation_avg"
"46","CEP104","Inh LAMP5 NRG1 (Rosehip)",0.00633645751015407,5.61500664233535,0.0156500941930284,0.900580410355392,0.999661137982804,0.99999943005973,"social_isolation_avg"
