"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","MXRA8","Fib FLRT2",0.134790779061088,7.41289108366588,0.21641413679947,0.643528594056891,0.942861322949639,1,"social_isolation_lv"
"2","CCNL2","Fib FLRT2",-0.074087556047278,7.96864577620751,0.269533158004989,0.605621476581898,0.929825125181528,1,"social_isolation_lv"
"3","GNB1","Fib FLRT2",-0.325584661875942,8.45170643914668,5.40962232230774,0.0235451067486309,0.410031252761314,1,"social_isolation_lv"
"4","SKI","Fib FLRT2",-0.0116299978688769,8.14095646903087,0.00369686675242178,0.95172612770583,0.99859375937202,1,"social_isolation_lv"
"5","CAMTA1","Fib FLRT2",0.0761171962606226,8.37607893388796,0.329018019625824,0.568456483692984,0.921502631342782,1,"social_isolation_lv"
"6","PER3","Fib FLRT2",0.165286915064087,8.10149087553338,0.628815288555913,0.431023563300715,0.872595111157978,1,"social_isolation_lv"
"7","ERRFI1","Fib FLRT2",0.0985634351649189,7.89525604740832,0.19343008846378,0.66171222508071,0.94613516439665,1,"social_isolation_lv"
"8","RERE","Fib FLRT2",-0.169293265251942,9.89964996541199,3.16199898618996,0.0806148650801138,0.599966249525807,1,"social_isolation_lv"
"9","SPSB1","Fib FLRT2",-0.00411819190218116,7.4684371734939,0.000276042781251405,0.986801175897414,0.998886710909657,1,"social_isolation_lv"
"10","UBE4B","Fib FLRT2",-0.128156087646369,8.34505776548125,0.751761864452388,0.389493542441119,0.858777270198254,1,"social_isolation_lv"
"11","KIF1B","Fib FLRT2",0.0517154025445459,8.41260337752656,0.124691822811686,0.725281264193891,0.966956736646739,1,"social_isolation_lv"
"12","VPS13D","Fib FLRT2",-0.203033620752835,8.57667033320028,2.89307830476816,0.0943194037819381,0.622572771044156,1,"social_isolation_lv"
"13","DHRS3","Fib FLRT2",-0.979847186514179,7.17391534758057,6.50762041061167,0.0134031000928429,0.362339294566916,0.944938963144238,"social_isolation_lv"
"14","PRDM2","Fib FLRT2",0.0974716186842965,8.2867978492154,0.468731716910971,0.496299269387809,0.892364184228851,1,"social_isolation_lv"
"15","KAZN","Fib FLRT2",0.342646848874497,11.6449634316869,3.23414208721625,0.0773248527489667,0.590896963812848,1,"social_isolation_lv"
"16","SPEN","Fib FLRT2",-0.161916641082634,8.10764017033307,1.0159799109884,0.317663034338787,0.831616101980562,1,"social_isolation_lv"
"17","UBR4","Fib FLRT2",-0.130706967304179,7.88927868605809,0.708454887923419,0.485231515403727,0.885089759499758,1,"social_isolation_lv"
"18","CAPZB","Fib FLRT2",-0.00729171344738632,8.87897819254591,0.00208602632759267,0.963727817425647,0.998886710909657,1,"social_isolation_lv"
"19","NBL1","Fib FLRT2",-0.101671787038659,7.52721765614043,0.14416794493091,0.705559537557899,0.963277844816644,1,"social_isolation_lv"
"20","HP1BP3","Fib FLRT2",-0.255890694026983,9.02707515475781,3.51956636086082,0.0656856326228357,0.56536577289452,1,"social_isolation_lv"
"21","EIF4G3","Fib FLRT2",0.0217401884412982,9.7794066575136,0.0396405331980337,0.842881699332539,0.992438471018942,1,"social_isolation_lv"
"22","ECE1","Fib FLRT2",-0.226792176752083,9.07971866603286,2.45087287695591,0.122902170972779,0.669395313671604,1,"social_isolation_lv"
"23","USP48","Fib FLRT2",-0.129717453788116,7.87128933772723,0.530643505165406,0.469268778084007,0.884806213050914,1,"social_isolation_lv"
"24","HSPG2","Fib FLRT2",-0.15735277619319,7.75031130665467,0.531227638480118,0.469025399486575,0.884806213050914,1,"social_isolation_lv"
"25","LUZP1","Fib FLRT2",-0.0743128334915873,7.67367934826119,0.11516242612815,0.735567903865401,0.966956736646739,1,"social_isolation_lv"
"26","HNRNPR","Fib FLRT2",0.420879001357794,7.94780637952597,9.39990842379441,0.00329313260459293,0.262455628336601,0.76499538922302,"social_isolation_lv"
