"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.0653564281691613,3.03456368081924,0.326627122695162,0.568006479404628,0.999876464719767,1,"stroke_bl"
"2","AL669831.5","Exc L6b",-0.0465165410585057,5.7438108248735,0.423753852366708,0.515482692334062,0.999876464719767,1,"stroke_bl"
"3","LINC00115","Exc L6b",-0.452484905060144,1.33096451342177,3.2122543465827,0.0739233451698421,0.999876464719767,1,"stroke_bl"
"4","NOC2L","Exc L6b",0.0274348672432562,4.8147969716916,0.157380964573428,0.6918130136812,0.999876464719767,1,"stroke_bl"
"5","KLHL17","Exc L6b",0.0101553281463128,2.91733333039373,0.00684710490378244,0.934098243869353,0.999876464719767,1,"stroke_bl"
"6","HES4","Exc L6b",0.0932680276209934,3.83717487965199,0.379964228518375,0.538009669306826,0.999876464719767,1,"stroke_bl"
"7","ISG15","Exc L6b",0.0841805223926512,1.52927211918091,0.136547459340484,0.711953703593316,0.999876464719767,1,"stroke_bl"
"8","AGRN","Exc L6b",0.0383808679146051,4.80884391394551,0.168625445846582,0.681579179478403,0.999876464719767,1,"stroke_bl"
"9","C1orf159","Exc L6b",-0.0502369388277258,5.83694478265183,0.608830725777096,0.435738104866982,0.999876464719767,1,"stroke_bl"
"10","SDF4","Exc L6b",-0.0526713912650297,5.1848694682837,0.650349242366028,0.420517123293547,0.999876464719767,1,"stroke_bl"
"11","B3GALT6","Exc L6b",0.0360572189021575,2.95523193925348,0.0942819154753924,0.758979061851232,0.999876464719767,1,"stroke_bl"
"12","UBE2J2","Exc L6b",-0.0434490185305853,4.85170594449814,0.524015652852891,0.469601086899843,0.999876464719767,1,"stroke_bl"
"13","LINC01786","Exc L6b",-0.157740953860478,2.17100295424143,0.969805677185023,0.325386138105706,0.999876464719767,1,"stroke_bl"
"14","SCNN1D","Exc L6b",0.0391420316924941,2.91721377496313,0.0986621993628379,0.753621861082388,0.999876464719767,1,"stroke_bl"
"15","ACAP3","Exc L6b",0.024997085544728,6.62821370326691,0.130798688143947,0.717816290343234,0.999876464719767,1,"stroke_bl"
"16","PUSL1","Exc L6b",0.128572972644229,1.85983252489255,0.592434342822955,0.441981082146267,0.999876464719767,1,"stroke_bl"
"17","INTS11","Exc L6b",0.0261423108656646,5.15063787535419,0.242224495379968,0.622902283985172,0.999876464719767,1,"stroke_bl"
"18","CPTP","Exc L6b",0.251043794205562,3.04145589119089,5.41897350537509,0.0204693493532544,0.999876464719767,1,"stroke_bl"
"19","DVL1","Exc L6b",0.10432286602666,4.29816513363595,1.90221479492656,0.168681787604843,0.999876464719767,1,"stroke_bl"
"20","AURKAIP1","Exc L6b",-0.0341348435699571,4.07789044243238,0.0572237130777104,0.8110743658646,0.999876464719767,1,"stroke_bl"
"21","CCNL2","Exc L6b",0.0246268977954706,5.72102420659012,0.324674686562657,0.670505981145902,0.999876464719767,1,"stroke_bl"
"22","MRPL20","Exc L6b",0.0104487487711067,4.56484468799773,0.0131595647956433,0.908734485273068,0.999876464719767,1,"stroke_bl"
"23","ANKRD65","Exc L6b",-0.0341507091717671,1.80875118780501,0.0349676886164453,0.851768100916304,0.999876464719767,1,"stroke_bl"
"24","VWA1","Exc L6b",0.222912555614444,1.55927337591401,1.42636212852858,0.233140739062657,0.999876464719767,1,"stroke_bl"
"25","ATAD3C","Exc L6b",0.0407487792997898,1.80419969327135,0.0410414877487418,0.839571630166704,0.999876464719767,1,"stroke_bl"
"26","ATAD3B","Exc L6b",-0.0129009884533215,4.17732078106981,0.0232285509003336,0.878949114454706,0.999876464719767,1,"stroke_bl"
"27","ATAD3A","Exc L6b",0.109573067741402,4.08036618595438,2.15023152675323,0.181706216162485,0.999876464719767,1,"stroke_bl"
"28","TMEM240","Exc L6b",0.143778525790524,2.29177821449016,0.902124191534816,0.342846207876096,0.999876464719767,1,"stroke_bl"
"29","SSU72","Exc L6b",0.0846152181416647,5.32933652373748,1.1455455236245,0.285196410969453,0.999876464719767,1,"stroke_bl"
"30","AL645728.1","Exc L6b",0.0610932343551303,2.10151230481019,0.144551419194775,0.704020460117782,0.999876464719767,1,"stroke_bl"
"31","FNDC10","Exc L6b",0.0628618798842589,3.09346289511803,0.225638727311183,0.635063027432397,0.999876464719767,1,"stroke_bl"
"32","AL691432.2","Exc L6b",0.0817417261215086,3.101115737061,0.562216482955142,0.551552282353265,0.999876464719767,1,"stroke_bl"
"33","MIB2","Exc L6b",0.0796391542656261,5.17477669661626,1.52223073065348,0.265364885115282,0.999876464719767,1,"stroke_bl"
"34","MMP23B","Exc L6b",-0.0181398299128356,1.7953288129279,0.0112089476965503,0.915742278191503,0.999876464719767,1,"stroke_bl"
"35","CDK11B","Exc L6b",-0.0397509975729279,4.80278280933818,0.335529158443467,0.562781454341367,0.999876464719767,1,"stroke_bl"
"36","SLC35E2B","Exc L6b",-0.0581834032789828,4.59801739194978,0.66493223212648,0.415360045387194,0.999876464719767,1,"stroke_bl"
"37","CDK11A","Exc L6b",-0.0343049536843065,3.92440851084192,0.129870277566919,0.718776678055202,0.999876464719767,1,"stroke_bl"
"38","SLC35E2A","Exc L6b",0.00362714454305009,4.54361713407511,0.00204903788061847,0.963919999443567,0.999876464719767,1,"stroke_bl"
