"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PVALB CA8 (Chandelier)",-0.154439497030963,5.15602581066829,1.99988901784249,0.158236529917488,0.999894335069007,0.999997340306637,"stroke_bl"
"2","NOC2L","Inh PVALB CA8 (Chandelier)",-0.0302492121719762,4.47096819458359,0.0580192428322106,0.809801341132221,0.999894335069007,0.999997340306637,"stroke_bl"
"3","HES4","Inh PVALB CA8 (Chandelier)",-0.228049707871457,4.06400255126814,1.10666406169013,0.293564130281179,0.999894335069007,0.999997340306637,"stroke_bl"
"4","C1orf159","Inh PVALB CA8 (Chandelier)",-0.0837949919747549,5.39118693418386,0.924484123406403,0.336991669460878,0.999894335069007,0.999997340306637,"stroke_bl"
"5","SDF4","Inh PVALB CA8 (Chandelier)",-0.0734992998622426,5.18089700965019,0.556910246109015,0.456029577377573,0.999894335069007,0.999997340306637,"stroke_bl"
"6","UBE2J2","Inh PVALB CA8 (Chandelier)",-0.0181580253571993,5.06368473085046,0.0394568928838728,0.991510926252952,0.999894335069007,0.999997340306637,"stroke_bl"
"7","SCNN1D","Inh PVALB CA8 (Chandelier)",-0.29811859058156,3.83873706046024,2.72681751146077,0.0996098885764906,0.999894335069007,0.999997340306637,"stroke_bl"
"8","ACAP3","Inh PVALB CA8 (Chandelier)",-0.0859254876771838,6.42701884191283,1.2857771940602,0.257635890837323,0.999894335069007,0.999997340306637,"stroke_bl"
"9","INTS11","Inh PVALB CA8 (Chandelier)",0.0480362217897768,5.46765201799357,0.423598418930887,0.515591713032331,0.999894335069007,0.999997340306637,"stroke_bl"
"10","DVL1","Inh PVALB CA8 (Chandelier)",0.0247942396934473,4.33287712303104,0.0453688785200155,0.840829191103876,0.999894335069007,0.999997340306637,"stroke_bl"
"11","AURKAIP1","Inh PVALB CA8 (Chandelier)",0.0791500094346092,4.16260494235466,0.231188795162923,0.630956645842112,0.999894335069007,0.999997340306637,"stroke_bl"
"12","CCNL2","Inh PVALB CA8 (Chandelier)",0.0283887246704341,6.09626657798182,0.153050266587081,0.695885224931972,0.999894335069007,0.999997340306637,"stroke_bl"
"13","MRPL20","Inh PVALB CA8 (Chandelier)",-0.0239188330101328,4.64063823457694,0.0380270871220987,0.845506605144704,0.999894335069007,0.999997340306637,"stroke_bl"
"14","ATAD3B","Inh PVALB CA8 (Chandelier)",0.085678425380663,4.77036277522942,0.684261401824307,0.408710182929025,0.999894335069007,0.999997340306637,"stroke_bl"
