"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",0.158078351660365,2.37891298557227,1.65954923167562,0.198498113585501,0.999939951029974,0.999939951029974,"stroke_bl"
"2","AL669831.5","OPC",-0.0784985819422182,5.01513918529755,1.51032590464436,0.219898427617418,0.999939951029974,0.999939951029974,"stroke_bl"
"3","NOC2L","OPC",0.0416135971005683,4.49651995761918,0.339358433494611,0.560567349607564,0.999939951029974,0.999939951029974,"stroke_bl"
"4","KLHL17","OPC",-0.106704033068743,2.19715159133664,0.483935235560307,0.487097580825449,0.999939951029974,0.999939951029974,"stroke_bl"
"5","HES4","OPC",0.196211313889491,2.4141506898371,1.20894864136009,0.272280994691725,0.999939951029974,0.999939951029974,"stroke_bl"
"6","ISG15","OPC",-0.03458570641711,3.67366550031361,0.0199634651072357,0.887718825485443,0.999939951029974,0.999939951029974,"stroke_bl"
"7","AGRN","OPC",0.0939269798215306,5.21255756837602,1.73106115188336,0.189119320392103,0.999939951029974,0.999939951029974,"stroke_bl"
"8","C1orf159","OPC",-0.0754661075959497,4.38544325328191,1.16338978541254,0.281491517406802,0.999939951029974,0.999939951029974,"stroke_bl"
"9","SDF4","OPC",0.0167094631872021,4.80029878294003,0.0826194700846683,0.875659871545766,0.999939951029974,0.999939951029974,"stroke_bl"
"10","B3GALT6","OPC",-0.0662579234467817,2.82818410312576,0.31973815693923,0.57212007286572,0.999939951029974,0.999939951029974,"stroke_bl"
"11","UBE2J2","OPC",-0.0376703437406261,4.86068679639423,0.511099537072179,0.475130281586877,0.999939951029974,0.999939951029974,"stroke_bl"
"12","LINC01786","OPC",-0.0582087677627782,2.88639249883378,0.241652655284954,0.623316974980078,0.999939951029974,0.999939951029974,"stroke_bl"
"13","SCNN1D","OPC",0.042577454069704,4.01230413072018,0.17747389412997,0.673806587235529,0.999939951029974,0.999939951029974,"stroke_bl"
"14","ACAP3","OPC",-0.0255946863403998,7.52457387237008,0.104910383158464,0.746204292536473,0.999939951029974,0.999939951029974,"stroke_bl"
"15","PUSL1","OPC",0.0322788337619954,1.93607667819783,0.0440616030836144,0.833858726759954,0.999939951029974,0.999939951029974,"stroke_bl"
"16","INTS11","OPC",0.0302637322387822,5.27029042309832,0.375291859994692,0.540523623781756,0.999939951029974,0.999939951029974,"stroke_bl"
"17","CPTP","OPC",0.184801393101004,2.75239892739646,2.1669529082137,0.141885961274332,0.999939951029974,0.999939951029974,"stroke_bl"
"18","DVL1","OPC",-0.110378306517766,3.9373189253653,2.26023269679676,0.13361778326472,0.999939951029974,0.999939951029974,"stroke_bl"
"19","AURKAIP1","OPC",0.0639735838488815,3.59318978980946,0.245141891913298,0.620821237079877,0.999939951029974,0.999939951029974,"stroke_bl"
"20","CCNL2","OPC",0.102918132437625,5.90208922450135,5.01778173085786,0.0257028429254637,0.999939951029974,0.999939951029974,"stroke_bl"
"21","MRPL20","OPC",0.0593428971327434,4.20677257167053,0.771904134265393,0.380219295620937,0.999939951029974,0.999939951029974,"stroke_bl"
"22","ANKRD65","OPC",-0.0558839084562667,2.56178042410505,0.145322730419121,0.703272467622233,0.999939951029974,0.999939951029974,"stroke_bl"
"23","VWA1","OPC",-0.0477414687754362,4.84805114939305,0.193894099161229,0.659961525914814,0.999939951029974,0.999939951029974,"stroke_bl"
"24","ATAD3C","OPC",0.0667917427323136,2.19940439841197,0.193265548691311,0.660478388099077,0.999939951029974,0.999939951029974,"stroke_bl"
"25","ATAD3B","OPC",0.0714338000395309,4.12902940673476,0.957347486293987,0.328518337904977,0.999939951029974,0.999939951029974,"stroke_bl"
"26","ATAD3A","OPC",-0.0861401993769854,3.74395182070935,1.19424005732536,0.275212484368727,0.999939951029974,0.999939951029974,"stroke_bl"
"27","TMEM240","OPC",0.0763223654511947,2.70981277715276,0.329350558272532,0.566402960633885,0.999939951029974,0.999939951029974,"stroke_bl"
"28","SSU72","OPC",0.0842875513781061,4.37968785048403,1.68402533621955,0.195227903385684,0.999939951029974,0.999939951029974,"stroke_bl"
"29","FNDC10","OPC",0.145488028594719,1.93562355499051,0.776331435877446,0.378857986792041,0.999939951029974,0.999939951029974,"stroke_bl"
"30","AL691432.2","OPC",0.0864477692884911,2.61201752943667,0.456745075748308,0.49958645120975,0.999939951029974,0.999939951029974,"stroke_bl"
"31","MIB2","OPC",0.0707535144697722,4.42825914127654,1.0365563631894,0.30931286542918,0.999939951029974,0.999939951029974,"stroke_bl"
"32","CDK11B","OPC",8.46744986704015e-05,4.50464986888461,1.49289757126076e-06,0.999025793608827,0.999939951029974,0.999939951029974,"stroke_bl"
"33","SLC35E2B","OPC",0.00130828344306846,4.86385139677221,0.000333520691428093,0.985439601536433,0.999939951029974,0.999939951029974,"stroke_bl"
"34","CDK11A","OPC",0.0622059561087522,3.93371118165326,0.435196656874711,0.509875129589077,0.999939951029974,0.999939951029974,"stroke_bl"
"35","SLC35E2A","OPC",-0.0390778266269356,4.74741872681295,0.250537677467144,0.617005018924709,0.999939951029974,0.999939951029974,"stroke_bl"
"36","NADK","OPC",0.0725055825071265,4.03528469781367,1.34606280252287,0.536903344717514,0.999939951029974,0.999939951029974,"stroke_bl"
"37","GNB1","OPC",-0.0544599138473346,7.23948482096287,1.86521639770338,0.172883364681334,0.999939951029974,0.999939951029974,"stroke_bl"
"38","GABRD","OPC",0.259018549593137,2.24451423774331,1.77863828104274,0.18316648004791,0.999939951029974,0.999939951029974,"stroke_bl"
"39","PRKCZ","OPC",0.0498178445501146,5.18172130203805,0.746996579025963,0.38800886783517,0.999939951029974,0.999939951029974,"stroke_bl"
"40","FAAP20","OPC",0.0655115361441463,4.38152966360764,0.849757278163598,0.357243255534607,0.999939951029974,0.999939951029974,"stroke_bl"
"41","SKI","OPC",-0.0439577831020308,5.55756826354238,0.435337319819385,0.509806788172817,0.999939951029974,0.999939951029974,"stroke_bl"
"42","MORN1","OPC",0.032130216134739,3.05670154749571,0.110412755967063,0.984897634837023,0.999939951029974,0.999939951029974,"stroke_bl"
"43","RER1","OPC",0.0308390271226944,4.83492947660775,0.260501670318038,0.610090991686393,0.999939951029974,0.999939951029974,"stroke_bl"
"44","PEX10","OPC",0.146774344686343,3.70978550885513,2.55886909120298,0.110561172332987,0.999939951029974,0.999939951029974,"stroke_bl"
"45","PANK4","OPC",0.0432200374124129,2.75055308416683,0.153909849549645,0.695060622460791,0.999939951029974,0.999939951029974,"stroke_bl"
"46","HES5","OPC",0.194432320025894,3.08250217354987,0.447085956975868,0.504153952756447,0.999939951029974,0.999939951029974,"stroke_bl"
"47","TNFRSF14","OPC",0.0738463634919619,2.86077650121058,0.451754179264812,0.501937638506419,0.999939951029974,0.999939951029974,"stroke_bl"
"48","FAM213B","OPC",0.0054213736667673,2.39413258313075,0.00176706362665628,0.966493125144692,0.999939951029974,0.999939951029974,"stroke_bl"
"49","LINC00982","OPC",0.070486555298278,2.69959260860553,0.325666175583653,0.568581060527534,0.999939951029974,0.999939951029974,"stroke_bl"
"50","PRDM16","OPC",0.201920012824892,3.8526709467555,2.26190994888656,0.133474155245334,0.999939951029974,0.999939951029974,"stroke_bl"
"51","TPRG1L","OPC",-0.0115673110346534,3.07428380158304,0.0128066011214833,0.982577220380789,0.999939951029974,0.999939951029974,"stroke_bl"
"52","WRAP73","OPC",0.0293551367702246,3.8326914140649,0.171754014849712,0.67880642688888,0.999939951029974,0.999939951029974,"stroke_bl"
"53","TP73","OPC",-0.0928886670001031,1.7792082444413,0.281154996911739,0.596274673846161,0.999939951029974,0.999939951029974,"stroke_bl"
"54","LRRC47","OPC",-0.0563912711069167,3.93824939147426,0.620287073649244,0.487661606830192,0.999939951029974,0.999939951029974,"stroke_bl"
"55","CEP104","OPC",-0.0104958254404571,5.17301584441273,0.0417147181036986,0.857065210308212,0.999939951029974,0.999939951029974,"stroke_bl"
"56","DFFB","OPC",-0.0356778009323503,3.52377286025205,0.166200274821461,0.98869934437035,0.999939951029974,0.999939951029974,"stroke_bl"
"57","C1orf174","OPC",-0.0793541236490039,2.74378801504028,0.442840257459496,0.506184262451258,0.999939951029974,0.999939951029974,"stroke_bl"
"58","AJAP1","OPC",-0.0915674704841543,6.14927366883318,0.649034391044076,0.420994137496471,0.999939951029974,0.999939951029974,"stroke_bl"
"59","AL365255.1","OPC",-0.226514786448533,1.8247987729267,1.25239105588739,0.26384833702892,0.999939951029974,0.999939951029974,"stroke_bl"
"60","NPHP4","OPC",0.0256684370497865,4.99706638959983,0.150528096745049,0.698262329312752,0.999939951029974,0.999939951029974,"stroke_bl"
"61","KCNAB2","OPC",-0.0705088344459247,3.9820235106346,0.840580780176882,0.359849358664463,0.999939951029974,0.999939951029974,"stroke_bl"
"62","CHD5","OPC",0.116668994193454,3.21893195332182,0.680516910394201,0.409959383356349,0.999939951029974,0.999939951029974,"stroke_bl"
"63","RPL22","OPC",0.0536851242653816,3.44565040449369,0.359239455148124,0.549308923298198,0.999939951029974,0.999939951029974,"stroke_bl"
"64","ICMT","OPC",-0.0295846976773661,2.97750116254544,0.0741782655441809,0.785505012477656,0.999939951029974,0.999939951029974,"stroke_bl"
"65","GPR153","OPC",-0.131179005549701,3.16590361654458,1.2673458052482,0.261021069127881,0.999939951029974,0.999939951029974,"stroke_bl"
"66","ACOT7","OPC",-0.0746136213479793,5.56189122936751,1.56832422792148,0.211269937408071,0.999939951029974,0.999939951029974,"stroke_bl"
"67","TNFRSF25","OPC",0.0236443186274416,3.1283253064544,0.0519439029409932,0.935896804470163,0.999939951029974,0.999939951029974,"stroke_bl"
"68","PLEKHG5","OPC",-0.154182141917995,2.67784333533481,1.54240469575315,0.215075110951282,0.999939951029974,0.999939951029974,"stroke_bl"
"69","NOL9","OPC",-0.0721119007901879,5.02859900755036,1.38715598558241,0.239670137624588,0.999939951029974,0.999939951029974,"stroke_bl"
"70","ZBTB48","OPC",-0.00668289234736291,3.65800451759899,0.00630296854954102,0.936765900132541,0.999939951029974,0.999939951029974,"stroke_bl"
"71","KLHL21","OPC",-0.0330815044562876,3.97213106921064,0.157071178675985,0.692104117708697,0.999939951029974,0.999939951029974,"stroke_bl"
"72","PHF13","OPC",-0.0499337424228885,3.12048611513881,0.333056669003227,0.56422830155195,0.999939951029974,0.999939951029974,"stroke_bl"
"73","THAP3","OPC",0.0220020632555201,3.24968848671228,0.0626417857621746,0.80251208570223,0.999939951029974,0.999939951029974,"stroke_bl"
"74","DNAJC11","OPC",-0.0717846290218633,5.38436461984032,2.57121316822275,0.157447207746084,0.999939951029974,0.999939951029974,"stroke_bl"
"75","CAMTA1-DT","OPC",-0.184138221581635,1.83220226000659,1.33150342198089,0.249309470552728,0.999939951029974,0.999939951029974,"stroke_bl"
"76","CAMTA1","OPC",-0.00144314879568963,9.33156591231311,0.000870138812705605,0.976483797457288,0.999939951029974,0.999939951029974,"stroke_bl"
"77","AL512330.1","OPC",0.25787508676088,2.09126757617117,1.56669070790502,0.211507369641532,0.999939951029974,0.999939951029974,"stroke_bl"
"78","VAMP3","OPC",-0.0278186531077799,4.13356208095026,0.130527089925557,0.7180997711482,0.999939951029974,0.999939951029974,"stroke_bl"
"79","PER3","OPC",0.111605788153304,7.13436035754903,2.03337934219356,0.154751535770032,0.999939951029974,0.999939951029974,"stroke_bl"
"80","PARK7","OPC",-0.0194605619018257,4.68554159762293,0.0487605533123377,0.825360385346583,0.999939951029974,0.999939951029974,"stroke_bl"
"81","ERRFI1","OPC",0.021565761614434,4.34120324961462,0.103098916378238,0.978766762924037,0.999939951029974,0.999939951029974,"stroke_bl"
"82","AL034417.2","OPC",-0.0864022722484949,2.02777068940703,0.306800386772699,0.579996862682836,0.999939951029974,0.999939951029974,"stroke_bl"
"83","SLC45A1","OPC",0.0672122931625443,3.40242891182806,0.649594448108443,0.420793991171113,0.999939951029974,0.999939951029974,"stroke_bl"
"84","RERE","OPC",-0.0130501624565496,9.45453589015377,0.109703279707027,0.740676439782699,0.999939951029974,0.999939951029974,"stroke_bl"
"85","AL096855.1","OPC",0.0807020466050534,1.90202780494427,0.207815078862243,0.64876237690101,0.999939951029974,0.999939951029974,"stroke_bl"
"86","ENO1","OPC",0.034169998695965,6.68121985085736,0.140416935067476,0.70808926582561,0.999939951029974,0.999939951029974,"stroke_bl"
"87","SLC2A5","OPC",0.198635831305169,2.30339907868583,2.27655071950159,0.132227749363305,0.999939951029974,0.999939951029974,"stroke_bl"
"88","GPR157","OPC",0.234558598641065,2.18025978723458,2.3084140446682,0.12955996560028,0.999939951029974,0.999939951029974,"stroke_bl"
"89","MIR34AHG","OPC",0.0548167979694194,5.65152639973524,0.312442480769943,0.576535524765757,0.999939951029974,0.999939951029974,"stroke_bl"
"90","LINC01759","OPC",0.0694907925045093,2.63522248528656,0.308678764134082,0.578839912034866,0.999939951029974,0.999939951029974,"stroke_bl"
"91","H6PD","OPC",-0.00129618664944287,5.04435800806187,0.000538181545161736,0.981504698509998,0.999939951029974,0.999939951029974,"stroke_bl"
"92","SPSB1","OPC",-0.0939687401459256,4.62784738330574,0.837532759504107,0.360720791516913,0.999939951029974,0.999939951029974,"stroke_bl"
"93","SLC25A33","OPC",-0.00315714633506402,4.51973844412072,0.00177249167357253,0.966441732014331,0.999939951029974,0.999939951029974,"stroke_bl"
"94","TMEM201","OPC",0.0371815051376332,3.90378298505771,0.214840222431088,0.643282177295686,0.999939951029974,0.999939951029974,"stroke_bl"
"95","PIK3CD","OPC",0.153020260018191,3.88189182516642,2.26265484429138,0.133410423213469,0.999939951029974,0.999939951029974,"stroke_bl"
"96","CLSTN1","OPC",0.0216328609312244,7.599190217696,0.327163647568003,0.567693834932493,0.999939951029974,0.999939951029974,"stroke_bl"
"97","CTNNBIP1","OPC",0.0056058071515051,5.18268699718062,0.0106357090822388,0.917918012502154,0.999939951029974,0.999939951029974,"stroke_bl"
"98","LZIC","OPC",0.00921125870743198,4.3652363005567,0.0269336957605017,0.913163712542213,0.999939951029974,0.999939951029974,"stroke_bl"
"99","NMNAT1","OPC",-0.0638499239097465,4.01077988164599,0.762419943241822,0.678782677249858,0.999939951029974,0.999939951029974,"stroke_bl"
"100","UBE4B","OPC",-0.0173421379174913,7.63471612081519,0.0973176779958267,0.755254612169035,0.999939951029974,0.999939951029974,"stroke_bl"
"101","KIF1B","OPC",-0.04777816270328,8.79474923690117,1.91475400725592,0.167300269753182,0.999939951029974,0.999939951029974,"stroke_bl"
"102","PGD","OPC",0.0701274788015268,3.98278466926583,0.935225923384036,0.375922879990526,0.999939951029974,0.999939951029974,"stroke_bl"
"103","DFFA","OPC",-0.0891957704124973,4.52614725790076,2.00262508546231,0.157898330375061,0.999939951029974,0.999939951029974,"stroke_bl"
"104","PEX14","OPC",-0.0743127215308988,5.5489480533769,2.59779373613713,0.107895858973396,0.999939951029974,0.999939951029974,"stroke_bl"
"105","CASZ1","OPC",-0.0514463586202537,1.9707905791363,0.0514020797942049,0.82077096812425,0.999939951029974,0.999939951029974,"stroke_bl"
"106","AL109811.4","OPC",-0.131959969320476,2.01526060138432,0.73969379288502,0.390335900715126,0.999939951029974,0.999939951029974,"stroke_bl"
"107","MASP2","OPC",0.135227426325491,2.48301230137842,0.681163715247734,0.409737184745465,0.999939951029974,0.999939951029974,"stroke_bl"
"108","SRM","OPC",-0.00319270360590384,4.70998041688386,0.00164054881281784,0.967714197235187,0.999939951029974,0.999939951029974,"stroke_bl"
"109","EXOSC10","OPC",0.0102011237884682,5.77338961953925,0.0469075816838497,0.828658090405167,0.999939951029974,0.999939951029974,"stroke_bl"
"110","AL109811.1","OPC",0.084449696799059,3.27108417532953,0.592884457007397,0.441814841743919,0.999939951029974,0.999939951029974,"stroke_bl"
"111","MTOR","OPC",-0.0745064852305069,6.28994916754396,3.19937217287957,0.0745139252716705,0.999939951029974,0.999939951029974,"stroke_bl"
"112","UBIAD1","OPC",0.0679682166334733,4.15345843476591,1.1890944601858,0.276247400381218,0.999939951029974,0.999939951029974,"stroke_bl"
"113","DISP3","OPC",-0.00719990833243492,3.74708265101321,0.00558309552188995,0.94047923424733,0.999939951029974,0.999939951029974,"stroke_bl"
"114","FBXO2","OPC",0.150594073992949,3.45486960244509,1.40736595838539,0.236282685864138,0.999939951029974,0.999939951029974,"stroke_bl"
"115","FBXO44","OPC",0.0755021325085471,4.54302788052515,0.965551536721304,0.326457263220368,0.999939951029974,0.999939951029974,"stroke_bl"
"116","FBXO6","OPC",-0.0355396765346398,2.47600517401793,0.0854519398115758,0.830690640869832,0.999939951029974,0.999939951029974,"stroke_bl"
"117","MAD2L2","OPC",-0.00605648692369438,3.38939484103589,0.00343581644416436,0.953290875942391,0.999939951029974,0.999939951029974,"stroke_bl"
"118","DRAXIN","OPC",-0.0738144299054939,2.16018018802652,0.120016236650573,0.729220876967067,0.999939951029974,0.999939951029974,"stroke_bl"
"119","AGTRAP","OPC",0.0761976970562715,2.83436158465859,0.383328151689648,0.536222126514008,0.999939951029974,0.999939951029974,"stroke_bl"
"120","MTHFR","OPC",0.0137163580457286,4.52240529710116,0.0530403914527425,0.817986628205042,0.999939951029974,0.999939951029974,"stroke_bl"
"121","CLCN6","OPC",0.00514708686026642,4.60608467507392,0.00602307582826053,0.938182955810353,0.999939951029974,0.999939951029974,"stroke_bl"
"122","KIAA2013","OPC",0.110009022134144,4.21297306792245,2.4615395245493,0.117549854137932,0.999939951029974,0.999939951029974,"stroke_bl"
"123","PLOD1","OPC",-0.0214063092684507,3.9036782177661,0.0199788983416922,0.887675721993568,0.999939951029974,0.999939951029974,"stroke_bl"
"124","MFN2","OPC",-0.0533308862699982,4.41223263055154,0.72088495224619,0.399331806271941,0.999939951029974,0.999939951029974,"stroke_bl"
"125","MIIP","OPC",0.0829749620520653,3.38308110053727,0.669586146627283,0.413741514492255,0.999939951029974,0.999939951029974,"stroke_bl"
"126","VPS13D","OPC",-0.0380577283339378,7.17590902162788,1.09580091155951,0.29589736037194,0.999939951029974,0.999939951029974,"stroke_bl"
"127","PDPN","OPC",-0.0330606374967805,5.16168964017818,0.0632641710184648,0.801553896021398,0.999939951029974,0.999939951029974,"stroke_bl"
"128","PRDM2","OPC",-0.0359701598385318,6.81410465735417,0.965010914995068,0.326592551808256,0.999939951029974,0.999939951029974,"stroke_bl"
"129","KAZN","OPC",-0.0760977032124272,11.0461459558679,1.85342000916725,0.174244352092966,0.999939951029974,0.999939951029974,"stroke_bl"
"130","TMEM51-AS1","OPC",0.0958957259223878,3.21088195766761,0.6439266185499,0.422826089080856,0.999939951029974,0.999939951029974,"stroke_bl"
"131","TMEM51","OPC",-0.0234765203676569,4.22309684856023,0.0514309298277177,0.820721536403787,0.999939951029974,0.999939951029974,"stroke_bl"
"132","FHAD1","OPC",0.0805343903330203,1.79901472204764,0.23995417768873,0.624539947922173,0.999939951029974,0.999939951029974,"stroke_bl"
"133","CASP9","OPC",0.0212266329516144,3.6452374782712,0.0810785438420927,0.992786897187829,0.999939951029974,0.999939951029974,"stroke_bl"
"134","DNAJC16","OPC",0.0014463332300045,4.90855675546322,0.000765917972276253,0.977936641799424,0.999939951029974,0.999939951029974,"stroke_bl"
"135","DDI2","OPC",-0.105240271226748,4.8350896203818,2.94344177219453,0.0870940341282833,0.999939951029974,0.999939951029974,"stroke_bl"
"136","PLEKHM2","OPC",-0.0501052691058578,5.64570041997348,0.833019068728109,0.362016628233505,0.999939951029974,0.999939951029974,"stroke_bl"
