"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 PVALB STON2",-0.00404844559374893,5.5618107183836,0.359292746807212,0.549482278071464,0.794748553765284,0.816648948143351,"tangles"
"2","NOC2L","Inh L5-6 PVALB STON2",-0.00430070702184805,4.72682128133753,0.349866996414093,0.554762434535283,0.799117456618498,0.819870361934429,"tangles"
"3","HES4","Inh L5-6 PVALB STON2",-0.0472232506218445,4.96408450083611,22.828726901558,3.13666958347772e-06,0.00127762535338543,0.00106041968110637,"tangles"
"4","AGRN","Inh L5-6 PVALB STON2",-0.0137955726826172,4.41130952469882,1.87875812445437,0.171795654448189,0.464881299711557,0.486545689881263,"tangles"
"5","C1orf159","Inh L5-6 PVALB STON2",-0.0103077372468707,5.7390346462252,4.29386751416288,0.0393515318511199,0.224217324512388,0.238137067333232,"tangles"
"6","SDF4","Inh L5-6 PVALB STON2",0.000658712620638165,5.46474445269448,0.0161318400420079,0.899041200607547,0.968135362155843,0.979208919257662,"tangles"
"7","UBE2J2","Inh L5-6 PVALB STON2",0.0101766645158658,5.09865720599345,2.90952097769192,0.0893919760687746,0.336584080612304,0.357179068388621,"tangles"
"8","ACAP3","Inh L5-6 PVALB STON2",0.00253364853644243,6.09220355853122,0.284090125700669,0.594541357075393,0.826302486926361,0.842711002877602,"tangles"
"9","INTS11","Inh L5-6 PVALB STON2",-0.00416414635593968,5.52341928120262,0.626661367265791,0.429388547096059,0.717469863389493,0.73685755383942,"tangles"
"10","AURKAIP1","Inh L5-6 PVALB STON2",-0.0188740337184117,4.34060053023494,3.17774283255955,0.0759510784796138,0.312078239245866,0.330003965130541,"tangles"
"11","CCNL2","Inh L5-6 PVALB STON2",-0.00377702886125761,5.96010083016745,0.783506773949133,0.376984256933962,0.677320492584844,0.695961880359505,"tangles"
"12","ATAD3B","Inh L5-6 PVALB STON2",-0.0180245972048828,5.11481574646718,8.6703682974906,0.00356206841600239,0.0657571039351581,0.0675696883222997,"tangles"
"13","SSU72","Inh L5-6 PVALB STON2",-0.00490619368078185,5.18416667218861,0.558062485583113,0.455795887006692,0.732808517635045,0.755699380772148,"tangles"
"14","FNDC10","Inh L5-6 PVALB STON2",0.00192506581367055,4.4529327509815,0.0473249987187605,0.827975701808673,0.941901829862341,0.956069481692742,"tangles"
"15","MIB2","Inh L5-6 PVALB STON2",-0.0172253436678314,5.2508694811522,8.54751771118241,0.00380133120718994,0.0680861726798728,0.0699937766806717,"tangles"
"16","CDK11B","Inh L5-6 PVALB STON2",0.0150642692218657,4.9761798501058,5.53905154732437,0.0194293879941869,0.158335947058965,0.164969134335471,"tangles"
"17","SLC35E2B","Inh L5-6 PVALB STON2",-0.000556520060639907,4.99284259515763,0.00827884360582548,0.927580257957105,0.979953997033591,0.986877982027159,"tangles"
"18","SLC35E2A","Inh L5-6 PVALB STON2",0.00170747791523615,4.89946028945873,0.0676177261268198,0.795067348593335,0.929313815094382,0.942753788858718,"tangles"
"19","GNB1","Inh L5-6 PVALB STON2",-0.00277231812278089,7.41116401421232,0.858501093799402,0.355118182571444,0.65786103623902,0.677943378669553,"tangles"
