"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB HTR4",0.00251473116862683,2.62762056288574,0.319016388244848,0.572550058931303,0.765242062678872,0.829958097567988,"tangles"
"2","AL669831.5","Inh PVALB HTR4",0.00548906838191013,5.04406532888119,3.16064015636731,0.0762750758317885,0.238206313247072,0.33069059982627,"tangles"
"3","NOC2L","Inh PVALB HTR4",0.000364968522093355,4.36392959935089,0.0179023242529546,0.893635605958321,0.957736590663751,0.977615194267857,"tangles"
"4","KLHL17","Inh PVALB HTR4",0.00165050573581244,2.72276895147749,0.12127319898762,0.727860612832505,0.871428380205167,0.91289428498698,"tangles"
"5","HES4","Inh PVALB HTR4",-0.0577497753117886,3.27125549884104,39.1201193429334,1.12701224793543e-09,2.63828109881671e-06,5.77443508767185e-06,"tangles"
"6","ISG15","Inh PVALB HTR4",-0.00775981934064785,1.82483650059753,0.767622198103361,0.381536093681559,0.61186508868769,0.699473717138093,"tangles"
"7","AGRN","Inh PVALB HTR4",0.0104569943387682,2.56212659604805,3.54241600124393,0.0606222231383748,0.209507150939912,0.294825093925191,"tangles"
"8","C1orf159","Inh PVALB HTR4",-6.23367400955309e-05,5.1752188386848,0.000583353297812989,0.980744141844685,0.992154314490605,0.997504693248659,"tangles"
"9","SDF4","Inh PVALB HTR4",0.000461989694930568,5.19766575293295,0.0460917072890478,0.830130370733616,0.926801270878767,0.956901913426553,"tangles"
"10","B3GALT6","Inh PVALB HTR4",-0.00743325598711082,2.67027209393813,2.15632304837656,0.142854636841133,0.346736285099091,0.446516360649032,"tangles"
"11","UBE2J2","Inh PVALB HTR4",0.000620367178627601,4.89575604843658,0.104555381889154,0.878278507224368,0.949442237372435,0.972843456583313,"tangles"
"12","LINC01786","Inh PVALB HTR4",-0.0183030403466665,2.80407962864668,16.6116810400119,5.64393473960794e-05,0.0032734750831479,0.00640400498640603,"tangles"
"13","SCNN1D","Inh PVALB HTR4",-0.00204521825182802,3.59825839411067,0.307831764019998,0.57935725155263,0.769509037410634,0.83381920765179,"tangles"
"14","ACAP3","Inh PVALB HTR4",0.00484903325694427,5.83460545046565,3.52431240544283,0.0612808469855258,0.210790328315438,0.296390226452513,"tangles"
"15","PUSL1","Inh PVALB HTR4",-0.00516331222759366,1.96349570298946,0.815641124845579,0.367059743147627,0.59951354357496,0.687901850003803,"tangles"
"16","INTS11","Inh PVALB HTR4",0.00431730561625203,5.37491322369536,5.1883840134994,0.0233222220059172,0.117959808021812,0.181609919848502,"tangles"
"17","CPTP","Inh PVALB HTR4",0.00914811893234722,2.81757115895612,4.2578154877263,0.0397843565148244,0.161817553465466,0.23954624892786,"tangles"
"18","DVL1","Inh PVALB HTR4",0.00621403507130598,3.90578527062321,5.36785393164727,0.0247116243794364,0.121877834231593,0.18719488154146,"tangles"
"19","AURKAIP1","Inh PVALB HTR4",0.00080355211487572,4.19376835345886,0.0246217344799381,0.875400996006694,0.947856093580973,0.971964722363941,"tangles"
"20","CCNL2","Inh PVALB HTR4",-0.00136632418407881,5.75561227967795,0.714242158858768,0.398598713054623,0.627982971920882,0.713212728672347,"tangles"
"21","MRPL20","Inh PVALB HTR4",-0.000182066516956309,4.3885186508959,0.00303019665615438,0.956131286209143,0.982949378732592,0.9928907334685,"tangles"
"22","ANKRD65","Inh PVALB HTR4",-0.00322873600356629,1.90668754292395,0.200168842415649,0.65485284960913,0.821229181515524,0.876409914615499,"tangles"
"23","ATAD3B","Inh PVALB HTR4",6.85120409586493e-05,4.66800422083586,0.000805121188795768,0.977379011311072,0.990908978481436,0.996828879511592,"tangles"
"24","ATAD3A","Inh PVALB HTR4",2.57396782059685e-05,4.11632888714411,0.000137247459872546,0.99065925351359,0.996030267899806,0.998987621579065,"tangles"
"25","TMEM240","Inh PVALB HTR4",-0.00787654132911832,1.76247753357497,1.35138642324946,0.245803585336455,0.475396149268334,0.574131854821094,"tangles"
"26","SSU72","Inh PVALB HTR4",0.00442688345922739,5.18778240424635,1.72246010906165,0.190210256785449,0.41008859744604,0.510233835760027,"tangles"
"27","AL645728.1","Inh PVALB HTR4",-0.00340414040158697,2.16651345228163,0.37272580555535,0.541906253417273,0.74403285835938,0.812083899373907,"tangles"
"28","FNDC10","Inh PVALB HTR4",-0.00154534216932159,4.081104514315,0.15269503932579,0.696203507401165,0.851515602587869,0.897851010624748,"tangles"
"29","AL691432.2","Inh PVALB HTR4",0.00351809070481875,2.70127857365442,0.612133707178594,0.434498306421851,0.659270256719684,0.740599117463381,"tangles"
"30","MIB2","Inh PVALB HTR4",0.0013019034914842,4.97697827377814,0.374954467958573,0.709204627960563,0.859551411327243,0.90416839924329,"tangles"
"31","MMP23B","Inh PVALB HTR4",0.012973614175911,2.03982646187186,4.17055803407442,0.0418582723383139,0.166986482019691,0.245395837828132,"tangles"
"32","CDK11B","Inh PVALB HTR4",0.00912913207140277,4.63841188715335,15.5842268351707,9.48636067593559e-05,0.00427862652756527,0.00865541254153973,"tangles"
"33","SLC35E2B","Inh PVALB HTR4",0.000758431879918245,4.72912687760592,0.117574560414716,0.73187962886643,0.874072181723036,0.914871059067266,"tangles"
"34","CDK11A","Inh PVALB HTR4",0.0147870638375871,4.01313510731725,19.2153149301383,1.5332681036983e-05,0.00152980058899716,0.00298312442841059,"tangles"
"35","SLC35E2A","Inh PVALB HTR4",0.000262660007533204,4.57429655100139,0.00929512641316534,0.923247452883508,0.970864973710675,0.985847534024318,"tangles"
"36","NADK","Inh PVALB HTR4",-0.000728145271680333,3.7403419741741,0.0817107985222409,0.775156145652597,0.89870041196746,0.934412476122136,"tangles"
"37","GNB1","Inh PVALB HTR4",0.00107786532567633,7.4367549337512,0.636730596734419,0.425421611057262,0.652508010970403,0.734382723107037,"tangles"
"38","CFAP74","Inh PVALB HTR4",0.00842684611574742,4.9842489662806,10.0213223330657,0.00167891409380535,0.0235994729200684,0.0445868414104365,"tangles"
"39","AL391845.2","Inh PVALB HTR4",-0.00503420610359212,2.166654758935,0.848249669796278,0.357662854189079,0.590294946704191,0.680086230587394,"tangles"
"40","GABRD","Inh PVALB HTR4",0.00214039917139059,6.84739817402699,0.823171335043588,0.364859622596981,0.597254860544853,0.68610928051605,"tangles"
"41","PRKCZ","Inh PVALB HTR4",-0.000835547581333165,6.52126749920054,0.41761777399815,0.548108258637118,0.748015979211309,0.815763126990304,"tangles"
"42","FAAP20","Inh PVALB HTR4",0.00544904294078459,4.66820165673167,3.75724040004079,0.0533583390705586,0.193931304772606,0.276694899404625,"tangles"
"43","AL590822.1","Inh PVALB HTR4",0.00773887511638738,1.80953247332215,1.63030536620523,0.202481271823464,0.42547617518085,0.525289079550577,"tangles"
"44","SKI","Inh PVALB HTR4",0.00355412887454672,6.07801549205253,2.1298849938115,0.145320942422988,0.350212699787014,0.449921667731875,"tangles"
"45","MORN1","Inh PVALB HTR4",-0.00202806914498659,4.76151375732145,0.835678211107205,0.361245721405776,0.594037692826425,0.682908411607827,"tangles"
"46","RER1","Inh PVALB HTR4",0.00168326404821714,4.58404134591167,0.514051979854718,0.613535877866383,0.796162871022099,0.854020162281228,"tangles"
"47","PEX10","Inh PVALB HTR4",-0.00557000118309354,3.63272321678155,1.97691087779239,0.160576103513345,0.370838209770802,0.471679043028503,"tangles"
"48","PLCH2","Inh PVALB HTR4",0.000964591232252283,6.07718833770373,0.236343973940079,0.627154136968772,0.80467910590104,0.861397667551149,"tangles"
"49","PANK4","Inh PVALB HTR4",-0.00175999394465965,3.5229043509578,0.25624069696596,0.613023589564528,0.795826514931615,0.853729713622691,"tangles"
"50","AL139246.5","Inh PVALB HTR4",0.00428841638469902,1.75641243264363,0.607291887106204,0.702478460360134,0.855559271428841,0.900785543830943,"tangles"
"51","FAM213B","Inh PVALB HTR4",0.00410377067701914,3.10002132387501,1.04780744389639,0.306697837624866,0.540010957849677,0.634995976436789,"tangles"
"52","TTC34","Inh PVALB HTR4",-0.0154914369686326,1.84234849570167,4.83604295454188,0.0285042718158487,0.132107186017302,0.202068854729466,"tangles"
"53","PRDM16","Inh PVALB HTR4",0.0141858736252407,1.50306315089161,4.40368441333154,0.0365555615948203,0.15439837383479,0.229601271053686,"tangles"
"54","TPRG1L","Inh PVALB HTR4",0.00181999781693309,4.2882242699689,0.183718968279329,0.668452075112695,0.830469042019798,0.883221200656756,"tangles"
"55","WRAP73","Inh PVALB HTR4",-0.00684798337248292,3.42609538584872,5.26261821021926,0.0223617274507457,0.114928520877441,0.177817957912784,"tangles"
"56","LRRC47","Inh PVALB HTR4",-0.0011939643467783,4.07589127258562,0.140443949963792,0.708060057469684,0.858790545739728,0.903648344623445,"tangles"
"57","CEP104","Inh PVALB HTR4",-0.001927681610064,5.57363269226025,1.40722919656522,0.236296827221356,0.464213233669066,0.563730953161487,"tangles"
"58","DFFB","Inh PVALB HTR4",-0.00149969210289797,4.76305473892578,0.377998813612826,0.539063404280776,0.741627474420318,0.81021178992574,"tangles"
"59","C1orf174","Inh PVALB HTR4",-0.00162369052825836,3.02951366736482,0.184435328633541,0.667845102767495,0.830074907088062,0.882795615633701,"tangles"
"60","AJAP1","Inh PVALB HTR4",0.00113379129591074,7.30369910107016,0.238526629338042,0.62556873620954,0.803780585803255,0.860585879579576,"tangles"
"61","AL365255.1","Inh PVALB HTR4",-0.0148618078462291,2.67093640910871,6.51798275776993,0.0110894245886525,0.0758590182991579,0.123510903411332,"tangles"
