"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",0.000743112687894189,4.29582410198303,0.0165587185836566,0.89767656065493,0.997401714138021,0.997401714138021,"tangles"
"2","AL669831.5","Mic",-0.00387172598654508,5.75152262953907,1.31484204143351,0.252221887250448,0.628035247766734,0.628035247766734,"tangles"
"3","NOC2L","Mic",-0.000961455033646664,5.11225593173254,0.0830505428447453,0.773358079653538,0.967595998729025,0.967595998729025,"tangles"
"4","KLHL17","Mic",0.0104808084667617,3.05600718179788,3.03026704460343,0.082512131253809,0.373840488925883,0.373840488925883,"tangles"
"5","ISG15","Mic",0.0285369453156372,3.32201432806942,8.5763050273482,0.00360524275605975,0.0767513636422037,0.0767513636422037,"tangles"
"6","AGRN","Mic",0.0113555885098137,3.6317153143388,3.84531162733284,0.0505955311714976,0.295176481855843,0.295176481855843,"tangles"
"7","C1orf159","Mic",-0.00375505909336756,4.93429484472053,1.12349133751135,0.289823008861036,0.66646652993707,0.66646652993707,"tangles"
"8","TNFRSF4","Mic",0.0130725573999051,2.3271619907177,2.03159478851306,0.154857591304099,0.503067096118799,0.503067096118799,"tangles"
"9","SDF4","Mic",-0.000949260482760153,5.10184791826829,0.0944127448890524,0.758804259513299,0.96278527787138,0.96278527787138,"tangles"
"10","B3GALT6","Mic",0.00863380026106756,3.3342451669802,2.22121573296471,0.1369330167737,0.47336148763677,0.47336148763677,"tangles"
"11","UBE2J2","Mic",-0.00126641532287162,5.797064412701,0.231049887020754,0.631015599517331,0.904372137715097,0.904372137715097,"tangles"
"12","SCNN1D","Mic",0.00997271746483206,3.22247586826777,2.17357639153957,0.141205005453079,0.482388217931611,0.482388217931611,"tangles"
"13","ACAP3","Mic",0.00537052096493644,5.28744260357306,2.04659642300333,0.153346496510386,0.499971573640282,0.499971573640282,"tangles"
"14","INTS11","Mic",-0.00194553876780409,5.12258915862601,0.551624693400044,0.458101103483702,0.801633082738059,0.801633082738059,"tangles"
"15","DVL1","Mic",0.00374645607969061,3.87141131049272,0.768578124875897,0.381196217879028,0.746617817251047,0.746617817251047,"tangles"
"16","AURKAIP1","Mic",-0.000245186408900166,4.22281062353428,0.00317420176244097,0.993320679022487,0.999856277731913,0.999856277731913,"tangles"
"17","CCNL2","Mic",-0.00161836987365662,6.33139340666181,0.524824548047003,0.469224664939147,0.808987695713745,0.808987695713745,"tangles"
"18","MRPL20","Mic",-0.00119916826044017,5.35402153891295,0.199884278705391,0.948761074431221,0.999856277731913,0.999856277731913,"tangles"
"19","ANKRD65","Mic",0.00130264061744273,2.70076316199615,0.0203627134232276,0.886602303557859,0.995521505469144,0.995521505469144,"tangles"
"20","ATAD3B","Mic",-0.00389858393453652,4.87719882028932,1.10461564688462,0.293905285983894,0.67089808722984,0.67089808722984,"tangles"
"21","ATAD3A","Mic",0.000889350114211199,4.20788897927549,0.038569339827843,0.898085230062656,0.997401714138021,0.997401714138021,"tangles"
"22","SSU72","Mic",0.00131755195885197,5.52703807327314,0.265223496891872,0.606845394955015,0.892607962775087,0.892607962775087,"tangles"
"23","FNDC10","Mic",-0.00942694620532622,2.65820242126727,1.2340995692337,0.267294717091361,0.642202794850863,0.642202794850863,"tangles"
"24","AL691432.2","Mic",0.00809500054692066,2.84810895981468,1.28087511455566,0.276451157644069,0.652081130486863,0.652081130486863,"tangles"
"25","MIB2","Mic",0.00645015532443082,4.73752799708338,2.61937494004995,0.106373303537841,0.421740309862289,0.421740309862289,"tangles"
"26","CDK11B","Mic",-0.00401873665877424,5.76893421562439,2.49950463157164,0.114691629164486,0.436178151413342,0.436178151413342,"tangles"
"27","SLC35E2B","Mic",0.00396417858203644,4.79185973346349,1.15907353841185,0.422581485012075,0.776516842181416,0.776516842181416,"tangles"
"28","CDK11A","Mic",0.00391660429381602,5.44372440885217,1.275146650031,0.259496518989985,0.635005492758507,0.635005492758507,"tangles"
"29","SLC35E2A","Mic",0.00319881463874486,4.90825660937669,0.60896019782905,0.435652290845131,0.785199643703716,0.785199643703716,"tangles"
"30","NADK","Mic",0.00349713673871966,5.24361181321386,1.08168098036332,0.298965258410169,0.674686415458396,0.674686415458396,"tangles"
"31","GNB1","Mic",-0.00489182818114417,8.62979987509623,6.10677361990789,0.0138923058953335,0.151281583657682,0.151281583657682,"tangles"
"32","CFAP74","Mic",-0.0190044936580301,5.82257962216726,14.0436374697482,0.000205574956155247,0.015071832346997,0.015071832346997,"tangles"
"33","GABRD","Mic",-0.0172746795715654,3.58406823935629,5.58349721157406,0.018619800970238,0.174782297683231,0.174782297683231,"tangles"
"34","PRKCZ","Mic",0.00329041618297625,5.20629071012128,0.51842618872414,0.471944487022394,0.811043319546411,0.811043319546411,"tangles"
"35","FAAP20","Mic",0.00557436286771109,4.45807828815482,2.1802086471811,0.26516982503622,0.640646653563728,0.640646653563728,"tangles"
"36","SKI","Mic",-0.002932770263005,8.44609887143933,1.10341255839644,0.294167970189441,0.67089808722984,0.67089808722984,"tangles"
"37","MORN1","Mic",-0.018153499349632,3.93274095656952,9.80339532600273,0.0018730029603379,0.0551048725026449,0.0551048725026449,"tangles"
"38","RER1","Mic",0.000519961052229147,5.40683276698647,0.0320774729461686,0.857950608557016,0.989510452599694,0.989510452599694,"tangles"
"39","PEX10","Mic",-0.00908974335580126,3.72400806533157,2.94886239261391,0.0867308210670852,0.382276681678307,0.382276681678307,"tangles"
"40","PANK4","Mic",0.00404493664677755,3.31659569455535,0.562348940154091,0.45376686941008,0.798241998771461,0.798241998771461,"tangles"
"41","TNFRSF14-AS1","Mic",0.00214354686491372,3.05479192732817,0.103114375302288,0.748295568553151,0.957633925591683,0.957633925591683,"tangles"
"42","TNFRSF14","Mic",0.0021534785091062,4.99675007411143,0.279419587871203,0.597382157827889,0.886618592667849,0.886618592667849,"tangles"
"43","FAM213B","Mic",0.015792422320294,2.81640610578512,6.0490023541109,0.0143467736586258,0.153847184442347,0.153847184442347,"tangles"
"44","TPRG1L","Mic",-0.00193327439026521,3.62558920815838,0.13980065391399,0.708682172040149,0.941293603823915,0.941293603823915,"tangles"
"45","WRAP73","Mic",-0.00191195805652172,4.34411699388834,0.252337428335836,0.749896879141558,0.958341369596454,0.958341369596454,"tangles"
"46","TP73","Mic",-0.00210097833316493,2.03270296248532,0.0574799742596917,0.81064999588762,0.97758087610459,0.97758087610459,"tangles"
"47","LRRC47","Mic",0.000384792370138042,4.18911881865143,0.0103284457015362,0.992332925147685,0.999856277731913,0.999856277731913,"tangles"
"48","CEP104","Mic",0.00396653239831453,5.39121511850303,1.85958643761531,0.519750685382827,0.84328761348279,0.84328761348279,"tangles"
"49","DFFB","Mic",0.00172761470806866,4.31043100625778,0.211567926320581,0.645797211048521,0.911503860670719,0.911503860670719,"tangles"
"50","C1orf174","Mic",-0.00298425868063191,3.62489709366568,0.334551300128749,0.563324716693368,0.8670912614647,0.8670912614647,"tangles"
"51","NPHP4","Mic",-0.00240957394477545,5.6870661874054,0.808872621013046,0.369007966315617,0.737800673499652,0.737800673499652,"tangles"
"52","KCNAB2","Mic",0.000418213228855564,5.07536118343359,0.0116490099146687,0.914106187116416,0.999856277731913,0.999856277731913,"tangles"
"53","CHD5","Mic",0.0116061726768692,4.22932062995706,4.04793384090757,0.0449117276590343,0.278363375318879,0.278363375318879,"tangles"
"54","RPL22","Mic",0.00144925880893918,4.71526006692499,0.159676687437175,0.938177358938173,0.999856277731913,0.999856277731913,"tangles"
"55","ICMT","Mic",0.0151452330692145,3.53576905183553,8.90517972116663,0.0030223561690466,0.0695243340228673,0.0695243340228673,"tangles"
"56","ACOT7","Mic",-0.00652508647468958,4.29116477828996,1.77512349809676,0.183526172091251,0.543638543589387,0.543638543589387,"tangles"
"57","TNFRSF25","Mic",-0.0198358626422197,5.10667683560941,14.6185607359925,0.000153132326933343,0.0128800257807124,0.0128800257807124,"tangles"
"58","PLEKHG5","Mic",-0.0254217046700614,5.26956153971829,18.495241036372,2.15448808530282e-05,0.00397832047646209,0.00397832047646209,"tangles"
"59","NOL9","Mic",-0.00418448245545263,5.27273158480133,1.93964928864275,0.164498963219368,0.517448417536562,0.517448417536562,"tangles"
"60","TAS1R1","Mic",-0.0263963650993569,2.56526311379672,8.08760814581317,0.00469124180570441,0.0883655481642251,0.0883655481642251,"tangles"
"61","ZBTB48","Mic",-0.00494173285320855,4.9760305409425,2.19382405533101,0.139371253094126,0.479012253677732,0.479012253677732,"tangles"
"62","KLHL21","Mic",0.00736245293159694,4.45752339473289,2.92122377978849,0.103209339967592,0.415413000781456,0.415413000781456,"tangles"
"63","PHF13","Mic",0.0034221886946583,3.3861311069608,0.309604260339303,0.578241804163177,0.876050025339892,0.876050025339892,"tangles"
"64","THAP3","Mic",0.0044971309154748,3.64821726616443,0.928509529088442,0.40913204401891,0.767122582535457,0.767122582535457,"tangles"
"65","DNAJC11","Mic",-0.00155247548257614,6.09333438270406,0.441668840396368,0.944375088081575,0.999856277731913,0.999856277731913,"tangles"
"66","CAMTA1-DT","Mic",0.00472164808975641,2.79543894565727,0.440100348680219,0.507465420806865,0.834755818901698,0.834755818901698,"tangles"
"67","CAMTA1","Mic",-0.00510355878605176,7.49467515396803,6.02510611636292,0.0145392250560266,0.154701947620703,0.154701947620703,"tangles"
"68","VAMP3","Mic",0.00417037987752566,4.55694728956653,1.38010837532412,0.446472167370073,0.794211831660571,0.794211831660571,"tangles"
"69","PER3","Mic",-0.0128947745788474,5.99276936316299,3.62988115193189,0.0574850646364119,0.316469160801406,0.316469160801406,"tangles"
"70","Z98884.1","Mic",0.0106029482156395,3.2929211926851,1.85164804086651,0.174376589861764,0.531149310598708,0.531149310598708,"tangles"
"71","PARK7","Mic",0.00375394191509438,5.16788658264971,1.12244940571603,0.290046450302358,0.666605985210959,0.666605985210959,"tangles"
"72","AL034417.4","Mic",0.0115504186861156,3.05905047705374,2.58442090954392,0.108727991103351,0.42602479509201,0.42602479509201,"tangles"
"73","ERRFI1","Mic",8.71630536748138e-05,3.7549510359302,0.000133139070327763,0.990799633036157,0.999856277731913,0.999856277731913,"tangles"
"74","AL034417.2","Mic",-0.00475705392590125,2.3331952185693,0.24138052581972,0.623486785346544,0.89978987653696,0.89978987653696,"tangles"
"75","SLC45A1","Mic",-0.0141735835566633,2.68252540125128,2.69582576729788,0.101416311430102,0.412697400116827,0.412697400116827,"tangles"
"76","RERE","Mic",-0.00223072310038753,9.63555567851042,1.17860309331085,0.278310225132609,0.654268784216402,0.654268784216402,"tangles"
"77","AL096855.1","Mic",-0.00758121602749253,2.74587826780657,0.820681759904758,0.365539471783574,0.733772309295684,0.733772309295684,"tangles"
"78","ENO1","Mic",-0.004659270922444,6.63113854904979,1.04798113404256,0.306606189673283,0.681844421803845,0.681844421803845,"tangles"
"79","SLC2A5","Mic",-0.0103958561105787,8.9798859939219,6.67424535573147,0.010144180464606,0.12853670440827,0.12853670440827,"tangles"
"80","GPR157","Mic",-0.00120815471571936,3.0450277635,0.0239301074907979,0.877142795524793,0.993853531127679,0.993853531127679,"tangles"
"81","MIR34AHG","Mic",0.000826504603336985,7.23438714480853,0.0701230595670885,0.791297393231442,0.973678935804678,0.973678935804678,"tangles"
"82","LINC01759","Mic",-0.00249995439163063,3.58551117836522,0.195759564293732,0.658410531943631,0.91786782418483,0.91786782418483,"tangles"
"83","H6PD","Mic",0.00219056805055377,5.41004006739717,0.565963583866608,0.452320535269776,0.797699323198948,0.797699323198948,"tangles"
"84","SPSB1","Mic",0.00348773836294615,3.73537324422529,0.280338936991204,0.596779988636729,0.886618592667849,0.886618592667849,"tangles"
"85","SLC25A33","Mic",-0.00907096997364984,5.50748752508367,9.65451648948685,0.00202698778074235,0.0572891060335467,0.0572891060335467,"tangles"
"86","TMEM201","Mic",0.0111693418689597,3.13326611690809,3.83992489285198,0.0507566634079314,0.295765636975412,0.295765636975412,"tangles"
"87","PIK3CD","Mic",-0.00500550763402805,7.78943505411,3.29728454990273,0.0701612009918693,0.348013771924214,0.348013771924214,"tangles"
"88","PIK3CD-AS2","Mic",-0.0126784146893607,3.3697529087915,2.93380790131341,0.0875363645934148,0.383555090580223,0.383555090580223,"tangles"
"89","CLSTN1","Mic",-0.00753962022246369,6.76095359451905,10.3990998842614,0.00136687902512368,0.0472038071396614,0.0472038071396614,"tangles"
"90","CTNNBIP1","Mic",0.000662705649754127,5.3816626855285,0.0536353783321483,0.816975337628014,0.980475024779015,0.980475024779015,"tangles"
"91","LZIC","Mic",0.00224516249147453,4.48403256617755,0.359234503956911,0.604342858054394,0.891854959226107,0.891854959226107,"tangles"
"92","NMNAT1","Mic",0.00163204784364954,5.07876697223481,0.256791013256798,0.612619372400927,0.895754400876653,0.895754400876653,"tangles"
"93","RBP7","Mic",0.0255238913708465,2.68684917791451,12.1186535361315,0.000555583599944547,0.0287823206693441,0.0287823206693441,"tangles"
"94","UBE4B","Mic",-0.000833621198262043,7.26675218185866,0.172913892974954,0.984155145062795,0.999856277731913,0.999856277731913,"tangles"
"95","KIF1B","Mic",-0.00762438973740711,6.91109416887797,10.2237669138772,0.00149940190671235,0.050384314071143,0.050384314071143,"tangles"
"96","PGD","Mic",0.000551431467263022,4.8139436467005,0.0228830563087044,0.879839684230814,0.994335798490973,0.994335798490973,"tangles"
"97","DFFA","Mic",0.00428168936249646,4.79019248567919,1.44767573347118,0.29706535213085,0.673741270093294,0.673741270093294,"tangles"
"98","PEX14","Mic",0.000658759403053509,6.45040723428011,0.0876562578643845,0.767335522915807,0.96568478237339,0.96568478237339,"tangles"
"99","CASZ1","Mic",0.00313836017377515,2.9772184471153,0.187483592615986,0.702401986131462,0.938772785129883,0.938772785129883,"tangles"
