"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL645608.8","Per",0.00729573850593519,7.48896698700759,0.836763005587947,0.361359771523883,0.849103643906542,0.847269831128344,"tangles"
"2","HES4","Per",0.0019317714862176,10.101456339739,0.112243483391706,0.737934367940123,0.972076912052637,0.976430816919201,"tangles"
"3","ISG15","Per",-0.0343321941823269,7.06695462050021,5.47593457064246,0.0202062760820294,0.35769786851174,0.373581085373799,"tangles"
"4","AGRN","Per",0.0062537143197407,8.68399982009977,1.46537969169759,0.227419205294729,0.7565568160355,0.768359846185207,"tangles"
"5","MXRA8","Per",0.0103432769267897,6.45893047894604,0.886040273284786,0.347620180476128,0.839192806688287,0.84135063781426,"tangles"
"6","CCNL2","Per",-0.00135897488664862,7.44828544703119,0.0608553868012684,0.805386903787392,0.988612857267142,0.988760558816111,"tangles"
"7","GNB1","Per",-0.001958150071174,8.75793493960853,0.242200700560726,0.623128584122215,0.947146535789344,0.947841863752035,"tangles"
"8","FAAP20","Per",0.00214302426069499,6.65074495661543,0.0596586497796595,0.807271663262915,0.988612857267142,0.988760558816111,"tangles"
"9","SKI","Per",7.70849181407453e-05,7.60776535763151,0.000122914224037761,0.991164688480497,0.997789628554362,0.99990960039048,"tangles"
"10","CAMTA1","Per",-0.00385215027628546,8.58315656934542,0.794985297114703,0.373604202192323,0.857732494395275,0.85360342470488,"tangles"
"11","PER3","Per",-0.00796313365406775,7.57880497283661,0.784068788157386,0.376899342258633,0.859930393669694,0.855674651396974,"tangles"
"12","PARK7","Per",-0.00542660294520009,6.79844968158498,0.292365287355933,0.589274409383317,0.939579685055048,0.937361958592051,"tangles"
"13","RERE","Per",-0.00207444259944522,9.27350294529991,0.412776896882875,0.521255151417386,0.912537458599457,0.914374913042271,"tangles"
"14","ENO1","Per",-0.00309669867759139,6.75175603871562,0.108804777272702,0.741833553062242,0.973062774837376,0.976893594043297,"tangles"
"15","PIK3CD","Per",-0.00117926411260657,8.08579600828273,0.0251179500252099,0.87422384302563,0.995800871577402,0.99703535629014,"tangles"
"16","CLSTN1","Per",0.00623172197372982,7.97961612723841,1.45195415604763,0.229553272307393,0.7565568160355,0.769790616624784,"tangles"
"17","UBE4B","Per",-0.00646615638094962,8.07532611593797,1.43957071339187,0.231543227289872,0.758001566043727,0.770525506003018,"tangles"
"18","KIF1B","Per",-0.00699281416925398,8.26626967657427,2.10305101738342,0.148478173452827,0.68323532057265,0.700055542743267,"tangles"
"19","PEX14","Per",-0.00343467244118723,6.84009066056031,0.168121438491079,0.68219934648129,0.964270434389864,0.964137751495193,"tangles"
"20","MTHFR","Per",-0.00582009206436084,7.02614110532804,0.579062969090747,0.447522426533047,0.888963443669468,0.889537291636897,"tangles"
"21","PLOD1","Per",0.0054289760903357,8.34892557663624,1.23236566415019,0.268200596323279,0.787523452721907,0.797295639597787,"tangles"
"22","TNFRSF1B","Per",0.00620459099932846,7.66337302716144,0.919545224974494,0.338682885352017,0.831995357217316,0.837485372284745,"tangles"
"23","VPS13D","Per",0.00553947640976673,9.26038005529942,0.901747220931232,0.343391099235188,0.833337821912838,0.839524971872192,"tangles"
"24","PRDM2","Per",0.00452324157916464,7.68136373890605,0.762885926604731,0.3834116681668,0.861576723383286,0.859641354413412,"tangles"
"25","KAZN","Per",0.000647145418216131,8.16870582024205,0.0153755448988602,0.901433799397009,0.997513771502967,0.99990960039048,"tangles"
"26","TMEM51","Per",-0.00805790877904824,7.32147220740654,1.31523373554925,0.252737363803818,0.778915199982058,0.789167883366125,"tangles"
"27","PLEKHM2","Per",-0.00319067145302178,7.06577022077742,0.225433417570092,0.63541776706377,0.953126650595655,0.951572744293027,"tangles"
"28","FBLIM1","Per",0.00228600175753627,6.98358508693316,0.043191631554455,0.835563663296655,0.995365623161695,0.993247144624896,"tangles"
"29","SPEN","Per",-0.00381026750611267,8.19877720811329,0.862657611343845,0.354048614509415,0.843690315426692,0.84417946174072,"tangles"
"30","SRARP","Per",-0.0603031795361348,5.85530516721215,6.74903911348162,0.0100351512819174,0.293248989554184,0.288004796578146,"tangles"
"31","FBXO42","Per",-0.00661793815535418,7.46930587660869,1.2774951083273,0.289079002480092,0.800467288319172,0.809281651057147,"tangles"
"32","UBR4","Per",-0.00132501795458621,7.87711149410188,0.0579913536606266,0.809931230016248,0.988893572822873,0.988930065006711,"tangles"
"33","CAPZB","Per",-0.00329605567658546,8.73761162320136,0.73888420019493,0.390986069891626,0.861685995311943,0.860535951259812,"tangles"
"34","NBL1","Per",-0.00191234046156041,7.64556616433897,0.115111294074889,0.734733053225772,0.970887867258653,0.975956867141442,"tangles"
