"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",0.0492846992177406,5.49019287345532,0.174191636592288,0.67762483596272,0.982663537837674,0.982663537837674,"tangles_quartile_numeric"
"2","NOC2L","Exc L5 ET",-0.139019506285664,4.98144390444467,1.53265599640626,0.21963833120424,0.916720467616069,0.916720467616069,"tangles_quartile_numeric"
"3","HES4","Exc L5 ET",0.0781219737824097,5.14910289484752,0.278776162544449,0.599088561410698,0.979851792417681,0.979851792417681,"tangles_quartile_numeric"
"4","AGRN","Exc L5 ET",-0.306278217454447,5.15711866580341,6.16080611685008,0.0153361444704464,0.681488580915626,0.681488580915626,"tangles_quartile_numeric"
"5","C1orf159","Exc L5 ET",-0.129808318508043,5.65600519098979,1.92844075599368,0.169106207997499,0.888034192719362,0.888034192719362,"tangles_quartile_numeric"
"6","SDF4","Exc L5 ET",-0.0234404900193535,5.17752099449453,0.0425603140264243,0.837123496595165,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"7","UBE2J2","Exc L5 ET",0.00188975965825186,4.8522013963318,0.000316063580503611,0.9858637920275,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"8","SCNN1D","Exc L5 ET",-0.609829627762361,3.64249066070888,9.49251907519953,0.00289878739764974,0.498979651459422,0.498979651459422,"tangles_quartile_numeric"
"9","ACAP3","Exc L5 ET",-0.000715059017705299,6.36546007583379,0.000119993445224506,0.9912895850738,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"10","INTS11","Exc L5 ET",-0.124625425646497,5.46971497512435,1.84642810819497,0.178338088803445,0.889652760187202,0.889652760187202,"tangles_quartile_numeric"
"11","CPTP","Exc L5 ET",0.185345352475499,3.32979685052825,0.751806325746282,0.38871549033197,0.959996678373362,0.959996678373362,"tangles_quartile_numeric"
"12","DVL1","Exc L5 ET",0.0546541159243439,4.26229308930366,0.132771792614848,0.716617284687241,0.987887025393338,0.987887025393338,"tangles_quartile_numeric"
"13","AURKAIP1","Exc L5 ET",0.0540742601747568,4.69726530666441,0.226275768266664,0.63570423551586,0.979851792417681,0.979851792417681,"tangles_quartile_numeric"
"14","CCNL2","Exc L5 ET",0.171541148110172,5.6615148404388,4.08832830844791,0.0468058486161505,0.749324371947332,0.749324371947332,"tangles_quartile_numeric"
"15","MRPL20","Exc L5 ET",-0.0139856320888892,4.70562080789206,0.0115226987603132,0.914807503684672,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"16","ATAD3B","Exc L5 ET",-0.205860390569822,4.81417173551808,3.77998428412181,0.0556809804920289,0.762381420534234,0.762381420534234,"tangles_quartile_numeric"
"17","ATAD3A","Exc L5 ET",0.0882077337040169,4.16188004259765,0.418674459089326,0.553767543274979,0.974951869789742,0.974951869789742,"tangles_quartile_numeric"
"18","SSU72","Exc L5 ET",0.0751023683583578,5.59467481877605,0.626268464937972,0.431263548175779,0.968141586215614,0.968141586215614,"tangles_quartile_numeric"
"19","FNDC10","Exc L5 ET",-0.123047881726399,3.9411546653419,0.509129008853958,0.477766637024129,0.968141586215614,0.968141586215614,"tangles_quartile_numeric"
"20","AL691432.2","Exc L5 ET",0.040233081149388,3.37117966154475,0.0381163529359894,0.845746211461015,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"21","MIB2","Exc L5 ET",0.10778011787666,5.31278116882045,1.48544501950684,0.305039808928869,0.940644069736629,0.940644069736629,"tangles_quartile_numeric"
"22","CDK11B","Exc L5 ET",0.0759030853951831,4.93159256989525,0.537618775680714,0.465744068296999,0.968141586215614,0.968141586215614,"tangles_quartile_numeric"
"23","SLC35E2B","Exc L5 ET",-0.00116701850064943,4.89906981082794,7.57244046431132e-05,0.993080395644037,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"24","CDK11A","Exc L5 ET",-0.0604705451822707,4.11780591592078,0.178931208672524,0.735095496622375,0.989368130818983,0.989368130818983,"tangles_quartile_numeric"
"25","SLC35E2A","Exc L5 ET",0.275583447071996,4.60218094842221,4.1564231015785,0.0450594039946413,0.743456452702287,0.743456452702287,"tangles_quartile_numeric"
"26","NADK","Exc L5 ET",0.0870844973444261,4.37358781870778,0.396975951876171,0.530601211855466,0.969201301854805,0.969201301854805,"tangles_quartile_numeric"
"27","GNB1","Exc L5 ET",0.0131208081994039,7.33362679887004,0.0569561228555171,0.81203472821413,0.99834215610502,0.99834215610502,"tangles_quartile_numeric"
"28","CFAP74","Exc L5 ET",0.120949624766986,4.89238449438687,1.06829874047097,0.304705297872948,0.940644069736629,0.940644069736629,"tangles_quartile_numeric"
"29","GABRD","Exc L5 ET",-0.157748856579163,5.69281842303622,2.77568186752538,0.0999453878466829,0.818060367091849,0.818060367091849,"tangles_quartile_numeric"
"30","PRKCZ","Exc L5 ET",0.10738445119953,6.70296438129856,3.26249392414458,0.0749584259762472,0.780850568997047,0.780850568997047,"tangles_quartile_numeric"
"31","SKI","Exc L5 ET",0.0770561140603305,5.81968172518029,1.0708825348364,0.304125372707891,0.940644069736629,0.940644069736629,"tangles_quartile_numeric"
"32","MORN1","Exc L5 ET",0.0102243862091451,5.07091878938805,0.00966465736362901,0.945725805111467,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"33","RER1","Exc L5 ET",0.0325724542995362,4.91302485110261,0.0763639286354303,0.783059188126146,0.996463658410702,0.996463658410702,"tangles_quartile_numeric"
"34","PEX10","Exc L5 ET",0.0931552633594096,4.0061096117625,0.388456832777639,0.535033202304271,0.971856782018825,0.971856782018825,"tangles_quartile_numeric"
"35","FAM213B","Exc L5 ET",-0.0137186808065582,3.59544974471669,0.00445801979995232,0.946946635460385,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"36","TPRG1L","Exc L5 ET",0.246662915912934,5.2513812747635,6.24320384649342,0.0146927705676531,0.681488580915626,0.681488580915626,"tangles_quartile_numeric"
"37","WRAP73","Exc L5 ET",0.106684635298777,4.01133427545259,0.464500767224072,0.64876783058177,0.980239388030473,0.980239388030473,"tangles_quartile_numeric"
"38","LRRC47","Exc L5 ET",-0.0192929094369039,4.58451346663883,0.0325782131641904,0.857259227562272,0.999952813455888,0.999952813455888,"tangles_quartile_numeric"
"39","CEP104","Exc L5 ET",-0.0521129460025418,5.52549762324157,0.33248338415086,0.576903585258171,0.979812049863151,0.979812049863151,"tangles_quartile_numeric"
"40","DFFB","Exc L5 ET",0.137930419309539,4.69982229006907,1.18379687922993,0.28012498268582,0.935899058459636,0.935899058459636,"tangles_quartile_numeric"
"41","AJAP1","Exc L5 ET",-0.0479489238991995,6.30262306434505,0.468076334400012,0.496016335285311,0.969201301854805,0.969201301854805,"tangles_quartile_numeric"
"42","NPHP4","Exc L5 ET",0.0823340405060881,5.82669066574244,0.897311807814319,0.346595066627502,0.94842715733255,0.94842715733255,"tangles_quartile_numeric"
