"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 THEMIS NFIA",-0.0618407965129576,2.86381185248952,0.839778529571752,0.360628798556912,0.887576284508092,0.887576284508092,"tangles_quartile_numeric"
"2","AL669831.5","Exc L6 THEMIS NFIA",-0.0449929095418648,5.59434203062186,1.97967100818668,0.161068602238006,0.745078972937539,0.745078972937539,"tangles_quartile_numeric"
"3","LINC00115","Exc L6 THEMIS NFIA",0.0333536177102469,0.796878539807943,0.0703393071906921,0.791132646462679,0.999746907535975,0.999746907535975,"tangles_quartile_numeric"
"4","NOC2L","Exc L6 THEMIS NFIA",0.0128937693299468,4.64603919925901,0.15812104530123,0.893521896932774,0.999746907535975,0.999746907535975,"tangles_quartile_numeric"
"5","KLHL17","Exc L6 THEMIS NFIA",0.00111307969435814,2.71164710916802,0.000413313022950756,0.983801505948576,0.999746907535975,0.999746907535975,"tangles_quartile_numeric"
"6","HES4","Exc L6 THEMIS NFIA",0.0505812225302434,2.54002402143456,0.182834621755999,0.669435589268043,0.981420098070617,0.981420098070617,"tangles_quartile_numeric"
"7","ISG15","Exc L6 THEMIS NFIA",-0.0502955404348203,0.779495871529289,0.121416405516536,0.727891451622337,0.992502806775837,0.992502806775837,"tangles_quartile_numeric"
"8","AGRN","Exc L6 THEMIS NFIA",-0.0544230410486902,4.17036446898625,0.542210426707707,0.462431739613346,0.929740460138135,0.929740460138135,"tangles_quartile_numeric"
"9","C1orf159","Exc L6 THEMIS NFIA",-0.0314763643040086,5.46189498130775,1.28593064672016,0.258236596335464,0.827128765897477,0.827128765897477,"tangles_quartile_numeric"
"10","TNFRSF18","Exc L6 THEMIS NFIA",-0.268060091438149,1.157644626059,4.42485743587387,0.0367432016199998,0.532926381348687,0.532926381348687,"tangles_quartile_numeric"
