"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",0.0397980326377637,3.22679236224337,0.584007270828575,0.44524132165235,0.999828673417796,0.956802287331803,"tdp_st4"
"2","AL669831.5","Inh RYR3 TSHZ2",0.0144252891782296,5.48086735773799,0.305501560340244,0.580793318790819,0.999828673417796,0.983034664255594,"tdp_st4"
"3","NOC2L","Inh RYR3 TSHZ2",0.0170616967909835,4.64876620581181,0.361790271510318,0.547888325111762,0.999828673417796,0.977228439285009,"tdp_st4"
"4","KLHL17","Inh RYR3 TSHZ2",0.0804670027145572,3.29142940836926,2.38783100706427,0.123152744569661,0.999828673417796,0.836415197806342,"tdp_st4"
"5","HES4","Inh RYR3 TSHZ2",0.0606054230429983,3.6675763306363,1.54661389961133,0.21443692611489,0.999828673417796,0.88562425031688,"tdp_st4"
"6","ISG15","Inh RYR3 TSHZ2",-0.135486719117585,3.0238413790234,4.37370828566433,0.0371907457043576,0.995984948492819,0.733046248498275,"tdp_st4"
"7","AGRN","Inh RYR3 TSHZ2",0.0785103738708481,3.34042285476506,1.99324523660482,0.158856851225656,0.999828673417796,0.858133527585653,"tdp_st4"
"8","C1orf159","Inh RYR3 TSHZ2",0.0356261906619115,5.31154050204319,1.94844511509051,0.16360591558015,0.999828673417796,0.861413906490237,"tdp_st4"
"9","SDF4","Inh RYR3 TSHZ2",-0.0411582475773562,5.67287539094243,3.35170031281608,0.0679535976004012,0.999828673417796,0.785641082884018,"tdp_st4"
"10","UBE2J2","Inh RYR3 TSHZ2",0.00431785419880539,5.14249605498035,0.0428566143718684,0.836111336995135,0.999828673417796,0.99999674703016,"tdp_st4"
"11","SCNN1D","Inh RYR3 TSHZ2",0.0149117049245279,3.69217254369371,0.117518401470704,0.731939749032081,0.999828673417796,0.99999674703016,"tdp_st4"
"12","ACAP3","Inh RYR3 TSHZ2",0.0502938799944858,6.57499236512089,6.15343946897157,0.0135672443695066,0.884694449091275,0.65247707399363,"tdp_st4"
"13","INTS11","Inh RYR3 TSHZ2",0.0359473351797773,5.46531599492516,2.70376844380954,0.10097531792594,0.999828673417796,0.824907429987077,"tdp_st4"
"14","CPTP","Inh RYR3 TSHZ2",-0.0292187771926752,3.34047518170464,0.343773161932234,0.558023002589537,0.999828673417796,0.979325295510749,"tdp_st4"
"15","DVL1","Inh RYR3 TSHZ2",0.0284149275751555,4.43222618300257,0.835199144411403,0.361378818965132,0.999828673417796,0.937030911661093,"tdp_st4"
"16","AURKAIP1","Inh RYR3 TSHZ2",0.0149029374349917,4.07215727030846,0.116833389246383,0.732692031584277,0.999828673417796,0.99999674703016,"tdp_st4"
"17","CCNL2","Inh RYR3 TSHZ2",0.0193992387755892,6.08490679097188,1.11135547660001,0.303458971533015,0.999828673417796,0.920735934592354,"tdp_st4"
"18","MRPL20","Inh RYR3 TSHZ2",-0.00438666568942396,4.72264400670609,0.0227540511827477,0.880182031209154,0.999828673417796,0.99999674703016,"tdp_st4"
"19","ATAD3B","Inh RYR3 TSHZ2",0.0301341326405705,4.52087260200533,1.03707380195669,0.309179873110274,0.999828673417796,0.92209764857479,"tdp_st4"
"20","ATAD3A","Inh RYR3 TSHZ2",0.00751697811770985,4.02900478705926,0.0457047715531487,0.830833148312533,0.999828673417796,0.99999674703016,"tdp_st4"
"21","SSU72","Inh RYR3 TSHZ2",-0.0306309528893585,5.17971330516143,1.35531249934623,0.245114543426086,0.999828673417796,0.898855420745857,"tdp_st4"
