"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.140415036975301,3.02576825273978,3.47297594970997,0.0640992122311723,0.830500843700608,0.828173053512807,"ya_adult_cogact_freq"
"2","AL669831.5","Exc L6b",0.0803815373485827,5.77545613443005,2.70136163441286,0.102105968162387,0.842731948237079,0.842382501314435,"ya_adult_cogact_freq"
"3","NOC2L","Exc L6b",0.00444141268742426,4.7691449677983,0.00916468953243257,0.923845583262468,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"4","KLHL17","Exc L6b",0.0891779522810131,2.92915248624426,1.29022460154742,0.257601216164392,0.921736234169496,0.900299247596938,"ya_adult_cogact_freq"
"5","HES4","Exc L6b",-0.0681459055693745,3.81252863342789,0.428054900729051,0.513826758707463,0.977910955412952,0.966380353425201,"ya_adult_cogact_freq"
"6","ISG15","Exc L6b",-0.0384016235089878,1.50545068212585,0.0587170505183316,0.808826633724889,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"7","AGRN","Exc L6b",0.0748502721269962,4.802426495756,1.42862312449824,0.233649687328513,0.903576957715804,0.890929136974779,"ya_adult_cogact_freq"
"8","C1orf159","Exc L6b",0.0297032848396049,5.82926229307406,0.614407272580468,0.434221131435838,0.961864917333273,0.949391293728746,"ya_adult_cogact_freq"
"9","SDF4","Exc L6b",-0.0223436262361786,5.15979343121924,0.231531762425755,0.631007516521178,0.997441024956442,0.98651481096158,"ya_adult_cogact_freq"
"10","B3GALT6","Exc L6b",-0.121309141575073,2.902913950178,2.26987297850441,0.133761851326981,0.854389979524954,0.848266340633557,"ya_adult_cogact_freq"
"11","UBE2J2","Exc L6b",0.0382122953711595,4.85756511257794,1.00031134600434,0.318652988862868,0.937543113030698,0.921792798788251,"ya_adult_cogact_freq"
"12","LINC01786","Exc L6b",-0.0363491452989293,2.17461169953817,0.113150239106532,0.73699952351782,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"13","SCNN1D","Exc L6b",-0.0433124824370007,2.94953055655238,0.312960256879673,0.850839212333173,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"14","ACAP3","Exc L6b",0.0580422066957126,6.63475161949733,1.79605076057526,0.181974479586694,0.881042437208714,0.869662343372359,"ya_adult_cogact_freq"
"15","INTS11","Exc L6b",-0.0326771641153,5.14961215180177,0.885171826464104,0.348120573181749,0.948790233235854,0.932717620822923,"ya_adult_cogact_freq"
"16","CPTP","Exc L6b",-0.0925124030599255,3.00511104523474,1.72749609988926,0.190496985718654,0.881908586973385,0.875144928938112,"ya_adult_cogact_freq"
"17","DVL1","Exc L6b",0.0540274283831346,4.29192951511991,1.11030713227027,0.895847291398105,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"18","AURKAIP1","Exc L6b",-0.139934059025861,3.93220329332756,2.52678066173952,0.113781555406211,0.847309991036134,0.845458699759604,"ya_adult_cogact_freq"
"19","CCNL2","Exc L6b",0.014621419432736,5.73872023119236,0.290557492471131,0.590566882736425,0.992283634917016,0.981288330561754,"ya_adult_cogact_freq"
"20","MRPL20","Exc L6b",-0.0431874895209705,4.46148862777896,0.723288672062499,0.396260425355588,0.957205284552005,0.942723655402506,"ya_adult_cogact_freq"
"21","ANKRD65","Exc L6b",-0.0258419675165026,1.78712851493209,0.0432582805528869,0.835488019938331,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"22","ATAD3C","Exc L6b",-0.1074311368292,1.76738488571619,0.730514715043955,0.393916170619151,0.957205284552005,0.942312376013383,"ya_adult_cogact_freq"
"23","ATAD3B","Exc L6b",0.0243742138092486,4.21351610495323,0.246303623848036,0.620329338203211,0.995693006996266,0.985335409191517,"ya_adult_cogact_freq"
"24","ATAD3A","Exc L6b",-0.00366068017801077,4.07163784634503,0.00498725249058975,0.943782601230843,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"25","TMEM240","Exc L6b",-0.116129752068189,2.30238879008685,1.39093321078455,0.239891188224574,0.909185373784951,0.89351733885739,"ya_adult_cogact_freq"
"26","SSU72","Exc L6b",-0.0667841892142804,5.28424525302158,1.8480168007381,0.175810058489462,0.881042437208714,0.867747882925856,"ya_adult_cogact_freq"
"27","AL645728.1","Exc L6b",-0.0397955322542219,2.05176369197774,0.130817233099588,0.718034192651365,0.999629036010605,0.998394726717822,"ya_adult_cogact_freq"
"28","FNDC10","Exc L6b",0.0763718739283473,3.0608618030882,0.820131959390149,0.36641998569871,0.951872267646291,0.936449895813922,"ya_adult_cogact_freq"
"29","AL691432.2","Exc L6b",-0.0994830658134112,3.02657180992239,1.52255428674044,0.21893210696929,0.896765089298057,0.886563766534744,"ya_adult_cogact_freq"
"30","MIB2","Exc L6b",0.0674936439758046,5.18461728169964,2.86531587006906,0.309320777615878,0.936621606944386,0.918974631941722,"ya_adult_cogact_freq"
"31","MMP23B","Exc L6b",0.0254482763894717,1.76674244393765,0.0422765281280545,0.837338932123903,0.999629036010605,0.99999069234018,"ya_adult_cogact_freq"
"32","CDK11B","Exc L6b",0.0412275198059058,4.76983971620564,0.934016556433086,0.406772395835896,0.957814785583754,0.944365842843622,"ya_adult_cogact_freq"
