"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",0.0360100013812501,4.30844671473716,0.151718408116464,0.697231243823528,0.962255686928408,0.962255686928408,"amyloid_trio"
"2","AL669831.5","Mic",-0.0684284772676965,5.73806026997249,1.42522478248188,0.233680593618792,0.674803077935326,0.674803077935326,"amyloid_trio"
"3","NOC2L","Mic",0.0874291891570201,5.09965776567374,2.83032492600739,0.0937522256648492,0.480433419611572,0.480433419611572,"amyloid_trio"
"4","ISG15","Mic",0.143769977645031,3.33449054425429,0.578518443778971,0.447612721200143,0.848714397865289,0.848714397865289,"amyloid_trio"
"5","AGRN","Mic",0.036154322989138,3.60321121566223,0.117278009597086,0.732294345338373,0.972503477358816,0.972503477358816,"amyloid_trio"
"6","C1orf159","Mic",-0.0867161028104285,4.92398769958672,2.1943293203045,0.139782845010877,0.557175205820886,0.557175205820886,"amyloid_trio"
"7","SDF4","Mic",-0.0789706656194194,5.0638279508256,2.38952614496396,0.312129123327621,0.747871131468966,0.747871131468966,"amyloid_trio"
"8","B3GALT6","Mic",-0.00517946773129199,3.30373439345903,0.00269786652266561,0.958617325249576,0.999657763068947,0.999657763068947,"amyloid_trio"
"9","UBE2J2","Mic",-0.0919633980557673,5.82638203286344,4.64100630667455,0.0321756380455204,0.308440449169474,0.308440449169474,"amyloid_trio"
"10","SCNN1D","Mic",0.158013165196305,3.20683515222628,1.73463262188916,0.189030194561947,0.62550807821519,0.62550807821519,"amyloid_trio"
"11","ACAP3","Mic",0.05501840880286,5.28783440075943,0.879902888992312,0.349136558396069,0.776133223089545,0.776133223089545,"amyloid_trio"
"12","INTS11","Mic",-0.115931489372085,5.09198767319003,5.44227093598207,0.0204517054524197,0.25383717656264,0.25383717656264,"amyloid_trio"
"13","DVL1","Mic",-0.00990283499762288,3.84624663982759,0.0128579843073747,0.943699268413202,0.999657763068947,0.999657763068947,"amyloid_trio"
"14","AURKAIP1","Mic",-0.0416566870713792,4.1492377663817,0.333492532783646,0.89935698084591,0.999657763068947,0.999657763068947,"amyloid_trio"
"15","CCNL2","Mic",0.0360828432461212,6.32213582414104,1.0044128947964,0.317217261695696,0.752752649016548,0.752752649016548,"amyloid_trio"
"16","MRPL20","Mic",0.0273533607443602,5.3289169816401,0.296600295459079,0.586508652168403,0.917725895583005,0.917725895583005,"amyloid_trio"
"17","ATAD3B","Mic",-0.0372087394695936,4.82705151558768,0.393633724711528,0.569031254120205,0.910581364681393,0.910581364681393,"amyloid_trio"
"18","ATAD3A","Mic",0.0133478379210115,4.18024916706946,0.0331641099823515,0.965272681562952,0.999657763068947,0.999657763068947,"amyloid_trio"
"19","SSU72","Mic",0.0250703485684499,5.53860833209882,0.296369111503203,0.586654476548641,0.917725895583005,0.917725895583005,"amyloid_trio"
"20","MIB2","Mic",-0.0243823962194898,4.77105541882081,0.158322037484864,0.691046759919856,0.960172753708715,0.960172753708715,"amyloid_trio"
"21","CDK11B","Mic",-0.0615332645888043,5.7523635564753,1.68927052847419,0.24463355280362,0.684554409955347,0.684554409955347,"amyloid_trio"
"22","SLC35E2B","Mic",0.00850717665288593,4.8287254293316,0.0187892322494236,0.891083130466523,0.999657763068947,0.999657763068947,"amyloid_trio"
"23","CDK11A","Mic",0.0397376987783665,5.4621989641837,0.410336015675344,0.522387619815384,0.888387696269794,0.888387696269794,"amyloid_trio"
