"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh L3-5 SST MAFB",0.0164483715104406,3.58847084593321,0.016177552240359,0.898891638147154,0.980013769879688,0.980013769879688,"gpath_trio"
"2","AL669831.5","Inh L3-5 SST MAFB",0.102876427940783,5.68531037784675,3.42404408163519,0.065435196975127,0.281326150003577,0.281326150003577,"gpath_trio"
"3","NOC2L","Inh L3-5 SST MAFB",0.0438504073907712,5.09365284781956,0.521212026978389,0.471000974258558,0.761705386199897,0.761705386199897,"gpath_trio"
"4","HES4","Inh L3-5 SST MAFB",-0.0637671870318268,5.1988648029188,0.782074779907002,0.377358485062683,0.690907734705964,0.690907734705964,"gpath_trio"
"5","ISG15","Inh L3-5 SST MAFB",-0.0629776370220248,3.79343924971979,0.207483766417979,0.649142823976425,0.873843109435524,0.873843109435524,"gpath_trio"
"6","C1orf159","Inh L3-5 SST MAFB",0.168506924635656,5.5341862381436,9.15352218584835,0.00274189976491438,0.0355147340648564,0.0355147340648564,"gpath_trio"
"7","SDF4","Inh L3-5 SST MAFB",0.0709903089962881,5.5357015009348,1.38235927909501,0.240820015745856,0.564570125089932,0.564570125089932,"gpath_trio"
"8","B3GALT6","Inh L3-5 SST MAFB",-0.0120204761384204,3.53595079985366,0.00900532471398668,0.92447326917192,0.987551962986624,0.987551962986624,"gpath_trio"
"9","UBE2J2","Inh L3-5 SST MAFB",-0.0852430257142864,5.22060292151129,1.68675606163248,0.195227798792743,0.509986537112123,0.509986537112123,"gpath_trio"
"10","SCNN1D","Inh L3-5 SST MAFB",0.048874385520859,3.93320668227815,0.189128198967715,0.66401900065196,0.880330006307486,0.880330006307486,"gpath_trio"
"11","ACAP3","Inh L3-5 SST MAFB",0.0195512301101835,6.49346824175484,0.202062650943285,0.653451186940801,0.874350894425142,0.874350894425142,"gpath_trio"
"12","INTS11","Inh L3-5 SST MAFB",0.0227011828697861,5.58215122171006,0.19055216622632,0.662834844074543,0.87980116017192,0.87980116017192,"gpath_trio"
"13","CPTP","Inh L3-5 SST MAFB",-0.0564373191694266,3.49885927455592,0.180645537015191,0.671185267776966,0.885013503609877,0.885013503609877,"gpath_trio"
"14","DVL1","Inh L3-5 SST MAFB",-0.163011147382823,4.51068192629326,3.80731027316507,0.0521481535617907,0.245481684292075,0.245481684292075,"gpath_trio"
"15","AURKAIP1","Inh L3-5 SST MAFB",-0.222927389098184,4.42406900722347,6.36210929835597,0.0122811259436018,0.0987750916287251,0.0987750916287251,"gpath_trio"
"16","CCNL2","Inh L3-5 SST MAFB",0.0250723700490624,6.1802796194252,0.367737991543317,0.544791022942321,0.811680667692255,0.811680667692255,"gpath_trio"
"17","MRPL20","Inh L3-5 SST MAFB",-0.211453455817961,4.93585578647759,8.01660944576089,0.00501283440358497,0.0538483189432081,0.0538483189432081,"gpath_trio"
"18","ATAD3B","Inh L3-5 SST MAFB",-0.0709411430832381,4.64841579821231,0.795979694349685,0.373157468034569,0.686850052876509,0.686850052876509,"gpath_trio"
"19","ATAD3A","Inh L3-5 SST MAFB",0.017227407370666,4.00285097221301,0.027347686275588,0.868785567349062,0.968874435060359,0.968874435060359,"gpath_trio"
