"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP TSHZ2",0.257598659678409,5.62551201057374,11.8079649901038,0.000699346709830713,0.0364256323239667,0.0364256323239667,"gpath_trio"
"2","NOC2L","Inh VIP TSHZ2",0.07822028324146,4.89372624429017,0.787027572623677,0.375924046027763,0.793452945202429,0.793452945202429,"gpath_trio"
"3","HES4","Inh VIP TSHZ2",0.0921972980427534,4.64346012525252,0.614598341165765,0.433865593167848,0.824299666853817,0.824299666853817,"gpath_trio"
"4","C1orf159","Inh VIP TSHZ2",0.157665060566151,5.6349576619824,4.74843060571923,0.0303371796412853,0.29797792501002,0.29797792501002,"gpath_trio"
"5","SDF4","Inh VIP TSHZ2",0.0785096098316146,5.80850375092606,1.18606472485541,0.277260753497616,0.729572314830632,0.729572314830632,"gpath_trio"
"6","UBE2J2","Inh VIP TSHZ2",0.0193147741452393,5.31864929531561,0.0592900489481033,0.891363205160073,0.995735786584326,0.995735786584326,"gpath_trio"
"7","ACAP3","Inh VIP TSHZ2",-0.0387242565819818,6.44061760974945,0.526814062686289,0.468684817222878,0.838985896179545,0.838985896179545,"gpath_trio"
"8","INTS11","Inh VIP TSHZ2",-0.00685186410422948,5.53731943532439,0.0105529327565352,0.999079539852565,0.999952193670539,0.999952193670539,"gpath_trio"
"9","DVL1","Inh VIP TSHZ2",-0.164361482999848,4.72757614127274,2.9248356400036,0.0885700849638853,0.483574728328729,0.483574728328729,"gpath_trio"
"10","AURKAIP1","Inh VIP TSHZ2",-0.240397088348364,4.46428108049773,4.25084998049855,0.0403508303946902,0.340380012967414,0.340380012967414,"gpath_trio"
"11","CCNL2","Inh VIP TSHZ2",-0.0760809831324801,6.32752455393379,2.03646807673648,0.15491745644119,0.594681362495335,0.594681362495335,"gpath_trio"
"12","MRPL20","Inh VIP TSHZ2",-0.193884923705598,5.06736507568102,4.71530783953263,0.0309146504582994,0.30052449708508,0.30052449708508,"gpath_trio"
"13","ATAD3B","Inh VIP TSHZ2",-0.233821268386891,4.7232252651067,5.1363696170943,0.0243564617268478,0.26469870450398,0.26469870450398,"gpath_trio"
