"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SGCD PDE3A",0.0279574123762694,5.35003362181732,0.0490581901047762,0.82509899659811,0.990640000056604,0.990640000056604,"nft_trio"
"2","NOC2L","Inh SGCD PDE3A",-0.217098229113286,5.18597134310896,3.06935355506243,0.0824190315869294,0.74317702061936,0.74317702061936,"nft_trio"
"3","HES4","Inh SGCD PDE3A",0.0155436584881662,5.75443853583177,0.0212935306194067,0.884234964561483,0.99918319316539,0.99918319316539,"nft_trio"
"4","C1orf159","Inh SGCD PDE3A",0.0164570715987537,5.83981980620445,0.0293686340496578,0.864228692012066,0.996635127572745,0.996635127572745,"nft_trio"
"5","SDF4","Inh SGCD PDE3A",-0.0974691579695653,5.61090903847512,0.707473543620681,0.40201120165009,0.905697498112962,0.905697498112962,"nft_trio"
"6","UBE2J2","Inh SGCD PDE3A",-0.0266278591545118,5.51825804502168,0.0633106082739947,0.801782306255553,0.989089996381931,0.989089996381931,"nft_trio"
"7","ACAP3","Inh SGCD PDE3A",0.0633528543138924,6.03455080871438,0.541612212881866,0.463248197545106,0.919628888131292,0.919628888131292,"nft_trio"
"8","INTS11","Inh SGCD PDE3A",0.0123256557382432,5.77025231244751,0.015440056562491,0.901325654640926,0.99918319316539,0.99918319316539,"nft_trio"
"9","DVL1","Inh SGCD PDE3A",-0.0917389581489803,4.93489907537181,0.415949040753501,0.520236513395652,0.944464225029841,0.944464225029841,"nft_trio"
"10","AURKAIP1","Inh SGCD PDE3A",-0.442250261392225,4.92068557170088,11.0405758879695,0.00119232074733782,0.256097571455745,0.256097571455745,"nft_trio"
"11","CCNL2","Inh SGCD PDE3A",-0.132989154952418,6.10517446248176,2.27724105328925,0.133999254438499,0.787382075032836,0.787382075032836,"nft_trio"
"12","MRPL20","Inh SGCD PDE3A",-0.215801089236233,5.09390496763779,2.73581975915345,0.100819815191344,0.75708819080525,0.75708819080525,"nft_trio"
"13","ATAD3B","Inh SGCD PDE3A",-0.0238262475174963,4.95973653149933,0.0275771105605711,0.868395487843527,0.996641140323607,0.996641140323607,"nft_trio"
"14","SSU72","Inh SGCD PDE3A",-0.253244937313693,5.75746308814219,7.52356808644549,0.007054961307524,0.382518344251819,0.382518344251819,"nft_trio"
"15","MIB2","Inh SGCD PDE3A",-0.0882487440852394,5.41405129797589,0.572992538554935,0.450604177301303,0.9161759926752,0.9161759926752,"nft_trio"
"16","CDK11B","Inh SGCD PDE3A",0.0706532893771611,5.09109153975925,0.278618238657738,0.598614717477502,0.961358093097561,0.961358093097561,"nft_trio"
"17","SLC35E2B","Inh SGCD PDE3A",-0.0601639998833185,5.31121724650509,0.217993215808464,0.64144742340924,0.967983069567933,0.967983069567933,"nft_trio"
"18","SLC35E2A","Inh SGCD PDE3A",0.01060417183636,5.33752261158665,0.00735197098907662,0.931817764496146,0.99918319316539,0.99918319316539,"nft_trio"
"19","NADK","Inh SGCD PDE3A",-0.277877777235735,5.20273723696205,4.73843647399852,0.0315182750417831,0.590639403443992,0.590639403443992,"nft_trio"
"20","GNB1","Inh SGCD PDE3A",-0.144702273014374,8.08627306239645,9.02068416287757,0.00326946749194565,0.322452719592474,0.322452719592474,"nft_trio"
"21","PRKCZ","Inh SGCD PDE3A",0.0124573466320638,6.65810101257529,0.0331769357578319,0.855785991024874,0.995898399828776,0.995898399828776,"nft_trio"
"22","FAAP20","Inh SGCD PDE3A",-0.252888936679132,5.05124108355017,3.38712670573034,0.0682586970291125,0.731343641654237,0.731343641654237,"nft_trio"
"23","SKI","Inh SGCD PDE3A",0.0667819218482051,6.10456431361154,0.621968688871237,0.431922540575124,0.91095877820407,0.91095877820407,"nft_trio"
"24","RER1","Inh SGCD PDE3A",0.13816028904632,5.22765187431276,1.65749985215412,0.238001245419255,0.855009366457614,0.855009366457614,"nft_trio"
"25","PLCH2","Inh SGCD PDE3A",-0.0167285688152877,4.96558923494231,0.0120854341617833,0.912651515673266,0.99918319316539,0.99918319316539,"nft_trio"
"26","FAM213B","Inh SGCD PDE3A",0.0697807570882274,4.67985294645472,0.165121773750392,0.685231461059468,0.974808919306,0.974808919306,"nft_trio"
"27","TPRG1L","Inh SGCD PDE3A",-0.283242940696412,4.87068479664152,3.8813833346634,0.0559962880456482,0.713685683085266,0.713685683085266,"nft_trio"
"28","CEP104","Inh SGCD PDE3A",0.0652174140957728,5.8329236405106,0.484991324951815,0.501955195072962,0.934953637271923,0.934953637271923,"nft_trio"
"29","DFFB","Inh SGCD PDE3A",-0.0438881070294742,5.06951947642597,0.0934426309371453,0.760392242095077,0.981619461117312,0.981619461117312,"nft_trio"
"30","AJAP1","Inh SGCD PDE3A",0.0149216575893385,6.38194847018855,0.0317278094466252,0.858936494027392,0.995898399828776,0.995898399828776,"nft_trio"
