"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SGCD PDE3A",0.0742659677228041,5.44583622928245,0.398517733544498,0.529180153700887,0.926926921975209,0.926926921975209,"nft_trio"
"2","NOC2L","Inh SGCD PDE3A",0.165197343091312,5.23143404320486,1.43215996001206,0.234014173437881,0.801155772519458,0.801155772519458,"nft_trio"
"3","HES4","Inh SGCD PDE3A",-0.0137140291594128,5.80727716567538,0.0139108470433315,0.906329357750385,0.994927706048225,0.994927706048225,"nft_trio"
"4","C1orf159","Inh SGCD PDE3A",-0.0922793246970589,5.82311918238364,0.852874737445681,0.388456284864741,0.87017795438341,0.87017795438341,"nft_trio"
"5","SDF4","Inh SGCD PDE3A",0.231475466040928,5.70125922143617,4.00799772453062,0.0477738912097375,0.615042526568926,0.615042526568926,"nft_trio"
"6","UBE2J2","Inh SGCD PDE3A",-0.0612529554245704,5.55269882229206,0.327315916881675,0.568424422128778,0.935671692387608,0.935671692387608,"nft_trio"
"7","ACAP3","Inh SGCD PDE3A",0.0216108742768043,6.10101405047116,0.0581359941657915,0.809920635182988,0.985486555359547,0.985486555359547,"nft_trio"
"8","INTS11","Inh SGCD PDE3A",-0.0390302719112335,5.80195369304997,0.159864486779901,0.690065402749877,0.959987374320545,0.959987374320545,"nft_trio"
"9","CCNL2","Inh SGCD PDE3A",0.086527371346594,6.1347239301206,0.817447781253881,0.367925579233149,0.86201189573053,0.86201189573053,"nft_trio"
"10","SSU72","Inh SGCD PDE3A",0.0504106406144521,5.7003617437831,0.238264193077178,0.626445188646023,0.947188971803873,0.947188971803873,"nft_trio"
"11","MIB2","Inh SGCD PDE3A",0.0772441733775755,5.42078515949727,0.514921495462645,0.47873107681948,0.907451917307205,0.907451917307205,"nft_trio"
"12","SLC35E2B","Inh SGCD PDE3A",0.0844717761012433,5.32717427552339,0.378879879489104,0.539489135005631,0.931482480675207,0.931482480675207,"nft_trio"
"13","SLC35E2A","Inh SGCD PDE3A",-0.179510609178186,5.33834885925465,1.73072746625055,0.191084318592888,0.760806368773734,0.760806368773734,"nft_trio"
"14","GNB1","Inh SGCD PDE3A",0.103799188865858,8.10225458242369,4.82629066733785,0.0301502994846881,0.553611965511266,0.553611965511266,"nft_trio"
"15","PRKCZ","Inh SGCD PDE3A",0.0165468505664703,6.69374272797459,0.056007879427768,0.859650165488617,0.989019888834796,0.989019888834796,"nft_trio"
"16","SKI","Inh SGCD PDE3A",0.0835714180228218,6.16512917332288,0.859080386061304,0.356048236679122,0.86201189573053,0.86201189573053,"nft_trio"
"17","RER1","Inh SGCD PDE3A",-0.0387388297123648,5.32815041715706,0.110658772285294,0.785315232064099,0.980926622988195,0.980926622988195,"nft_trio"
"18","FAM213B","Inh SGCD PDE3A",0.0423743406798602,4.75096396043621,0.0659699208157158,0.797782793740596,0.983597515473388,0.983597515473388,"nft_trio"
"19","CEP104","Inh SGCD PDE3A",-0.139781375732049,5.85339425174624,2.00605188194489,0.15953008497864,0.743695522291348,0.743695522291348,"nft_trio"
"20","DFFB","Inh SGCD PDE3A",0.0315520014247715,5.13616799620499,0.0410792683595333,0.839763631042567,0.987847793983385,0.987847793983385,"nft_trio"
"21","AJAP1","Inh SGCD PDE3A",0.0491940182228797,6.456648714613,0.346636718430203,0.557243909207389,0.934093425109831,0.934093425109831,"nft_trio"
"22","NPHP4","Inh SGCD PDE3A",0.0758940623075317,5.65881071172683,0.464550249807736,0.496953723623017,0.913652014566246,0.913652014566246,"nft_trio"
"23","KCNAB2","Inh SGCD PDE3A",-0.163262900697944,5.62102545308693,2.18579887430733,0.146702166360375,0.731829989580195,0.731829989580195,"nft_trio"
"24","CHD5","Inh SGCD PDE3A",0.0811629759121341,7.16354336644972,1.83454519105329,0.196219923127478,0.765923010939687,0.765923010939687,"nft_trio"
"25","RPL22","Inh SGCD PDE3A",0.0136919438249038,5.84229031674232,0.0199239676822611,0.888010728702636,0.990098668791135,0.990098668791135,"nft_trio"
"26","RNF207","Inh SGCD PDE3A",-0.0844000655568172,5.22697983060726,0.412370771176896,0.522119790737929,0.923629053083198,0.923629053083198,"nft_trio"
"27","GPR153","Inh SGCD PDE3A",-0.0888499231932758,5.27690901921428,0.339907674115934,0.561089341091203,0.934556575361994,0.934556575361994,"nft_trio"
"28","ACOT7","Inh SGCD PDE3A",-0.169404754083805,6.70640830864019,4.50469015032074,0.0360712561467524,0.594084408139447,0.594084408139447,"nft_trio"
"29","TNFRSF25","Inh SGCD PDE3A",0.146456114437745,5.81364860848878,2.22143097177564,0.139001122843887,0.731194468848826,0.731194468848826,"nft_trio"
"30","NOL9","Inh SGCD PDE3A",-0.0343983806196312,5.51135954376607,0.0961807378180294,0.794516638205175,0.982633181922323,0.982633181922323,"nft_trio"
"31","DNAJC11","Inh SGCD PDE3A",-0.00958928916570056,6.01513355597647,0.00917070423167391,0.92388438656567,0.999578524569616,0.999578524569616,"nft_trio"
"32","CAMTA1","Inh SGCD PDE3A",-0.0465905564819974,9.04373057807683,1.27263637469629,0.261754896253362,0.817189445019559,0.817189445019559,"nft_trio"
"33","PER3","Inh SGCD PDE3A",0.0874004152385517,6.92145657299736,1.09742173940014,0.297154890860872,0.828453816973327,0.828453816973327,"nft_trio"
"34","PARK7","Inh SGCD PDE3A",-0.217716703111865,5.39412452050356,2.9006582905856,0.0913992181234083,0.692524845011978,0.692524845011978,"nft_trio"
"35","RERE","Inh SGCD PDE3A",-0.0169026886108186,9.48963355639264,0.236474042036229,0.698359800997957,0.96380921294654,0.96380921294654,"nft_trio"
"36","ENO1","Inh SGCD PDE3A",-0.0188545996494089,6.18066444037307,0.0356747587161014,0.850540702124808,0.988650256596659,0.988650256596659,"nft_trio"
"37","SLC25A33","Inh SGCD PDE3A",-0.136190263862621,5.36593061500149,1.23356831227376,0.269163426685534,0.819911329616393,0.819911329616393,"nft_trio"
"38","CLSTN1","Inh SGCD PDE3A",0.0999901501292984,7.34043273349581,2.72571795946579,0.101628224981766,0.704303459762367,0.704303459762367,"nft_trio"
"39","CTNNBIP1","Inh SGCD PDE3A",-0.0563430548128597,5.30397165894759,0.156924110065757,0.69278036907757,0.96040935843211,0.96040935843211,"nft_trio"
"40","UBE4B","Inh SGCD PDE3A",-0.0590671619962857,7.90234949823014,1.25109226678999,0.265808167640269,0.817189445019559,0.817189445019559,"nft_trio"
"41","KIF1B","Inh SGCD PDE3A",-0.0115460940518588,8.86937827673264,0.108374909719275,0.742634971408577,0.972481391532347,0.972481391532347,"nft_trio"
"42","DFFA","Inh SGCD PDE3A",0.154063111135869,5.29290054595885,1.20113935383593,0.275514764539938,0.824333578450437,0.824333578450437,"nft_trio"
"43","PEX14","Inh SGCD PDE3A",-0.0988815249820664,6.09388513830077,1.06257592405468,0.304915095249422,0.837084521775646,0.837084521775646,"nft_trio"
"44","SRM","Inh SGCD PDE3A",-0.0867313907320136,5.78152838136819,0.658738266401459,0.418778331370125,0.879791771723648,0.879791771723648,"nft_trio"
"45","EXOSC10","Inh SGCD PDE3A",-0.103901895249843,5.62368526676649,0.805106594614493,0.371552710149275,0.86201189573053,0.86201189573053,"nft_trio"
"46","MTOR","Inh SGCD PDE3A",-0.0187597896356707,6.66449113318468,0.0850042742818328,0.787238921439748,0.981068183239156,0.981068183239156,"nft_trio"
"47","FBXO2","Inh SGCD PDE3A",-0.26111229610433,5.54616414236962,5.46125899488873,0.021273570256883,0.515590700826283,0.515590700826283,"nft_trio"
"48","FBXO44","Inh SGCD PDE3A",0.0757114162801688,6.15034494079868,0.606898445130533,0.437649628272058,0.891264199841249,0.891264199841249,"nft_trio"
"49","MTHFR","Inh SGCD PDE3A",-0.0839492257239477,5.97945621014137,0.698655549974457,0.405068232782175,0.876985708782076,0.876985708782076,"nft_trio"
"50","CLCN6","Inh SGCD PDE3A",-0.0176880843449736,5.50421209789889,0.023102472803312,0.945173299441287,0.999673750032368,0.999673750032368,"nft_trio"
"51","MFN2","Inh SGCD PDE3A",-0.167817093601266,5.69510306181495,2.90211000393155,0.105053734330251,0.710839546817548,0.710839546817548,"nft_trio"
"52","VPS13D","Inh SGCD PDE3A",0.10013688231881,7.72418020946286,2.88007689583528,0.0925415124275243,0.692734938616987,0.692734938616987,"nft_trio"
"53","PRDM2","Inh SGCD PDE3A",-0.0409970512264184,6.64229831318983,0.365186668075899,0.546898151153242,0.932185516510364,0.932185516510364,"nft_trio"
"54","KAZN","Inh SGCD PDE3A",-0.068563125087921,11.7961092325685,3.90121385640096,0.0507848640914797,0.615042526568926,0.615042526568926,"nft_trio"
"55","DNAJC16","Inh SGCD PDE3A",0.0157503307545469,5.76844052954294,0.0201088489504381,0.887495824036671,0.9898550156475,0.9898550156475,"nft_trio"
"56","DDI2","Inh SGCD PDE3A",0.079941874964031,5.58779252950404,0.496620482769705,0.482495058813222,0.909959338294191,0.909959338294191,"nft_trio"
"57","PLEKHM2","Inh SGCD PDE3A",0.0981674789875453,6.04796867181997,1.05447786220942,0.306756273012617,0.837084521775646,0.837084521775646,"nft_trio"
"58","SPEN","Inh SGCD PDE3A",0.0967580836367758,6.88489893944017,2.34586402974279,0.146790554835302,0.731829989580195,0.731829989580195,"nft_trio"
"59","FBXO42","Inh SGCD PDE3A",0.189469835500907,7.28839147570787,9.49448633239985,0.00261078666534734,0.28940381352249,0.28940381352249,"nft_trio"
"60","NBPF1","Inh SGCD PDE3A",0.0379871229779529,5.85231678329745,0.109542195994047,0.741302694026186,0.972481391532347,0.972481391532347,"nft_trio"
"61","CROCC","Inh SGCD PDE3A",0.0331148919099258,6.79650729501241,0.251548119262698,0.617000741926309,0.947188971803873,0.947188971803873,"nft_trio"
"62","ATP13A2","Inh SGCD PDE3A",-0.0175118558998134,6.8603722312322,0.0510086279533742,0.821741226991298,0.985953601107908,0.985953601107908,"nft_trio"
