"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",-0.0178345891443467,3.83783225228615,0.0576767707646988,0.810412754701349,0.955012742752218,0.955012742752218,"plaq_d_trio"
"2","AL669831.5","Exc L5-6 RORB LINC02196",0.0291071307710234,6.13621373699869,0.539794439627677,0.463240227292114,0.762355045752323,0.762355045752323,"plaq_d_trio"
"3","NOC2L","Exc L5-6 RORB LINC02196",0.141430818182585,4.99049425737403,12.8083027080074,0.000418004258877065,0.018748305316552,0.018748305316552,"plaq_d_trio"
"4","KLHL17","Exc L5-6 RORB LINC02196",0.0766434285245353,3.32468830129612,0.914159304101173,0.339982078309931,0.671516756770665,0.671516756770665,"plaq_d_trio"
"5","HES4","Exc L5-6 RORB LINC02196",-0.104953172741526,4.95316492361229,3.2166758554309,0.0741592787554887,0.326573175470814,0.326573175470814,"plaq_d_trio"
"6","ISG15","Exc L5-6 RORB LINC02196",-0.0503902003238716,2.70793495022565,0.138278491360964,0.710328870560412,0.911185523696061,0.911185523696061,"plaq_d_trio"
"7","AGRN","Exc L5-6 RORB LINC02196",0.0359005388387405,4.5824543259756,0.377042503990158,0.539775990661571,0.813767023640803,0.813767023640803,"plaq_d_trio"
"8","C1orf159","Exc L5-6 RORB LINC02196",-0.0187025487813892,5.52848307882429,0.278070006000495,0.798274163764371,0.949794869096845,0.949794869096845,"plaq_d_trio"
"9","SDF4","Exc L5-6 RORB LINC02196",-0.011841956577794,5.30954036738622,0.0763577375221761,0.782534836403243,0.943052346553865,0.943052346553865,"plaq_d_trio"
"10","B3GALT6","Exc L5-6 RORB LINC02196",0.126755351259283,3.22541548616119,2.60318781074396,0.107972288562299,0.396766292232575,0.396766292232575,"plaq_d_trio"
"11","UBE2J2","Exc L5-6 RORB LINC02196",-0.00684935736826515,4.95665352143951,0.0297676603144075,0.863164893860604,0.97270254795849,0.97270254795849,"plaq_d_trio"
"12","LINC01786","Exc L5-6 RORB LINC02196",-0.119904474427653,2.8234392797798,1.35339349409983,0.245849178817992,0.587277156292792,0.587277156292792,"plaq_d_trio"
"13","SCNN1D","Exc L5-6 RORB LINC02196",-0.149333144831225,3.4733684852644,3.83219241407567,0.0514442290185966,0.273366373524537,0.273366373524537,"plaq_d_trio"
"14","ACAP3","Exc L5-6 RORB LINC02196",0.0251459478782527,6.31445625053789,0.568542751858473,0.451582902465764,0.756471523646955,0.756471523646955,"plaq_d_trio"
"15","PUSL1","Exc L5-6 RORB LINC02196",0.123971543784646,2.30660077085706,1.13705133344035,0.287355296746882,0.625668657218859,0.625668657218859,"plaq_d_trio"
"16","INTS11","Exc L5-6 RORB LINC02196",0.0589020974408262,5.33869306300354,3.07239744411591,0.0809177800069757,0.340476024798696,0.340476024798696,"plaq_d_trio"
"17","CPTP","Exc L5-6 RORB LINC02196",0.0791963876689288,3.1079511154698,0.915345393581906,0.339669590818384,0.671361124957915,0.671361124957915,"plaq_d_trio"
"18","DVL1","Exc L5-6 RORB LINC02196",0.1617635928579,4.49243061533161,11.8115924037821,0.00069440744482478,0.0243964809252346,0.0243964809252346,"plaq_d_trio"
"19","AURKAIP1","Exc L5-6 RORB LINC02196",-0.0137876041974059,4.24748371809642,0.0614185660836144,0.862492856997297,0.972528438812359,0.972528438812359,"plaq_d_trio"
"20","CCNL2","Exc L5-6 RORB LINC02196",0.00434492496092677,6.07660892853424,0.0226307681011191,0.926306492609241,0.991035509837198,0.991035509837198,"plaq_d_trio"
"21","MRPL20","Exc L5-6 RORB LINC02196",-0.0401003183031799,4.67025220096108,0.780454690400022,0.377892398922256,0.701598880591998,0.701598880591998,"plaq_d_trio"
"22","ANKRD65","Exc L5-6 RORB LINC02196",0.058948796224231,3.73544285739717,0.500307893997989,0.480055938736629,0.774280349440779,0.774280349440779,"plaq_d_trio"
"23","ATAD3C","Exc L5-6 RORB LINC02196",0.125376253701339,3.60785201147973,1.77953710948873,0.18347952825509,0.510774884651514,0.510774884651514,"plaq_d_trio"
"24","ATAD3B","Exc L5-6 RORB LINC02196",-0.0575615349362315,4.71616875353842,1.57333844115615,0.210951670302661,0.546874354927808,0.546874354927808,"plaq_d_trio"
"25","ATAD3A","Exc L5-6 RORB LINC02196",-0.00779459039395104,4.07169859047196,0.0202083894428688,0.887076717141989,0.981176870941339,0.981176870941339,"plaq_d_trio"
"26","TMEM240","Exc L5-6 RORB LINC02196",0.0168844607409353,2.77847696830202,0.0246243094846225,0.875439690536749,0.97617050284,0.97617050284,"plaq_d_trio"
"27","SSU72","Exc L5-6 RORB LINC02196",0.0907190259561008,5.77139416306306,9.05231753662388,0.00290519967855653,0.0568184038738014,0.0568184038738014,"plaq_d_trio"
"28","AL645728.1","Exc L5-6 RORB LINC02196",0.129024968720901,2.53709311784656,1.28874038479489,0.257420617790545,0.597462512717419,0.597462512717419,"plaq_d_trio"
"29","FNDC10","Exc L5-6 RORB LINC02196",0.0774697128000397,4.17488022329921,1.76232681891311,0.185604763548546,0.51269110384284,0.51269110384284,"plaq_d_trio"
"30","AL691432.2","Exc L5-6 RORB LINC02196",0.0776476852854209,3.52044410608504,1.07793708139822,0.300211718131492,0.637138724001972,0.637138724001972,"plaq_d_trio"
"31","MIB2","Exc L5-6 RORB LINC02196",0.0209478462937412,5.39556981991345,0.291690822953971,0.58964335539847,0.846256513894262,0.846256513894262,"plaq_d_trio"
"32","CDK11B","Exc L5-6 RORB LINC02196",0.0126216890536838,5.07306561804361,0.0962931462391739,0.756595380459493,0.930631837434214,0.930631837434214,"plaq_d_trio"
"33","SLC35E2B","Exc L5-6 RORB LINC02196",0.0391674593539436,4.868205370179,0.673366040112027,0.41270051604188,0.730054335459762,0.730054335459762,"plaq_d_trio"
"34","CDK11A","Exc L5-6 RORB LINC02196",0.0987912220562255,4.29997239787271,2.54206147794112,0.112175255589863,0.403991091586436,0.403991091586436,"plaq_d_trio"
"35","SLC35E2A","Exc L5-6 RORB LINC02196",-0.00398049071647794,4.90839689628106,0.00692237277724715,0.93376171814737,0.993338406445933,0.993338406445933,"plaq_d_trio"
