"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB",-0.0687776004539417,2.57305819716449,1.06766556813082,0.302565499887337,0.576110560032559,0.576110560032559,"plaq_d_trio"
"2","AL669831.5","Inh PVALB",-0.0792434868418651,5.13679640459085,3.63881466399386,0.05770070525667,0.214418887217877,0.214418887217877,"plaq_d_trio"
"3","LINC00115","Inh PVALB",0.0568634172903347,0.912583407165879,0.219371747480439,0.639965428639302,0.84304640273965,0.84304640273965,"plaq_d_trio"
"4","NOC2L","Inh PVALB",-0.0812189997550844,4.31656177651471,7.30016469580649,0.00741189897637428,0.0552479946719611,0.0552479946719611,"plaq_d_trio"
"5","KLHL17","Inh PVALB",0.0606711582807212,2.60996796156101,1.14896669824948,0.28489616197135,0.557883541041097,0.557883541041097,"plaq_d_trio"
"6","HES4","Inh PVALB",-0.161664687227089,3.47630642132169,3.14785425392289,0.0773582444110579,0.257383883480277,0.257383883480277,"plaq_d_trio"
"7","ISG15","Inh PVALB",0.0242077617333518,1.75568903291244,0.0388918326274562,0.843838386337007,0.948732185749733,0.948732185749733,"plaq_d_trio"
"8","AGRN","Inh PVALB",0.0971924244408345,2.40341707323311,1.18161897617484,0.27817176819571,0.550158920973436,0.550158920973436,"plaq_d_trio"
"9","C1orf159","Inh PVALB",0.0952012979254219,5.20624850434316,11.4920754916517,0.000823249461208155,0.0115597647675282,0.0115597647675282,"plaq_d_trio"
"10","SDF4","Inh PVALB",-0.0253300363087022,5.17216714961814,0.464903295848395,0.496031681996485,0.743535645423077,0.743535645423077,"plaq_d_trio"
"11","B3GALT6","Inh PVALB",-0.140676208519644,2.46921682564229,6.96609903768055,0.00887860982896021,0.0627242626608899,0.0627242626608899,"plaq_d_trio"
"12","UBE2J2","Inh PVALB",-0.00455431387026035,4.86368230424306,0.0360812238807206,0.849516459943883,0.951375617674618,0.951375617674618,"plaq_d_trio"
"13","LINC01786","Inh PVALB",-0.0758265878682083,2.65075228686632,2.01809981237197,0.15679640414022,0.393864790441978,0.393864790441978,"plaq_d_trio"
"14","SCNN1D","Inh PVALB",0.0131795096677988,3.50354302898022,0.0705007490783654,0.790848434298092,0.925773909211938,0.925773909211938,"plaq_d_trio"
"15","ACAP3","Inh PVALB",0.00912820059456875,5.91093338669201,0.126528179550233,0.722387360283213,0.888194010625863,0.888194010625863,"plaq_d_trio"
"16","PUSL1","Inh PVALB",-0.115035750306622,1.67557854275879,2.4744432499772,0.117093748217582,0.329482977794014,0.329482977794014,"plaq_d_trio"
