"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",0.080446644121061,4.32260298874833,0.698185343824473,0.40417688370075,0.824699481538617,0.824699481538617,"plaq_d_trio"
"2","AL669831.5","Mic",-0.0107237282604115,5.76091443032554,0.0331563556674798,0.855657753303747,0.998569571518902,0.998569571518902,"plaq_d_trio"
"3","NOC2L","Mic",-0.0100125047616025,5.13517925010344,0.0325186593198397,0.857037374841073,0.998569571518902,0.998569571518902,"plaq_d_trio"
"4","KLHL17","Mic",0.0704541285440007,3.10324382548688,0.311169811321577,0.713010524586291,0.965609503246535,0.965609503246535,"plaq_d_trio"
"5","ISG15","Mic",0.00890993502761989,3.29974428153937,0.00226146976786275,0.962108214321175,0.999887884994685,0.999887884994685,"plaq_d_trio"
"6","AGRN","Mic",-0.00550289545696426,3.61925953560501,0.00267180840836627,0.958816568772764,0.999887884994685,0.999887884994685,"plaq_d_trio"
"7","C1orf159","Mic",-0.00229834438655279,4.98663009306021,0.00112889197537754,0.973223232144978,0.999887884994685,0.999887884994685,"plaq_d_trio"
"8","SDF4","Mic",-0.0685520085061692,5.15910526529817,1.35297874290493,0.24584610350797,0.702740951456279,0.702740951456279,"plaq_d_trio"
"9","B3GALT6","Mic",0.083326721491682,3.38100046467549,0.523239156976504,0.470126662306003,0.862622083143824,0.862622083143824,"plaq_d_trio"
"10","UBE2J2","Mic",0.048947355861757,5.83874955255416,1.16115334434532,0.282245503538974,0.733851763198707,0.733851763198707,"plaq_d_trio"
"11","SCNN1D","Mic",0.0573020345337862,3.2177650039321,0.2086208879772,0.6482395865388,0.940749658895078,0.940749658895078,"plaq_d_trio"
"12","ACAP3","Mic",0.0588345426315116,5.30756298567311,0.895389180985245,0.344917464628641,0.784982289828449,0.784982289828449,"plaq_d_trio"
"13","INTS11","Mic",-0.101724308220922,5.15354985199961,4.49909027229445,0.0348786782541756,0.316746198021325,0.316746198021325,"plaq_d_trio"
"14","DVL1","Mic",-0.025999592841867,3.91931062289964,0.0726059366315202,0.871524293249223,0.999887884994685,0.999887884994685,"plaq_d_trio"
"15","AURKAIP1","Mic",0.00508331219211571,4.27881286676198,0.00418806833627912,0.94845143011473,0.999887884994685,0.999887884994685,"plaq_d_trio"
"16","CCNL2","Mic",-0.0100448140917197,6.37662124994834,0.0612129438320039,0.804788231419177,0.989689741066841,0.989689741066841,"plaq_d_trio"
"17","MRPL20","Mic",0.032602667824237,5.3810985513121,0.419511002647852,0.556416212322139,0.903117794253466,0.903117794253466,"plaq_d_trio"
"18","ATAD3B","Mic",-0.102758257020504,4.93426955732543,2.45704588697843,0.118239558447862,0.533438570727916,0.533438570727916,"plaq_d_trio"
"19","ATAD3A","Mic",-0.100504894646222,4.22430257590532,1.57774602411437,0.210236041919336,0.66413416913057,0.66413416913057,"plaq_d_trio"
"20","SSU72","Mic",0.0641888655435666,5.56109765161875,1.74914293964959,0.187170250628264,0.637064582968312,0.637064582968312,"plaq_d_trio"
"21","AL691432.2","Mic",0.0624137790919428,2.90713223024132,0.206326842030612,0.650048407341339,0.941763366727836,0.941763366727836,"plaq_d_trio"
"22","MIB2","Mic",0.131097381519813,4.73460408515728,3.56494524158361,0.0601477047130659,0.410418836087022,0.410418836087022,"plaq_d_trio"
"23","CDK11B","Mic",-0.0174089197542188,5.80865911940994,0.128076724193043,0.720730807648256,0.9676556955735,0.9676556955735,"plaq_d_trio"
"24","SLC35E2B","Mic",0.0927450434325983,4.83799139867256,1.72077444433225,0.190773953574947,0.639743239325187,0.639743239325187,"plaq_d_trio"
"25","CDK11A","Mic",0.0614095106637675,5.46784308123718,0.846781869087121,0.35833462237994,0.795652949483417,0.795652949483417,"plaq_d_trio"
"26","SLC35E2A","Mic",0.00381534386681273,4.96650029869676,0.00298476444779655,0.956473658001773,0.999887884994685,0.999887884994685,"plaq_d_trio"
"27","NADK","Mic",-0.0300623466377936,5.27886087072668,0.229793868047829,0.632087850174507,0.935207856317903,0.935207856317903,"plaq_d_trio"
"28","GNB1","Mic",-0.0274668932214842,8.67007050915297,1.54354843379236,0.215232510528737,0.669102468664087,0.669102468664087,"plaq_d_trio"
"29","CFAP74","Mic",-0.0990410586901975,5.89946073379903,1.55854656734441,0.213023947784034,0.667069576090638,0.667069576090638,"plaq_d_trio"
"30","GABRD","Mic",-0.0399726332859052,3.56007083923685,0.132203764785654,0.839596546252203,0.995852614002832,0.995852614002832,"plaq_d_trio"
"31","PRKCZ","Mic",0.055000616065482,5.19129545901193,0.466212109034466,0.495355220350106,0.873877491474542,0.873877491474542,"plaq_d_trio"
"32","FAAP20","Mic",0.0269496517004597,4.46474417679747,0.154072093202177,0.695002026916876,0.958553967229518,0.958553967229518,"plaq_d_trio"
"33","SKI","Mic",0.0762196639967799,8.46453932877074,3.42210687631855,0.0654865812829835,0.423658619943417,0.423658619943417,"plaq_d_trio"
"34","MORN1","Mic",-0.206774759912737,3.9874438421699,3.72887652259013,0.0545885641369448,0.394619489496789,0.394619489496789,"plaq_d_trio"
"35","RER1","Mic",0.0858993223374834,5.44109265058958,2.50420541699976,0.11478306177894,0.526639201897093,0.526639201897093,"plaq_d_trio"
"36","PEX10","Mic",0.0311719781090055,3.80355121251244,0.106364726681693,0.744589095342025,0.974229438506436,0.974229438506436,"plaq_d_trio"
"37","PANK4","Mic",-0.0340423269856935,3.35833131330073,0.0865596749108317,0.768836756942867,0.97962933847867,0.97962933847867,"plaq_d_trio"
"38","TNFRSF14-AS1","Mic",0.141471952864797,3.10173919948842,1.05344203702532,0.305688979929818,0.754735819960084,0.754735819960084,"plaq_d_trio"
"39","TNFRSF14","Mic",0.056920866631199,5.02417018160403,0.711689742798743,0.399674647196762,0.822115460028386,0.822115460028386,"plaq_d_trio"
"40","TPRG1L","Mic",-0.0590940425330119,3.69044257947258,0.411293069163831,0.521890317955962,0.886046562920639,0.886046562920639,"plaq_d_trio"
"41","WRAP73","Mic",0.00912499378892877,4.37893496009131,0.0149424031372098,0.902805989170202,0.999887884994685,0.999887884994685,"plaq_d_trio"
"42","TP73","Mic",0.250820193937593,2.12252091700466,0.785614926013918,0.376265079277194,0.808977875191076,0.808977875191076,"plaq_d_trio"
"43","LRRC47","Mic",0.0152461860035321,4.22328067691087,0.0403683259352596,0.840922415932078,0.995890198657905,0.995890198657905,"plaq_d_trio"
"44","CEP104","Mic",0.0161648066209604,5.42302129938221,0.0940293659147718,0.973881113059943,0.999887884994685,0.999887884994685,"plaq_d_trio"
"45","DFFB","Mic",0.136387977618329,4.35037677503868,3.40032107897316,0.0663446020040623,0.425218928473277,0.425218928473277,"plaq_d_trio"
"46","C1orf174","Mic",0.134608350279792,3.65108500613078,1.72634975197856,0.190059343210519,0.639377319848609,0.639377319848609,"plaq_d_trio"
