"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L3-5 SST MAFB",0.101390714408671,5.67576819636001,3.38532405723252,0.0669688188532896,0.320598589419369,0.320598589419369,"plaq_n_trio"
"2","NOC2L","Inh L3-5 SST MAFB",-0.019642190342043,5.10843315579988,0.111552426047827,0.843486224815434,0.963334068684879,0.963334068684879,"plaq_n_trio"
"3","HES4","Inh L3-5 SST MAFB",-0.0839101149482556,5.2147267622286,1.32875756012969,0.250131171424221,0.592715674392441,0.592715674392441,"plaq_n_trio"
"4","ISG15","Inh L3-5 SST MAFB",-0.0466275010210679,3.83123304368821,0.117570448040844,0.731973751078505,0.911614852743394,0.911614852743394,"plaq_n_trio"
"5","C1orf159","Inh L3-5 SST MAFB",0.0443435254248681,5.51700443787259,0.603103971085776,0.438132842222981,0.74806303305667,0.74806303305667,"plaq_n_trio"
"6","SDF4","Inh L3-5 SST MAFB",0.068552753422353,5.56085200335139,1.39106242360977,0.239350809873953,0.58027959419072,0.58027959419072,"plaq_n_trio"
"7","B3GALT6","Inh L3-5 SST MAFB",0.0280528591007461,3.55811772201291,0.0391839774604762,0.843246046992338,0.963334068684879,0.963334068684879,"plaq_n_trio"
"8","UBE2J2","Inh L3-5 SST MAFB",-0.0890934734632336,5.22188212692689,1.86696562928355,0.173054950214508,0.498576027950288,0.498576027950288,"plaq_n_trio"
"9","SCNN1D","Inh L3-5 SST MAFB",-0.0452826701349958,3.91191929925609,0.151254106304754,0.697671938761179,0.895947353666675,0.895947353666675,"plaq_n_trio"
"10","ACAP3","Inh L3-5 SST MAFB",-0.00847689120431212,6.48571039668898,0.0368451764261996,0.847936965909332,0.96443025386654,0.96443025386654,"plaq_n_trio"
"11","INTS11","Inh L3-5 SST MAFB",0.046082751553767,5.58878118609959,0.77077122748442,0.380824433401639,0.708064234875296,0.708064234875296,"plaq_n_trio"
