"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 SST TH",0.090763317866253,6.04847448344709,0.671234149453513,0.414277529093556,0.933448010840991,0.933448010840991,"plaq_n_trio"
"2","HES4","Inh L5-6 SST TH",-0.111951151951246,5.96211109001449,1.11149379611889,0.293916866294105,0.886982007196879,0.886982007196879,"plaq_n_trio"
"3","C1orf159","Inh L5-6 SST TH",-0.10485492349591,6.04430938449423,1.31669072331284,0.277120449195033,0.884336598512229,0.884336598512229,"plaq_n_trio"
"4","SDF4","Inh L5-6 SST TH",0.0110792138088066,5.98123928241366,0.0109528317542949,0.91682708877821,0.999941817059121,0.999941817059121,"plaq_n_trio"
"5","ACAP3","Inh L5-6 SST TH",-0.0377058828460905,6.44687002836818,0.237951768234984,0.655694009575735,0.984064090180038,0.984064090180038,"plaq_n_trio"
"6","INTS11","Inh L5-6 SST TH",0.0385063464247088,5.84209455170087,0.175575954772945,0.718393917681772,0.993148318409702,0.993148318409702,"plaq_n_trio"
"7","CCNL2","Inh L5-6 SST TH",-0.0373403096319674,6.19610525418134,0.221610341186676,0.678814129321903,0.990373793127008,0.990373793127008,"plaq_n_trio"
"8","SSU72","Inh L5-6 SST TH",0.0321844467659157,5.86056177800225,0.103814747379813,0.75122803079964,0.996853028466336,0.996853028466336,"plaq_n_trio"
"9","GNB1","Inh L5-6 SST TH",-0.0378407696258374,7.61447210668367,0.61984980933148,0.507894737381225,0.951426123929281,0.951426123929281,"plaq_n_trio"
"10","PRKCZ","Inh L5-6 SST TH",0.0615030156185687,7.04466790319059,1.04704542962324,0.385922760490002,0.92472044932495,0.92472044932495,"plaq_n_trio"
"11","FAAP20","Inh L5-6 SST TH",-0.172682945640634,5.43596856032864,1.76047197938058,0.189967964049483,0.816297984133423,0.816297984133423,"plaq_n_trio"
"12","SKI","Inh L5-6 SST TH",0.0671802241040076,6.42660622116735,0.619437857477015,0.432838191560213,0.937961561969029,0.937961561969029,"plaq_n_trio"
"13","PLCH2","Inh L5-6 SST TH",0.0567581793033753,5.71990551024104,0.245724936398038,0.621025811647672,0.973126504283856,0.973126504283856,"plaq_n_trio"
"14","CEP104","Inh L5-6 SST TH",-0.100627210612774,6.09815918422855,1.68271018283509,0.285657735058858,0.885839580098967,0.885839580098967,"plaq_n_trio"
"15","AJAP1","Inh L5-6 SST TH",0.0439782446653754,5.20589649610613,0.0579064049293461,0.810254738054973,0.999941817059121,0.999941817059121,"plaq_n_trio"
"16","NPHP4","Inh L5-6 SST TH",0.124617619029984,6.2387574517284,2.8965480486167,0.159774824328958,0.795967424223453,0.795967424223453,"plaq_n_trio"
"17","KCNAB2","Inh L5-6 SST TH",-0.0318761069830931,6.98118952938067,0.217427827196882,0.689058958596568,0.990373793127008,0.990373793127008,"plaq_n_trio"
"18","CHD5","Inh L5-6 SST TH",-0.0322605959212032,7.56224256491475,0.376633997258898,0.540594472345079,0.957189485350828,0.957189485350828,"plaq_n_trio"
"19","RPL22","Inh L5-6 SST TH",0.0993310620632893,5.75331289480853,0.891728826621759,0.389167335659574,0.925469429397905,0.925469429397905,"plaq_n_trio"
"20","ACOT7","Inh L5-6 SST TH",-0.082037560625824,6.58535415081418,1.20995767342911,0.289163582860935,0.886982007196879,0.886982007196879,"plaq_n_trio"
"21","NOL9","Inh L5-6 SST TH",0.0792937070334094,5.76422779578632,0.690582241001394,0.4769565356055,0.948186292603763,0.948186292603763,"plaq_n_trio"
"22","DNAJC11","Inh L5-6 SST TH",0.00716872152254293,6.39929129325551,0.00777389595640182,0.929891640086176,0.999941817059121,0.999941817059121,"plaq_n_trio"
"23","CAMTA1","Inh L5-6 SST TH",0.0282628833199395,9.47031306816256,0.581304582959176,0.44732667335163,0.942026711039286,0.942026711039286,"plaq_n_trio"
"24","PER3","Inh L5-6 SST TH",0.0823365110372453,6.7988405547216,1.12392399182701,0.29124576553926,0.886982007196879,0.886982007196879,"plaq_n_trio"
"25","RERE","Inh L5-6 SST TH",0.0170389876405806,8.94086432500301,0.18965157122217,0.664004350736385,0.987171533565811,0.987171533565811,"plaq_n_trio"
"26","ENO1","Inh L5-6 SST TH",-0.0117256498895726,6.15054752938323,0.0160385482507436,0.899438746813271,0.999941817059121,0.999941817059121,"plaq_n_trio"
"27","PIK3CD","Inh L5-6 SST TH",-0.0629016299557564,6.42098345476048,0.502132652541202,0.479965668049109,0.95049712149283,0.95049712149283,"plaq_n_trio"
