"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5",0.0355463110673602,2.90923845380908,0.202373896038851,0.653198963165568,0.81671237161413,0.81671237161413,"plaq_n_trio"
"2","AL669831.5","Inh LAMP5",0.138818814959745,5.4829700326998,13.3182012885452,0.000319598289671926,0.00331228305614501,0.00331228305614501,"plaq_n_trio"
"3","NOC2L","Inh LAMP5",-0.0267109160252746,4.51856733689462,0.387938943037367,0.681689419049838,0.834275712008791,0.834275712008791,"plaq_n_trio"
"4","KLHL17","Inh LAMP5",0.0704703300319104,2.65171314993059,0.582565245046236,0.446023910700624,0.655967792822642,0.655967792822642,"plaq_n_trio"
"5","HES4","Inh LAMP5",-0.216686043871367,5.17122223255343,16.3713986082078,6.93212558688683e-05,0.000957237266174089,0.000957237266174089,"plaq_n_trio"
"6","ISG15","Inh LAMP5",-0.327930961094758,3.24690550329949,8.3040182416642,0.00429735017798435,0.0254111761132878,0.0254111761132878,"plaq_n_trio"
"7","AGRN","Inh LAMP5",0.0899680557333745,4.00453483619247,2.09610453450557,0.148920323168016,0.3274854701306,0.3274854701306,"plaq_n_trio"
"8","C1orf159","Inh LAMP5",0.0521286073425699,5.39339389047151,1.76756756079419,0.184888001675843,0.377243698360798,0.377243698360798,"plaq_n_trio"
"9","SDF4","Inh LAMP5",-0.0519293236503695,5.58835185931009,1.61574948189792,0.204859821877768,0.401477953895232,0.401477953895232,"plaq_n_trio"
"10","B3GALT6","Inh LAMP5",-0.13844337779475,3.21368987358727,4.18686592478921,0.0417782992947475,0.136441469275702,0.136441469275702,"plaq_n_trio"
"11","UBE2J2","Inh LAMP5",0.0330083444372503,5.02130195701096,0.880672245137867,0.348917944769663,0.562574244872979,0.562574244872979,"plaq_n_trio"
"12","LINC01786","Inh LAMP5",-0.0919654267419487,2.38681980042066,0.94546273100683,0.348214701258686,0.561755945127595,0.561755945127595,"plaq_n_trio"
"13","SCNN1D","Inh LAMP5",-0.0236967899495435,3.27260947872416,0.110137991297025,0.740263477300246,0.871791473590065,0.871791473590065,"plaq_n_trio"
"14","ACAP3","Inh LAMP5",0.0574978979271233,6.18732276923498,2.90264743029249,0.0896693492680195,0.232868824759797,0.232868824759797,"plaq_n_trio"
"15","PUSL1","Inh LAMP5",-0.120368452989281,1.96399910804518,1.0560713931722,0.30510022019989,0.519375602492972,0.519375602492972,"plaq_n_trio"
"16","INTS11","Inh LAMP5",-0.0233348638380444,5.40825021445566,0.460349100475619,0.498084661295369,0.699515605413568,0.699515605413568,"plaq_n_trio"
"17","CPTP","Inh LAMP5",-0.0298222543299571,3.04810880110318,0.141941379961681,0.706676252674055,0.850591247148183,0.850591247148183,"plaq_n_trio"
"18","DVL1","Inh LAMP5",-0.0610339366714388,4.25410073293225,1.49432046754655,0.222691644539154,0.423883079435965,0.423883079435965,"plaq_n_trio"
"19","AURKAIP1","Inh LAMP5",-0.310721378803247,4.13190372484915,34.0390515175558,1.65549705773836e-08,1.04958513460612e-06,1.04958513460612e-06,"plaq_n_trio"
"20","CCNL2","Inh LAMP5",-0.0180342751943937,6.00805799187954,0.4385904889907,0.508409923736208,0.707475284657065,0.707475284657065,"plaq_n_trio"
"21","MRPL20","Inh LAMP5",-0.185922545513799,4.6899914998278,21.2930261568339,6.2855731031086e-06,0.000138873071196257,0.000138873071196257,"plaq_n_trio"
"22","ANKRD65","Inh LAMP5",-0.321097383536725,1.65593424308742,4.78984029991524,0.0295480967677379,0.106536273316444,0.106536273316444,"plaq_n_trio"
"23","VWA1","Inh LAMP5",-0.126972828370557,2.64052624602062,2.43947580227369,0.11957312199446,0.282205520403742,0.282205520403742,"plaq_n_trio"
"24","ATAD3C","Inh LAMP5",0.386739133489444,1.79791411237419,7.49247228577144,0.00663794972597009,0.0350832123610351,0.0350832123610351,"plaq_n_trio"
"25","ATAD3B","Inh LAMP5",-0.0862382905025,4.36982643782334,3.40258669114869,0.0699448980122927,0.194910969323862,0.194910969323862,"plaq_n_trio"
"26","ATAD3A","Inh LAMP5",-0.0553692605472261,3.73392399147523,1.02730126777276,0.311767417121391,0.526606333425706,0.526606333425706,"plaq_n_trio"
"27","TMEM240","Inh LAMP5",-0.0699090534035626,2.36209225554816,0.467702208675004,0.494675765406426,0.696444294696639,0.696444294696639,"plaq_n_trio"
"28","SSU72","Inh LAMP5",-0.136583441984316,5.34870655910467,14.5359090245446,0.000173027078574669,0.00199768872507983,0.00199768872507983,"plaq_n_trio"
"29","AL645728.1","Inh LAMP5",-0.0212138903224027,2.15493130747732,0.0359681255751857,0.849734298661498,0.939452774841273,0.939452774841273,"plaq_n_trio"
"30","FNDC10","Inh LAMP5",-0.124704462784125,3.80384463038696,4.5059558094618,0.0347541904754773,0.119694285666842,0.119694285666842,"plaq_n_trio"
"31","AL691432.2","Inh LAMP5",-0.169101149406883,2.9419896848241,4.74962243903622,0.0302328697897696,0.108158907574686,0.108158907574686,"plaq_n_trio"
"32","MIB2","Inh LAMP5",-0.136930734672314,4.94565769346584,10.4848449317841,0.00136546924892831,0.010585471870214,0.010585471870214,"plaq_n_trio"
"33","MMP23B","Inh LAMP5",0.0486080413190277,3.05931676550321,0.43676229578108,0.509294202217839,0.708111279708052,0.708111279708052,"plaq_n_trio"
"34","CDK11B","Inh LAMP5",-0.0299270930393462,4.76072663290912,0.477825829566136,0.490046310334681,0.692091859544227,0.692091859544227,"plaq_n_trio"
"35","SLC35E2B","Inh LAMP5",0.0431524824812707,4.98371336326039,0.956753739825601,0.328946025046415,0.5427271995131,0.5427271995131,"plaq_n_trio"
"36","CDK11A","Inh LAMP5",-0.0405782087637313,4.02772458677246,0.345009104590737,0.557478978983279,0.747084965726652,0.747084965726652,"plaq_n_trio"
"37","SLC35E2A","Inh LAMP5",0.020259780722133,4.88368221795319,0.160642405884393,0.688906027424672,0.839222568626732,0.839222568626732,"plaq_n_trio"
"38","NADK","Inh LAMP5",0.0612956169252876,4.4136599315334,1.92500729593647,0.166533815579945,0.353169880568173,0.353169880568173,"plaq_n_trio"
"39","GNB1","Inh LAMP5",0.0245888297715072,7.85904372427557,1.8588112662833,0.173981216848913,0.363656060142625,0.363656060142625,"plaq_n_trio"
"40","TMEM52","Inh LAMP5",-0.026675249628839,1.81413312745968,0.0431037599467243,0.835698027631655,0.932019016361361,0.932019016361361,"plaq_n_trio"
"41","CFAP74","Inh LAMP5",-0.0176389909741936,3.19210334613059,0.0439072569673007,0.834195884039328,0.930809142625176,0.930809142625176,"plaq_n_trio"
"42","GABRD","Inh LAMP5",-0.16488353070724,6.44788657908703,20.9805858131002,7.30539267660099e-06,0.000157584668654136,0.000157584668654136,"plaq_n_trio"
"43","PRKCZ","Inh LAMP5",-0.00255962453599919,6.77681636986434,0.0112113186573112,0.915759174159528,0.971256311622457,0.971256311622457,"plaq_n_trio"
"44","FAAP20","Inh LAMP5",0.0108559722258775,4.72935614383708,0.0766357370369428,0.899252780573512,0.965106649468091,0.965106649468091,"plaq_n_trio"
"45","SKI","Inh LAMP5",0.153019590586691,6.52177655533501,32.4466795674436,3.41181290661774e-08,1.9208901854942e-06,1.9208901854942e-06,"plaq_n_trio"
"46","MORN1","Inh LAMP5",-0.0811060133772029,3.88085492661859,2.50674960917748,0.114616131569894,0.27421368835967,0.27421368835967,"plaq_n_trio"
"47","RER1","Inh LAMP5",-0.0886422927291129,4.76507530485395,6.18484086802244,0.0298329783242094,0.107175286997689,0.107175286997689,"plaq_n_trio"
"48","PEX10","Inh LAMP5",-0.157490814035091,3.37914847647427,5.80565585206185,0.0166937746541548,0.0702535705647575,0.0702535705647575,"plaq_n_trio"
