"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SORCS1 TTN",-0.00267123454593103,5.88130032042873,0.000884891016107602,0.976297390459593,0.999844974275615,0.999844974275615,"plaq_n_trio"
"2","C1orf159","Inh SORCS1 TTN",-0.0471519142907455,6.35663434633434,0.411411252222177,0.521963540650137,0.943917871131199,0.943917871131199,"plaq_n_trio"
"3","SDF4","Inh SORCS1 TTN",-0.146549674305825,6.07042511568776,3.00831997794394,0.0843265290603393,0.664998882229298,0.664998882229298,"plaq_n_trio"
"4","UBE2J2","Inh SORCS1 TTN",-0.0754562295295548,5.67742731075098,0.675437217180741,0.428341750903012,0.908550044899591,0.908550044899591,"plaq_n_trio"
"5","ACAP3","Inh SORCS1 TTN",-0.0404663749058154,6.7253082579964,0.435511080197038,0.510030567921288,0.941567128065335,0.941567128065335,"plaq_n_trio"
"6","INTS11","Inh SORCS1 TTN",-0.0152376589133995,5.91880724467421,0.0312395922373951,0.859879707011471,0.999844974275615,0.999844974275615,"plaq_n_trio"
"7","CCNL2","Inh SORCS1 TTN",0.123558391962527,6.50712067126944,2.93070731616208,0.0884068706924853,0.665975624363267,0.665975624363267,"plaq_n_trio"
"8","SSU72","Inh SORCS1 TTN",0.12031778633455,5.72653853109214,1.57868547936424,0.210366025672904,0.822629513799315,0.822629513799315,"plaq_n_trio"
"9","MIB2","Inh SORCS1 TTN",0.0520388429622828,5.6917166326016,0.301543969603699,0.646760246099516,0.976672505974081,0.976672505974081,"plaq_n_trio"
"10","CDK11B","Inh SORCS1 TTN",0.195575176998353,5.49728410524831,3.77815979464369,0.0532810846735418,0.598074389142092,0.598074389142092,"plaq_n_trio"
"11","NADK","Inh SORCS1 TTN",-0.0571180872573123,5.18639243767386,0.199679280991831,0.655446946467344,0.979564112595894,0.979564112595894,"plaq_n_trio"
