"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh VIP",-0.0557803023748791,2.70563427118614,0.577612535933934,0.44794692182206,0.673927204402942,0.673927204402942,"plaq_n_trio"
"2","AL669831.5","Inh VIP",0.0959429458456913,5.31401463063901,9.08596064686769,0.00283368921291461,0.0215877249249677,0.0215877249249677,"plaq_n_trio"
"3","SAMD11","Inh VIP",-0.105454592542273,0.573158348680439,0.375016100503221,0.54082462436312,0.748553516302093,0.748553516302093,"plaq_n_trio"
"4","NOC2L","Inh VIP",0.0094331826830308,4.64124098907475,0.0827051748628243,0.773896346243405,0.908059501913187,0.908059501913187,"plaq_n_trio"
"5","KLHL17","Inh VIP",0.0646335776817157,2.85374576520784,0.78929113703016,0.375146068838609,0.604890680312714,0.604890680312714,"plaq_n_trio"
"6","HES4","Inh VIP",-0.100023598947561,4.47105545049438,4.02329662130509,0.0459249654796007,0.154787246789822,0.154787246789822,"plaq_n_trio"
"7","ISG15","Inh VIP",-0.171975145681219,2.89659509718388,4.22669629632246,0.0408039153985262,0.142167991127584,0.142167991127584,"plaq_n_trio"
"8","AGRN","Inh VIP",0.0198840231365544,3.2631869073189,0.128313039245379,0.720481907527281,0.876994722354472,0.876994722354472,"plaq_n_trio"
"9","C1orf159","Inh VIP",0.0597051806547381,5.45994010191964,2.79863405454428,0.0955625709278655,0.25539173899259,0.25539173899259,"plaq_n_trio"
"10","SDF4","Inh VIP",-0.000185791834900457,5.57226307418319,2.8810412039775e-05,0.995721516646352,0.999732760361093,0.999732760361093,"plaq_n_trio"
"11","B3GALT6","Inh VIP",-0.0759911514497852,3.24743825623175,1.79702144972073,0.181257873108177,0.384464670751209,0.384464670751209,"plaq_n_trio"
"12","UBE2J2","Inh VIP",0.0188676276336716,5.11591077262038,0.480042205097826,0.489029387774611,0.707018354363373,0.707018354363373,"plaq_n_trio"
"13","LINC01786","Inh VIP",0.00259186816462776,2.1127885751177,0.000938564181047275,0.9755836356198,0.993331298230304,0.993331298230304,"plaq_n_trio"
