"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.122256871635823,3.09261135361295,2.55720991181185,0.111112854368588,0.278413137891525,0.278413137891525,"tangles_trio"
"2","AL669831.5","Exc L6b",-0.0254401504721843,5.79708879810701,0.463990340406364,0.496424188876877,0.701594782177174,0.701594782177174,"tangles_trio"
"3","LINC00115","Exc L6b",-0.0057792836732748,1.40713105568836,0.00248870333936667,0.960254163745102,0.989992757093398,0.989992757093398,"tangles_trio"
"4","NOC2L","Exc L6b",0.0551243869987213,4.86382755149644,2.4030785018198,0.15650618583302,0.347449374106017,0.347449374106017,"tangles_trio"
"5","KLHL17","Exc L6b",0.225292771988014,2.98583995692841,8.64195391419663,0.00360704778370639,0.0249722591526764,0.0249722591526764,"tangles_trio"
"6","HES4","Exc L6b",-0.444529432564196,3.83688701510251,26.2727405748385,6.11610765617325e-07,3.02348452394304e-05,3.02348452394304e-05,"tangles_trio"
"7","ISG15","Exc L6b",-0.0844971989971037,1.63201918420153,0.281878494880079,0.595965467157447,0.777158434722061,0.777158434722061,"tangles_trio"
"8","AGRN","Exc L6b",-0.00507020553793493,4.81853493923163,0.0101391951133293,0.919878104447928,0.974116511093625,0.974116511093625,"tangles_trio"
"9","C1orf159","Exc L6b",-0.0627368611084809,5.89453239571275,4.28845456336825,0.0394454341234416,0.138621721773321,0.138621721773321,"tangles_trio"
"10","SDF4","Exc L6b",-0.0448628650304776,5.23440011975129,1.14737195976946,0.285180084923351,0.508078378330624,0.508078378330624,"tangles_trio"
"11","B3GALT6","Exc L6b",-0.0219937481225736,3.00849786070488,0.0987167093846428,0.796002396640068,0.908709338878657,0.908709338878657,"tangles_trio"
"12","UBE2J2","Exc L6b",0.0755459465785136,4.9093338225524,4.99756976766184,0.02630681714342,0.104028958125202,0.104028958125202,"tangles_trio"
"13","LINC01786","Exc L6b",-0.177452865836957,2.19287713414821,3.03333677544046,0.0922206667595397,0.247037014959933,0.247037014959933,"tangles_trio"
"14","SCNN1D","Exc L6b",-0.145119332455834,2.93927884263812,3.73371966555535,0.0545059810677169,0.172347028447586,0.172347028447586,"tangles_trio"
"15","ACAP3","Exc L6b",-0.0172437794431716,6.64417096668585,0.331397527490407,0.565378770662948,0.755404673041426,0.755404673041426,"tangles_trio"
"16","PUSL1","Exc L6b",0.000247930621685908,1.88163170954437,0.000357915933729352,0.984921767464468,0.995769195268759,0.995769195268759,"tangles_trio"
"17","INTS11","Exc L6b",0.0778502035505434,5.19011698925429,5.56157541786541,0.0191648541608332,0.0834390896469149,0.0834390896469149,"tangles_trio"
"18","CPTP","Exc L6b",0.0617708831985738,3.08854818558475,0.8102495684623,0.36895224508108,0.590076080344455,0.590076080344455,"tangles_trio"
"19","DVL1","Exc L6b",0.161013612049658,4.36050551178873,13.8247993368852,0.000250030873933908,0.00350303919205412,0.00350303919205412,"tangles_trio"
"20","AURKAIP1","Exc L6b",-0.113039013201178,4.05728755921284,4.41290686870952,0.0367156356050802,0.131750854918786,0.131750854918786,"tangles_trio"
"21","CCNL2","Exc L6b",0.0292419502595259,5.76427029147075,0.989398689387093,0.466117440933273,0.677251734437699,0.677251734437699,"tangles_trio"
"22","MRPL20","Exc L6b",-0.0720399994611654,4.58885080918755,3.11311574104055,0.0789411918202413,0.22229562893789,0.22229562893789,"tangles_trio"
"23","ANKRD65","Exc L6b",-0.162181048876992,1.77689661099745,1.56488514418501,0.212174146146049,0.422098345716286,0.422098345716286,"tangles_trio"
"24","ATAD3B","Exc L6b",-0.129338509462165,4.21814123950048,7.03119212635292,0.00854592749111373,0.0470630977072101,0.0470630977072101,"tangles_trio"
"25","ATAD3A","Exc L6b",-0.086628239897688,4.14384569564367,3.24507691257123,0.0728982307001174,0.210574310724728,0.210574310724728,"tangles_trio"
"26","TMEM240","Exc L6b",-0.0411175324937767,2.33608204027984,0.160501905693155,0.68905261712526,0.840961665735982,0.840961665735982,"tangles_trio"
"27","SSU72","Exc L6b",0.102210136609968,5.35880748201788,9.72406090205826,0.00204169629001279,0.0166539411649154,0.0166539411649154,"tangles_trio"
"28","AL645728.1","Exc L6b",0.100878634837531,2.11272950364069,0.791979879376512,0.374396728077695,0.594853643478497,0.594853643478497,"tangles_trio"
"29","FNDC10","Exc L6b",0.038322751475259,3.14658080027901,0.267066418755567,0.605784176143447,0.784100039390016,0.784100039390016,"tangles_trio"
"30","AL691432.2","Exc L6b",-0.120685209402485,3.17141894438752,3.57771794051705,0.0597682775232945,0.183399400056428,0.183399400056428,"tangles_trio"
"31","MIB2","Exc L6b",0.0231465948934667,5.23102189686833,0.366920463231747,0.545262295503641,0.74101622913598,0.74101622913598,"tangles_trio"
"32","MMP23B","Exc L6b",0.34780743531412,1.81912914219539,8.46751800302282,0.00395646715021887,0.0266790788993545,0.0266790788993545,"tangles_trio"
"33","CDK11B","Exc L6b",0.00287582659944037,4.84617892456854,0.00369412588745662,0.951585735346717,0.987252667520167,0.987252667520167,"tangles_trio"
"34","SLC35E2B","Exc L6b",-0.0959453480054081,4.65880666696247,4.19373824592474,0.0416662858695857,0.143995644479389,0.143995644479389,"tangles_trio"
"35","CDK11A","Exc L6b",0.182216664599037,3.9746202483458,7.92030209149854,0.00529536010781681,0.0331936886147753,0.0331936886147753,"tangles_trio"
"36","SLC35E2A","Exc L6b",-0.085612813813403,4.56577648469446,2.60964818714899,0.107534160664032,0.273009692335118,0.273009692335118,"tangles_trio"
"37","NADK","Exc L6b",-0.0451384070160218,4.13484621123697,1.00960571265332,0.320115693340128,0.544452578996232,0.544452578996232,"tangles_trio"
"38","GNB1","Exc L6b",0.0139548205780984,7.60126817795478,0.651547845271386,0.420362116445327,0.636811770337027,0.636811770337027,"tangles_trio"
