"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1-2 PAX6 SCGN",-0.24676395324122,5.96814820469254,0.049886267676603,0.823454665554255,1,1,"tangles_trio"
"2","HES4","Inh L1-2 PAX6 SCGN",0.204125156628509,6.97146057610859,0.123190094744742,0.725913379580631,1,1,"tangles_trio"
"3","C1orf159","Inh L1-2 PAX6 SCGN",-0.312398647535253,6.50163067125863,0.171912151783888,0.678794928193191,1,1,"tangles_trio"
"4","ACAP3","Inh L1-2 PAX6 SCGN",-0.892473842751323,6.68753910624199,2.07972928256383,0.150593499007613,0.908091479948856,0.908091479948856,"tangles_trio"
"5","CCNL2","Inh L1-2 PAX6 SCGN",0.340053049398284,6.40608477975819,0.196954346685787,0.657597481897254,1,1,"tangles_trio"
"6","GNB1","Inh L1-2 PAX6 SCGN",-0.419216778752555,8.08694387936719,1.23600238567406,0.267375103074687,0.940550944455122,0.940550944455122,"tangles_trio"
"7","PRKCZ","Inh L1-2 PAX6 SCGN",-0.0423317979842768,7.00639122822341,0.00456600202302388,0.946183447420761,1,1,"tangles_trio"
"8","SKI","Inh L1-2 PAX6 SCGN",-0.445726599835626,6.81957393375367,0.542284005380951,0.462219662622637,0.9880605976495,0.9880605976495,"tangles_trio"
"9","AJAP1","Inh L1-2 PAX6 SCGN",0.221813825876157,6.99910607226449,0.211627259414355,0.645918845682082,1,1,"tangles_trio"
"10","KCNAB2","Inh L1-2 PAX6 SCGN",-0.459688202415998,6.70302303932843,0.587712411334099,0.444071894387665,0.98291378858877,0.98291378858877,"tangles_trio"
"11","CHD5","Inh L1-2 PAX6 SCGN",0.0380124933562036,7.72886228642638,0.00857048718908985,0.926318279806599,1,1,"tangles_trio"
"12","ACOT7","Inh L1-2 PAX6 SCGN",0.3140405191971,7.13980759673721,0.387541584622113,0.534196021716263,0.996742909162416,0.996742909162416,"tangles_trio"
"13","CAMTA1","Inh L1-2 PAX6 SCGN",-0.161042674687755,9.66006109707162,0.432383035856219,0.511463295405316,0.991936460043148,0.991936460043148,"tangles_trio"
"14","PER3","Inh L1-2 PAX6 SCGN",-0.566095011083169,7.32685543536321,1.77919618654614,0.183860539032654,0.92391682080912,0.92391682080912,"tangles_trio"
"15","RERE","Inh L1-2 PAX6 SCGN",0.022561222372062,9.41197512425295,0.00813986479050327,0.928188026340161,1,1,"tangles_trio"
"16","ENO1","Inh L1-2 PAX6 SCGN",-0.131014598637529,6.52973123936156,0.0277967350703993,0.867730468539194,1,1,"tangles_trio"
"17","CLSTN1","Inh L1-2 PAX6 SCGN",-0.206648091290384,8.52397636952312,0.405024701433738,0.525122908805262,0.996742909162416,0.996742909162416,"tangles_trio"
"18","UBE4B","Inh L1-2 PAX6 SCGN",0.517943185669504,7.92312110564799,1.61491880390527,0.20505401821865,0.940550944455122,0.940550944455122,"tangles_trio"
"19","KIF1B","Inh L1-2 PAX6 SCGN",-0.22961779893482,9.0976563015661,0.645196960719838,0.422644058505106,0.982899202329376,0.982899202329376,"tangles_trio"
"20","PEX14","Inh L1-2 PAX6 SCGN",-0.275237333086288,6.7022279306673,0.201720859283497,0.653747897552185,1,1,"tangles_trio"
"21","EXOSC10","Inh L1-2 PAX6 SCGN",0.948191076875095,6.12604872507186,0.773980996986454,0.379884000317178,0.980628216427725,0.980628216427725,"tangles_trio"
"22","MTOR","Inh L1-2 PAX6 SCGN",-0.109429376213934,6.70439357808035,0.0306789903401926,0.861108784786805,1,1,"tangles_trio"
"23","FBXO2","Inh L1-2 PAX6 SCGN",0.62160281283117,6.14699367888785,0.370876731782864,0.54311302288513,0.996742909162416,0.996742909162416,"tangles_trio"
"24","FBXO44","Inh L1-2 PAX6 SCGN",0.106858685801759,6.73075823090034,0.0201939378743863,0.887118111979115,1,1,"tangles_trio"
"25","VPS13D","Inh L1-2 PAX6 SCGN",-0.0844861480520161,8.44558222541948,0.0728657048200072,0.787445205626748,1,1,"tangles_trio"
"26","PRDM2","Inh L1-2 PAX6 SCGN",0.147309351897769,7.04167718330268,0.0737409966525124,0.786203381821368,1,1,"tangles_trio"
"27","KAZN","Inh L1-2 PAX6 SCGN",-0.0361706959310993,12.2305895269081,0.0383901105937124,0.844830611781354,1,1,"tangles_trio"
"28","SPEN","Inh L1-2 PAX6 SCGN",-0.233358192416216,6.92335353864976,0.186684913834025,0.666085009575502,1,1,"tangles_trio"
"29","FBXO42","Inh L1-2 PAX6 SCGN",0.0718965287683529,7.31325641751052,0.0306168567306112,0.862435486401024,1,1,"tangles_trio"
"30","NBPF1","Inh L1-2 PAX6 SCGN",1.57673702675238,6.49424057957971,4.35095442082348,0.038063502600504,0.735197611289952,0.735197611289952,"tangles_trio"
"31","CROCC","Inh L1-2 PAX6 SCGN",1.42330427822702,6.85086295947101,6.22094353960927,0.0133108448738218,0.54396759329497,0.54396759329497,"tangles_trio"
"32","ATP13A2","Inh L1-2 PAX6 SCGN",-0.0891571090178914,7.30676869898138,0.0366613089606119,0.84832102921638,1,1,"tangles_trio"
"33","UBR4","Inh L1-2 PAX6 SCGN",0.0495297043439829,7.07928590725746,0.00881939872989623,0.925259083585553,1,1,"tangles_trio"
"34","CAPZB","Inh L1-2 PAX6 SCGN",0.982946570370094,7.46422471332341,4.15683549445101,0.0425823518936095,0.743149171137892,0.743149171137892,"tangles_trio"
"35","CAMK2N1","Inh L1-2 PAX6 SCGN",0.71103813581759,7.83027061282974,3.03080595583542,0.0830017511867145,0.814122122849671,0.814122122849671,"tangles_trio"
"36","HP1BP3","Inh L1-2 PAX6 SCGN",0.348858378257715,7.57322806846992,0.593047696737488,0.443477263363729,0.982899202329376,0.982899202329376,"tangles_trio"
"37","EIF4G3","Inh L1-2 PAX6 SCGN",-0.325217098727281,9.34449495262961,1.58783258964659,0.208881684756396,0.940550944455122,0.940550944455122,"tangles_trio"
"38","ECE1","Inh L1-2 PAX6 SCGN",0.756856162329733,6.58078863546482,1.53032638010279,0.217294015800112,0.940550944455122,0.940550944455122,"tangles_trio"
"39","RAP1GAP","Inh L1-2 PAX6 SCGN",0.428543969119289,7.19245045291133,0.61024964018501,0.436392534794615,0.982899202329376,0.982899202329376,"tangles_trio"
"40","USP48","Inh L1-2 PAX6 SCGN",-0.14205973460855,7.18704835807742,0.105336526664176,0.747606469819451,1,1,"tangles_trio"
"41","CDC42","Inh L1-2 PAX6 SCGN",0.631962065669557,7.22367152719091,1.83697805916683,0.178832194791271,0.916093499808428,0.916093499808428,"tangles_trio"
"42","EPHB2","Inh L1-2 PAX6 SCGN",0.044168701831896,6.61675030385169,0.00388657177878324,0.950342994153918,1,1,"tangles_trio"
"43","KDM1A","Inh L1-2 PAX6 SCGN",0.524361747901849,6.88567260681283,0.674482650019222,0.412322644966599,0.982899202329376,0.982899202329376,"tangles_trio"
"44","LUZP1","Inh L1-2 PAX6 SCGN",-0.774438437988363,6.74546136566851,1.39313859931856,0.239065059674505,0.940550944455122,0.940550944455122,"tangles_trio"
