"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP ABI3BP",0.0203609864673151,5.44801839277199,0.0920500778283012,0.761861785788908,0.947613670621922,0.947613670621922,"tangles_trio"
"2","NOC2L","Inh VIP ABI3BP",-0.0999624848498056,4.80250252393551,2.12040013218711,0.168208056721711,0.535766030182607,0.535766030182607,"tangles_trio"
"3","HES4","Inh VIP ABI3BP",-0.387774907758722,4.55986780752842,15.227501999508,0.000125269116848192,0.0100629569298052,0.0100629569298052,"tangles_trio"
"4","C1orf159","Inh VIP ABI3BP",-0.101453317660745,5.40652529783027,2.48273057015712,0.116479820525289,0.461445333378293,0.461445333378293,"tangles_trio"
"5","SDF4","Inh VIP ABI3BP",-0.0508383357067809,5.80095037684149,0.7185121886085,0.397515572312875,0.758312241723253,0.758312241723253,"tangles_trio"
"6","B3GALT6","Inh VIP ABI3BP",-0.0338408376889036,4.01233451862431,0.094846240162515,0.758383617336068,0.945812504636839,0.945812504636839,"tangles_trio"
"7","UBE2J2","Inh VIP ABI3BP",0.0827388676132764,5.2698951781244,2.32719999847648,0.171538141545831,0.541481069664701,0.541481069664701,"tangles_trio"
"8","ACAP3","Inh VIP ABI3BP",0.0734690580192624,6.30750096474073,3.05603832255052,0.0959669609040822,0.424638047966832,0.424638047966832,"tangles_trio"
"9","INTS11","Inh VIP ABI3BP",0.0682490735187319,5.52012090156123,1.53937799592287,0.215977337329142,0.595668410558572,0.595668410558572,"tangles_trio"
"10","DVL1","Inh VIP ABI3BP",0.0247076561306875,4.64622779702206,0.101083820538737,0.753890904045996,0.94385252494341,0.94385252494341,"tangles_trio"
"11","AURKAIP1","Inh VIP ABI3BP",-0.0150895347508893,4.34230384591044,0.0217739631573042,0.882819563231626,0.983148996313568,0.983148996313568,"tangles_trio"
"12","CCNL2","Inh VIP ABI3BP",-0.0275781975699659,6.30332644382954,0.436439692963349,0.509508506666202,0.826344040100082,0.826344040100082,"tangles_trio"
"13","MRPL20","Inh VIP ABI3BP",-0.0690853650230384,4.86918083655356,0.986521783676286,0.357293034250199,0.729008873347669,0.729008873347669,"tangles_trio"
"14","ATAD3B","Inh VIP ABI3BP",-0.146979708799448,4.4926403379572,2.78945299907244,0.0962499684194992,0.425267292254539,0.425267292254539,"tangles_trio"
"15","SSU72","Inh VIP ABI3BP",0.0603112179620612,5.49099462584999,1.07335545620657,0.301279229939097,0.68281354574066,0.68281354574066,"tangles_trio"
"16","FNDC10","Inh VIP ABI3BP",-0.14391627090599,4.30829207186303,2.103630783854,0.148315246653047,0.510408690384237,0.510408690384237,"tangles_trio"
"17","MIB2","Inh VIP ABI3BP",-0.136936037143122,5.2256625744204,4.3592724288561,0.037911220544411,0.281902530607931,0.281902530607931,"tangles_trio"
"18","CDK11B","Inh VIP ABI3BP",0.0353658178653209,5.02268655915244,0.250033187168907,0.617530850754978,0.885087066507767,0.885087066507767,"tangles_trio"
"19","SLC35E2B","Inh VIP ABI3BP",-0.00582303566324609,5.11390187218852,0.00703839908766798,0.933212920473663,0.996091465425127,0.996091465425127,"tangles_trio"
"20","CDK11A","Inh VIP ABI3BP",0.260270467116575,4.51925185287264,7.70938778946079,0.00594709979997443,0.11017455809724,0.11017455809724,"tangles_trio"
"21","SLC35E2A","Inh VIP ABI3BP",-0.0513918609914568,5.05039985805755,0.492976334883638,0.483314145714708,0.812987784761986,0.812987784761986,"tangles_trio"
