"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB GABRG1",0.0638197323054824,3.39895695776482,0.221039246275147,0.639316236990365,0.979705316009712,0.979705316009712,"four_group_var"
"2","AL669831.5","Exc L4-5 RORB GABRG1",0.0236749971486993,6.22197158085254,0.227475207191307,0.634486932748826,0.978736305689457,0.978736305689457,"four_group_var"
"3","LINC00115","Exc L4-5 RORB GABRG1",0.200075610262582,1.03439130441928,0.632159981319615,0.428526817257543,0.907876697591515,0.907876697591515,"four_group_var"
"4","NOC2L","Exc L4-5 RORB GABRG1",-0.0665048193696989,4.82065774277908,1.511995136825,0.221842013011102,0.79102949365056,0.79102949365056,"four_group_var"
"5","KLHL17","Exc L4-5 RORB GABRG1",0.111639206011574,2.99092786746304,0.945140628172793,0.333404146985492,0.859789732460977,0.859789732460977,"four_group_var"
"6","HES4","Exc L4-5 RORB GABRG1",-0.23367676358635,3.69172257144058,1.41115320646748,0.237797723152627,0.803252426725882,0.803252426725882,"four_group_var"
"7","ISG15","Exc L4-5 RORB GABRG1",-0.133454963521576,1.37281395006009,0.273790378273315,0.602006928493998,0.96906804505597,0.96906804505597,"four_group_var"
"8","AGRN","Exc L4-5 RORB GABRG1",-0.120772962678055,4.91532545909311,1.9585289264631,0.164895929897438,0.743168330009044,0.743168330009044,"four_group_var"
"9","C1orf159","Exc L4-5 RORB GABRG1",-0.128012814208527,5.46824821798748,6.23756614079198,0.0142095416206791,0.44893566776829,0.44893566776829,"four_group_var"
"10","TNFRSF18","Exc L4-5 RORB GABRG1",-0.275826398934249,1.48181578413399,1.79918551175854,0.182977787934025,0.757541480519609,0.757541480519609,"four_group_var"
"11","TNFRSF4","Exc L4-5 RORB GABRG1",-0.0665706467432071,2.09099890974333,0.0999787007133861,0.752542120957644,0.999770495398115,0.999770495398115,"four_group_var"
"12","SDF4","Exc L4-5 RORB GABRG1",-0.0938524447357964,5.14343761908717,2.19573661646134,0.141670308252254,0.7165257938206,0.7165257938206,"four_group_var"
"13","B3GALT6","Exc L4-5 RORB GABRG1",0.0925772626543092,2.73245130136773,0.728236409980728,0.395581112208176,0.895251319229374,0.895251319229374,"four_group_var"
"14","UBE2J2","Exc L4-5 RORB GABRG1",0.00463223997342368,4.88973567315767,0.00668878256381707,0.934988090855135,0.999770495398115,0.999770495398115,"four_group_var"
"15","LINC01786","Exc L4-5 RORB GABRG1",-0.0235727468244509,2.28303001891002,0.0269039276734802,0.870057191871126,0.999770495398115,0.999770495398115,"four_group_var"
"16","SCNN1D","Exc L4-5 RORB GABRG1",-0.136892701982998,3.19713775362937,1.41590789724737,0.237014532774042,0.803252426725882,0.803252426725882,"four_group_var"
"17","ACAP3","Exc L4-5 RORB GABRG1",0.0502681398674112,6.50673960419891,1.15546679014595,0.285103740023353,0.836553012331701,0.836553012331701,"four_group_var"
"18","PUSL1","Exc L4-5 RORB GABRG1",0.0882779126914827,1.97460675038827,0.393144727560952,0.532140384360052,0.946298118998814,0.946298118998814,"four_group_var"
"19","INTS11","Exc L4-5 RORB GABRG1",-0.0464091499739806,5.31280172360467,0.719666675636569,0.398364974417246,0.896543468024017,0.896543468024017,"four_group_var"
"20","CPTP","Exc L4-5 RORB GABRG1",-0.00830410556717984,2.71260499638055,0.00791787145523543,0.929281375526936,0.999770495398115,0.999770495398115,"four_group_var"
"21","DVL1","Exc L4-5 RORB GABRG1",0.0904495933433516,4.45330739860318,2.06523901840745,0.153944803371098,0.737573040767754,0.737573040767754,"four_group_var"
"22","AURKAIP1","Exc L4-5 RORB GABRG1",-0.107876936113474,4.40600286229291,2.73351178093675,0.101531851687905,0.668246635272067,0.668246635272067,"four_group_var"
"23","CCNL2","Exc L4-5 RORB GABRG1",-0.0291904689100432,6.08650358489119,0.589052849914845,0.44467046733415,0.913614467728353,0.913614467728353,"four_group_var"
"24","MRPL20","Exc L4-5 RORB GABRG1",0.0433627893224871,4.64622324046492,0.454668600315965,0.501747800057493,0.936827339593684,0.936827339593684,"four_group_var"
