"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",0.214223266135888,3.77800331131822,3.68938755037107,0.0567247071911871,0.322310457122862,0.322310457122862,"four_group_var"
"2","AL669831.5","Exc L5-6 RORB LINC02196",0.0868042024044612,6.17131401406361,3.00732211497232,0.0850169607501162,0.390422122338112,0.390422122338112,"four_group_var"
"3","NOC2L","Exc L5-6 RORB LINC02196",-0.0474831995502511,5.0323911759233,0.744588065189276,0.38962178024434,0.741980483443663,0.741980483443663,"four_group_var"
"4","KLHL17","Exc L5-6 RORB LINC02196",-0.00933590308753464,3.33229125632147,0.00608201722869285,0.937945807611584,0.996706279864425,0.996706279864425,"four_group_var"
"5","HES4","Exc L5-6 RORB LINC02196",-0.551915253473995,4.75287410028219,36.6062463960206,1.17603074014394e-08,2.59817331321991e-05,2.59817331321991e-05,"four_group_var"
"6","ISG15","Exc L5-6 RORB LINC02196",-0.272034930860043,2.68267349092699,2.27258107368703,0.133858684206928,0.48004967549774,0.48004967549774,"four_group_var"
"7","AGRN","Exc L5-6 RORB LINC02196",-0.108313451894355,4.58212087848017,1.6671661153794,0.198695647290602,0.564943653144445,0.564943653144445,"four_group_var"
"8","C1orf159","Exc L5-6 RORB LINC02196",-0.0323797290242529,5.51843226370854,0.44075636666349,0.507813124585366,0.823582701881222,0.823582701881222,"four_group_var"
"9","SDF4","Exc L5-6 RORB LINC02196",-0.0834221585997543,5.25938983874828,2.43485021399344,0.120847767114815,0.456661857289682,0.456661857289682,"four_group_var"
"10","B3GALT6","Exc L5-6 RORB LINC02196",0.0479586462188802,3.15745752185681,0.185935504246041,0.666962359917388,0.904927844468889,0.904927844468889,"four_group_var"
"11","UBE2J2","Exc L5-6 RORB LINC02196",0.0404794639347696,4.91430825724426,0.451341027548128,0.502769073297659,0.82044873958169,0.82044873958169,"four_group_var"
"12","LINC01786","Exc L5-6 RORB LINC02196",-0.152831730645395,2.73089288023027,1.11644281200552,0.292445026029961,0.664711656899102,0.664711656899102,"four_group_var"
