"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",-0.26683502765598,3.78617240209901,5.01773439965271,0.0268530185559737,0.418653621344721,0.418653621344721,"four_group_var"
"2","AL669831.5","Exc L5-6 RORB LINC02196",0.000297279765125713,6.14279189973118,3.12071063832441e-05,0.995551667433364,0.999856033640019,0.999856033640019,"four_group_var"
"3","NOC2L","Exc L5-6 RORB LINC02196",0.158809522203926,4.994963865557,9.87252666839883,0.00209437395814938,0.176308207749666,0.176308207749666,"four_group_var"
"4","KLHL17","Exc L5-6 RORB LINC02196",0.0868179071893813,3.27746277884308,0.508524680684351,0.477105410437599,0.904462146987614,0.904462146987614,"four_group_var"
"5","HES4","Exc L5-6 RORB LINC02196",0.0127101543656817,5.03463846558608,0.0281669049776921,0.866987857564153,0.999856033640019,0.999856033640019,"four_group_var"
"6","ISG15","Exc L5-6 RORB LINC02196",0.0917911149280973,2.75184648488019,0.275538140746267,0.600569075130907,0.946437991101463,0.946437991101463,"four_group_var"
"7","AGRN","Exc L5-6 RORB LINC02196",0.0721847257833105,4.61954539927734,0.71130663827057,0.400619012527942,0.867705922971015,0.867705922971015,"four_group_var"
"8","C1orf159","Exc L5-6 RORB LINC02196",0.0292144159906466,5.53618553900445,0.412053435388774,0.522102787721811,0.922060740172404,0.922060740172404,"four_group_var"
"9","SDF4","Exc L5-6 RORB LINC02196",0.0374802683449205,5.29458834532695,0.399155065549232,0.528677983574938,0.925241504855513,0.925241504855513,"four_group_var"
"10","B3GALT6","Exc L5-6 RORB LINC02196",-0.0484170024760604,3.14755486685983,0.179472369299194,0.691900379414789,0.972427023178329,0.972427023178329,"four_group_var"
"11","UBE2J2","Exc L5-6 RORB LINC02196",-0.0813207968310627,4.94283827429092,2.2502096829728,0.13611411313432,0.666182181619345,0.666182181619345,"four_group_var"
"12","LINC01786","Exc L5-6 RORB LINC02196",0.0252963162900724,2.76926459891533,0.0305661674402834,0.861494225220753,0.999856033640019,0.999856033640019,"four_group_var"
"13","SCNN1D","Exc L5-6 RORB LINC02196",-0.0297802740130561,3.43486782217607,0.0698522526461985,0.791986639356683,0.994936262594762,0.994936262594762,"four_group_var"
"14","ACAP3","Exc L5-6 RORB LINC02196",0.120242976782954,6.28978898159338,8.03838522969995,0.00534172689420184,0.239888889211562,0.239888889211562,"four_group_var"
"15","PUSL1","Exc L5-6 RORB LINC02196",0.473323753619569,2.24922415635411,9.5843047039948,0.00242207705921822,0.186903613069673,0.186903613069673,"four_group_var"
"16","INTS11","Exc L5-6 RORB LINC02196",0.0430021897255165,5.3151323891947,1.07517242050521,0.301778774445428,0.810304886341967,0.810304886341967,"four_group_var"
"17","CPTP","Exc L5-6 RORB LINC02196",0.0533163308842475,3.05156344777531,0.239183080691517,0.625652517736016,0.953072553803934,0.953072553803934,"four_group_var"
"18","DVL1","Exc L5-6 RORB LINC02196",0.00616308118367554,4.45271144038263,0.00751515242331583,0.931056449057833,0.999856033640019,0.999856033640019,"four_group_var"
"19","AURKAIP1","Exc L5-6 RORB LINC02196",0.14680033946703,4.25560355921094,4.21673839031155,0.0421096687664779,0.482538347912371,0.482538347912371,"four_group_var"
"20","CCNL2","Exc L5-6 RORB LINC02196",0.0381331897962401,6.08404809163099,0.811408900902826,0.36943368873532,0.850419943078157,0.850419943078157,"four_group_var"
"21","MRPL20","Exc L5-6 RORB LINC02196",-0.0241711924297529,4.66739862111027,0.139734675357679,0.709177257286579,0.97536390436092,0.97536390436092,"four_group_var"
"22","ANKRD65","Exc L5-6 RORB LINC02196",0.119144667998589,3.71239031567997,0.917219433965831,0.340052053219379,0.835455665140643,0.835455665140643,"four_group_var"
"23","ATAD3C","Exc L5-6 RORB LINC02196",0.205192489389349,3.55820824919087,2.21290372108557,0.139375392004836,0.66898192347977,0.66898192347977,"four_group_var"
"24","ATAD3B","Exc L5-6 RORB LINC02196",-0.025596061920632,4.69149183157454,0.137299152288494,0.711607144760112,0.975802922313787,0.975802922313787,"four_group_var"
"25","ATAD3A","Exc L5-6 RORB LINC02196",0.059164241244461,4.0701334383553,0.635701773206458,0.426781217754973,0.881939613860682,0.881939613860682,"four_group_var"
"26","TMEM240","Exc L5-6 RORB LINC02196",-0.0423731484048435,2.66457393249513,0.0859847082020522,0.769830746823386,0.989765017100327,0.989765017100327,"four_group_var"
"27","SSU72","Exc L5-6 RORB LINC02196",0.0901490262990461,5.76484779853646,4.79679865249297,0.0303655581785042,0.428234915734369,0.428234915734369,"four_group_var"
"28","AL645728.1","Exc L5-6 RORB LINC02196",0.210540008813535,2.51945394217193,2.16542089249966,0.143655352441926,0.673727891431011,0.673727891431011,"four_group_var"
"29","FNDC10","Exc L5-6 RORB LINC02196",0.00859957423695728,4.10774181801513,0.0092563113343865,0.923507854881488,0.999856033640019,0.999856033640019,"four_group_var"
"30","AL691432.2","Exc L5-6 RORB LINC02196",0.0217414745556315,3.46142793378951,0.0483824341962144,0.826260533072799,0.999856033640019,0.999856033640019,"four_group_var"
"31","MIB2","Exc L5-6 RORB LINC02196",-0.0251370029129895,5.38416001538676,0.181041442565047,0.671210326090019,0.966752830977262,0.966752830977262,"four_group_var"
"32","CDK11B","Exc L5-6 RORB LINC02196",-0.031631693026,5.0054145584363,0.307571023383596,0.580164014411907,0.941750746327416,0.941750746327416,"four_group_var"
"33","SLC35E2B","Exc L5-6 RORB LINC02196",-0.163818474991592,4.8522233790232,4.48863551845313,0.0360971234862945,0.456426224543726,0.456426224543726,"four_group_var"
"34","CDK11A","Exc L5-6 RORB LINC02196",-0.0637415238787475,4.21162304954299,0.436840071931761,0.509866081504053,0.917957209603538,0.917957209603538,"four_group_var"
