"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.230675343219201,3.15804100551949,2.21122587805946,0.139658314544151,0.40392910891597,0.40392910891597,"four_group_var"
"2","AL669831.5","Exc L6b",-0.015315895760529,5.7792154522062,0.0632912486602815,0.801802183563293,0.93656700038953,0.93656700038953,"four_group_var"
"3","NOC2L","Exc L6b",0.021151164280058,4.89203592974355,0.0924069096981515,0.76167091972331,0.920944512590961,0.920944512590961,"four_group_var"
"4","KLHL17","Exc L6b",0.265623191245778,3.05467459516132,3.70438776982913,0.0566600978033676,0.251221685506699,0.251221685506699,"four_group_var"
"5","HES4","Exc L6b",-0.271691783668922,3.66239607102505,3.30719322502093,0.0714956297834372,0.282820550248978,0.282820550248978,"four_group_var"
"6","ISG15","Exc L6b",-0.114676963259672,1.62012593369583,0.131562513215157,0.717461765101525,0.897928641804275,0.897928641804275,"four_group_var"
"7","AGRN","Exc L6b",-0.00434874965612705,4.78044326302655,0.00221940189140388,0.962504217972523,0.994937283998537,0.994937283998537,"four_group_var"
"8","C1orf159","Exc L6b",-0.00823053573929863,5.85293318570691,0.0186792129696568,0.891521405343507,0.974219092264511,0.974219092264511,"four_group_var"
"9","SDF4","Exc L6b",0.0392870228402342,5.17746828885829,0.226460768134913,0.635034314960528,0.849722709740331,0.849722709740331,"four_group_var"
"10","B3GALT6","Exc L6b",-0.173787390663031,2.98850232325511,1.49971643017213,0.232043609591893,0.522503661038242,0.522503661038242,"four_group_var"
"11","UBE2J2","Exc L6b",0.113119117436563,4.89834404723774,2.93538369769277,0.142244749074117,0.407982267237521,0.407982267237521,"four_group_var"
"12","LINC01786","Exc L6b",-0.280264017366815,2.15800157616182,1.80131148013706,0.182112664820065,0.464780703444903,0.464780703444903,"four_group_var"
"13","SCNN1D","Exc L6b",-0.0440859050431179,2.9138231223366,0.0978471994626049,0.75497682691652,0.918295908194762,0.918295908194762,"four_group_var"
"14","ACAP3","Exc L6b",-0.0171227366854904,6.63742756145605,0.0996598661164848,0.752791947858728,0.917079538308924,0.917079538308924,"four_group_var"
"15","PUSL1","Exc L6b",-0.232473478160794,1.95510037757026,1.03579749662486,0.310868475883667,0.606538307792212,0.606538307792212,"four_group_var"
"16","INTS11","Exc L6b",0.0383138774882023,5.2421016789193,0.422565707636942,0.637763274962751,0.851145609336569,0.851145609336569,"four_group_var"
"17","CPTP","Exc L6b",-0.0877598211211319,3.10659622204639,0.549328565193711,0.52783662459572,0.781470055345139,0.781470055345139,"four_group_var"
"18","DVL1","Exc L6b",0.236933164491598,4.41392180058198,9.56618940542387,0.00247057482551309,0.0417091246497136,0.0417091246497136,"four_group_var"
"19","AURKAIP1","Exc L6b",-0.24411945574949,4.06515654323258,4.59569425796071,0.0340900176602373,0.190646219952466,0.190646219952466,"four_group_var"
"20","CCNL2","Exc L6b",0.037089915430531,5.7503781150049,0.437842139663424,0.509446853455976,0.769828439522067,0.769828439522067,"four_group_var"
"21","MRPL20","Exc L6b",-0.147982485786779,4.58909175260138,3.6740739376472,0.0576661374660087,0.253590996018958,0.253590996018958,"four_group_var"
"22","ATAD3C","Exc L6b",-0.0474957522787519,1.8719894702212,0.0353324765850989,0.85122127639401,0.95822446837522,0.95822446837522,"four_group_var"
"23","ATAD3B","Exc L6b",-0.13799129149217,4.18382754690309,2.15500899026008,0.144747541359453,0.412144125847261,0.412144125847261,"four_group_var"
"24","ATAD3A","Exc L6b",-0.172732668714104,4.10848310776494,3.85771922061747,0.051852298361196,0.241045814325868,0.241045814325868,"four_group_var"
"25","TMEM240","Exc L6b",-0.0349219317491294,2.32311132972369,0.0306622126223983,0.861294124651777,0.962855222121553,0.962855222121553,"four_group_var"
"26","SSU72","Exc L6b",0.124117023143117,5.38320518484399,4.12371247241877,0.0445180483151331,0.223052047056113,0.223052047056113,"four_group_var"
"27","AL645728.1","Exc L6b",-0.232937785228891,2.12692234254579,1.03225894519189,0.311692822055123,0.607536856548121,0.607536856548121,"four_group_var"
"28","FNDC10","Exc L6b",-0.190083008584929,3.1508390738685,1.52656157718309,0.219066227244742,0.508202495242446,0.508202495242446,"four_group_var"
"29","AL691432.2","Exc L6b",-0.0245787860913918,3.10958205677549,0.0398814662995715,0.842053848691244,0.955164389157179,0.955164389157179,"four_group_var"
"30","MIB2","Exc L6b",-0.00302267191499958,5.24236644280008,0.00184996865616405,0.965764743748414,0.99542680205298,0.99542680205298,"four_group_var"
"31","CDK11B","Exc L6b",-0.00431547289676183,4.85698937559644,0.00203251755057633,0.964116464267497,0.995372110241257,0.995372110241257,"four_group_var"
"32","SLC35E2B","Exc L6b",0.115477914447963,4.62836260756664,1.97208032220559,0.162835491711074,0.438664713780927,0.438664713780927,"four_group_var"
"33","CDK11A","Exc L6b",0.21603322543579,4.07888216087597,3.19110056632578,0.0765901439583515,0.294921920264819,0.294921920264819,"four_group_var"
"34","SLC35E2A","Exc L6b",0.0435369189667906,4.56214678640293,0.219418506775189,0.640341427992324,0.852105601357416,0.852105601357416,"four_group_var"
"35","NADK","Exc L6b",0.0899170043916841,4.152772698981,0.954743333669122,0.456787533665426,0.733309479593621,0.733309479593621,"four_group_var"
"36","GNB1","Exc L6b",0.0216428303719419,7.60460666499526,0.337617084409844,0.562308340494193,0.804886632619213,0.804886632619213,"four_group_var"
